😀;grínandi andlit;andlit|grín
🎦;biograf;filmur|sjónbandsupptakari
🔅;dimma knappur;dimma|káma|skýma
🔆;ger ljósari knappur;klárna|ljósari|lýsa
📶;antennstabbar;antenna|fartelefon|samband|stabbi
🛜;tráðleyst;alnet|beinari|breiðband|hotspot|internet|sambinding|telda
📳;vibratiónstøða;fartelefon|støða|vibratión
📴;sløk fartelefonina;fartelefon|sløk
♀️;konufólkatekin;kona|konufólk|kvinna
♂️;mannfólkatekin;maður|mannfólk
⚧️;tvørkyndtekin;tvørkynd|tvørkyndur
✖️;falda;×|annullera|ganga|x
➕;pluss;+|matematikk|plussmerki|rokning|støddfrøði
➖;minus;-|−|matematikk|minusmerki|rokning|støddfrøði
➗;deila;÷|býti|matematikk|rokning|støddfrøði
🟰;tjúkt javnatekn;javnatekin|matematikk|rokning|støddfrøði
♾️;óendaligt;endaleyst|í allar ævir|óendalig
‼️;dupult rópitekn;dupult|rópitekn|teknseting
⁉️;rópitekn og spurnartekn;rópitekn|spurnartekn|teknseting
❓;reytt spurnartekn;spurnartekn|spurningur|teknseting
❔;hvítt spurnartekn;greinarmerki|spurnartekn|teknseting
❕;hvítt rópitekn;greinarmerki|rópitekn|teknseting
❗;reytt rópitekn;greinarmerki|rópitekn|teknseting
〰️;aldandi tankastrika;aldandi|greinarmerki|tankastrika|teknseting
💱;gjaldoyraveksil;børs|gjaldoyra|veksil
💲;stórt dollartekn;dollarar|dollari|dollartekn|gjaldoyra|pengar|peningur
⚕️;læknavísind symbol;eskulápusarstavur|læknafrøði|læknavísindanna
♻️;endurnýtslasymbol;endurnýtsla
⚜️;liljumynd sum skjaldarmerki;liljumynd|skjaldarmerki|svørðlilja
🔱;trítindað kvísl;kvísl|Poseidon|trítindakvísl|trítindur
📛;navnaspjaldur;navn|spjaldur
🔰;japanskt symbol fyri byrjandi;byrjandi|byrjari|japanskt
⭕;innanopin reyður sirkul;o|reyður|reytt|ringur|sirkul
✅;hvítt tjúkt flugubein;flugubein
☑️;flugubein í fýrakanti;flugubein|fýrakantur
✔️;tjúkt flugubein;flugubein
❌;kross symbol;annullera|falda|ganga|kross|strika|x
❎;kross symbol knappur;annullera|falda|ganga|kross|strika|x
➰;bukt;lykkja|sloyfa|snar
➿;dupult bukt;bukt|dupult|lykkja|sloyfa|snar
〽️;umskiftistekn;broytin|frábregði|umskifti
✳️;áttatinda stjørna;stjørna
✴️;áttaspíska stjørna;stjørna
❇️;glampi;glampa|glitra|glógva|ljóma|skyggja|stjørna
©️;upphavsrættur;c|upphavsrætt
®️;skrásett;r|skrásettur
™️;virkisrættindi;fyritøkumerki|fyritøkurættindi|virkismerki|vøruheiti|vørumerki
🫟;sprutt;máling|sletta|sprutta|stoyta
*️⃣;Knappahetta: *;Knappahetta
0️⃣;Knappahetta: 0;0|Knappahetta|null
1️⃣;Knappahetta: 1;1|ein|Knappahetta
2️⃣;Knappahetta: 2;2|Knappahetta|tveir
3️⃣;Knappahetta: 3;3|Knappahetta|tríggir
4️⃣;Knappahetta: 4;4|fýre|Knappahetta
5️⃣;Knappahetta: 5;5|fimm|Knappahetta
6️⃣;Knappahetta: 6;6|Knappahetta|seks
7️⃣;Knappahetta: 7;7|Knappahetta|sjey
8️⃣;Knappahetta: 8;8|átta|Knappahetta
9️⃣;Knappahetta: 9;9|Knappahetta|níggju
🔟;Knappahetta: 10;Knappahetta
🔠;stórir bókstavir;ABCD
🔡;smáir bókstavir;abcd
🔢;tøl;1234
🔣;symbol;〒♪&%
🔤;bókstavir;abc|alfabet|bókstavarað|stavrað
🅰️;A knappur (blóðflokkur);a|blóðflokkur|blóðtypa|knappur|knøttur
🆎;AB knappur (blóðflokkur);ab|blóðflokkur|blóðtypa|knappur|knøttur
🅱️;B knappur (blóðflokkur);b|blóðflokkur|blóðtypa|knappur|knøttur
🆑;CL knappur;cl|knappur|knøttur
🆒;COOL knappur;cool|knappur|knøttur
🆓;FREE knappur;free|knappur|knøttur
ℹ️;kunning;i|kunningarstova|leiðbeining|upplýsing
🆔;ID knappur;id|identitetur|knappur|knøttur|samleiki
Ⓜ️;M í sirkuli;m|sirkul
🆕;NEW knappur;knappur|knøttur|new
🆖;NG knappur;knappur|knøttur|ng
🅾️;O knappur (blóðflokkur);blóðflokkur|blóðtypa|knappur|knøttur|o
🆗;OK knappur;knappur|knøttur|ok
🅿️;P knappur;knappur|knøttur|ok|parkering|parkeringarbásur|parkeringarpláss|parkeringarskiva
🆘;SOS knappur;hjálp|knappur|knøttur|neyðarkall|neyðarróp|sos
🆙;UP! knappur;knappur|knøttur|up!|upp
🆚;VS knappur;ímóti|knappur|knøttur|vs
🈁;japanskur "her" knappur;"her"|japanskur|katakana|ココ
🈂️;japanskur "avgreiðslugjald" knappur;"avgreiðslugjald"|"borðreiðingargjald"|japanskur|katakana|サ
🈷️;japanskur "mánaðarlig upphædd" knappur;"mánaðarlig upphædd"|hugtaksskrift|ideografi|japanskur|月
🈶;japanskur "ikki ókeypis" knappur;"ikki ókeypis"|hugtaksskrift|ideografi|japanskur|有
🈯;japanskur "bílagt" knappur;"bílagt"|hugtaksskrift|ideografi|japanskur|指
🉐;japanskur "kvett" knappur;"gott keyp"|"kvett"|hugtaksskrift|ideografi|japanskur|得
🈹;japanskur "avsláttur" knappur;"avsláttur"|hugtaksskrift|ideografi|japanskur|割
🈚;japanskur "ókeypis" knappur;"ókeypis"|hugtaksskrift|ideografi|japanskur|無
🈲;japanskur "bannað" knappur;"bannað"|"forboð"|hugtaksskrift|ideografi|japanskur|禁
🉑;japanskur "hóskandi" knappur;"hóskandi"|"ok"|hugtaksskrift|ideografi|japanskur|可
🈸;japanskur "umsókn" knappur;"áheitan"|"umsókn"|hugtaksskrift|ideografi|japanskur|申
🈴;japanskur "nøktandi avrik" knappur;"nøktandi avrik"|hugtaksskrift|ideografi|japanskur|合
🈳;japanskur "leyst" knappur;"leyst"|hugtaksskrift|ideografi|japanskur|空
㊗️;japanskur "lukkuynsking" knappur;"lukkuynsking"|"til lukku"|"tillukku"|hugtaksskrift|ideografi|japanskur|祝
㊙️;japanskur "loyndarmál" knappur;"loyndarmál"|hugtaksskrift|ideografi|japanskur|秘
🈺;japanskur "opið" knappur;"opið"|"opin"|hugtaksskrift|ideografi|japanskur|営
🈵;japanskur "einki leyst" knappur;"einki leyst"|hugtaksskrift|ideografi|japanskur|満
🔴;reyður sirkul;reyður|reytt|sirkul
🟠;appilsingulur sirkul;appilsingult|appilsingulur|sirkul
🟡;gulur sirkul;gult|gulur|sirkul
🟢;grønur sirkul;grønt|grønur|sirkul
🔵;bláur sirkul;blátt|bláur|sirkul
🟣;lillafarvaður sirkul;korkalitt|korkalittur|korkalitur|lillafarva|lillafarvaður|reyðblátt|reyðbláur|sirkul
🟤;brúnur sirkul;brúnt|brúnur|sirkul
⚫;svartur sirkul;mátingarfrøði|sirkul|svartur
⚪;hvítur sirkul;hvítur|mátingarfrøði|sirkul
🟥;reyður fýrakantur;fýrakantur|reyður|reytt
🟧;appilsingulur fýrakantur;appilsingult|appilsingulur|fýrakantur
🟨;gulur fýrakantur;fýrakantur|gult|gulur
🟩;grønur fýrakantur;fýrakantur|grønt|grønur
🟦;blaúr fýrakantur;blátt|bláur|fýrakantur
🟪;lillafarvaður fýrakantur;fýrakantur|korkalitt|korkalittur|korkalitur|lillafarva|lillafarvaður|reyðblátt|reyðbláur
🟫;brúnur fýrakantur;brúnt|brúnur|fýrakantur
⬛;stórur svartur fýrakantur;fýrakantur|mátingarfrøðiligur
⬜;stórur hvítur fýrakantur;fýrakantur|mátingarfrøðiligur
◼️;svartur fýrakantur;fýrakantur|mátingarfrøðiligur
◻️;hvítur fýrakantur;fýrakantur|mátingarfrøðiligur
◾;svartur miðalstórur fýrakantur;fýrakantur|mátingarfrøðiligur
◽;hvítur miðalstórur fýrakantur;fýrakantur|mátingarfrøðiligur
▪️;lítil svartur fýrakantur;fýrakantur|mátingarfrøðiligur
▫️;lítil hvítur fýrakantur;fýrakantur|mátingarfrøðiligur
🔶;stórur appilsingulur diamantur;diamantur|mátingarfrøðiligur
🔷;stórur bláur diamantur;diamantur|mátingarfrøðiligur
🔸;lítil appilsingulur diamantur;diamantur|mátingarfrøðiligur
🔹;lítil bláur diamantur;diamantur|mátingarfrøðiligur
🔺;reyður tríkantur sum peikar uppeftir;mátingarfrøðiligur|tríkantur
🔻;reyður tríkantur sum peikar niðureftir;mátingarfrøðiligur|tríkantur
💠;krossaður diamantur;diamantur|mátingarfrøðiligur
🔘;radioknappur;radioknøttur
🔳;hvítur fýrakantaður karmur;fýrakantur|karmur|mátingarfrøðiligur|rútur
🔲;svartur fýrakantaður karmur;fýrakantur|karmur|mátingarfrøðiligur|rútur
🏁;puntut flagg;flagg|puntut|rútut
🚩;tríkanta flagg;flagg|tríkanta
🎌;krossa fløgg;fløgg|japan
🏴;svart flagg;flagg
🏳️;hvítt flagg;flagg
🏳️‍🌈;ælaboga flagg;ælabogi|flagg
🏳️‍⚧️;tvørkynd flagg;blátt|flagg|ljósareytt og hvítt flagg|tvørkyn|tvørkynd|tvørkyndur
🏴‍☠️;sjórænaraflagg;Jolly Roger|rán|sjórænari|sjórán|skattur
🇦🇨;Flagg: Ascension;Flagg
🇦🇩;Flagg: Andorra;Flagg
🇦🇪;Flagg: Sameindu Emirríkini;Flagg
🇦🇫;Flagg: Afganistan;Flagg
🇦🇬;Flagg: Antigua & Barbuda;Flagg
🇦🇮;Flagg: Anguilla;Flagg
🇦🇱;Flagg: Albania;Flagg
🇦🇲;Flagg: Armenia;Flagg
🇦🇴;Flagg: Angola;Flagg
🇦🇶;Flagg: Antarktis;Flagg
🇦🇷;Flagg: Argentina;Flagg
🇦🇸;Flagg: Amerikanska Samoa;Flagg
🇦🇹;Flagg: Eysturríki;Flagg
🇦🇺;Flagg: Avstralia;Flagg
🇦🇼;Flagg: Aruba;Flagg
🇦🇽;Flagg: Áland;Flagg
🇦🇿;Flagg: Aserbadjan;Flagg
🇧🇦;Flagg: Bosnia-Hersegovina;Flagg
🇧🇧;Flagg: Barbados;Flagg
🇧🇩;Flagg: Bangladesj;Flagg
🇧🇪;Flagg: Belgia;Flagg
🇧🇫;Flagg: Burkina Faso;Flagg
🇧🇬;Flagg: Bulgaria;Flagg
🇧🇭;Flagg: Barein;Flagg
🇧🇮;Flagg: Burundi;Flagg
🇧🇯;Flagg: Benin;Flagg
🇧🇱;Flagg: St. Barthélemy;Flagg
🇧🇲;Flagg: Bermuda;Flagg
🇧🇳;Flagg: Brunei;Flagg
🇧🇴;Flagg: Bolivia;Flagg
🇧🇶;Flagg: Niðurlonds Karibia;Flagg
🇧🇷;Flagg: Brasil;Flagg
🇧🇸;Flagg: Bahamaoyggjar;Flagg
🇧🇹;Flagg: Butan;Flagg
🇧🇻;Flagg: Bouvetoyggj;Flagg
🇧🇼;Flagg: Botsvana;Flagg
🇧🇾;Flagg: Hvítarussland;Flagg
🇧🇿;Flagg: Belis;Flagg
🇨🇦;Flagg: Kanada;Flagg
🇨🇨;Flagg: Kokosoyggjar;Flagg
🇨🇩;Flagg: Kongo, Dem. Lýðveldið;Flagg
🇨🇫;Flagg: Miðafrikalýðveldið;Flagg
🇨🇬;Flagg: Kongo;Flagg
🇨🇭;Flagg: Sveis;Flagg
🇨🇮;Flagg: Fílabeinsstrondin;Flagg
🇨🇰;Flagg: Cooksoyggjar;Flagg
🇨🇱;Flagg: Kili;Flagg
🇨🇲;Flagg: Kamerun;Flagg
🇨🇳;Flagg: Kina;Flagg
🇨🇴;Flagg: Kolombia;Flagg
🇨🇵;Flagg: Clipperton;Flagg
🇨🇶;Flagg: Sark;Flagg
🇨🇷;Flagg: Kosta Rika;Flagg
🇨🇺;Flagg: Kuba;Flagg
🇨🇻;Flagg: Grønhøvdaoyggjar;Flagg
🇨🇼;Flagg: Curaçao;Flagg
🇨🇽;Flagg: Jólaoyggjin;Flagg
🇨🇾;Flagg: Kýpros;Flagg
🇨🇿;Flagg: Kekkia;Flagg
🇩🇪;Flagg: Týskland;Flagg
🇩🇬;Flagg: Diego Garcia;Flagg
🇩🇯;Flagg: Djibuti;Flagg
🇩🇰;Flagg: Danmark;Flagg
🇩🇲;Flagg: Dominika;Flagg
🇩🇴;Flagg: Dominikalýðveldið;Flagg
🇩🇿;Flagg: Algeria;Flagg
🇪🇦;Flagg: Ceuta & Melilla;Flagg
🇪🇨;Flagg: Ekvador;Flagg
🇪🇪;Flagg: Estland;Flagg
🇪🇬;Flagg: Egyptaland;Flagg
🇪🇭;Flagg: Vestursahara;Flagg
🇪🇷;Flagg: Eritrea;Flagg
🇪🇸;Flagg: Spania;Flagg
🇪🇹;Flagg: Etiopia;Flagg
🇪🇺;Flagg: Evropasamveldið;Flagg
🇫🇮;Flagg: Finnland;Flagg
🇫🇯;Flagg: Fiji;Flagg
🇫🇰;Flagg: Falklandsoyggjar;Flagg
🇫🇲;Flagg: Mikronesiasamveldið;Flagg
🇫🇴;Flagg: Føroyar;Flagg
🇫🇷;Flagg: Frakland;Flagg
🇬🇦;Flagg: Gabon;Flagg
🇬🇧;Flagg: Stórabretland;Flagg
🇬🇩;Flagg: Grenada;Flagg
🇬🇪;Flagg: Georgia;Flagg
🇬🇫;Flagg: Franska Gujana;Flagg
🇬🇬;Flagg: Guernsey;Flagg
🇬🇭;Flagg: Gana;Flagg
🇬🇮;Flagg: Gibraltar;Flagg
🇬🇱;Flagg: Grønland;Flagg
🇬🇲;Flagg: Gambia;Flagg
🇬🇳;Flagg: Guinea;Flagg
🇬🇵;Flagg: Guadeloupe;Flagg
🇬🇶;Flagg: Ekvatorguinea;Flagg
🇬🇷;Flagg: Grikkaland;Flagg
🇬🇸;Flagg: Suðurgeorgia og Suðursandwichoyggjar;Flagg
🇬🇹;Flagg: Guatemala;Flagg
🇬🇺;Flagg: Guam;Flagg
🇬🇼;Flagg: Guinea-Bissau;Flagg
🇬🇾;Flagg: Gujana;Flagg
🇭🇰;Flagg: Hong Kong SAR Kina;Flagg
🇭🇲;Flagg: Heard og McDonaldoyggjar;Flagg
🇭🇳;Flagg: Honduras;Flagg
🇭🇷;Flagg: Kroatia;Flagg
🇭🇹;Flagg: Haiti;Flagg
🇭🇺;Flagg: Ungarn;Flagg
🇮🇨;Flagg: Kanariuoyggjar;Flagg
🇮🇩;Flagg: Indonesia;Flagg
🇮🇪;Flagg: Írland;Flagg
🇮🇱;Flagg: Ísrael;Flagg
🇮🇲;Flagg: Isle of Man;Flagg
🇮🇳;Flagg: India;Flagg
🇮🇴;Flagg: Stóra Bretlands Indiahavoyggjar;Flagg
🇮🇶;Flagg: Irak;Flagg
🇮🇷;Flagg: Iran;Flagg
🇮🇸;Flagg: Ísland;Flagg
🇮🇹;Flagg: Italia;Flagg
🇯🇪;Flagg: Jersey;Flagg
🇯🇲;Flagg: Jamaika;Flagg
🇯🇴;Flagg: Jordan;Flagg
🇯🇵;Flagg: Japan;Flagg
🇰🇪;Flagg: Kenja;Flagg
🇰🇬;Flagg: Kirgisia;Flagg
🇰🇭;Flagg: Kambodja;Flagg
🇰🇮;Flagg: Kiribati;Flagg
🇰🇲;Flagg: Komoroyggjar;Flagg
🇰🇳;Flagg: St. Kitts & Nevis;Flagg
🇰🇵;Flagg: Norðurkorea;Flagg
🇰🇷;Flagg: Suðurkorea;Flagg
🇰🇼;Flagg: Kuvait;Flagg
🇰🇾;Flagg: Caymanoyggjar;Flagg
🇰🇿;Flagg: Kasakstan;Flagg
🇱🇦;Flagg: Laos;Flagg
🇱🇧;Flagg: Libanon;Flagg
🇱🇨;Flagg: St. Lusia;Flagg
🇱🇮;Flagg: Liktinstein;Flagg
🇱🇰;Flagg: Sri Lanka;Flagg
🇱🇷;Flagg: Liberia;Flagg
🇱🇸;Flagg: Lesoto;Flagg
🇱🇹;Flagg: Litava;Flagg
🇱🇺;Flagg: Luksemborg;Flagg
🇱🇻;Flagg: Lettland;Flagg
🇱🇾;Flagg: Libya;Flagg
🇲🇦;Flagg: Marokko;Flagg
🇲🇨;Flagg: Monako;Flagg
🇲🇩;Flagg: Moldova;Flagg
🇲🇪;Flagg: Montenegro;Flagg
🇲🇫;Flagg: St-Martin;Flagg
🇲🇬;Flagg: Madagaskar;Flagg
🇲🇭;Flagg: Marshalloyggjar;Flagg
🇲🇰;Flagg: Norður Makedónia;Flagg
🇲🇱;Flagg: Mali;Flagg
🇲🇲;Flagg: Myanmar (Burma);Flagg
🇲🇳;Flagg: Mongolia;Flagg
🇲🇴;Flagg: Makao SAR Kina;Flagg
🇲🇵;Flagg: Norðaru Mariuoyggjar;Flagg
🇲🇶;Flagg: Martinique;Flagg
🇲🇷;Flagg: Móritania;Flagg
🇲🇸;Flagg: Montserrat;Flagg
🇲🇹;Flagg: Malta;Flagg
🇲🇺;Flagg: Móritius;Flagg
🇲🇻;Flagg: Maldivoyggjar;Flagg
🇲🇼;Flagg: Malavi;Flagg
🇲🇽;Flagg: Meksiko;Flagg
🇲🇾;Flagg: Malaisia;Flagg
🇲🇿;Flagg: Mosambik;Flagg
🇳🇦;Flagg: Namibia;Flagg
🇳🇨;Flagg: Nýkaledónia;Flagg
🇳🇪;Flagg: Niger;Flagg
🇳🇫;Flagg: Norfolksoyggj;Flagg
🇳🇬;Flagg: Nigeria;Flagg
🇳🇮;Flagg: Nikaragua;Flagg
🇳🇱;Flagg: Niðurlond;Flagg
🇳🇴;Flagg: Noreg;Flagg
🇳🇵;Flagg: Nepal;Flagg
🇳🇷;Flagg: Nauru;Flagg
🇳🇺;Flagg: Niue;Flagg
🇳🇿;Flagg: Nýsæland;Flagg
🇴🇲;Flagg: Oman;Flagg
🇵🇦;Flagg: Panama;Flagg
🇵🇪;Flagg: Peru;Flagg
🇵🇫;Flagg: Franska Polynesia;Flagg
🇵🇬;Flagg: Papua Nýguinea;Flagg
🇵🇭;Flagg: Filipsoyggjar;Flagg
🇵🇰;Flagg: Pakistan;Flagg
🇵🇱;Flagg: Pólland;Flagg
🇵🇲;Flagg: Saint Pierre & Miquelon;Flagg
🇵🇳;Flagg: Pitcairnoyggjar;Flagg
🇵🇷;Flagg: Puerto Riko;Flagg
🇵🇸;Flagg: Palestinskt landøki;Flagg
🇵🇹;Flagg: Portugal;Flagg
🇵🇼;Flagg: Palau;Flagg
🇵🇾;Flagg: Paraguai;Flagg
🇶🇦;Flagg: Katar;Flagg
🇷🇪;Flagg: Réunion;Flagg
🇷🇴;Flagg: Rumenia;Flagg
🇷🇸;Flagg: Serbia;Flagg
🇷🇺;Flagg: Russland;Flagg
🇷🇼;Flagg: Ruanda;Flagg
🇸🇦;Flagg: Saudiarabia;Flagg
🇸🇧;Flagg: Salomonoyggjar;Flagg
🇸🇨;Flagg: Seyskelloyggjar;Flagg
🇸🇩;Flagg: Sudan;Flagg
🇸🇪;Flagg: Svøríki;Flagg
🇸🇬;Flagg: Singapor;Flagg
🇸🇭;Flagg: St. Helena;Flagg
🇸🇮;Flagg: Slovenia;Flagg
🇸🇯;Flagg: Svalbard & Jan Mayen;Flagg
🇸🇰;Flagg: Slovakia;Flagg
🇸🇱;Flagg: Sierra Leona;Flagg
🇸🇲;Flagg: San Marino;Flagg
🇸🇳;Flagg: Senegal;Flagg
🇸🇴;Flagg: Somalia;Flagg
🇸🇷;Flagg: Surinam;Flagg
🇸🇸;Flagg: Suðursudan;Flagg
🇸🇹;Flagg: Sao Tome & Prinsipi;Flagg
🇸🇻;Flagg: El Salvador;Flagg
🇸🇽;Flagg: Sint Maarten;Flagg
🇸🇾;Flagg: Sýria;Flagg
🇸🇿;Flagg: Esvatini;Flagg
🇹🇦;Flagg: Tristan da Cunha;Flagg
🇹🇨;Flagg: Turks- og Caicosoyggjar;Flagg
🇹🇩;Flagg: Kjad;Flagg
🇹🇫;Flagg: Fronsku sunnaru landaøki;Flagg
🇹🇬;Flagg: Togo;Flagg
🇹🇭;Flagg: Tailand;Flagg
🇹🇯;Flagg: Tadsjikistan;Flagg
🇹🇰;Flagg: Tokelau;Flagg
🇹🇱;Flagg: Eysturtimor;Flagg
🇹🇲;Flagg: Turkmenistan;Flagg
🇹🇳;Flagg: Tunesia;Flagg
🇹🇴;Flagg: Tonga;Flagg
🇹🇷;Flagg: Turkaland;Flagg
🇹🇹;Flagg: Trinidad & Tobago;Flagg
🇹🇻;Flagg: Tuvalu;Flagg
🇹🇼;Flagg: Taivan;Flagg
🇹🇿;Flagg: Tansania;Flagg
🇺🇦;Flagg: Ukraina;Flagg
🇺🇬;Flagg: Uganda;Flagg
🇺🇲;Flagg: Sambandsríki Amerikas fjarskotnu oyggjar;Flagg
🇺🇳;Flagg: Sameindu Tjóðir;Flagg
🇺🇸;Flagg: Sambandsríki Amerika;Flagg
🇺🇾;Flagg: Uruguai;Flagg
🇺🇿;Flagg: Usbekistan;Flagg
🇻🇦;Flagg: Vatikanbýur;Flagg
🇻🇨;Flagg: St. Vinsent & Grenadinoyggjar;Flagg
🇻🇪;Flagg: Venesuela;Flagg
🇻🇬;Flagg: Stóra Bretlands Jomfrúoyggjar;Flagg
🇻🇮;Flagg: Sambandsríki Amerikas Jomfrúoyggjar;Flagg
🇻🇳;Flagg: Vjetnam;Flagg
🇻🇺;Flagg: Vanuatu;Flagg
🇼🇫;Flagg: Wallis- og Futunaoyggjar;Flagg
🇼🇸;Flagg: Samoa;Flagg
🇽🇰;Flagg: Kosovo;Flagg
🇾🇪;Flagg: Jemen;Flagg
🇾🇹;Flagg: Mayotte;Flagg
🇿🇦;Flagg: Suðurafrika;Flagg
🇿🇲;Flagg: Sambia;Flagg
🇿🇼;Flagg: Simbabvi;Flagg
