😀;خنده;صورت|صورت با لبخند|لبخند|نیش باز
🌋;آتشفشان;آب‌وهوا|فوران|کوه|کوهستان
🗻;کوه فوجی;فوجی|کوه
🏕️;چادرزنی;اردو|چادر زدن|کمپینگ
🏖️;ساحل و سایبان;چتر|ساحل|سایه‌بان
🏜️;بیابان;کویر
🏝️;جزیرهٔ خالی از سکنه;بدون سکنه|جزیره|خشکی|متروکه
🏞️;پارک ملی;پارک
🏟️;ورزشگاه;استادیوم
🏛️;ساختمان باستانی;ساختمان|قدیمی|کلاسیک
🏗️;ساخت‌وساز ساختمانی;احداث|بنا|ساختمان|ساخت‌وساز|محل ساخت‌وساز
🧱;دیوار آجری;آجر|آجری|دیوار|ساروج|سفال|ملاط
🪨;صخره;تخته سنگ|جامد|زمخت|سفت|سفر|سنگ|سنگین|قلوه سنگ|محکم|مسافرت و مکان‌ها
🪵;چوب;الوار|تیر|کنده
🛖;کلبه;پناهگاه|خانه|خیمه|سرپناه|کلبه جنگلی
🏘️;منازل;چند خانه|خانه|‌خانه‌ها|ساختمان|ساختمان‌ها
🏚️;خانهٔ متروکه;خانه|ساختمان|متروک
🏠;خانه;ساختمان|منزل
🏡;خانهٔ حیاط‌دار;باغ|حیاط|خانه|خانه حیاط‌دار|ساختمان|منزل
🏢;ساختمان اداری;ساختمان
🏣;پست‌خانهٔ ژاپنی;اداره پست ژاپنی|پست|ژاپنی|ساختمان
🏤;ادارهٔ پست;اداره پست|اروپایی|پست|پست‌خانه|ساختمان
🏥;بیمارستان;پزشک|دارو|دکتر|ساختمان
🏦;بانک;ساختمان
🏨;هتل;ساختمان
🏩;هتل عشق‌ورزی;ساختمان|عشق|عشق‌بازی|هتل
🏪;بقالی;ساختمان|فروشگاه
🏫;مدرسه;ساختمان
🏬;فروشگاه بزرگ;بزرگ|ساختمان|فروشگاه
🏭;کارخانه;ساختمان
🏯;قلعهٔ ژاپنی;ژاپنی|ساختمان|قلعه
🏰;قلعه;اروپایی|دژ|ساختمان|قصر
💒;ازدواج;عاشقانه|عروسی|کلیسا
🗼;برج توکیو;برج|توکیو|دکل
🗽;مجسمهٔ آزادی;آزادی|مجسمه|نیویورک
⛪;کلیسا;دین|ساختمان|صلیب|مذهب|مسیحیت
🕌;مسجد;اسلام|دین|مسلمان
🛕;معبد هندو;معبد|هندو
🕍;کنیسه;دین|مذهب|معبد|یهود|یهودی
⛩️;معبد شینتو;شینتو|مذهب|معبد
🕋;کعبه;اسلام|حج|دین|مسلمان|مکه
⛲;فواره;آب‌فشان|حوض و فواره|سرچشمه|فشانه
⛺;چادر;چادر زدن|چادرزنی|خیمه|کمپینگ
🌁;مه‌آلود;آب‌وهوا|مه
🌃;شب پرستاره;آسمان شب|ستاره|شب
🏙️;نمای شهر;آسمانخراش|برج|ساختمان|شهر|شهری|منظره|نما
🌄;طلوع در کوهستان;آب‌وهوا|بامداد|خورشید|صبح|طلوع|کوه|کوهستان
🌅;طلوع;آفتاب|بامداد|خورشید|صبح|صبح زود
🌆;نمای شهر هنگام غروب;آب‌وهوا|چشم‌انداز|خورشید|شهر|شهر در غروب|عصر|غروب|گرگ و میش|منظره
🌇;غروب;چشم‌انداز|خورشید|ساختمان|غروب آفتاب|گرگ و میش|گرگ‌ومیش|منظره
🌉;پل در شب;پل|روی پل|شب
♨️;چشمهٔ آب گرم;بخار|چشمه|چشمه آب گرم|داغ|گرم
🎠;چرخ‌وفلک اسبی;اسب|اسب چرخ و فلک|چرخ و فلک|چرخ‌وفلک
🛝;سرسره;بازی|بازی کردن|پارک بازی|زمین بازی|سر خوردن|سفر|مکان‌ها
🎡;چرخ‌وفلک;چرخ|چرخ و فلک|شهر بازی
🎢;ترن هوایی;رولر|رولرکاستر|شهر بازی
💈;چراغ سلمانی;آرایشگر|چراغ|سلمانی|کوتاه کردن مو|نماد
🎪;چادر سیرک;چادر|سیرک
🚂;لوکوموتیو;بخار|ریل|قطار|موتور|وسیله نقلیه|وسیلهٔ نقلیه
🚃;واگن ریلی;الکتریکی|تراموا|خودرو|ریل|قطار|واگن|وسیله نقلیه
🚄;قطار سریع‌السیر;ریل|سرعت|سریع‌السیر|شینکانسن|قطار|وسیله نقلیه|وسیلهٔ نقلیه
🚅;قطار تندرو;ریل|سرعت|سریع‌السیر|شینکانسن|قطار|قطار سریع‌السیر گلوله‌ای|گلوله|وسیله نقلیه
🚆;قطار;راه‌آهن|ریل|وسیله نقلیه|وسیلهٔ نقلیه
🚇;قطار شهری;راه‌آهن زیرزمینی|مترو|وسیله نقلیه|وسیلهٔ نقلیه
🚈;قطار سبک شهری;راه‌آهن|ریل|وسیله نقلیه|وسیلهٔ نقلیه
🚉;ایستگاه قطار;راه‌آهن|ریل|قطار|وسیله نقلیه|وسیلهٔ نقلیه
🚊;تراموا;اتوبوس برقی|وسیله نقلیه|وسیلهٔ نقلیه
🚝;تک‌ریل;راه‌آهن تک‌ریلی|مونوریل|وسیله نقلیه|وسیلهٔ نقلیه
🚞;ریل کوهستانی;خودرو|راه‌آهن|ریل|کوه|کوهستان|وسیله نقلیه|وسیلهٔ نقلیه
🚋;قطار خیابانی;تراموا|خودرو|واگن|وسیله نقلیه|وسیلهٔ نقلیه
🚌;اتوبوس;وسیله نقلیه|وسیلهٔ نقلیه
🚍;اتوبوس روبه‌جلو;اتوبوس|در حال آمدن|درحال آمدن|نزدیک‌شونده|وسیله نقلیه|وسیلهٔ نقلیه
🚎;اتوبوس برقی;اتوبوس|برقی|تراموا|وسیله نقلیه|وسیلهٔ نقلیه
🚐;مینی‌بوس;اتوبوس|وسیله نقلیه|وسیلهٔ نقلیه
🚑;آمبولانس;وسیله نقلیه|وسیلهٔ نقلیه
🚒;ماشین آتش‌نشانی;آتش|کامیون|موتور|وسیله نقلیه|وسیلهٔ نقلیه
🚓;ماشین پلیس;پاترول|پلیس|خودرو|وسیله نقلیه|وسیلهٔ نقلیه
🚔;ماشین پلیسی که نزدیک می‌شود;پلیس|خودرو|درحال آمدن|ماشین پلیس|نزدیک‌شونده|وسیله نقلیه|وسیلهٔ نقلیه
🚕;تاکسی;وسیله نقلیه|وسیلهٔ نقلیه
🚖;تاکسی‌ای که نزدیک می‌شود;تاکسی|تاکسی روبه‌جلو|در حال آمدن|درحال آمدن|نزدیک‌شونده|وسیله نقلیه|وسیلهٔ نقلیه
🚗;خودرو;اتومبیل|خودروی سواری|ماشین|وسیله نقلیه|وسیلهٔ نقلیه
🚘;خودرویی که نزدیک می‌شود;اتومبیل|اتوموبیل|خودرو|درحال آمدن|ماشین|نزدیک‌شونده|وسیله نقلیه|وسیلهٔ نقلیه
🚙;خودروی شاسی‌بلند;اتوموبیل|اس‌یووی|تفریحی|خودروی بیابان|خودروی خانواده|رانندگی|شاسی‌بلند|ماشین|ماشین اسپرت|وسیله تفریحی
🛻;وانت;پیکاپ|حمل‌ونقل|خودرو|کامیون|کامیونت|کفی|ماشین باری
🚚;کامیون پخش;تحویل|حمل‌ونقل|کامیون|ماشین حمل‌ونقل|وسیله نقلیه|وسیلهٔ نقلیه
🚛;کامیون مفصلی;کامیون|کامیون باری|کامیون دوتکه|ماشین باری|ماشین سنگین|مفصل|مفصلی|وسیله نقلیه
🚜;تراکتور;وسیله نقلیه|وسیلهٔ نقلیه|یدک‌کش
🏎️;ماشین مسابقه;خودرو|مسابقه
🏍️;موتورسیکلت;مسابقه
🛵;اسکوتر;اسکوتر موتوری|چرخ پایی برقی|روروک|روروک موتوری|موتور
🦽;صندلی چرخ‌دار دستی;دسترس‌پذیری|صندلی چرخ‌دار|قابلیت دسترسی|ویلچر
🦼;صندلی چرخ‌دار برقی;دسترس‌پذیری|صندلی چرخ‌دار|قابلیت دسترسی
🛺;اتوریکشا;توک توک|موتور سه چرخ
🚲;دوچرخه;دوچرخه سواری|ورزش|وسیله نقلیه|وسیلهٔ نقلیه
🛴;چرخ پایی;اسباب‌بازی|اسکوتر|بازی|روروک|ورزش
🛹;تختهٔ اسکیت;اسکیت|اسکیت بازی|اسکیت بورد|اسکیت‌بورد|اسکیت‌سواری|تخته|چرخ
🛼;کفش اسکیت;اسکیت|پالیزه|تیغه|رول‌اسکیت|غلتک|ورزش
🚏;ایستگاه اتوبوس;اتوبوس|ایستگاه|توقف
🛣️;بزرگراه;اتوبان|جاده|شاهراه
🛤️;ریل قطار;راه‌آهن|ریل|قطار
🛢️;بشکه نفت;بشکه|نفت
⛽;پمپ بنزین;ایستگاه|بنزین|پمپ|سوخت|گاز|گازوئیل
🛞;چرخ;تایر|حلقه|خودرو|دور|سفر|لاستیک|مکان‌ها|وسیله نقلیه
🚨;چراغ ماشین پلیس;آژیر|پلیس|چراغ|خودرو|وسیله نقلیه|وسیلهٔ نقلیه
🚥;چراغ راهنمایی افقی;ترافیک|چراغ|علامت
🚦;چراغ راهنمایی عمودی;ترافیک|چراغ|علامت
🛑;علامت ایست;ایست|توقف|علامت|هشت ضلعی|هشت‌ضلعی|هشت‌وجهی
🚧;ساخت‌وساز;راه‌بند|سد|مانع
⚓;لنگر;ابزار|کشتی
🛟;حلقه نجات;ایمنی|بویه|راهنمای شناور|سفر|شنا|شنا کردن|شناور|شناوه|محافظ|مکان‌ها|نجات|نجات غریق|نجات‌بخش
⛵;قایق بادبانی;تفریح|تفریحی|دریا|قایق|کرجی|کشتی شخصی|وسیله نقلیه
🛶;بلم;پارو|زورق|قایق|قایق با پارو|قایقرانی|کانو
🚤;قایق تندرو;قایق|قایق سرعتی|وسیله نقلیه
🛳️;کشتی مسافربری;کشتی|مسافر|مسافربری|مسافرتی
⛴️;فرابر;سرنشین|قایق|مسافر
🛥️;قایق موتوری;قایق|قایق‌موتوری|لتکا|وسیله نقلیه
🚢;کشتی;سرنشین|قایق|مسافر|وسیله نقلیه|وسیهٔ نقلیه
✈️;هواپیما;پرواز، جت، سفر، مسافرت|طیاره|وسیلهٔ نقلیه
🛩️;هواپیمای کوچک;طیاره|هواپیما|وسیله نقلیه|وسیلهٔ نقلیه
🛫;زمان حرکت هواپیما;اعلام ورود|حرکت|خروج|زمان حرکت|صعود هواپیما|هواپیما|وسیله نقلیه
🛬;زمان ورود هواپیما;به زمین نشستن|به‌زمین نشستن|رسیدن|فرود|نشستن|هواپیما|ورود|وسیله نقلیه
🪂;چتر نجات;پاراسیل|پاراسیلینگ|چتربازی|کایت‌سواری
💺;جایگاه;جا|جای|صندلی|مسند|نشستن|نیمکت
🚁;هلیکوپتر;وسیله نقلیه|وسیلهٔ نقلیه
🚟;قطار معلق;ریل|قطار هوایی|معلق|وسیله نقلیه|وسیلهٔ نقلیه
🚠;تله‌کابین کوهستانی;تله کابین|تله‌اسکی|کابل|کابین|کوهستان|ماشین کابلی کوهستانی|وسیله نقلیه|وسیلهٔ نقلیه
🚡;تراموای هوایی;تراموا|تله‌کابین|طناب نقاله|کابل|هوایی|وسیلهٔ نقلیه
🛰️;ماهواره;فضا|وسیلهٔ فضایی
🚀;موشک;فضا|موشک فضایی|وسیلهٔ فضایی|وسیله نقلیه
🛸;بشقاب‌پرنده;بشقاب پرنده|شیء پرندهٔ ناشناس|فضایی|موجود فضایی|یو اف او|یواف‌اُ
🛎️;زنگ میز پذیرش;پذیرش|زنگ|لابی|هتل
🧳;چمدان;بار بستن|بستن|بسته|بسته بندی|تعطیلات|جامه‌دان|سفر|کیف|کیف چرخدار|مسافرت
⌛;ساعت شنی;تایمر|زمان‌سنج|شن
⏳;ساعت شنی با شن روان;تایمر|زمان‌سنج|ساعت شنی|شن
⌚;ساعت مچی;زمان|ساعت
⏰;ساعت رومیزی;زنگ ساعت|ساعت|ساعت زنگ‌دار
⏱️;کرنومتر;زمان‌سنج|ساعت|ساعت وقت‌نگه‌دار
⏲️;تایمر;زمان‌سنج|ساعت
🕰️;ساعت طاقچه‌ای;ساعت
🕛;ساعت دوازده;۰۰|۱۲|۱۲:۰۰|دوازده|ساعت
🕧;ساعت دوازده و نیم;۱۲|۱۲:۳۰|۳۰|دوازده|ساعت|نیم
🕐;ساعت یک;۰۰|۱|۱:۰۰|ساعت|یک
🕜;ساعت یک و نیم;۱|۱:۳۰|۳۰|ساعت|نیم|یک
🕑;ساعت دو;۰۰|۲|۲:۰۰|دو|ساعت
🕝;ساعت دو و نیم;۲|۲:۳۰|۳۰|دو|ساعت|نیم
🕒;ساعت سه;۰۰|۳|۳:۰۰|ساعت|سه
🕞;ساعت سه و نیم;۳|۳:۳۰|۳۰|ساعت|سه|نیم
🕓;ساعت چهار;۰۰|۴|۴:۰۰|چهار|ساعت
🕟;ساعت چهار و نیم;۳۰|۴|۴:۳۰|چهار|ساعت|نیم
🕔;ساعت پنج;۰۰|۵|۵:۰۰|پنج|ساعت
🕠;ساعت پنج و نیم;۳۰|۵|۵:۳۰|پنج|ساعت|نیم
🕕;ساعت شش;۰۰|۶|۶:۰۰|ساعت|شش
🕡;ساعت شش و نیم;۳۰|۶|۶:۳۰|ساعت|شش|نیم
🕖;ساعت هفت;۰۰|۷|۷:۰۰|ساعت|هفت
🕢;ساعت هفت و نیم;۳۰|۷|۷:۳۰|ساعت|نیم|هفت
🕗;ساعت هشت;۰۰|۸|۸:۰۰|ساعت|هشت
🕣;ساعت هشت و نیم;۳۰|۸|۸:۰۰|۸:۳۰|ساعت|نیم|هشت
🕘;ساعت نه;۰۰|۹|۹:۰۰|ساعت|نه
🕤;ساعت نه و نیم;۳۰|۹|۹:۳۰|ساعت|نه|نیم
🕙;ساعت ده;۰۰|۱۰|۱۰:۰۰|ده|ساعت
🕥;ساعت ده و نیم;۱۰|۱۰:۳۰|۳۰|ده|ساعت|نیم
🕚;ساعت یازده;۰۰|۱۱|۱۱:۰۰|ساعت|یازده
🕦;ساعت یازده و نیم;۱۱|۱۱:۳۰|۳۰|ساعت|نیم|یازده
🌑;ماه نو;تاریک|فضا|ماه
🌒;هلال فزاینده ماه;آب‌وهوا|رو به بدر|سوی ماه تمام|فضا|ماه|هلال
🌓;یک‌چهارم نخست;آب‌وهوا|اول|تربیع|فضا|ماه|نخست|یک‌چهارم
🌔;کوژماه افزاینده;آب‌وهوا|بدر|برآمدگی|برآمدگی سوی ماه تمام|تحدب|رو به زمین|فضا|ماه
🌕;ماه کامل;آب‌وهوا|بدر|تمام|فضا|کامل|ماه
🌖;کوژماه کاهنده;افول|تحدب|فضا|ماه|محاق|محدب کاهنده
🌗;یک‌چهارم پایان;آب‌وهوا|آخر|انتها|تربیع|فضا|ماه|یک‌چهارم
🌘;هلال کاهنده ماه;آب‌وهوا|داس ماه|سوی کمرنگی|فضا|ماه|مه‌داس|هلال
🌙;هلال ماه;آب‌وهوا|داس ماه|فضا|ماه|مه‌داس|هلال
🌚;صورت ماه نو;آب‌وهوا|صورت|فضا|ماه
🌛;صورت یک‌چهارم اول;آب‌وهوا|اول|تربیع|صورت|صورت هلال اول|فضا|ماه|نخست|یک‌چهارم
🌜;صورت یک‌چهارم آخر;آب‌وهوا|آفتابی|اشعه|پرنور|روشن|صورت|صورت هلال آخر|فضا|ماه|یک‌چهارم
🌡️;دماسنج;آب‌وهوا|دما|هوا
☀️;خورشید;آب‌وهوا|آفتابی|اشعه|پرنور|خورشیدی|روشن|فضا
🌝;صورت ماه کامل;آب‌وهوا|تمام|روشن|صورت|فضا|ماه
🌞;صورت خورشید;آب‌وهوا|خورشید|روشن|صورت|فضا
🪐;سیاره حلقه‌دار;دلگیر|زحل|سیاره
⭐;ستاره سفید;ستاره
🌟;ستاره درخشان;جرقه|درخشان|ستاره|فروزان
🌠;ستاره ثاقب;افتادن|دنباله‌دار|ستاره|سریع|فضا
🌌;راه شیری;آب‌وهوا|آسمان|سپهر|فضا
☁️;ابر;آب‌وهوا
⛅;خورشید پشت ابر;آب‌وهوا|ابر|خورشید
⛈️;ابر با رعدوبرق و باران;آب‌وهوا|ابر|ابر با رعدوبرق|باران|رعدوبرق
🌤️;خورشید پشت ابر کوچک;آب‌وهوا|ابر|خورشید
🌥️;خورشید پشت ابر بزرگ;آب‌وهوا|ابر|خورشید
🌦️;خورشید پشت ابر بارانی;آب‌وهوا|ابر|باران|خورشید
🌧️;ابر بارانی;آب‌وهوا|ابر|باران
🌨️;ابر برفی;آب‌وهوا|ابر|برف|سرما
🌩️;ابر با برق;آب‌وهوا|ابر|رعدوبرق
🌪️;گردباد;آب‌وهوا|ابر|تورنادو|چرخ‌باد
🌫️;مه;آب‌وهوا|ابر
🌬️;صورت باد;آب‌وهوا|ابر|باد|صورت|وزیدن
🌀;چرخند;آب‌وهوا|پیچند|چرخ‌باد|طوفان موسمی
🌈;رنگین کمان;آب‌وهوا|باران|جشن غرور|علامت همجنسگرایان
🌂;چتر بسته;آب‌وهوا|باران|پوشاک|چتر
☂️;چتر;آب‌وهوا|باران|پوشاک
☔;چتر خیس;آب‌وهوا|باران|پوشاک|چتر|قطره باران
⛱️;چتر روی زمین;آب‌وهوا|باران|چتر|خورشید
⚡;ولتاژ بالا;الکتریسیته|الکتریکی|برق|بنگ|خطر|ولتاژ
❄️;برف‌دانه;آب‌وهوا|برف|بلور برف|سرما
☃️;آدم برفی;آب‌وهوا|آدم برفی با برف|برف|سرما
⛄;آدم برفی بدون برف;آب‌وهوا|آدم برفی|برف|سرما
☄️;ستاره دنباله‌دار;فضا
🔥;آتش;ابزار|شعله
💧;قطره;آب‌وهوا|سرما|عرق|کمیک|مصور
🌊;موج آب;آب|آب‌وهوا|اقیانوس|موج
🎃;فانوس کدو تنبل;جشن|فانوس|هالووین
🎄;درخت کریسمس;جشن|درخت|کریسمس
🎆;آتش‌بازی;بزرگداشت|جشن|عید
🎇;فشفشه;آتش‌بازی|بزرگداشت|جشن|عید
🧨;ترقه;آتش|آتش بازی|آتش‌بازی|انفجار|ترقه بازی|ترکیدن|جرقه|دینامیت|ماده منفجره|محترقه|منفجر|مواد منفجره|نور
✨;درخشش;جرقه|ستاره
🎈;بادکنک;بزرگداشت|جشن|عید
🎉;بمب کاغذ رنگی;بزرگداشت|جشن|عید|کاغذ رنگی|مهمانی
🎊;توپ پولکی;پولک|توپ|جشن
🎋;درخت تاناباتا;بنر|جشن|جشنواره|درخت|ژاپنی
🎍;تزئین کاج;بامبو|جشن|جشنواره|ژاپنی|کاج|گیاه
🎎;عروسک‌های ژاپنی;جشن|جشنواره|ژاپنی|عروسک|فستیوال
🎏;پرچم‌های ماهی در باد;بادنمای ماهی‌شکل|پرچم|جشن|ماهی
🎐;باد سِنج;باد|بادزنگ|بادسنج|توپ|جشن|جشنواره
🎑;آئین مشاهدهٔ ماه کامل;جشن|ماه|مراسم|مراسم رؤیت ماه
🧧;پاکت سرخ;اقبال|پاکت پول|پاکت قرمز|پول|جشن چینی|خوش شانس|کادو|لای‌سی|هدیه|هونگ بائو
🎀;روبان;بزرگداشت|جشن|عید
🎁;هدیهٔ کادوشده;جشن|جعبه|کادو|هدیه
🎗️;روبان یادآوری;جشن|روبان|یادآوری
🎟️;بلیت ورود;بلیت|بلیط|ورود|ورودی|ورودیه
🎫;بلیت;جواز|حواله|رسید
🎖️;مدال ارتشی;جشن|مدال|نظامی
🏆;جام ورزشی;جایزه|جایزه ورزشی|کاپ قهرمانی
🏅;مدال ورزشی;مدال
🥇;مدال طلا;اول|جایگاه اول|سکوی اول|طلا|مدال|نخست|نفر اول
🥈;مدال نقره;جایگاه دوم|دوم|مدال|نفر دوم
🥉;مدال برنز;برنز|جایگاه سوم|سکوی سوم|سوم|مدال|نفر سوم
⚽;توپ فوتبال;توپ|فوتبال|ورزش
⚾;بیسبال;توپ
🥎;سافت‌بال;بازی|توپ|دستکش|سافت بال|ضربه پایین‌دست|ورزش
🏀;بسکتبال;توپ
🏐;والیبال;بازی|توپ
🏈;فوتبال امریکایی;آمریکایی|امریکایی|توپ|فوتبال
🏉;راگبی;توپ|فوتبال
🎾;تنیس;توپ|راکت
🥏;فریزبی;بازی با فریزبی|بازی بشقاب‌پرنده|بشقاب پرنده|دیسک
🎳;بولینگ;بازی|توپ
🏏;کریکت;بازی|توپ|چوگان|دسته|ورزش
🏑;هاکی روی چمن;بازی|توپ|چمن|چوگان|دسته|هاکی
🏒;هاکی روی یخ;بازی|چوگان|دسته|هاکی|ورزش|یخ
🥍;لاکراس;بازی|توپ|چوب|چوب بلند|دروازه|دسته|راکت|گل|ورزش
🏓;پینگ‌پونگ;پینگ پونگ|تنیس|تنیس روی میز|توپ|دسته|راکت|میز|ورزش
🏸;بدمینتون;بازی|پرتاب عالی|راکت|گوی پردار
🥊;دست‌کش بوکس;بوکس|دستکش
🥋;لباس هنرهای رزمی;تکواندو|جودو|رزمی|کاراته|هنرهای رزمی|یونیفورم
🥅;دروازه;گل
⛳;پرچم در سوراخ;سوراخ|گلف
⛸️;اسکی روی یخ;اسکی|پاتیناژ|یخ
🎣;چوب ماهیگیری;چوب|ماهی
🤿;ماسک غواصی;غواصی|غواصی اسکوبا|غواصی سطحی|ورزش
🎽;لباس دو;بلوز|تی‌شرت|دویدن|ورزشی
🎿;چوب اسکی;اسکی|برف
🛷;سورتمه;سورتمه اسبی|سورتمه بزرگ
🥌;سنگ کرلینگ;بازی|سنگ|سنگ خارا|شطرنج یخی
🎯;پیکان در قلب هدف;بازی|برخورد|پرتاب|دارت|ضربه مستقیم|هدف|وسط هدف
🪀;یویو;اسباب‌بازی|نوسان
🪁;بادبادک;اوج گرفتن|پرواز
🔫;تفنگ آب‌پاش;ابزار|اسلحه|تفنگ|رولور|کلت
🎱;بیلیارد;۸|۸ توپ|بازی|بال|هشت
🔮;گوی;ابزار|بخت|بخت و اقبال|تخیلی|توپ|جن و پری|طالع‌بینی|فانتزی|کریستال
🪄;عصای سحرآمیز;جادو|جادوگر|چوبدستی|سحرآمیز|عصای جادویی
🎮;بازی ویدیویی;بازی|دسته|کنترل‌کننده
🕹️;دسته بازی;بازی|بازی ویدیویی
🎰;ماشین پولی;اسلات|بازی|قمار|کازینو|ماشین
🎲;تاس بازی;بازی|تاس
🧩;قطعه پازل;پازل|جورچین|جورساز|چسب|چفت|چفت کردن|قطعه|معما|هم چفتی
🧸;تدی خرسه;اسباب بازی|اسباب‌بازی|بازیچه|پشمالو|خرس|عروسک|مخملی|نرم
🪅;پینیاتا;آب نبات|پیناتا|پینادا|جشن|جشن گرفتن|سینکو دی مایو|مکزیکی|مهمانی
🪩;توپ آینه‌ای;آینه|توپ|توپ چرخنده دیسکو|درخشش|دیسکو|رقص|رقص نور دیسکو|فعالیت‌ها|مهمانی
🪆;عروسک تودرتو;بابوشکا|تودرتو|روسی|روسیه|عروسک|عروسک چوبی|فعالیت|فعالیت‌ها|ماتروشکا
♠️;خال پیک;بازی|پیک|خال|کارت
♥️;خال دل;بازی|خال|دل|کارت
♦️;خال خشت;بازی|خال|خشت|کارت
♣️;خال گشنیز;بازی|خال|کارت|گشنیز
♟️;پیاده شطرنج;شطرنج|فداکردنی|فریب‌خورده
🃏;جوکر;بازی|شیطان|کارت|ورق بازی
🀄;ماژونگ اژدهای قرمز;بازی|قرمز|ماژونگ
🎴;کارت بازی گل‌دار;بازی|بازی کردن|ژاپنی|کارت|گل
🎭;هنرهای نمایشی;تئاتر|سالن تئاتر|ماسک|ماسک نقاب|نمایش|هنر
🖼️;عکس در قاب;تصویر|قاب|قاب عکس|موزه|نقاشی|هنر
🎨;پالت نقاشی;پالت|شستی نقاشی|موزه|نقاشی|هنر
🧵;نخ;خیاطی|دوخت و دوز|سوزن|قرقره|ماسوره|نخ و سوزن
🪡;سوزن خیاطی;بخیه|خیاطی|دوختن|سوزن|کوک|گل‌دوزی|نخ
🧶;نخ بافندگی;بافتن|بافتنی|بافندگی|توپ|ریسمان|قلاب بافی|قلاب‌بافی|کاموا|گلوله نخ
🪢;گره;پیچاندن|دوقلو|طناب|کراوات
👓;عینک طبی;پوشاک|چشم|عینک
🕶️;عینک آفتابی;تیره|چشم
🥽;عینک ایمنی;آب|اسکی|جوش کاری|جوشکاری|شنا|شیرجه|عینک|غواصی|محافظ چشم
🥼;روپوش آزمایشگاه;آزمایش|آزمایشگاه|پزشک|دانش|دانشمند|دکتر|روپوش|روپوش آزمایشگاهی|روپوش سفید|طبیب|عالم|علم|لباس
🦺;جلیقه ایمنی;اورژانس|ایمنی|جلیقه|وضعیت اضطراری
👔;کراوات;پوشاک|جدی
👕;تی‌شرت;بلوز|پوشاک
👖;شلوار جین;پوشاک|جین|شلوار
🧣;روسری;سرد|شال گردن|گردن
🧤;دستکش;دست
🧥;پالتو;ژاکت|کاپشن|کت
🧦;جوراب;جوراب ساق بلند
👗;پیراهن زنانه;پوشاک|زنانه|مجلسی
👘;کیمونو;پوشاک|ژاپنی
🥻;ساری;پیراهن|پیراهن زنانه|لباس
🩱;مایو یک‌تکه;لباس حمام|مایو
🩲;شورت اسلیپ;شورت|لباس زیر|مایو|یک‌تکه
🩳;شلوارک;شلوار|لباس حمام|لباس زیر|لباس شنا|مایو
👙;بیکینی;پوشاک|شنا|مایو
👚;لباس زنانه;پوشاک|زنانه
🪭;بادبزن;تق تق|خجالتی|خنک|خنک کردن|رقص|سرمایش|گرم|لرزش
👛;کیف دستی;پوشاک|سکه|کیف
👜;کیف دوشی;پوشاک|کیف
👝;کیف بدون تسمه زنانه;پوشاک|کیسه کوچک|کیف|کیف پول|کیف دستی
🛍️;کیف خرید;خرید|کیف|هتل
🎒;کوله‌پشتی;کولی|کیف|مدرسه
🩴;دمپایی لاانگشتی;دمپایی|دمپایی چوبی لاانگشتی|دمپایی ساحلی|ساحل|صندل|کفش
👞;کفش مردانه;پوشاک|کفش|مردانه
👟;کفش دویدن;اسنیکر|پوشاک|کفش|ورزشی
🥾;چکمه راه‌پیمایی;اردو زدن|پوتین|پیاده روی|چکمه|راه‌پیمایی|طبیعت گردی|کفش|کفش قهوه ای|کمپ|کمپینگ|کوله‌گردی|کوه پیمایی|کوهنوردی
🥿;کفش بی‌پاشنه;دمپایی|کفش|کفش باله|کفش باله‌مانند|کفش تخت|کفش خانه|کفش راحتی
👠;کفش پاشنه بلند;پاشنه|پوشاک|زن|کفش
👡;صندل زنانه;پوشاک|زن|صندل|کفش
🩰;کفش باله;باله|رقص|کفش
👢;پوتین زنانه;بوت|پوتین|پوشاک|چکمه|زن|کفش
🪮;شانه جداکننده;آفریقایی|جارو|جدا کردن|جداکردن|جداکننده|شانه|مدل موی آفریقایی|مو|موی چتری آفریقایی
👑;تاج;پوشاک|شاه|ملکه
👒;کلاه زنانه;پوشاک|زن|کلاه
🎩;کلاه مردانه استوانه‌ای;بالا|پوشاک|تاپ‌هت|کلاه
🎓;کلاه فارغ‌التحصیلی;پوشاک|جشن|فارغ‌التحصیلی|کلاه
🧢;کلاه لبه‌دار;کلاه|کلاه بیسبال|نقاب
🪖;کلاه‌خود;ارتش|جنگ|جنگجو|سرباز|نظامی
⛑️;کلاه صلیب سرخ;ایمنی|صلیب|صورت|کلاه
📿;تسبیح;پوشاک|دعا|گردن‌بند|مذهب|مهره
💄;رژلب;آرایش|لوازم آرایش
💍;حلقه;الماس|عاشقانه
💎;جواهر;الماس|جواهرآلات|عاشقانه
🔇;بلندگوی خاموش;آرام|بلندگو|بلندگو خاموش|بی‌صدا|ساکت|میزان صدا
🔈;بلندگو با صدای کم;بلندگو|صدا|صدای کم|کم
🔉;بلندگو با صدای متعادل;بلندگو|بلندگو روشن|صدا|موج|میانه|نه کم نه زیاد
🔊;بلندگو با صدای بلند;بالا|بلند|بلندگو|بلندگو با صدای زیاد|زیاد|صدا|موج
📢;بلندگو;بلند|بلندگوی بزرگ|خطابه عمومی|سخنرانی|عمومی
📣;بلندگوی دستی;بلند|بلندگو|تشویق|هلهله
📯;شیپور پست;پست|پستی|شیپور
🔔;زنگ;زنگوله|ناقوس
