😀;ծիծաղող դեմք;դեմք|քմծիծաղել
👜;ձեռքի պայուսակ;հագուստ|պայուսակ
👝;պայուսակ;հագուստ
🛍️;գնումների պայուսակ;գնումներ|հյուրանոց|պայուսակ
🎒;ուսապարկ;դպրոց|պայուսակ
🩴;ռետինե հողաթափեր;լողափի հողաթափեր|կոշիկներ|սանդալներ|վյետնամական հողաթափեր
👞;տղամարդու կոշիկ;կոշիկ|հագուստ|տղամարդ
👟;վազքի կոշիկ;կոշիկ|հագուստ|մարզական
🥾;արշավային կոշիկ;արշավ|զբոսաշրջություն|կոշիկ
🥿;տափակ կոշիկ;բալետի կոշիկ|լոֆեր|հողաթափ
👠;բարձրակրունկ կոշիկ;կին|կոշիկ|կրունկ|հագուստ
👡;կնոջ սանդալ;կին|կոշիկ|հագուստ|սանդալ
🩰;բալետի կոշիկ;բալետ|պար
👢;կնոջ երկարաճիթք կոշիկ;երկարաճիթք կոշիկ|կին|կոշիկ|հագուստ
🪮;սանրիկ;աֆրո|մազեր|սանր|վարսեր
👑;թագ;արքա|թագուհի|հագուստ
👒;կնոջ գլխարկ;գլխարկ|կին|հագուստ
🎩;բարձր գլխարկ;գլխարկ|հագուստ|ցիլինդր
🎓;շրջանավարտի գլխարկ;ավարտական|գլխարկ|հագուստ|տոն
🧢;հովարով գլխարկ;բեյսբոլ|գլխարկ
🪖;զինվորական սաղավարտ;բանակ|զինվոր|զինվորական|մարտիկ|սաղավարտ
⛑️;փրկարարի սաղավարտ;գլխարկ|դեմք|խաչ|սաղավարտ|օգնություն
📿;վարդարան;աղոթք|կրոն|հագուստ|ուլունքներ|վզնոց
💄;շրթներկ;դիմահարդարում|կոսմետիա
💍;մատանի;ադամանդ|սիրավեպ
💎;ակն;ադամանդ|գոհար|թանկարժեք քար|սիրավեպ
🔇;բարձրախոսն անջատված է;անջատել ձայնը|բարձրախոս|լուռ|հանգիստ|ձայն
🔈;բարձրախոս;ձայն|ձայնի ուժգնություն
🔉;բարձրախոսը միացված է;ալիք|բարձրախոս|ձայն|ցածր
🔊;բարձրախոսի ձայնը բարձր է;բարձր ձայն|բարձրաձայն|ձայնարկիչ
📢;մեծ բարձրախոս;բարձրաձայն|հասարակական
📣;մեգաֆոն;ոգևորում
📯;փոստային եղջյուր;եղջյուր|փոստ|փոստային
🔔;զանգ;
🔕;զանգակ շեղ գծիկով;անջատել ձայնը|արգելված|զանգակ|լուռ|հանգիստ|ոչ
🎼;սոլի բանալի;երաժշտություն
🎵;նոտա;երաժշտություն
🎶;նոտաներ;երաժշտություն|ձայնանիշ
🎙️;ստուդիայի խոսափող;երաժշտություն|խոսափող|ստուդիա
🎚️;ձայնի բարձրության սահոց;երաժշտություն|մակարդակ|սահոց
🎛️;կառավարման կոճակներ;երաժշտություն|կառավարել|կոճակներ
🎤;խոսափող;կարաոկե
🎧;ականջակալ;
📻;ռադիո;վիդեո
🎷;սաքսոֆոն;գործիք|երաժշտություն
🎺;շեփոր;գործիք|երաժշտություն
🪊;տրոմբոն;գործիք|երաժշտություն|նվագարան|ջազ|տխուր|փողային
🪗;ակորդեոն;հարմոն
🎸;կիթառ;գործիք|երաժշտություն
🎹;երաժշտական ստեղնաշար;գործիք|դաշնամուր|երաժշտություն|ստեղնաշար
🎻;ջութակ;գործիք|երաժշտություն
🪕;բանջո;երաժշտություն|լարային
🥁;թմբուկ;երաժշտություն
🪘;կոնգա;թմբուկ|ռիթմ
🪇;մարակաս;գործիք|երաժշտություն|հարվածային|չխկչխկան|պերկուսիա
🪈;սրինգ;գործիք|երաժշտություն|փայտափողային|փողային|ֆլեյտա
🪉;տավիղ;գործիք|երաժշտություն|Կուպիդոն|նվագախումբ|սեր
📱;բջջային հեռախոս;բջջային|հեռախոս|շարժական
📲;բջջային հեռախոս սլաքով;բջջային|զանգել|հեռախոս|շարժական|սլաք
☎️;հեռախոս;
📞;հեռախոսի լսափող;լսափող|հեռախոս
📟;փեյջեր;
📠;ֆաքսի մեքենա;ֆաքս
🔋;մարտկոց;
🪫;լիցքաթափված մարտկոց;էլեկտրոնիկ|քիչ էներգիա
🔌;էլեկտրական խրոց;էլեկտրական|էլեկտրականություն|խրոց
💻;նոթբուք;անձնական|համակարգիչ
🖥️;սեղանի համակարգիչ;համակարգիչ|սեղան
🖨️;տպիչ;համակարգիչ
⌨️;ստեղնաշար;համակարգիչ
🖱️;համակարգչի մկնիկ;3|երեք|կոճակ|համակարգիչ|մկնիկ
🖲️;թրեքբոլ;համակարգիչ
💽;համակարգչային սկավառակ;համակարգիչ|սկավառակ|օպտիկական
💾;ճկուն սկավառակ;համակարգիչ|ճկուն|սկավառակ
💿;օպտիկական սկավառակ;blu-ray|cd|dvd|համակարգիչ|սկավառակ|օպտիկական
📀;DVD;blu-ray|cd|համակարգիչ|սկավառակ|օպտիկական
🧮;համրիչ;հաշվիչ
🎥;կինոխցիկ;խցիկ|կինո
🎞️;ժապավենի կադրեր;ժապավեն|կադր|կինո
📽️;ժապավենային պրոյեկտոր;ժապավեն|կինո|պրոյեկտոր|վիդեո|ֆիլմ
🎬;կինոդուբլների համարացույց;կինոդուբլ|ֆիլմ
📺;հեռուստացույց;tv|վիդեո
📷;ֆոտոապարատ;վիդեո
📸;ֆոտոապարատ լուսաթարթիչով;լուսաթարթիչ|վիդեո|ֆոտոապարատ
📹;տեսախցիկ;վիդեո
📼;տեսաերիզ;vcr|vhs|երիզ|հին|տեսա|տեսապարկուճ
🔍;ձախ ուղղված խոշորացույց;ապակի|գործիք|խոշորացնող|որոնել
🔎;աջ ուղղված խոշորացույց;ապակի|գործիք|խոշորացնող|որոնել
🕯️;մոմ;լույս
💡;էլեկտրական լամպ;գաղափար|էլեկտրական|լամպ|լույս|կոմիքս
🔦;գրպանի լապտեր;գործիք|էլեկտրական|լապտեր|լույս
🏮;թղթե կարմիր լապտեր;բար|լապտեր|լույս|կարմիր|ճապոնական
🪔;դիյա լամպ;դիյա|լամպ|յուղ
📔;ձևավոր կազմով տետր;գիրք|կազմ|ձևավորված|նոթատետր
📕;փակ գիրք;գիրք|փակված
📖;բաց գիրք;բացված|գիրք
📗;կանաչ գիրք;գիրք|կանաչ
📘;կապույտ գիրք;գիրք|կապույտ
📙;նարնջագույն գիրք;գիրք|նարնջագույն
📚;գրքեր;գիրք
📓;տետր;
📒;հաշվապահական մատյան;նոթատետր
📃;ոլորված էջ;էջ|ոլորված|փաստաթուղթ
📜;գալարաթուղթ;թուղթ
📄;էջ;փաստաթութղ
📰;լրագիր;թերթ|նորություններ
🗞️;կլորացրած լրագիր;թերթ|լրագիր|կլորացրած|նորություններ
📑;էջանիշ ներդիրներ;էջանիշ|ներդիր|նշել|նշիչ
🔖;էջանիշ;նշել
🏷️;պիտակ;
🪙;մետաղադրամ;արծաթ|գանձ|դրամ|մետալ|ոսկի
💰;փողի պարկ;դոլար|պարկ|փող
🪎;գանձատուփ;ավար|արժեքներ|արծաթ|թանկարժեք քար|թանկարժեք քարեր|հարստություն|մրցանակ|ոսկի|փող
💴;իեն թղթադրամ;բանկ|թղթադրամ|իեն|տարադրամ|փող
💵;դոլար թղթադրամ;բանկ|դոլար|թղթադրամ|տարադրամ|փող
💶;եվրո թղթադրամ;բանկ|եվրո|թղթադրամ|տարադրամ|փող
💷;ֆունտ թղթադրամ;բանկ|թղթադրամ|տարադրամ|փող|ֆունտ
💸;փող թևերով;բանկ|դոլար|թևեր|թղթադրամ|թռչել|փող
💳;պլաստիկ քարտ;բանկ|վարկ|փող|քարտ
🧾;անդորրագիր;ապացույց|հաշվապահություն|վկայություն
💹;աճող դիագրամ իենով;աճ|բանկ|բարձրանալ|գրաֆիկ|դիագրամ|իեն|միտում|շուկա|վերև|տարադրամ|փող
✉️;ծրար;էլփոտ|նամակ
📧;էլ․ նամակ;էլփոստ|նամակ|փոստ
📨;ստացվող ծրար;էլփոստ|ծրար|նամակ|ստանալ|ստացվող|փոստ
📩;ծրար սլաքով;էլփոստ|ծրար|նամակ|ներքև|ուղարկված|ուղարկվող|սլաք|փոստ
📤;ելքի արկղ;արկղ|դարակ|նամակ|ուղարկված|փոստ
📥;մուտքի արկղ;արկղ|դարակ|նամակ|ստանալ|փոստ
📦;ծանրոց;արկղ
📫;փակ փոստարկղ բարձրացված դրոշակով;փակ|փոստ|փոստատուփ|փոստարկղ
📪;փակ փոստարկղ իջեցված դրոշակով;իջեցված|փակ|փոստ|փոստատուփ|փոստարկղ
📬;բաց փոստարկղ բարձրացված դրոշակով;բաց|փոստ|փոստատուփ|փոստարկղ
📭;բաց փոստարկղ իջեցված դրոշակով;բաց|իջեցված|փոստ|փոստատուփ|փոստարկղ
📮;փոստատուփ;փոստ|փոստարկղ
🗳️;քվեատուփ քվեաթերթիկով;տուփ|քվեաթերթիկ
✏️;մատիտ;
✒️;սև գրչածայր;գրիչ|գրչածայր
🖋️;ինքնահոս գրիչ;գրիչ|ինքնահոս
🖊️;գրիչ;գնդիկավոր գրիչ
🖌️;վրձին;ներկել|նկարել
🖍️;յուղամատիտ;գունավոր մատիտ|մոմամատիտ
📝;հուշաթերթ;մատիտ
💼;պորտֆել;
📁;թղթապանակ;ֆայլ
📂;բաց թղթապանակ;բաց|թղթապանակ|ֆայլ
🗂️;քարտադարանի բաժանարարներ;բաժանարար|ինդեքս|քարտ
📅;օրացույց;ամսաթիվ
📆;պոկովի օրացույց;օրացույց
🗒️;պարուրավոր նոթատետր;գրքույկ|պարույր|տետր
🗓️;պարուրավոր օրացույց;գրքույկ|պարույր|օրացույց
📇;քարտադարան;ինդեքս|քարտ
📈;աճող գծապատկեր;աճ|գծապատկեր|միտում|վեր|տրամագի
📉;նվազող գծապատկեր;գծապատկեր|միտում|ներքև|տրամագիր
📊;գոտեձև գծապատկեր;գոտի|գրաֆիկ|դիագրամ
📋;սեղմատախտակ;սեղմակ|տախտակ
📌;քորոց;
📍;գնդասեղ;քորոց
📎;ամրակ;
🖇️;միացված ամրակներ;ամրակ|միացնել
📏;քանոն;ուղղանկյուն
📐;եռանկյունի քանոն;եռանկյունի|քանոն
✂️;մկրատ;գործիք
🗃️;քարտադարանի արկղ;արկղ|քարտ|ֆայլ
🗄️;պահարան;ֆայլ
🗑️;աղբաման;
🔒;կողպված;կողպեք|փակ
🔓;բաց կողպեք;ապակողպել|բաց|կողպեք
🔏;կողպեք ինքնահոսով;գաղտնիություն|գրիչ|գրչածայր|թանաք|կողպեք
🔐;փակ կողպեք բանալիով;ապահով|բնալի|կողպեք|փակ
🔑;բանալի;գաղտնաբառ|կողպեք
🗝️;հին բանալի;բանալի|կողպեք|հին
🔨;մուրճ;գործիք
🪓;կացին;կտրել|փայտ
⛏️;քլունգ;գործիք|հանք
⚒️;մուրճեր;գործիք|մուրճ
🛠️;մուրճ և պտուտակաբանալի;գործիք|մուրճ|պտուտակաբանալի
🗡️;դաշույն;դանակ|զենք
⚔️;խաչված սրեր;զենք|խաչված|սրեր
💣;ռումբ;կոմիքս
🪃;բումերանգ;ավստրալիա|հետևանքներ|վերադարձ
🏹;նետ ու աղեղ;աղեղ|աղեղնավոր|գործիք|զենք|նետ
🛡️;վահան;զենք
🪚;սղոց;ատաղձագործ|գործիք|փայտ
🔧;պտուտակաբանալի;գործիք
🪛;պտուտակիչ;գործիք|պտուտակ
🔩;մանեկ ու հեղույս;գործիք|հեղույս|մանեկ
⚙️;ատամնանիվ;գործիք
🗜️;մամլակ;մամլիչ
⚖️;նժարավոր կշեռք;արդարություն|գործիք|ծանրություն|կենդանակերպ|կշեռք|հավասարակշռություն
🦯;ձեռնափայտ;կույր|հաշմանդամ
🔗;օղակ;
⛓️‍💥;կոտրված շղթա;կապանքներ|կոտրվածք|կոտրվել|շղթա
⛓️;շղթաներ;շղթա
🪝;կեռ;բռնել|կարթ
🧰;գործիքների արկղ;արկղ|գործիք|վարպետ
🧲;մագնիս;ձգողություն|մագնիսային|պայտ
🪜;սանդուղք;աստիճան|բարձրանալ
🪏;թիակ;բահը|շերեփ|փոս|փորել
⚗️;թորիչ;գործիք|քիմիա
🧪;փորձանոթ;գիտություն|լաբորատորիա|փորձ|քիմիա|քիմիկոս
🧫;Պետրիի պնակ;բակտերիա|լաբորատորիա|կենսաբան|կենսաբանություն|կուլտուրա
🧬;դնթ;գենետիկա|էվոլյուցիա|կենսաբան|կենսաբանություն
🔬;մանրադիտակ;գործիք
🔭;հեռադիտակ;գործիք
📡;արբանյակային ալեհավաք;ալեհավաք|արբանյակ|ափսե
💉;ներարկիչ;ասեղ|բժիշկ|բժշկություն|գործիք|հիվանդ
🩸;արյան կաթիլ;արյան դոնոր|բժշկություն|դաշտան
💊;հաբ;բժիշկ|բժշկություն|հիվանդ
🩹;սպեղանի;
🩼;հենակ;հաշմանդամություն|ձեռնափայտ|վնասվածք
🩺;ստեթոսկոպ;բժիշկ|բժշկություն|սիրտ
🩻;ռենտգենյան ճառագայթներ;բժիշկ|բժշկական|կմախք|ոսկոր
🚪;դուռ;
🛗;վերելակ;ամբարձիչ|հատուկ կարիքներ|վերհան
🪞;հայելի;արտացոլություն|արտացոլում
🪟;պատուհան;թարմ|թափանցիկ|լուսամուտ|շրջանակ|տեսարան
🛏️;մահճակալ;հյուրանոց|քնել
🛋️;բազմոց և լամպ;բազմոց|լամպ|հյուրանոց
🪑;աթոռ;նստատեղ|նստել
🚽;զուգարանակոնք;զուգարան
🪠;վանտուզ;զուգարան|խցանում|ջրմուղ|սանհանգույց
🚿;ցնցուղ;ջուր
🛁;լոգարան;լոգասենյակ
🪤;մկան թակարդ;թալակ|թակարդ|ծուղակ|որոգայթ
🪒;ածելի;սափրիչ|սափրվել|սուր
🧴;լոսիոնի շիշ;լոսիոն|խոնավացնող|շամպուն
🧷;անվտանգ քորոց;անգլիական քորոց|տակդիր|փանկ ռոք
🧹;ավել;ավլում|կախարդ|մաքրում
🧺;զամբյուղ;գյուղատնտեսություն|լվացք|պիկնիկ
🧻;թղթի գլան;զուգարանի թուղթ|թղթե սրբիչ
🪣;դույլ;թիթեղաման
🧼;օճառ;լոգանք|մաքրություն|փրփուր
🫧;պղպջակներ;կեղտոտ|մաքուր|ստորջրյա|օճառ
🪥;ատամի խոզանակ;ատամներ|լոգասենյակ|լոգարան|խոզանակ|հիգիենա|մաքուր
🧽;սպունգ;ծակոտիներ|մաքրություն|ներծծում
🧯;կրակմարիչ;կրակ|հրդեհ|մարում
🛒;գնումների զամբյուղ;գնումներ|զամբյուղ|սայլակ
🚬;ծխել;գլանակ
⚰️;դագաղ;մահ
🪦;շիրմաքար;գերեզման|գերեզմանատուն|գերեզմանաքար|տապանաքար
⚱️;աճյունասափոր;հուղարկավորություն|մահ
🧿;աչքի ուլունք;աչքաուլունք|թալիսման|համայիլ|ուլունք
🪬;հնգմատ;համայիլ|ձեռքի|Մերի|Միրիամ|պաշտպանություն|Ֆաթիմա
🗿;մոաի;արձան|դեմք|մոայի
🪧;պաստառ;բողոք|հանրահավաք|ցույց
🪪;նույնացուցիչ քարտ;ID|անձի հաստատում|անվտանգություն|նույնականացում|նույնացուցիչ|վկայական
🏧;բանկոմատի նշան;atm|բանկ|բանկոմատ|գանձապահ
🚮;աղբամանի նշան;աղբ|աղբարկղ
🚰;խմելու ջուր;խմել|խմելու|ջուր
♿;անվասայլակի նշան;մատչելիություն|սայլակ|սայլակի նշան
🚹;տղամարդկանց զուգարան;wc|զուգարան|տղամարդ
🚺;կանանց զուգարան;wc|զուգարան|կին
🚻;ընդհանուր զուգարան;wc|զուգարան
🚼;նորածնի նշան;նորածին|փոխել
🚾;զուգարան;wc|ջուր
🛂;անձնագրային ստուգում;անձնագիր|անձնագրի ստուգում|ստուգում
🛃;մաքսատուն;մաքսային ծառայություն
🛄;ուղեբեռի վերաբերյալ բողոք;բողոք|ուղեբեռ|ուղեբեռի ստացում
🛅;մոռացված ուղեբեռ;բեռ|ուղեբեռ|պահարան
⚠️;զգուշացում;
🚸;անցնող երեխաներ;անցնող|երեխա|երթեւեկություն|հետիոտն
⛔;մուտք չկա;արգելված|երթևեկություն|մուտք|ոչ
🚫;արգելված է;արգելված|մուտք|ոչ
🚳;առանց հեծանիվների;արգելված|հեծանիվ|ոչ|փոխադրամիջոց
🚭;չծխել;արգելված|ծխել|ոչ
🚯;չաղտոտել;աղբ|արգելված|ոչ
🚱;ոչ խմելու ջուր;արգելված|խմել|խմելու|ոչ|ջուր
🚷;հետիոտնների մուտքն արգելված է;արգելված|հետիոտն|ոչ
📵;բջջային հեռախոսներն արգելվում են;արգելված|բջջային|հեռախոս|շարժական|ոչ
🔞;տասնութից ցածր արգելվում է;18|անչափահաս|արգելված|ոչ|տասնութ|տարիքային սահմանափակում
☢️;ռադիոակտիվ;նշան
☣️;կենսաբանական վտանգ;կենսաբանական վտանգի նշան
⬆️;վերև սլաք;գլխավոր|հյուսիս|ուղղություն|սլաք
↗️;վերև աջ սլաք;հյուսիս-արևելք|ուղղություն|սլաք
➡️;աջ սլաք;արևելք|գլխավոր|ուղղություն|սլաք
↘️;ներքև աջ սլաք;հարավ-արևելք|ուղղություն|սլաք
⬇️;ներքև սլաք;գլխավոր|հարավ|ներքև|ուղղություն|սլաք
↙️;ներքև ձախ սլաք;հարավ-արևմուտք|ուղղություն|սլաք
⬅️;ձախ սլաք;արևմուտք|գլխավոր|ուղղություն|սլաք
↖️;վերև ձախ սլաք;հյուսիս-արևմուտք|ուղղություն|սլաք
↕️;վերև-ներքև սլաք;սլաք
↔️;ձախ-աջ սլաք;աջ-ձախ սլաք|սլաք
↩️;աջ շրջադարձի սլաք;սլաք
↪️;ձախ շրջադարձի սլաք;սլաք
⤴️;ձախից վերև թեքվող սլաք;սլաք
⤵️;ձախից ներքև թեքվող սլաք;ներքև|սլաք
🔃;ժամասլաքի ուղղությամբ ուղղահայաց սլաքներ;ժամասլաքի ուղղությամբ|սլաք|վերաբեռնել
🔄;ժամասլաքին հակառակ ուղղությամբ սլաքներով կոճակ;ժամասլաքին հակառակ ուղղությամբ|հակառակ ուղղությամբ|սլաք
🔙;հետ գրությամբ սլաք;հետ|սլաք
🔚;ՎԵՐՋ սլաք;սլաք|վերջ
🔛;միացված է գրությամբ սլաք;միացված է|նշան|սլաք
🔜;շուտով գրությամբ սլաք;շուտով|սլաք
🔝;վերև գրությամբ սլաք;սլաք|վեր|վերև
🛐;աղոթատեղի;կրոն|պաշտամունք
⚛️;ատոմի նշան;աթեիստ|ատոմ
🕉️;օմ;կրոն|հնդիկ
✡️;դավթի աստղ;աստղ|դավիթ|կրոն|հրեա|հրեական
☸️;դհարմայի անիվ;անիվ|բուդդայական|դհարմա|կրոն
☯️;ին յան;դաո|դաոական|ին|կրոն|յան
✝️;լատինական խաչ;խաչ|կրոն|քրիստոնյա
☦️;ուղղափառ խաչ;խաչ|կրոն|քրիստոնյա
☪️;աստղ և մահիկ;իսլամ|կրոն|մուսուլման
☮️;խաղաղության նշան;խաղաղություն
🕎;մենորա;աշտանակ|կրոն|մոմակալ
🔯;կետիկով վեցթևանի աստղ;աստղ|բախտ
🪯;քանդա;
♈;Խոյ;կենդանակերպ
♉;Ցուլ;կենդանակերպ
♊;Երկվորյակներ;կենդանակերպ
♋;Խեցգետին;կենդանակերպ
♌;Առյուծ;կենդանակերպ
♍;Կույս;կենդանակերպ
♎;Կշեռք;արդարադատություն|կենդանակերպ|հավասարակշռություն
♏;Կարիճ;կենդանակերպ
♐;Աղեղնավոր;կենդանակերպ
♑;Այծեղջյուր;այծ|կենդանակերպ
♒;Ջրհոս;կենդանակերպ|կրող|ջուր
♓;Ձկներ;կենդանակերպ|ձուկ
⛎;Օձակիր;կենդանակերպ|կրող|օձ
🔀;խառնել կատարումները կոճակ;խաչված|սլաք
🔁;կրկնման կոճակ;անընդհատ կրկնել կոճակ|ժամասլաքի ուղղությամբ|կրկնել|սլաք
🔂;կրկնել մեկ անգամ կոճակ;ժամասլաքի ուղղությամբ|մեկ անգամ|սլաք
▶️;նվագարկել կոճակ;աջ|եռանկյուն|նվագարկել|սլաք
⏩;արագ առաջ կոճակ;առաջ|արագ|կրկնակի|սլաք
⏭️;հաջորդ կատարումը կոճակ;եռանկյուն|հաջորդ կատարումը|հաջորդ տեսարանը|սլաք
⏯️;նվագարկման կամ դադարի կոճակ;աջ|դադար|եռանկյուն|նվագարկել|սլաք
◀️;հետադարձման կոճակ;եռանկյուն|հետադարձել|ձախ|սլաք
⏪;արագ հետադարձել կոճակ;արագ հետադարձման կոճակ|արագ հետադարձում կոճակ|կրկնակի|հետադարձում|սլաք
⏮️;վերջին կատարումը կոճակ;եռանկյուն|նախորդ կատարումը|նախորդ տեսարանը|սլաք
🔼;վերև կոճակ;կարմիր|կոճակ|սլաք
⏫;արագ վերև կոճակ;կրկնակի|սլաք
🔽;ներքև կոճակ;կարմիր|կոճակ|ներքև|սլաք
⏬;արագ ներքև կոճակ;կրկնակի|ներքև|սլաք
⏸️;դադարի կոճակ;դադար|դադար կոճակ|կրկնակի|ձողեր|ուղղահայաց
⏹️;կանգ կոճակ;ստոպ|ստոպ կոճակ|քառակուսի
⏺️;ձայնագրման կոճակ;ձայնագրել|ձայնագրել կոճակ|շրջան
⏏️;հանելու կոճակ;դուրս հանել|դուրս հանել կոճակ
🎦;կինո;ժապավեն|կինոմատոգրաֆիա|տեսախցիկ|ֆիլմ
🔅;մթեցնելու կոճակ;թույլ|մթեցնել|մթեցնել կոճակ|պայծառություն
🔆;պայծառեցնելու կոճակ;պայծառ|պայծառություն
📶;անտենայի գծիկներ;ազդանշան|անտենա|բջջային|գծիկ|հեռախոս|շարժական
🛜;անլար;առցանց|ինտերնետ|կապ|ցանց
📳;թրթռազանգի ռեժիմ;բջջային|թրթռում|հեռախոս|շարժական|ռեժիմ
📴;բջջայինն անջատված է;անջատված|բջջային|հեռախոս|շարժական
♀️;կնոջ նշան;կին
♂️;տղամարդու նշան;տղամարդ
⚧️;տրանսգենդերի նշան;տրանսգենդեր
✖️;բազմապատկում;բազմապատկման նշան|նշան|չեղարկել
➕;գումարման նշան;+|թվաբանություն|մաթեմատիկա|նշան|պլյուս
➖;հանման նշան;-|−|թվաբանություն|մաթեմատիկա|մինուս|նշան
➗;բաժանում;÷|բաժանման նշան|թվաբանություն|մաթեմատիկա|նշան
🟰;հավասարության թանձր նշան;հավասարություն|մաթեմատիկա
♾️;անվերջություն;անսահման|անվերջ|մշտնջենական
‼️;կրկնակի բացականչական նշան;բացականչություն|կետադրություն|նշան
⁉️;բացականչական հարցական նշան;բացականչություն|կետադրություն|հարց|նշան
❓;հարցական նշան;?|կետադրություն|հարց|նշան
❔;սպիտակ հարցական նշան;կետադրություն|հարց|նշան|ուրվագծված
❕;սպիտակ բացականչական նշան;բացականչություն|կետադրություն|նշան|ուրվագծված
❗;բացականչական նշան;բացականչություն|կետադրություն|նշան
〰️;ալիքաձև գծիկ;ալիքաձև|գծիկ|կետադրություն
💱;տարադրամի փոխանակում;բանկ|տարադրամ|փոխանակում|փող
💲;դոլարի թավ նշան;դոլար|տարադրամ|փող
⚕️;բժշկության խորհրդանիշ;բժիշկ|բժշկություն
♻️;վերամշակման նշան;վերամշակել
⚜️;թագավորական շուշան;
🔱;եռաժանի խորհրդանշան;գործիք|եռաժանի|զինանշան|խարիսխ|նավ
📛;բեյջ;անուն
🔰;սկսնակ լինելու ճապոնական նշան;գործիք|դեղին|կանաչ|հեծանակ|ճապոնական|սկսնակ|տերև
⭕;կարմիր դատարկ շրջան;կարմիր|մեծ|շրջան|օղակ
✅;ստուգանշանի կոճակ;✓|թռչնիկ|կոճակ|նշան|ստուգանշան
☑️;նշված վանդակ;✓|թռչնիկ|նշավանդակ|վանդակ
✔️;ստուգանշան;✓|թռչնիկ
❌;խաչի նշան;բազմապատկում|խաչ|նշան|չեղարկել
❎;խաչի նշանով կոճակ;նշել|քառակուսի
➰;ոլորուն հանգույց;հանգույց|ոլորված
➿;կրկնակի ոլորուն հանգույց;կրկնակի|հանգույց|ոլորված
〽️;իորիտեն;մաս|նշել
✳️;ութ թևանի աստղանիշ;աստղանիշ
✴️;ութ թևանի աստղ;*|աստղ
❇️;կայծիկ;*
©️;հեղինակային իրավունք;
®️;գրանցված;
™️;ապրանքանիշ;նշան
🫟;ցայտ;բիծ|թափվել|հոլի|ներկ|ցփնել
*️⃣;ստեղն․ *;ստեղն
0️⃣;ստեղն․ 0;0|զրո|ստեղն
1️⃣;ստեղն․ 1;1|մեկ|ստեղն
2️⃣;ստեղն․ 2;2|երկու|ստեղն
3️⃣;ստեղն․ 3;3|երեք|ստեղն
4️⃣;ստեղն․ 4;4|չորս|ստեղն
5️⃣;ստեղն․ 5;5|հինգ|ստեղն
6️⃣;ստեղն․ 6;6|ստեղն|վեց
7️⃣;ստեղն․ 7;7|յոթ|ստեղն
8️⃣;ստեղն․ 8;8|ութ|ստեղն
9️⃣;ստեղն․ 9;9|ինը|ստեղն
🔟;ստեղն․ 10;ստեղն
🔠;լատինատառ մեծատառ ներածում;լատինական|մեծատառ|մուտքագրել|տառեր
🔡;լատինատառ փոքրատառ ներածում;abcd|լատինական|մուտքագրել|տառեր|փոքրատառ
🔢;թվերի ներածում;1234|թվեր|մուտքագրել
🔣;նշանների ներածում;մուտքագրել
🔤;լատինատառ ներածում;abc|այբուբեն|լատինական|մուտքագրել|տառեր
🅰️;էյ կոճակ;a|արյուն
🆎;էյ-բի կոճակ;ab|արյուն
🅱️;բի կոճակ;b|արյուն
🆑;սի-էլ;cl
🆒;ԶԻԼ բառը ուղղանկյունի մեջ;զիլ
🆓;ԱՆՎՃԱՐ բառը ուղղանկյունի մեջ;ազատ
ℹ️;տեղեկատու;i|տեղեկատվություն
🆔;այ-դի;id|ինքնություն
Ⓜ️;էմ տառը շրջանակի մեջ;m|շրջան
🆕;ՆՈՐ բառը ուղղանկյունի մեջ;նոր
🆖;էն-ջի;ng
🅾️;օ կոճակ;o|արյուն
🆗;օքեյ;ok
🅿️;փի կոճակ;կայանատեղի
🆘;սոս;sos|օգնել
🆙;ափ կոճակ;up|նշան|վեր
🆚;վի-էս;ընդդեմ|ԸՆԴԴԵՄ կոճակ
🈁;կատականա կոկո;ճապոնական|ճապոներեն
🈂️;կատականա սա;ճապոնական|ճապոներեն
🈷️;լուսին գաղափարագիր;ճապոնական|ճապոներեն
🈶;գոյ գաղափարագիր;ճապոնական|ճապոներեն
🈯;մատ գաղափարագիր;ճապոնական|ճապոներեն
🉐;առավելություն գաղափարագիր շրջանակի մեջ;ճապոնական|ճապոներեն
🈹;բաժանել գաղափարագիր;ճապոնական|ճապոներեն
🈚;ժխտում գաղափարագիր;ճապոնական|ճապոներեն
🈲;արգելել գաղափարագիր;ճապոնական|ճապոներեն
🉑;ընդունել գաղափարագիր շրջանակի մեջ;չինական|չինարեն
🈸;կիրառել գաղափարագիր;չինական|չինարեն
🈴;միասին գաղափարագիր;չինական|չինարեն
🈳;դատարկ գաղափարագիր;չինական|չինարեն
㊗️;շնորհավորել գաղափարագիր շրջանակի մեջ;գաղափարագիր|շնորհավորանք|չինական|չինարեն
㊙️;գաղտնի գաղափարագիր շրջանակի մեջ;գաղափարագիր|գաղտնիք|ճապոնական «գաղտնի» կոճակ|ճապոներեն
🈺;աշխատում է գաղափարագիր;չինական|չինարեն
🈵;լիություն գաղափարագիր;չինական|չինարեն
🔴;կարմիր շրջան;երկրաչափական|կարմիր|շրջան
🟠;նարնջագույն շրջան;նարնջագույն|շրջան
🟡;դեղին շրջան;դեղին|շրջան
🟢;կանաչ շրջան;կանաչ|շրջան
🔵;կապույտ շրջան;երկրաչափական|կապույտ|շրջան
🟣;մանուշակագույն շրջան;մանուշակագույն|շրջան
🟤;դարչնագույն շրջան;դարչնագույն|շրջան
