😀;दाँत दिखाता चेहरा;खीस|खुश|चेहरा|मजाकिया
✒️;काली निब;कलम|काली नोक|निब|नोक|पेन
🖋️;फ़ाउंटन पेन;कलम|पेन|फ़ाउंटन|स्याही पेन
🖊️;बॉलपेन;कलम|पेन|बॉल प्वाइंट
🖌️;पेंटब्रश;चित्रकारी|तूलिका|पेंटिंग
🖍️;क्रेयॉन;चित्रांकनी|मोम के रंग
📝;मेमो;पेंसिल|मीडिया|संचार|स्मृतिपत्र
💼;ब्रीफ़केस;कार्यालय|सूटकेस
📁;फ़ाइल फ़ोल्डर;फ़ाइल|फ़ोल्डर
📂;खुला फ़ाइल फ़ोल्डर;खुला|फ़ाइल|फ़ोल्डर
🗂️;कार्ड इंडेक्स डिवाइडर;अनुक्रम|कार्ड|विभाजक|सूची
📅;कैलेंडर;तारीख|तारीख़|तिथि|दिनांक
📆;फ़ाड़ने वाला कैलेंडर;कैलेंडर
🗒️;स्पाइरल नोटपैड;नोट|पैड
🗓️;स्पाइरल कैलेंडर;कैलेंडर|पैड|स्पाइरल
📇;कार्ड इंडेक्स;इंडेक्स|रोलोडेक्स|सूची
📈;बढ़ते रुझान वाला चार्ट;ग्राफ़|चार्ट|बढ़ता रुझान|बढ़ता हुआ
📉;घटते रुझान वाला चार्ट;ग्राफ़|घटता रुझान|घटता हुआ|चार्ट
📊;बार चार्ट;ग्राफ़|चार्ट|बार ग्राफ़|लेखाचित्र
📋;क्लिपबोर्ड;टिप्पणियाँ
📌;पुशपिन;नक़्शे की पिन|पिन
📍;गोल पुशपिन;पिन|पुशपिन|मानचित्र|स्थान
📎;पेपरक्लिप;क्लिप
🖇️;लिंक किए गए पेपरक्लिप;पेपरक्लिप|लिंक
📏;स्ट्रेट रूलर;कोण|गणित|पैमाना|मापक|सीधा रूलर
📐;त्रिकोणीय रूलर;कोण|गणित|गुनिया|तिकोना रूलर|त्रिकोण|पैमाना
✂️;कैंची;काटना|टूल
🗃️;कार्ड फ़ाइल बॉक्स;कार्ड|डिब्बा|पेटी|फ़ाइल|बॉक्स
🗄️;फ़ाइल कैबिनेट;कैबिनेट|फ़ाइल|संदूक
🗑️;कचरा पेटी;कचरे की टोकरी|रद्दी की टोकरी
🔒;बंद ताला;ताला|बंद
🔓;खुला ताला;खुला|ताला
🔏;फाउंटेन पेन के साथ ताला;गोपनीयता|ताला|स्याही|स्याही की पेन के साथ ताला|स्याही वाली पेन|स्याही वाले पेन के साथ ताला
🔐;चाबी के साथ बंद ताला;चाबी|चाबी के साथ ताला|ताला|बंद|सुरक्षा|सुरक्षित
🔑;चाबी;ताला|पासवर्ड
🗝️;पुरानी चाबी;चाबी|ताला|पुराना|संकेत
🔨;हथौड़ा;औज़ार
🪓;कुल्हाड़ी;औज़ार|काटना|लकड़ी
⛏️;कुदाली;कुल्हाड़ी|खनन|खनन टूल
⚒️;हथौड़ा और कुल्हाड़ी;टूल
🛠️;हथौड़ा और पाना;उपकरण|टूल|रैंच
🗡️;कटार;छुरी|हथियार
⚔️;क्रॉस बनाती तलवारें;तलवारें|हथियार
💣;बम;कॉमिक|खतरनाक|भावना|विस्फोट
🪃;बूमरैंग;प्रतिप्रभाव|बाउंस बैक|रिटर्न|रिवर्स|रीबाउंड|हथियार
🏹;तीर और कमान;टूल|तीर|तीरंदाजी|धनु|धनुष|बाण|राशि
🛡️;ढाल;हथियार
🪚;बढ़ई की आरी;आरी|औजार|कटर|काट-छाँट|काटाना|काठ की लकड़ी|ट्रिम|बढ़ई
🔧;पाना;उपकरण|औज़ार|रेंच|रैंच
🪛;स्क्रूड्राइवर;औजार|टूल|पेचकस|स्क्रू
🔩;नट और बोल्ट;औज़ार|नट|पेंच|बोल्ट
⚙️;गियर;उपकरण|टूल
🗜️;क्लैंप;उपकरण|कंप्रेस|क्लंप|टूल|दबाना
⚖️;तराजू;तुला|न्याय|राशि|संतुलन
🦯;नेत्रहीन की छड़ी;अंधा|अंधी|छड़ी|दिव्यांग की छड़ी|नेत्रहीन|लाठी|सहायता
🔗;कड़ी;लिंक|शृंखला
⛓️‍💥;टूटी हुई ज़ंजीर;आज़ादी|कड़ी|ज़ंजीर|टूटना|तोड़ना
⛓️;ज़ंजीर;शृंखला|सांकल
🪝;हुक;काँटा|कुंडा|क्रुक|पकड़ना|फँसाना|मोड़ना|वक्र|सेलिंग पॉइंट
🧰;टूलबॉक्स;उपकरण|औज़ार|कारीगर|टूल|टूल बॉक्स|डिब्बा|बैग|मकेनिक|मकैनिक|हथौड़ा
🧲;चुंबक;आकर्षक|आकर्षण|घोड़े की नाल|चुंबकीय|मैगनेट
🪜;सीढ़ी;चढ़ना|चढ़ाव|ज़ीना|स्टेप्स
🪏;फावड़ा;कुदाल|खोदना|छेद|दफ़नाना|पौधा|बगीचा|बर्फ़|स्कूप
⚗️;रासायनिक उपकरण;उपकरण|टूल|रसायन
🧪;टेस्ट ट्यूब;कैमिस्ट्री|टयूब|टेस्ट|प्रयोग|प्रयोगशाला|रसायनज्ञ|रसायनशास्त्र|लैब|विज्ञान|साइन्स|साइंस|स्कूल
🧫;पेट्री डिश;कल्चर|किटाणु|कीटाणु|जीवविज्ञान|जीवविज्ञानी|जीवाणु|प्रयोगशाला|बायो|बैकटीरिया|बैक्टीरिया|लैब|विज्ञान|साइन्स|साइंस
🧬;डीएनए;आनुवंशिक विज्ञान|जीवन|जीवविज्ञानी|डी.एन.ए|फैल|फैलना|बायोलॉजिस्ट|लाइफ़|वंशाणु|विकास
🔬;माइक्रोस्कोप;उपकरण|प्रयोग|विज्ञान
🔭;दूरबीन;उपकरण|टेलिस्कोप|विज्ञान
📡;सैटेलाइट एंटेना;उपग्रह|डिश|सैटेलाइट डिश
💉;सिरींज, सूई;डॉक्टर|दवाई|बीमार|मरीज़|सिरिंज|सिरींज|सुई|सूई
🩸;ख़ून की बूँद;खून|ख़ून|चिकित्सा|पीरियड|मासिक धर्म|रक्त|रक्तदान
💊;गोली;डॉक्टर|दवाई
🩹;चिपकाने वाली पट्‍टी;पट्टी|बैंड एड|बैंडेज
🩼;बैसाखी;क्रच|घायल|चलने फिरने में सहायक|चोट|छड़ी|बेंत|मदद|विकलांगता
🩺;स्टेथोस्कोप;चिकित्सा|डॉक्टर|दवा|ब्लड प्रेशर|रक्तचाप
🩻;एक्स-रे;एक्सरे|कंकाल|चिकित्सा|डॉक्टर|हड्डियाँ|हड्डियां
🚪;दरवाज़ा;दरवाजा|द्वार
🛗;एलिवेटर;लिफ़्ट|सुलभता
🪞;आईना;दर्पण|परछाईं|परावर्तक|प्रतिबिंब|मेकअप|शीशा
🪟;खिड़की;काँच|खोलना|ताज़ी हवा|दृश्य|पारदर्शी|फ़्रेम|विंडो
🛏️;बिस्तर;होटल
🛋️;सोफ़ा और लैंप;लैंप|सोफ़ा|होटल
🪑;कुर्सी;चेयर|फ़र्निचर
🚽;शौचालय;गुसलखाना
🪠;पिस्टन;क्लीनर|खिंचाव|टॉयलेट|नलसाज़|फ़ोर्स कप|वॉल्व|सक्शन
🚿;स्नान;पानी
🛁;बाथ टब;बाथटब|स्नान
🪤;चूहेदानी;चारा|चाल|चालाकी|जाल|पिंजरा|प्रलोभन|फंदा|फँसाना|लालच|लुभाना
🪒;उस्तरा;छुरा|छुरी|दाढ़ी बनाना|ब्लेड|रेज़र|शेव|शेविंग
🧴;लोशन की बोतल;क्रीम|धोना|नमी|बाल धोना|बोतल|मॉइश्चरॉइज़र|लोशन|शैंपू|शैम्पू|सन स्क्रीन|सनस्क्रीन
🧷;सेफ़्टी पिन;डायपर|पंक रॉक|पिन|सेफ़टी पिन
🧹;झाड़ू;चुडैल|जादू|जादूगरनी|झाडू|झाडू निकालना|डर|भूत|भूतनी|सफ़ाई|सफ़ाई करना|साफ़
🧺;बास्केट;कपड़े धोने|किसानी|खेती|टोकरी|थैला|थैली|पिकनिक|बास्किट|लॉन्ड्री|सामान
🧻;पेपर का रोल;कागज़|टॉयलेट|तौलिया|पेपर|पेपर टावल|पेपर टॉवेल|पेपर रोल
🪣;बाल्टी;कंटेनर|टंकी|टब|डोल|पानी|पीपा|पॉट|बकेट
🧼;साबुन;गुलाबी|झाग|टिकिया|नहा|नहाओ|नहाता|नहाना|पिंक|बार|सफाई|सफ़ाई|सफ़ाई करना|साफ|साफ़|साबुन का झाग|सोपडिश
🫧;बुलबुले;डकार|तैरता हुआ|पर्ल|पानी के नीचे|बुलबुला|मोती|साफ़|साबुन
🪥;टूथब्रश;डेंटल|दाँत|बाथरूम|ब्रश|सफ़ाई|हाइजीन
🧽;स्पंज;छिद्रयुक्त|धोना|पानी|बर्तन धोना|सफ़ाई|साफ़|सोक|सोकना|सोख|सोखना
🧯;अग्निशामक;अग्नि|अग्नि शामक|अग्निशमन|आग|आग बुझा|बुझ|बुझाना
🛒;शॉपिंग कार्ट;कार्ट|खरीदारी|ख़रीदारी|ट्राली
🚬;धूम्रपान;धूम्रपान का चिह्न|सिगरेट
⚰️;ताबूत;मृत्यु
🪦;हेडस्टोन;अंतिम संस्कार|ओम शांति|कब्र|कब्रिस्तान|दफ़नाना|मौत|शमशान|शहीद|समाधि|समाधि का पत्थर|समाधि-क्षेत्र|समाधिस्थल|स्मारक
⚱️;अस्थि कलश;अंतिम संस्कार|दाह-संस्कार|मृत्यु|राख
🧿;नज़र तावीज़;एविल-आई|घर|चार्म|जादू|ताबीज|ताबीज़|तावीज़|नज़र|नज़र उतारना|नीला|बच|बचाता|बचाना|बीड|मोती
🪬;हम्सा;किस्मत|गाइड|ताबीज|ताबीज़|फातिमा|मरियम|मैरी|सुरक्षा|हथेली|हाथ
🗿;मोए;चेहरा|मूर्ति|मोयाई|यात्रा
🪧;घोषणा पत्र;एड्रेस|घोषणा|घोषणापत्र|जुलूस|तख़्ती|नोटिस|नोटिस बोर्ड|पता|पिकिट|पोस्टर|प्रोटेस्ट|साइन बोर्ड|सूचना|हस्ताक्षर
🪪;पहचान पत्र;I.D.|ID|आइडेंटिफ़िकेशन|आईडी|कार्ड|डॉक्यूमेंट|परिचय पत्र|लाइसेंस|सुरक्षा
🏧;ATM का चिह्न;एटीएम|ऑटोमैटेड टेलर|टेलर|स्वचालित
🚮;पेटी में कचरा डालने का चिह्न;कचरा|कचरा पेटी|कूड़ा|कूड़ादान|पेटी में कचरा डालें
🚰;पीने का पानी;पीने के पानी का चिह्न|पेयजल
♿;ह्वीलचेयर का प्रतीक;ऐक्सेस|व्हीलचेयर|व्हीलचेयर का प्रतीक
🚹;पुरुष कक्ष;चिह्न|पुरुष|पुरुष का चिह्न|पुरुष का प्रतीक|शौचालय
🚺;महिला कक्ष;चिह्न|महिला|महिला का चिह्न|महिला का प्रतीक|शौचालय
🚻;सुविधाघर;टॉयलेट|बाथरूम|शौचालय|सुविधाघर का चिह्न
🚼;गाड़ी में शिशु है;बच्चे का चिह्न|बच्चे के कपड़े बदलने का स्थान|शिशु
🚾;वॉटर क्लोसेट;WC|पानी|लावाटोरी|शौचालय|सुविधाघर
🛂;पासपोर्ट नियंत्रण;नियंत्रण|पासपोर्ट
🛃;कस्टम;पैकिंग|सीमा शुल्क
🛄;सामान वापसी;दावा|पहुंचना|बैगेज|सामान
🛅;छूटा सामान;बैग|सामान|सामान सेवा
⚠️;चेतावनी;चेतावनी का चिह्न|सावधान
🚸;बच्चे निकल रहे हैं;चिह्न|पैदल यात्री|बच्चे|यातायात|सड़क पार करना
⛔;प्रवेश निषेध;नहीं|निषिद्ध|प्रवेश|प्रवेश निषेध चिह्न
🚫;निषिद्ध;प्रवेश|मनाही
🚳;साइकल नहीं;निषिद्ध|बाइक|बाइक निषेध|बाईसिकिल|साइकिल की अनुमति नहीं|साइकिल नहीं|साइकिल निषेध
🚭;धूम्रपान निषेध;चिह्न|धूम्रपान निषेध का चिह्न|निषिद्ध
🚯;गंदगी न फैलाएँ;कूड़ा|गंदगी न करें|गंदगी न करें का चिह्न|गंदगी नहीं|चिह्न
🚱;पानी पीने योग्य नहीं;पानी|पीने अयोग्य|पीने लायक नहीं
🚷;पदयात्री निषेध, पैदल चलने की अनुमति नहीं;चिह्न|निषिद्ध|पदयात्री|पदयात्री निषेध|पैदल|पैदल चलने की अनुमति नहीं
📵;मोबाइल फ़ोन वर्जित है;निषेध|फ़ोन|फ़ोन पर बात करना मना है|फ़ोन मना है|मोबाइल|यहाँ फ़ोन पर बात न करें|सेल|सेल फ़ोन निषिद्ध
🔞;18 से कम प्रतिबंधित;18|18 वर्ष से छोटे निषिद्ध|उम्र प्रतिबंध|उम्र से कम|निषेध
☢️;रेडियो सक्रिय;पंखा|रेडियो|रेडियो एक्टिव
☣️;जैवसंकट;बायोहाज़र्ड|संकेत
⬆️;उर्ध्वमुखी तीर;उत्तर|ऊपर तीर|कार्डिनल|तीर|दिशा
↗️;ऊपर-दायाँ तीर;इंटरकार्डिनल|उत्तर-पूर्व दिशा|उत्तरपूर्व दिशा|दिशा
➡️;दायाँ तीर;कार्डिनल|तीर|दिशा|पूर्व दिशा
↘️;नीचे-दायाँ तीर;इंटरकार्डिनल|दक्षिण-पूर्व दिशा|दक्षिणपूर्व|दिशा|नीचे-दायां तीर
⬇️;नीचे तीर;कार्डिनल|दक्षिण|दिशा|नीचे
↙️;नीचे-बायाँ तीर;इंटरकार्डिनल|दक्षिण-पश्चिम दिशा|दक्षिणपश्चिम|दिशा|नीचे-बायां तीर
⬅️;बायाँ तीर;कार्डिनल|तीर|दिशा|पश्चिम|बायां तीर
↖️;ऊपर-बायाँ तीर;इंटरकार्डिनल|उत्तर पश्चिम|उत्तर-पश्चिम दिशा|ऊपर-बायां तीर|दिशा
↕️;ऊपर-नीचे तीर;तीर
↔️;बाएँ-दाएँ तीर;तीर
↩️;बाईं ओर मुड़ा दायाँ तीर;तीर|बाईं ओर मुड़ने वाला दायां तीर
↪️;दाईं ओर मुड़ा बायाँ तीर;तीर|दाईं ओर मुड़ने वाला बायां तीर
⤴️;ऊपर की ओर मुड़ा दायाँ तीर;तीर|दाहिने तीर ऊपर की तरफ
⤵️;नीचे की ओर मुड़ा दायाँ तीर;तीर|दाहिने तीर नीचे की तरफ|निचे
🔃;घड़ी की दिशा में लंबवत तीर;तीर|दक्षिणावर्त|पुनः लोड करें|रिलोड
🔄;घड़ी की उल्टी दिशा में तीर;घड़ी की विपरीत दिशा में तीर|तीर|वामावर्त
🔙;वापस तीर;तीर|बाएँ तीर के साथ वापस|बायाँ तीर|वापस
🔚;END के साथ तीर;तीर|बाएँ तीर के साथ समाप्ति|बायाँ तीर|समाप्ति
🔛;on! तीर;चालू|चिह्न|तीर|निशान
🔜;SOON तीर;जल्दी|जल्दी चिह्न|तीर
🔝;TOP तीर;ऊपर|ऊपर तीर|ऊपर तीर के साथ शीर्ष|शीर्ष|शीर्ष चिह्न
🛐;पूजा स्थल;आराधना स्थल|धर्म|पूजा|प्रार्थना
⚛️;अणु चिह्न;अणु|नास्तिक
🕉️;ॐ;ओम|धर्म|हिंदू
✡️;यहूदी धर्म का चिह्न;डेविड|तारा|धर्म|यहूदी
☸️;धर्म चक्र;चक्र|धर्म|बौद्ध
☯️;यिंग यांग;ताओ|ताओवादी|धर्म|यांग|यिंग
✝️;लैटिन क्रॉस;ईसाई|धर्म
☦️;ऑर्थडॉक्स क्रॉस;ईसाई|क्रॉस|धर्म
☪️;चाँद और तारा;इस्लाम|चांद और तारा|धर्म
☮️;शांति का प्रतीक;शांति
🕎;मेनोरा;दीपाधार|धर्म|मोमबत्ती|यहूदी
🔯;छह मुखी तारा, भविष्य;छह मुखी तारा|छह सिरे|तारा|भविष्य|भविष्य बताना
🪯;खंडा;खालसा|धर्म|सिख
♈;मेष;राशि|राशिफल
♉;वृषभ;राशि|राशिफल
♊;मिथुन;राशि|राशिफल
♋;कर्क;राशि|राशिफल
♌;सिंह;राशि|राशिफल
♍;कन्या;राशि|राशिफल
♎;तुला;राशि|राशिफल
♏;वृश्चिक;राशि|राशिफल
♐;धनु;राशि
♑;मकर;राशि|राशिफल
♒;कुंभ;राशि|राशिफल
♓;मीन, राशि;मीन|राशि|राशिफल
⛎;सर्प;राशि|राशिफल
🔀;शफ़ल ट्रैक बटन;क्रॉस|तीर|पार|बटन
🔁;घड़ी की दिशा में तीर;तीर|दक्षिणावर्त
🔂;एक बार दोहराएँ बटन;1 अंक के साथ घड़ी की दिशा में तीर|अंक 1|घड़ी की दिशा में तीर|तीर|दक्षिणावर्त
▶️;प्ले बटन;चलाएं बटन|त्रिकोण|त्रिभुज|दाहिना
⏩;फ़ास्ट फ़ॉर्वर्ड बटन;तीर|तेज़|दायाँ|दोहरा दायाँ तीर|फास्ट फॉरवर्ड बटन|फ़ास्ट फ़ॉर्वर्ड|फ़ॉरवर्ड
⏭️;अगला ट्रैक बटन;अगला ट्रैक|अगला दृश्य|अगले दृश्य|तीर|त्रिकोण|त्रिभुज
⏯️;प्ले और पॉज़ बटन;चलाएँ|चलाएं|तीर|त्रिकोण|पॉज़|प्ले|प्ले या पॉज़ बटन|रोकें
◀️;पीछे जाएँ बटन;तीर|त्रिकोण|त्रिभुज|पीछे जाएँ|बाईं|बाई ओर|बाएँ|बायाँ|रिवर्स|वापस जाएँ
⏪;फ़ास्ट रिवर्स बटन;तीर|दोहरा|रिवाइंड|रीवाइंड
⏮️;पिछला ट्रैक बटन;तीर|त्रिकोण|दोहरा रीवाइंड तीर|पिछला ट्रैक|पिछला दृश्य|रीवाइंड
🔼;ऊपर त्रिभुज बटन;ऊपर त्रिभुज|ऊपर बटन|त्रिभुज|बटन
⏫;तेज़ ऊपर बटन;ऊपर|तीर|दोहरा
🔽;नीचे त्रिभुज बटन;त्रिभुज|नीचे त्रिभुज|नीचे बटन|बटन
⏬;फ़ास्ट डाउन बटन;तीर|दोहरा नीचे तीर|नीचे
⏸️;पॉज़ बटन;दोहरा|बार|रोकें|रोकें बटन|लंबवत|स्थिर बटन
⏹️;रोकें बटन;रोकें|वर्ग
⏺️;रिकॉर्ड बटन;रिकॉर्ड|वृत्त
⏏️;इजेक्ट बटन;निकालें|निकालें बटन
🎦;सिनेमा;कैमरा|फिल्म|फ़िल्म|मनोरंजन|मूवी|मूवी का चिह्न
🔅;मंद चमक;कम|कम चमक का चिह्न|चमक|मंद
🔆;अधिक चमक;अधिक चमक का चिह्न|चमक|चमकदार
📶;एंटेना संकेत;एंटीना|फ़ोन|बार के साथ एंटेना|मोबाइल|संकेत|संकेत प्रबलता|संचार|सिग्नल
🛜;वायरलेस;इंटरनेट|कंप्यूटर|नेटवर्क|वाई-फ़ाई|हॉटस्पॉट
📳;वाइब्रेशन मोड;कंपन मोड|फ़ोन|मोड|मोबाइल|वाइब्रेशन|सेल फ़ोन
📴;मोबाइल फ़ोन बंद;फ़ोन|बंद|मोबाइल|सेल फ़ोन|सेल फ़ोन बंद
♀️;मादा चिह्न;औरत
♂️;नर चिह्न;आदमी|पुरुष
⚧️;ट्रांसजेंडर चिह्न;ट्रांसजेंडर
✖️;गुणा;x|गुणन|बड़ा क्रॉस चिह्न
➕;धन चिह्न;+|गणित|चिह्न|धन|भारी प्लस चिह्न
➖;ऋण;-|−|गणित|चिह्न
➗;भाग;÷|गणित|चिह्न|विभाजन
🟰;मोटा बराबर चिह्न;एक जैसा|गणित|जवाब|बराबर|बराबरी|समानता
♾️;अनंत;अपार|सार्वभौमिक|हमेशा
‼️;दोहरा विस्मयादिबोधक चिह्न;चिह्न|चिह्न विचार|विस्मयादिबोधक
⁉️;विस्मयादिबोधक प्रश्न चिह्न;चिह्न|चिह्न विचार|प्रश्न|विराम चिह्न|विस्मयादिबोधक
❓;प्रश्न चिह्न;?|चिह्न|चिह्न विचार|प्रश्न|लाल प्रश्न चिह्न
❔;सफ़ेद प्रश्न चिह्न;चिह्न|चिह्न विचार|प्रश्न
❕;सफ़ेद विस्मयादिबोधक चिह्न;!|चिह्न|विस्मयादि बोधक|विस्मयादिबोधक|सफ़ेद विस्मयादिबोधक
❗;लाल विस्मयादिबोधक चिह्न;चिह्न|चिह्न विचार|विराम चिह्न|विस्मयादिबोधक
〰️;लहरिल डैश;चिह्न विचार|डैश|लहराती|लहरिल
💱;मुद्रा विनिमय;धन|पैसे|मुद्रा|विनिमय
💲;डॉलर का चिह्न;गहरा डॉलर चिह्न|डॉलर|पैसे
⚕️;चिकित्सा प्रतीक;कर्मचारी|चिकित्सा
♻️;पुनर्चक्रीकरण प्रतीक, रीसाइक्लिंग, वैश्विक, चिह्न;चिह्न|ठोस वैश्विक पुनर्चक्रीकरण प्रतीक|पुनरावृत्ति|पुनर्चक्रीकरण प्रतीक|रीसाइक्लिंग|वैश्विक
⚜️;कुमुदिनी का फूल;शूरवीर
🔱;त्रिशूल का चिह्न;एंकर|त्रिशूल|प्रतीक
📛;नाम बैज, बैज;नाम|बिल्ला|बैज
🔰;हरी और पीली पत्ती, शुरुआतकर्ता के लिए जापानी चिह्न;पत्ती|शुरुआतकर्ता के लिए जापानी चिह्न|हरा और पीला|हरी और पीली पत्ती
⭕;बड़ा लाल छल्ला;गोला|वृत्त
✅;सफेद चेक मार्क, सही का चिह्न;चेक|चेक मार्क|पूरा|पूर्ण|बड़ा चेक मार्क|सफेद चेक मार्क|सही का चिह्न
☑️;चेक के साथ मतपत्र, मतपत्र;चेक के साथ मतपत्र|बॉक्स|मतपत्र
✔️;बड़ा चेक मार्क;चेक|चेकमार्क|मार्क
❌;क्रॉस चिह्न;x|गुणन|गुणा
❎;क्रॉस चिह्न बटन;गुणन|गुणा|चिह्न|वर्ग
➰;लहरदार फंदा;मोड़|लूप
➿;दोहरा कर्ली लूप;दोहरा|दोहरा लहरदार फंदा|लहरदार फंदा|लूप
〽️;भाग परिवर्तन चिह्न;एक भाग|चिह्न|निशान
✳️;आठ सिरों वाला तारक चिह्न;चिह्न|तारांकन|तारे का चिहन
✴️;आठ किनारों वाला तारा;चिह्न|तारा
❇️;जगमगाहट;चिंगारी|चिह्न|तमतमाना
©️;कॉपीराइट;कॉपीराइट चिह्न
®️;पंजीकृत चिह्न;पंजीकरण|पंजीकृत|रजिस्टर|रजिस्टरी|रजिस्टरेशन|रजिस्टर्ड
™️;ट्रेड मार्क चिह्न;चिह्न|ट्रेडमार्क|व्यापार चिह्न
🫟;छींटे;गंदगी|छलकना|टपकना|तरल|दाग|रंग|स्याही|होली
*️⃣;कीकैप: *;कीकैप
0️⃣;कीकैप: 0;0|कीकैप|शून्य
1️⃣;कीकैप: 1;1|एक|कीकैप
2️⃣;कीकैप: 2;2|कीकैप|दो
3️⃣;कीकैप: 3;3|कीकैप|तीन
4️⃣;कीकैप: 4;4|कीकैप|चार
5️⃣;कीकैप: 5;5|कीकैप|पाँच
6️⃣;कीकैप: 6;6|कीकैप|छह
7️⃣;कीकैप: 7;7|कीकैप|सात
8️⃣;कीकैप: 8;8|आठ|कीकैप
9️⃣;कीकैप: 9;9|कीकैप|नौ
🔟;कीकैप: 10;कीकैप
🔠;इनपुट लैटिन अपरकेस;अपरकेस|बड़े अक्षर|लैटिन
🔡;इनपुट लैटिन लोअरकेस अक्षर;अक्षर|इनपुट|छोटे अक्षर|लैटिन|लोअरकेस
🔢;अंक डालें;1234|इनपुट|नंबर|संख्याएँ|संख्याएं
🔣;इनपुट चिह्न;〒♪&%|इनपुट|इनपुट प्रतीक|चिह्न
🔤;इनपुट लैटिन अक्षर;abc|अक्षर|इनपुट|लैटिन|वर्णमाला
🅰️;A बटन (खून का प्रकार);ए|खून|प्रकार ए|बटन|रक्त प्रकार|रक्त प्रकार ए
🆎;AB बटन (खून का प्रकार);AB|एबी|एबी बटन|खून|प्रकार एबी|रक्त प्रकार|रक्त प्रकार एबी
🅱️;B बटन (रक्त प्रकार);B|खून|प्रकार बी|बी|बी बटन|रक्त प्रकार|रक्त प्रकार बी
🆑;साफ़, क्लीयर, साफ़ चिह्न, CL;CL|क्लीयर|साफ़|साफ़ चिह्न
🆒;ठंडा, ठंडा चिह्न;ठंडा|ठंडा चिह्न
🆓;निशुल्क चिह्न, शुल्क मुक्त;चिह्न|निशुल्क|शुल्क मुक्त
ℹ️;सूचना;i|अक्षर आई|आई|जानकारी
🆔;आईडी चिह्न, पहचान;आईडी|चिह्न|पहचान
Ⓜ️;वृत्त के भीतर M;m|म|वृत्त
🆕;चौकोर में नया चिह्न;NEW बटन|चिह्न|नया
🆖;चौकोर में ठीक नहीं चिह्न;चिह्न|ठीक नहीं|ठीक नहीं चिह्न
🅾️;O बटन (खून का प्रकार);ओ|खून|चौकोर में ओ बटन|प्रकार ओ|रक्त प्रकार|रक्त प्रकार ओ
🆗;ठीक बटन;चौकोर में ठीक चिह्न|ठीक|ठीक चिह्न
🅿️;चौकोर में पी बटन, पार्किंग;चौकोर में पी बटन|पार्किंग|पार्किंग लॉट|बटन
🆘;चौकोर में SOS चिह्न;SOS|चिह्न|बचाओ|मदद|सहायता
🆙;चौकोर में नई जानकारी, अपडेट चिह्न;अप|अप!|अपडेट|चिह्न|चौकोर में नई जानकारी|नई जानकारी
🆚;चौकोर में विरुद्ध चिह्न;चिह्न|बनाम|विरुद्ध
🈁;चौकोर में यहां के लिए जापानी चिह्न;इधर|कोको|चौकोर में यहां का जापानी चिह्न|यहाँ|यहाँ के लिए जापानी बटन
🈂️;जापानी सर्विस चार्ज बटन;जापानी|जापानी "सर्विस चार्ज" बटन|बटन|सर्विस चार्ज
🈷️;जापानी “मासिक शुल्क” बटन;“मासिक शुल्क”|जापानी|मासिक राशि|月
🈶;जापानी “मुफ़्त नहीं” बटन;“मुफ़्त नहीं”|जापानी|नि:शुल्क नहीं|有
🈯;जापानी “आरक्षित” बटन;“आरक्षित”|जापानी|जापानी "आरक्षित" बटन|指
🉐;जापानी “तोल-मोल” बटन;“तोल-मोल”|जापानी|मोल तोल|得
🈹;जापानी “छूट” बटन;“छूट”|छूट|जापानी|割
🈚;जापानी “मुफ़्त” बटन;“मुफ़्त”|जापानी|जापानी "नि: शुल्क" बटन|निःशुल्क
🈲;जापानी “निषेध” बटन;“निषेध”|जापानी|जापानी "निषिद्ध" बटन|निषिद्ध|禁
🉑;जापानी “स्वीकार्य” बटन;“स्वीकार्य”|जापानी|स्वीकृति
🈸;जापानी “ऐप्लिकेशन” बटन;“ऐप्लिकेशन”|आवेदन|जापानी|申
🈴;जापानी “पासिंग ग्रेड” बटन;“पासिंग ग्रेड”|जापानी|जापानी "पासिंग ग्रेड" बटन|पास होने योग्य|合
🈳;जापानी “नौकरी उपलब्ध है” बटन;“नौकरी उपलब्ध”|जापानी|जापानी "रिक्ति" बटन|空
㊗️;जापानी “बधाई” बटन;“बधाई”|जापानी|बधाई|祝
㊙️;जापानी “गुप्त” बटन;“गुप्त”|जापानी|जापानी "गुप्त" बटन|秘
🈺;जापानी “व्यापार के लिए खुला” बटन;“व्यापार के लिए खुला”|जापानी|व्यवसाय के लिए खुला|営
🈵;जापानी “कोई नौकरी नहीं” बटन;“कोई नौकरी नहीं”|जापानी|जापानी "कोई रिक्त नहीं" बटन|満
🔴;लाल वृत्त;ज्यामिति|लाल|लाल गोला|वृत्त
🟠;नारंगी रंग का वृत्त;आकृति|गेंद|गोला|नारंगी|वृत्त
🟡;पीला वृत्त;आकृति|गेंद|गोला|गोलाकार पीला|पीला|पीली|वृत्त
🟢;हरा वृत्त;आकृति|गेंद|गोला|वृत्त|हरा|हरा गोलाकार|हरी
🔵;नीला वृत्त;ज्यामिति|नीला|नीला गोला|वृत्त
🟣;बैंगनी वृत्त;आकृति|गेंद|गोला|गोलाकार बैंगनी|ज्यामिति|बैंगनी|वृत्त
🟤;भूरा वृत्त;आकृति|गेंद|गोला|ज्यामिति|भूरा|भूरा गोलाकार|भूरी|वृत्त
⚫;काला वृत्त;गोला|ज्यामिति|वृत
