😀;mặt cười toe toét;cười toe toét|mặt
♥️;bộ cơ;bài|bộ bài cơ|trò chơi
♦️;bộ rô;bài|bộ bài rô|trò chơi
♣️;bộ nhép;bài|bộ bài nhép|trò chơi
♟️;quân tốt;bịp|cờ|thí tốt|tốt
🃏;quân phăng teo;lá bài|trò chơi
🀄;mạt chược rồng đỏ;đỏ|mạt chược|trò chơi
🎴;quân bài hình hoa;hoa|kiểu nhật bản|thiệp|trò chơi
🎭;nghệ thuật biểu diễn;biểu diễn|mặt nạ|nghệ thuật|nhà hát
🖼️;tranh trong khung;bảo tàng|khung|nghệ thuật|tranh
🎨;bảng màu;bảo tàng|nghệ thuật|vẽ
🧵;sợi chỉ;kim|may|ổng chỉ|xâu
🪡;kim may;chỉ khâu|khâu|kim|may|may đo|thêu
🧶;sợi;cuộn|cuộn len|đan|đan bằng kim móc
🪢;nút thắt;bện|buộc|dây thừng|rối|xoắn
👓;kính mắt;đeo kính|kính|mắt|quần áo
🕶️;kính râm;bóng tối|đeo kính|kính mắt|mắt
🥽;kính bảo hộ;bảo vệ mắt|bơi|hàn
🥼;áo phòng thí nghiệm;bác sĩ|nhà khoa học|thí nghiệm
🦺;áo bảo hộ;an toàn|áo|cứu hộ|khẩn cấp
👔;cà vạt;áo sơ mi|quần áo|trang trọng
👕;áo phông;áo sơ mi|áo thun|quần áo
👖;quần bò;quần|quần áo|quần dài
🧣;khăn quàng;cổ|lạnh|ủ ấm
🧤;găng tay;tay
🧥;áo khoác;áo choàng|lạnh
🧦;tất;bít tất|vớ
👗;váy;mua sắm|quần áo
👘;kimono;quần áo
🥻;xari;đầm|quần áo|sari|trang phục|váy
🩱;áo tắm một mảnh;bộ áo tắm
🩲;quần lót;bộ đồ bơi|bộ đồ tắm|một mảnh
🩳;quần soóc;bộ đồ tắm|quần bơi|quần dài|quần lót
👙;áo tắm hai mảnh;bể bơi|bơi|quần áo
👚;quần áo nữ;nữ|quần áo
🪭;quạt giấy;e thẹn|làm mát|múa|nóng|quạt|tán tỉnh|vỗ cánh
👛;ví;đồng tiền|quần áo|tiền xu
👜;túi xách;mua sắm|quần áo|túi|ví
👝;túi cắp nách;quần áo|túi|túi nhỏ
🛍️;túi mua sắm;khách sạn|mua sắm|túi
🎒;ba lô đi học;cặp|trường|túi
🩴;dép xỏ ngón;dép|dép đi biển|dép lê|zōri
👞;giày nam;đàn ông|giày|quần áo
👟;giày chạy;giày|giày chạy bộ|giày đế mềm|quần áo|thể thao
🥾;giày leo núi;cắm trại|đi bộ đường dài|du lịch bụi|giày ống
🥿;giày bệt;giày búp bê|giày đi trong nhà|giày lười
👠;giày cao gót;giày|gót chân|phụ nữ|quần áo
👡;xăng đan nữ;giày|phụ nữ|quần áo|xăng đan
🩰;giày múa balê;balê|múa
👢;giày bốt nữ;bốt|giày|phụ nữ|quần áo
🪮;lược Afro Pick;Afro|chải|kiểu tóc afro|lược|pick|tóc
👑;vương miện;gia đình hoàng gia|nữ hoàng|quần áo|vua
👒;mũ phụ nữ;cái mũ|phụ nữ|quần áo
🎩;mũ chóp cao;cái mũ|đầu|quần áo
🎓;mũ tốt nghiệp;cái mũ|lễ kỷ niệm|quần áo|tốt nghiệp
🧢;mũ lưỡi trai;mũ|mũ bóng chày
🪖;mũ sắt quân đội;chiến binh|mũ bảo hiểm|người lính|quân đội|quân sự
⛑️;mũ bảo hiểm của lính cứu hộ;cái mũ|chữ thập|cứu|khuôn mặt|nón bảo hộ
📿;tràng hạt;hạt|lời cầu nguyện|quần áo|tôn giáo|vòng cổ
💄;son môi;mỹ phẩm|trang điểm
💍;nhẫn;kim cương
💎;đá quý;đồ nữ trang|kim cương|viên ngọc
🔇;tắt loa;cái loa|im lặng|không ồn ào|tắt tiếng
🔈;âm lượng loa thấp;âm thanh|nhẹ|nhỏ
🔉;âm lượng loa trung bình;âm thanh|trung bình
🔊;âm lượng loa cao;lớn
📢;loa phát thanh;địa chỉ công cộng|loa phóng thanh|lớn
📣;loa phóng thanh;cổ vũ
📯;kèn bưu chính;bưu chính|bưu điện|kèn
🔔;cái chuông;giờ nghỉ|nhà thờ
🔕;chuông với dấu gạch chéo;cấm|chuông|im lặng|tắt tiếng
🎼;khuông nhạc;bản nhạc|nhạc
🎵;nốt nhạc;nhạc
🎶;các nốt nhạc;nhạc|nốt nhạc
🎙️;micrô phòng thu âm;micrô|nhạc|phòng thu
🎚️;thanh trượt mức;mức|nhạc|thanh trượt
🎛️;núm điều khiển;điều khiển|nhạc|núm
🎤;micrô;âm thanh|hát|karaoke|nhạc
🎧;tai nghe;âm thanh
📻;radio;video
🎷;kèn saxophone;nhạc|nhạc cụ
🎺;kèn trumpet;nhạc|nhạc cụ
🪊;kèn trombone;âm nhạc|buồn|đồng|jazz|nhạc cụ|trượt
🪗;phong cầm;accordion|âm nhạc|buổi hòa nhạc|hộp bóp|nhạc cụ
🎸;đàn ghi-ta;nhạc|nhạc cụ
🎹;phím đàn;bàn phím|đàn piano|nhạc|nhạc cụ
🎻;đàn violin;nhạc|nhạc cụ
🪕;đàn banjo;âm nhạc|có dây|đàn
🥁;trống;dùi trống|nhạc
🪘;trống dài;conga|đập|nhạc cụ|nhịp|trống
🪇;maraca;âm nhạc|lắc|lục lạc|nhạc cụ|nhảy|tiệc tùng|trống
🪈;sáo;âm nhạc|ban nhạc|ban nhạc diễu hành|dàn nhạc giao hưởng|máy ghi âm|nhạc|nhạc cụ|nhạc cụ hơi bằng gỗ|ống sáo|ống tiêu
🪉;đàn hạc;âm nhạc|dàn nhạc|nhạc cụ|thần tình yêu|tình yêu
📱;điện thoại di động;di động|điện thoại
📲;điện thoại di động có mũi tên;di động|điện thoại|gọi|mũi tên|nhận
☎️;điện thoại bàn;điện thoại
📞;ống nghe điện thoại bàn;điện thoại|ống nghe
📟;máy nhắn tin;
📠;máy fax;fax
🔋;pin;
🪫;pin yếu;điện tử|năng lượng thấp
🔌;phích cắm điện;điện
💻;máy tính xách tay;cá nhân|máy tính|pc
🖥️;máy tính để bàn;màn hình|máy tính
🖨️;máy in;máy tính
⌨️;bàn phím;máy tính
🖱️;chuột máy tính;máy tính
🖲️;bi xoay;máy tính
💽;đĩa máy tính;đĩa|đĩa mini|máy tính|quang học
💾;đĩa mềm;đĩa|máy tính|mềm
💿;đĩa quang;cd|đĩa|máy tính|quang
📀;dvd;chuẩn đĩa quang|đĩa|máy tính|quang
🧮;bàn tính;tính toán
🎥;máy quay phim;bollywood|hollywood|phim|rạp chiếu phim
🎞️;khung hình phim;khung|phim|rạp chiếu phim
📽️;máy chiếu phim;máy chiếu|phim|rạp chiếu phim|video
🎬;bảng clapper;diễn|phim
📺;tivi;tv|video
📷;máy ảnh;video
📸;máy ảnh có đèn flash;đèn flash|máy ảnh|video
📹;máy quay video;máy quay phim|video
📼;băng video;băng|vhs|video
🔍;kính phóng đại nghiêng sang trái;dụng cụ|kính|phóng đại|tìm kiếm
🔎;kính lúp nghiêng sang phải;dụng cụ|kính|kính phóng đại nghiêng sang phải|phóng đại|tìm kiếm
🕯️;nến;ánh sáng
💡;bóng đèn;ánh sáng|điện|hài hước|ý tưởng
🔦;đèn pin;ánh sáng|điện|dụng cụ
🏮;đèn lồng giấy màu đỏ;đèn|đèn lồng|đỏ|quán bar
🪔;đèn diya;dầu|đèn|diya
📔;sổ ghi chép có bìa trang trí;bìa|sách|sổ ghi chép|trang trí
📕;sách đóng;đóng|giáo dục|sách
📖;sách đang mở;mở|sách
📗;sách màu lục;giáo dục|sách|thư viện|xanh lục
📘;sách màu lam;sách|xanh lam
📙;sách màu cam;màu cam|sách
📚;sách;đọc|học tập|thư viện|tri thức|trường học
📓;sổ ghi chép;
📒;sổ cái;sổ ghi chép
📃;trang bị quăn;quăn|tài liệu|trang
📜;cuộn sách;cuộn giấy|giấy
📄;trang hướng lên trên;tài liệu|trang
📰;báo;tạp chí|tin tức
🗞️;tờ báo được cuộn tròn;báo|báo giấy|cuộn|tạp chí
📑;tab dấu trang;đánh dấu|dấu trang|tab
🔖;đánh dấu trang;đánh dấu
🏷️;nhãn;
🪙;đồng tiền;bạc|đô la|euro|giàu|kho báu|kim loại|tiền|vàng
💰;túi tiền;đô la|tiền|túi
🪎;rương báu;bạc|chiến lợi phẩm|đá quý|đồ trang sức|đồ vật có giá trị|giải thưởng|sự giàu có|tiền|vàng
💴;tiền giấy yên;hoá đơn|tiền|tiền giấy|tiền tệ|yên
💵;tiền giấy đô la;đô la|hoá đơn|tiền|tiền giấy|tiền tệ
💶;tiền giấy euro;euro|hoá đơn|tiền|tiền giấy|tiền tệ
💷;tiền giấy bảng;bảng|hoá đơn|tiền|tiền giấy|tiền tệ
💸;tiền có cánh;bay|cánh|đô la|tiền giấy
💳;thẻ tín dụng;ngân hàng|thanh toán|thẻ|tiền|tín dụng
🧾;biên nhận;chứng từ|ghi sổ sách|giấy tờ chứng thực|hóa đơn|kế toán
💹;biểu đồ đồng yên tăng;biểu đồ|tăng|tiền|yên
✉️;phong bì;email|thư
📧;email;thư
📨;phong bì thư đến;email|nhận|phong bì|thư|thư đến
📩;phong bì với mũi tên;email|mũi tên|phong bì|thư đi
📤;khay thư đi;đã gửi|hộp|hộp thư đi|khay|thư
📥;khay thư đến;hộp|hộp thư đến|khay|nhận|thư
📦;gói;bưu kiện|hộp
📫;hộp thư được đóng với lá cờ đứng;đóng|hòm thư|hộp thư|thư
📪;hộp thư được đóng với lá cờ nằm ngang;đóng|hòm thư|hộp thư|nằm ngang|thư
📬;hộp thư được mở với lá cờ đứng;hòm thư|hộp thư|mở|thư
📭;hộp thư được mở với lá cờ nằm ngang;hòm thư|hộp thư|mở|nằm ngang|thư
📮;hòm thư;hộp thư|thư
🗳️;hòm phiếu với lá phiếu;lá phiếu|thùng phiếu
✏️;bút chì;văn phòng phẩm
✒️;ngòi bút đen;bút|bút mực|ngòi
🖋️;bút máy;bút|máy
🖊️;bút;bút bi
🖌️;cọ vẽ tranh;tranh vẽ
🖍️;bút sáp màu;
📝;sổ ghi nhớ;bút chì
💼;cặp tài liệu;văn phòng
📁;thư mục tệp;tệp|thư mục
📂;thư mục tệp mở;mở|tệp|thư mục
🗂️;dụng cụ chia chỉ mục thẻ;chỉ mục|dụng cụ chia|thẻ
📅;lịch;ngày
📆;quyển lịch bloc;lịch
🗒️;sổ ghi chú gáy xoắn;gáy xoắn|ghi chú|sổ
🗓️;lịch gáy xoắn;gáy xoắn|lịch
📇;chỉ mục thẻ;chỉ mục|hộp danh thiếp|thẻ
📈;biểu đồ tăng;biểu đồ|đồ thị|tăng lên|tăng trưởng|xu hướng
📉;biểu đồ giảm;biểu đồ|đồ thị|xu hướng|xuống
📊;biểu đồ thanh;biểu đồ|đồ thị|thanh
📋;bảng ghi nhớ;ghi chú|việc cần làm
📌;đinh ghim;cái ghim
📍;đinh ghim hình tròn;đinh ghim|ghim
📎;kẹp giấy;
🖇️;kẹp giấy được nối;kẹp giấy|nối
📏;thước thẳng;cạnh thẳng|thước kẻ|toán
📐;thước tam giác;bộ|tam giác|thước kẻ
✂️;kéo;cắt|dụng cụ
🗃️;hộp đựng hồ sơ;hộp|tệp|thẻ
🗄️;tủ hồ sơ;tệp|tủ
🗑️;sọt rác;
🔒;khóa;đóng|riêng tư
🔓;mở khóa;khóa|mở
🔏;khóa với bút;bút|khóa|mực|ngòi bút|riêng tư
🔐;khóa với chìa;bảo mật|chìa|đóng|khóa
🔑;chìa khóa;khóa|mật khẩu
🗝️;chìa khóa cũ;chìa khóa|cũ|đầu mối|khóa
🔨;búa;dụng cụ|sửa chữa
🪓;rìu;bổ|bổ đôi|chặt|chém|gỗ|rìu nhỏ
⛏️;búa chim;búa|dụng cụ|khai mỏ
⚒️;búa và búa chim;búa|búa chim|dụng cụ
🛠️;búa và cờ lê;búa|chìa vặn|cờ lê|dụng cụ
🗡️;dao găm;dao|nguy hiểm|vũ khí
⚔️;kiếm bắt chéo;bắt chéo|kiếm|vũ khí
💣;bom;hài hước|nguy hiểm|nổ
🪃;bumơrang;australia|bật lại|boomerang|dội lại|thổ dân|vũ khí
🏹;cung tên;cung|cung hoàng đạo|cung thủ|mũi tên|Nhân Mã
🛡️;cái khiên;vũ khí
🪚;cưa mộc;cắt|cưa|dụng cụ|gỗ xẻ|thợ mộc
🔧;cờ lê;chìa vặn|dụng cụ
🪛;tua vít;bắt vít|đầu phẳng|dụng cụ
🔩;đai ốc và bu lông;bu lông|đai ốc|dụng cụ
⚙️;bánh răng;dụng cụ
🗜️;cái kẹp;cặp|dụng cụ|nén
⚖️;cân thăng bằng;cân|công lý|cung hoàng đạo|thăng bằng|Thiên Bình
🦯;gậy dò đường;hỗ trợ tiếp cận|khiếm thị|mù
🔗;mắt xích;
⛓️‍💥;xích bị đứt;bẻ gãy|còng tay|đứt|làm đứt|tự do|xích
⛓️;dây xích;xích
🪝;móc;bắt|bẫy|cái móc|điểm bán hàng|đường cong
🧰;hộp dụng cụ;cơ khí|dụng cụ|hòm|thợ máy
🧲;nam châm;âm dương|chữ u|móng ngựa|sức hút|từ tính
🪜;thang;bậc thang|leo trèo|nấc
🪏;xẻng;đào|lỗ|thuổng|xúc
⚗️;bình chưng cất;dụng cụ|hóa học
🧪;ống nghiệm;hóa học|khoa học|nhà hóa học|phòng thí nghiệm|thí nghiệm
🧫;đĩa petri;nhà sinh vật học|nuôi cấy|phòng thí nghiệm|sinh vật học|vi khuẩn
🧬;adn;di truyền|gien|nhà sinh vật học|sự sống|tiến hóa
🔬;kính hiển vi;dụng cụ|khoa học|kính hiển vị|thí nghiệm
🔭;kính viễn vọng;dụng cụ|khoa học
📡;ăng-ten vệ tinh;ăng-ten|đĩa|vệ tinh
💉;ống tiêm;bệnh|kim|thuốc|tiêm|vắc-xin
🩸;giọt máu;chấn thương|chu kỳ kinh nguyệt|hiến máu|thuốc|y tế
💊;viên thuốc;bác sĩ|bệnh|thuốc|vitamin
🩹;băng dính;băng dán y tế|băng vết thương
🩼;nạng;đau|gậy|gậy chống|hỗ trợ di chuyển|khuyết tật
🩺;ống nghe;bác sĩ|tim|y tế
🩻;x-quang;bác sĩ|bộ xương|xương|y tế
🚪;cửa;cửa sau|cửa trước
🛗;thang máy;kéo lên|khả năng tiếp cận|nhấc
🪞;gương;gương phản xạ|phản ánh|phản chiếu|phản xạ|trang điểm
🪟;cửa sổ;không khí trong lành|khung|mở|trong suốt|xem
🛏️;giường;khách sạn|ngủ
🛋️;ghế dài và đèn;đèn|đi văng|khách sạn
🪑;ghế;chỗ ngồi|ngồi
🚽;bồn cầu;bệ xí
🪠;dụng cụ thông tắc;hút|lực cốc|nhà vệ sinh|thợ sửa ống nước
🚿;vòi hoa sen;nước
🛁;bồn tắm;tắm
🪤;bẫy chuột;bẫy|bẩy|mồi|pho mát
🪒;dao cạo;cạo râu|dao cạo râu|sắc
🧴;chai sữa dưỡng da;dầu gội|kem chống nắng|kem dưỡng ẩm|sữa dưỡng da
🧷;ghim băng;chất thải|tã
🧹;cây chổi;làm sạch|phù thủy|quét|quét dọn
🧺;cái giỏ;dã ngoại|giặt ủi|trồng trọt
🧻;cuộn giấy;giấy toilet|giấy vệ sinh
🪣;xô;thùng|thùng to
🧼;xà phòng;bánh|tắm|vệ sinh|xà phòng bánh|xát xà phòng
🫧;bong bóng;dưới nước|ợ hơi|sạch sẽ|xà phòng
🪥;bàn chải răng;bàn chải|nha khoa|phòng tắm|răng|sạch sẽ|vệ sinh
🧽;bọt biển;hấp thụ|hút|làm sạch|vệ sinh|xốp
🧯;bình chữa cháy;chữa cháy|cứu hỏa|dập|dập tắt|lửa
🛒;xe mua hàng;mua hàng|xe đẩy
🚬;thuốc lá;hút thuốc
⚰️;quan tài;cái chết
🪦;bia mộ;an nghỉ|mộ|nghĩa địa|nghĩa trang
⚱️;bình đựng tro cốt;bình đựng di cốt|cái chết|tang lễ
🧿;bùa may mắn nazar;bùa|hạt|mắt ác|mê hoặc|nhìn
🪬;hamsa;bùa hộ mệnh|Fatima|Mary|Miriam|sự bảo vệ|tay
🗿;tượng moai;bức tượng|khuôn mặt|tượng moyai
🪧;bảng hiệu;bảng|biển hiệu|cọc|phản đối|thẻ|thể hiện|thông báo
🪪;thẻ nhận dạng;bảo mật|căn cước công dân|cccd|chứng minh nhân dân|cmnd|giấy phép
🏧;ký hiệu ATM;atm|máy rút tiền|ngân hàng|tự động
🚮;ký hiệu bỏ rác vào thùng;thùng rác|xả rác
🚰;nước uống;nước|uống|uống được
♿;biểu tượng xe lăn;lối vào|người khuyết tật|xe lăn
🚹;nhà vệ sinh nam;nam|nhà vệ sinh|phòng vệ sinh|wc
🚺;nhà vệ sinh nữ;nhà vệ sinh|nữ|phòng vệ sinh|wc
🚻;nhà vệ sinh;phòng vệ sinh|wc
🚼;biểu tượng trẻ em;thay đồ|trẻ em
🚾;WC;nhà vệ sinh|nước|phòng vệ sinh
🛂;kiểm soát hộ chiếu;hộ chiếu|kiểm soát
🛃;hải quan;
🛄;nơi nhận hành lý;hành lý|nhận
🛅;hành lý bỏ quên;hành lý|tủ khóa
⚠️;cảnh báo;thận trọng
🚸;qua đường cho trẻ em;cho người đi bộ|đi qua|giao thông|trẻ em
⛔;cấm vào;cấm|giao thông|không cho phép|lối vào
🚫;bị cấm;cấm|không|không có|lối vào
🚳;cấm xe đạp;bị cấm|bị nghiêm cấm|không|xe đạp
🚭;cấm hút thuốc;bị cấm|bị nghiêm cấm|hút thuốc|không
🚯;cấm xả rác;bị cấm|bị nghiêm cấm|không|xả rác
🚱;nước không uống được;không dùng để uống|không uống được|nước
🚷;cấm người đi bộ;cấm|không|không cho phép|không có|người đi bộ
📵;cấm điện thoại di động;cấm|di động|điện thoại|điện thoại di động|không
🔞;cấm người dưới 18 tuổi;18|cấm|giới hạn độ tuổi|mười tám|vị thành niên
☢️;phóng xạ;ký hiệu
☣️;nguy hiểm sinh học;ký hiệu
⬆️;mũi tên lên;bắc|chính|hướng|mũi tên
↗️;mũi tên lên bên phải;đông bắc|hướng|mũi tên|nhiều hướng
➡️;mũi tên phải;chính|đông|hướng|mũi tên
↘️;mũi tên xuống bên phải;đông nam|hướng|mũi tên|nhiều hướng
⬇️;mũi tên xuống;chính|hướng|mũi tên|nam|xuống
↙️;mũi tên xuống bên trái;hướng|mũi tên|nhiều hướng|tây nam
⬅️;mũi tên trái;chiều hướng|chính|hướng tây|mũi tên|tây
↖️;mũi tên lên bên trái;hướng|mũi tên|nhiều hướng|tây bắc
↕️;mũi tên lên xuống;mũi tên|mũi tên hai chiều|mũi tên hai hướng
↔️;mũi tên trái phải;mũi tên|mũi tên hai chiều|mũi tên hai hướng
↩️;mũi tên phải cong sang trái;mũi tên
↪️;mũi tên trái cong sang phải;mũi tên
⤴️;mũi tên phải cong lên;mũi tên
⤵️;mũi tên phải cong xuống;mũi tên|xuống
🔃;mũi tên thẳng đứng theo chiều kim đồng hồ;chiều kim đồng hồ|mũi tên|tải lại
🔄;nút mũi tên ngược chiều kim đồng hồ;làm mới|mũi tên|ngược chiều kim đồng|tua lại
🔙;mũi tên BACK;back|mũi tên
🔚;mũi tên END;end|mũi tên
🔛;mũi tên ON!;dấu|mũi tên|on
🔜;mũi tên SOON;mũi tên|soon
🔝;mũi tên TOP;lên|mũi tên|top
🛐;nơi thờ phụng;tôn giáo|tôn sùng
⚛️;biểu tượng nguyên tử;người vô thần|nguyên tử
🕉️;om;hindu|tôn giáo
✡️;ngôi sao sáu cánh;david|do thái|ngôi sao|người do thái|tôn giáo
☸️;pháp luân;bánh xe|đạo phật|pháp|phật giáo|tôn giáo
☯️;âm dương;âm|đạo|dương|người theo đạo|tôn giáo
✝️;thánh giá la-tinh;chữ thập|cơ đốc|tôn giáo
☦️;thập giá chính thống giáo;cơ đốc|thập giá|tôn giáo
☪️;sao và trăng lưỡi liềm;hồi giáo|người theo đạo hồi|tôn giáo
☮️;biểu tượng hòa bình;hòa bình
🕎;cây đèn menorah;cây đèn nến|giá đỡ nến|tôn giáo
🔯;ngôi sao sáu cánh có dấu chấm;may mắn|ngôi sao
🪯;biểu tượng khanda;Deg Tegh Fateh|đức tin|Khalsa|Sikh|Sikh giáo|tôn giáo
♈;cung Bạch Dương;Bạch Dương|chòm sao|chòm sao Bạch Dương|cung hoàng đạo|cừu đực|lá số tử vi
♉;cung Kim Ngưu;bò đực|chòm sao|cung hoàng đạo|Kim Ngưu|lá số tử vi
♊;cung Song Tử;cung hoàng đạo|lá số tử vi|song sinh|Song Tử
♋;cung Cự Giải;con cua|Cự Giải|cung hoàng đạo|lá số tử vi
♌;cung Sư Tử;cung hoàng đạo|lá số tử vi|sư tử
♍;cung Xử Nữ;cung hoàng đạo|lá số tử vi|Xử Nữ
♎;cung Thiên Bình;cân|cân đối|công bằng|cung hoàng đạo|lá số tử vi|Thiên Bình
♏;cung Bọ Cạp;bọ cạp|cung hoàng đạo|lá số tử vi|Thiên Yết
♐;cung Nhân Mã;cung hoàng đạo|lá số tử vi|người bắn cung|Nhân Mã
♑;cung Ma Kết;con dê|cung hoàng đạo|lá số tử vi|Ma Kết
♒;cung Bảo Bình;Bảo Bình|cung hoàng đạo|lá số tử vi|người mang|nước
♓;cung Song Ngư;con cá|cung hoàng đạo|lá số tử vi|Song Ngư
⛎;cung Xà Phu;con rắn|cung hoàng đạo|người mang|rắn|Xà Phu
🔀;nút xáo trộn bài;bắt chéo|mũi tên
🔁;nút lặp lại;chiều kim đồng hồ|lặp lại|mũi tên
🔂;nút lặp lại một lần;chiều kim đồng hồ|một lần|mũi tên
▶️;nút phát;bên phải|mũi tên|phát|tam giác
⏩;nút tua đi nhanh;kép|mũi tên|mũi tên kép|nhanh|phía trước|tua đi
⏭️;nút bài tiếp theo;bài tiếp theo|cảnh tiếp theo|mũi tên|tam giác
⏯️;nút phát hoặc tạm dừng;bên phải|mũi tên|phát|tạm dừng|tam giác
◀️;nút tua lại;mũi tên|tam giác|trái|tua lại
⏪;nút tua lại nhanh;kép|mũi tên|mũi tên kép|tua lại
⏮️;nút bài trước;bài trước|cảnh trước|mũi tên|nút bài cuối cùng|tam giác
🔼;nút đi lên;đỏ|mũi tên|nút
⏫;nút lên nhanh;kép|mũi tên|mũi tên kép
🔽;nút đi xuống;đỏ|mũi tên|nút|xuống
⏬;nút xuống nhanh;kép|mũi tên|mũi tên kép|xuống
⏸️;nút tạm dừng;dọc|kép|tạm dừng|thanh
⏹️;nút dừng;dừng|hình vuông
⏺️;nút ghi;ghi lại|hình tròn
⏏️;nút tháo;tháo
🎦;rạp chiếu phim;bộ phim|máy ảnh|máy quay|phim ảnh
🔅;nút mờ;độ sáng|mờ|thấp
🔆;nút sáng;độ sáng|sáng
📶;vạch ăng-ten;ăng-ten|di động|điện thoại|vạch
🛜;không dây;băng thông rộng|bộ định tuyến|điện thoại thông minh|hotspot|internet|kết nối|mạng|mạng lan|máy tính|wifi
📳;chế độ rung;chế độ|di động|điện thoại|điện thoại di động|rung
📴;tắt điện thoại di động;di động|điện thoại|tắt
♀️;ký hiệu nữ;phụ nữ
♂️;ký hiệu nam;đàn ông
⚧️;biểu tượng chuyển giới;người chuyển giới
✖️;dấu nhân;×|dấu|hủy|nhân|x
➕;cộng;+|dấu|toán
➖;trừ;-|−|dấu|toán
➗;dấu chia;÷|chia|dấu|toán
🟰;dấu bằng đậm;bằng|toán
♾️;vô cực;mãi mãi|toàn cầu|vô tận
‼️;hai dấu chấm than;chấm câu|chấm than|dấu
⁉️;dấu chấm than và dấu chấm hỏi;chấm câu|chấm hỏi|chấm than|dấu
❓;dấu chấm hỏi;chấm câu|dấu|hỏi
❔;dấu chấm hỏi màu trắng;chấm|chấm câu|dấu hỏi|mờ
❕;dấu chấm than màu trắng;cảm thán|chấm|chấm than|dấu|mờ
❗;dấu chấm than đỏ;!|cảm thán|chấm|chấm than|dấu|dấu chấm than
〰️;dấu gạch ngang lượn sóng;dấu|dấu gạch ngang|lượn sóng
💱;đổi tiền;ngân hàng|tiền|tiền tệ
💲;ký hiệu đô la đậm;đô la|tiền|tiền tệ
⚕️;biểu tượng y tế;cán bộ|rắn thần|y học
♻️;biểu tượng tái chế;tái chế
⚜️;hoa diên vĩ;hiệp sĩ|hoa bách hợp
🔱;biểu tượng đinh ba;biểu tượng|công cụ|đinh ba|neo|tàu
📛;thẻ tên;tên|thẻ
🔰;ký hiệu của Nhật cho người mới bắt đầu;hình V|lá|người mới bắt đầu|Nhật
⭕;vòng tròn lớn đậm;o|vòng tròn
✅;dấu chọn đậm màu trắng;✓|chọn|dấu|dấu tích|nút
☑️;hộp kiểm có dấu chọn;✓|chọn|dấu tích|hoàn thành|hộp
✔️;dấu chọn;✓|chọn|dấu|dấu kiểm|dấu tích
❌;dấu gạch chéo;dấu|hủy|nhân|x
❎;nút dấu gạch chéo;dấu|dấu nhân|hình vuông
➰;vòng lặp;cong
➿;vòng lặp đôi;cong|kép|vòng lặp|vòng lặp kép
〽️;ký hiệu thay đổi luân phiên;ký hiệu|thay đổi luân phiên
✳️;dấu hoa thị tám cánh;dấu hoa thị
✴️;ngôi sao tám cánh;ngôi sao
❇️;lấp lánh;
©️;bản quyền;
®️;đã đăng ký;
™️;nhãn hiệu;dấu|tm
🫟;bắn tung tóe;ngày lễ|sơn|tràn|vết ố
*️⃣;mũ phím: *;mũ phím
0️⃣;mũ phím: 0;0|không|mũ phím
1️⃣;mũ phím: 1;1|một|mũ phím
2️⃣;mũ phím: 2;2|hai|mũ phím
3️⃣;mũ phím: 3;3|ba|mũ phím
4️⃣;mũ phím: 4;4|bốn|mũ phím
5️⃣;mũ phím: 5;5|mũ phím|năm
6️⃣;mũ phím: 6;6|mũ phím|sáu
7️⃣;mũ phím: 7;7|bảy|mũ phím
8️⃣;mũ phím: 8;8|mũ phím|tám
9️⃣;mũ phím: 9;9|chín|mũ phím
🔟;mũ phím: 10;mũ phím
🔠;nhập chữ hoa la tinh;ABCD|chữ|chữ hoa|la tinh|nhập
🔡;nhập chữ thường la tinh;abcd|chữ|chữ thường|la tinh|nhập
🔢;nhập số;1234|nhập|số
🔣;nhập biểu tượng;〒♪&%|nhập
🔤;nhập chữ cái la tinh;abc|bảng chữ cái|chữ cái|la tinh|nhập
🅰️;nút A (nhóm máu);a|nhóm máu|nhóm máu A
🆎;nút AB (nhóm máu);ab|nhóm máu|nhóm máu AB
🅱️;nút B (nhóm máu);b|nhóm máu|nhóm máu B
🆑;nút CL;cl
🆒;nút COOL;cool|mát
🆓;nút FREE;free
ℹ️;thông tin;i
🆔;nút ID;danh tính|id
Ⓜ️;chữ M trong vòng tròn;m|vòng tròn
🆕;nút NEW;mới|new
🆖;nút NG;ng
🅾️;nút O (nhóm máu);nhóm máu|nhóm máu O|nút O|o
🆗;nút OK;ok
🅿️;nút P;đỗ xe
🆘;nút SOS;sos|trợ giúp
🆙;nút UP!;dấu|up
🆚;nút VS;đấu với|vs
🈁;nút Tiếng Nhật “tại đây”;“tại đây”|katakana|Tiếng Nhật
🈂️;nút Tiếng Nhật “phí dịch vụ”;“phí dịch vụ”|katakana|Tiếng Nhật
🈷️;nút Tiếng Nhật “số tiền hàng tháng”;“số tiền hàng tháng”|chữ tượng hình|Tiếng Nhật
🈶;nút Tiếng Nhật “không miễn phí”;“không miễn phí”|chữ tượng hình|Tiếng Nhật
🈯;nút Tiếng Nhật “đặt trước”;“đặt trước”|chữ tượng hình|Tiếng Nhật
🉐;nút Tiếng Nhật “mặc cả”;“mặc cả”|chữ tượng hình|Tiếng Nhật
🈹;nút Tiếng Nhật “giảm giá”;“giảm giá”|chữ tượng hình|Tiếng Nhật
🈚;nút Tiếng Nhật “miễn phí”;“miễn phí”|chữ tượng hình|Tiếng Nhật
