😀;cara sonriendo;cara|divertido|feliz|sonrisa
🈲;ideograma japonés para "prohibido";ideograma|japonés|kanji|prohibido
🉑;ideograma japonés para "aceptable";aceptable|ideograma|japonés|kanji
🈸;ideograma japonés para "aplicación";aplicación|ideograma|japonés|kanji
🈴;ideograma japonés para "aprobado";aprobado|ideograma|japonés|kanji
🈳;ideograma japonés para "vacante";ideograma|japonés|kanji|vacante
㊗️;ideograma japonés para "enhorabuena";enhorabuena|ideograma|japonés|kanji
㊙️;ideograma japonés para "secreto";ideograma|japonés|kanji|secreto
🈺;ideograma japonés para "abierto";abierto|ideograma|japonés|kanji
🈵;ideograma japonés para "completo";completo|ideograma|japonés|kanji|lleno
🔴;círculo rojo;círculo|geometría|rojo
🟠;círculo naranja;círculo|naranja
🟡;círculo amarillo;amarillo|círculo
🟢;círculo verde;círculo|verde
🔵;círculo azul;azul|círculo|geometría
🟣;círculo morado;círculo|lila|morado|púrpura
🟤;círculo marrón;círculo|marrón
⚫;círculo negro;círculo|geometría
⚪;círculo blanco;círculo|geometría
🟥;cuadrado rojo;cuadrado|rojo
🟧;cuadrado naranja;cuadrado|naranja
🟨;cuadrado amarillo;amarillo|cuadrado
🟩;cuadrado verde;cuadrado|verde
🟦;cuadrado azul;azul|cuadrado
🟪;cuadrado morado;cuadrado|lila|morado|púrpura
🟫;cuadrado marrón;cuadrado|marrón
⬛;cuadrado negro grande;cuadrado|geometría|negro
⬜;cuadrado blanco grande;blanco|cuadrado|geometría
◼️;cuadrado negro mediano;cuadrado|geometría|negro
◻️;cuadrado blanco mediano;blanco|cuadrado|geometría
◾;cuadrado negro mediano-pequeño;cuadrado|geometría|negro
◽;cuadrado blanco mediano-pequeño;blanco|cuadrado|geometría
▪️;cuadrado negro pequeño;cuadrado|geometría|negro
▫️;cuadrado blanco pequeño;blanco|cuadrado|geometría
🔶;rombo naranja grande;geometría|naranja|rombo
🔷;rombo azul grande;azul|geometría|rombo
🔸;rombo naranja pequeño;geometría|naranja|rombo
🔹;rombo azul pequeño;azul|geometría|rombo
🔺;triángulo rojo hacia arriba;geometría|rojo|triángulo|triángulo hacia arriba rojo
🔻;triángulo rojo hacia abajo;geometría|rojo|triángulo|triángulo hacia abajo rojo
💠;rombo con pétalo;flor|geometría|rombo
🔘;botón de opción;botón|opción
🔳;botón cuadrado con borde blanco;botón|cuadrado
🔲;botón cuadrado con borde negro;botón|cuadrado
🏁;bandera de cuadros;bandera|carreras|cuadros|deporte|motor
🚩;bandera triangular;bandera|bandera de localización triangular|bandera informativa de localización|localización
🎌;banderas cruzadas;banderas|celebración|japón
🏴;bandera negra;bandera|negra|ondear
🏳️;bandera blanca;bandera|blanca|ondear
🏳️‍🌈;bandera del arcoíris;arcoíris|bandera
🏳️‍⚧️;bandera transgénero;azul|bandera|blanco|LGTB|rosa|transgénero
🏴‍☠️;bandera pirata;botín|Jolly Roger|pirata|tesoro
🇦🇨;Bandera: Isla de la Ascensión;Bandera
🇦🇩;Bandera: Andorra;Bandera
🇦🇪;Bandera: Emiratos Árabes Unidos;Bandera
🇦🇫;Bandera: Afganistán;Bandera
🇦🇬;Bandera: Antigua y Barbuda;Bandera
🇦🇮;Bandera: Anguila;Bandera
🇦🇱;Bandera: Albania;Bandera
🇦🇲;Bandera: Armenia;Bandera
🇦🇴;Bandera: Angola;Bandera
🇦🇶;Bandera: Antártida;Bandera
🇦🇷;Bandera: Argentina;Bandera
🇦🇸;Bandera: Samoa Americana;Bandera
🇦🇹;Bandera: Austria;Bandera
🇦🇺;Bandera: Australia;Bandera
🇦🇼;Bandera: Aruba;Bandera
🇦🇽;Bandera: Islas Aland;Bandera
🇦🇿;Bandera: Azerbaiyán;Bandera
🇧🇦;Bandera: Bosnia y Herzegovina;Bandera
🇧🇧;Bandera: Barbados;Bandera
🇧🇩;Bandera: Bangladés;Bandera
🇧🇪;Bandera: Bélgica;Bandera
🇧🇫;Bandera: Burkina Faso;Bandera
🇧🇬;Bandera: Bulgaria;Bandera
🇧🇭;Bandera: Baréin;Bandera
🇧🇮;Bandera: Burundi;Bandera
🇧🇯;Bandera: Benín;Bandera
🇧🇱;Bandera: San Bartolomé;Bandera
🇧🇲;Bandera: Bermudas;Bandera
🇧🇳;Bandera: Brunéi;Bandera
🇧🇴;Bandera: Bolivia;Bandera
🇧🇶;Bandera: Caribe neerlandés;Bandera
🇧🇷;Bandera: Brasil;Bandera
🇧🇸;Bandera: Bahamas;Bandera
🇧🇹;Bandera: Bután;Bandera
🇧🇻;Bandera: Isla Bouvet;Bandera
🇧🇼;Bandera: Botsuana;Bandera
🇧🇾;Bandera: Bielorrusia;Bandera
🇧🇿;Bandera: Belice;Bandera
🇨🇦;Bandera: Canadá;Bandera
🇨🇨;Bandera: Islas Cocos;Bandera
🇨🇩;Bandera: República Democrática del Congo;Bandera
🇨🇫;Bandera: República Centroafricana;Bandera
🇨🇬;Bandera: Congo;Bandera
🇨🇭;Bandera: Suiza;Bandera
🇨🇮;Bandera: Côte d’Ivoire;Bandera
🇨🇰;Bandera: Islas Cook;Bandera
🇨🇱;Bandera: Chile;Bandera
🇨🇲;Bandera: Camerún;Bandera
🇨🇳;Bandera: China;Bandera
🇨🇴;Bandera: Colombia;Bandera
🇨🇵;Bandera: Isla Clipperton;Bandera
🇨🇶;Bandera: Sark;Bandera
🇨🇷;Bandera: Costa Rica;Bandera
🇨🇺;Bandera: Cuba;Bandera
🇨🇻;Bandera: Cabo Verde;Bandera
🇨🇼;Bandera: Curazao;Bandera
🇨🇽;Bandera: Isla de Navidad;Bandera
🇨🇾;Bandera: Chipre;Bandera
🇨🇿;Bandera: Chequia;Bandera
🇩🇪;Bandera: Alemania;Bandera
🇩🇬;Bandera: Diego García;Bandera
🇩🇯;Bandera: Yibuti;Bandera
🇩🇰;Bandera: Dinamarca;Bandera
🇩🇲;Bandera: Dominica;Bandera
🇩🇴;Bandera: República Dominicana;Bandera
🇩🇿;Bandera: Argelia;Bandera
🇪🇦;Bandera: Ceuta y Melilla;Bandera
🇪🇨;Bandera: Ecuador;Bandera
🇪🇪;Bandera: Estonia;Bandera
🇪🇬;Bandera: Egipto;Bandera
🇪🇭;Bandera: Sáhara Occidental;Bandera
🇪🇷;Bandera: Eritrea;Bandera
🇪🇸;Bandera: España;Bandera
🇪🇹;Bandera: Etiopía;Bandera
🇪🇺;Bandera: Unión Europea;Bandera
🇫🇮;Bandera: Finlandia;Bandera
🇫🇯;Bandera: Fiyi;Bandera
🇫🇰;Bandera: Islas Malvinas;Bandera
🇫🇲;Bandera: Micronesia;Bandera
🇫🇴;Bandera: Islas Feroe;Bandera
🇫🇷;Bandera: Francia;Bandera
🇬🇦;Bandera: Gabón;Bandera
🇬🇧;Bandera: Reino Unido;Bandera
🇬🇩;Bandera: Granada;Bandera
🇬🇪;Bandera: Georgia;Bandera
🇬🇫;Bandera: Guayana Francesa;Bandera
🇬🇬;Bandera: Guernesey;Bandera
🇬🇭;Bandera: Ghana;Bandera
🇬🇮;Bandera: Gibraltar;Bandera
🇬🇱;Bandera: Groenlandia;Bandera
🇬🇲;Bandera: Gambia;Bandera
🇬🇳;Bandera: Guinea;Bandera
🇬🇵;Bandera: Guadalupe;Bandera
🇬🇶;Bandera: Guinea Ecuatorial;Bandera
🇬🇷;Bandera: Grecia;Bandera
🇬🇸;Bandera: Islas Georgia del Sur y Sandwich del Sur;Bandera
🇬🇹;Bandera: Guatemala;Bandera
🇬🇺;Bandera: Guam;Bandera
🇬🇼;Bandera: Guinea-Bisáu;Bandera
🇬🇾;Bandera: Guyana;Bandera
🇭🇰;Bandera: RAE de Hong Kong (China);Bandera
🇭🇲;Bandera: Islas Heard y McDonald;Bandera
🇭🇳;Bandera: Honduras;Bandera
🇭🇷;Bandera: Croacia;Bandera
🇭🇹;Bandera: Haití;Bandera
🇭🇺;Bandera: Hungría;Bandera
🇮🇨;Bandera: Canarias;Bandera
🇮🇩;Bandera: Indonesia;Bandera
🇮🇪;Bandera: Irlanda;Bandera
🇮🇱;Bandera: Israel;Bandera
🇮🇲;Bandera: Isla de Man;Bandera
🇮🇳;Bandera: India;Bandera
🇮🇴;Bandera: Territorio Británico del Océano Índico;Bandera
🇮🇶;Bandera: Irak;Bandera
🇮🇷;Bandera: Irán;Bandera
🇮🇸;Bandera: Islandia;Bandera
🇮🇹;Bandera: Italia;Bandera
🇯🇪;Bandera: Jersey;Bandera
🇯🇲;Bandera: Jamaica;Bandera
🇯🇴;Bandera: Jordania;Bandera
🇯🇵;Bandera: Japón;Bandera
🇰🇪;Bandera: Kenia;Bandera
🇰🇬;Bandera: Kirguistán;Bandera
🇰🇭;Bandera: Camboya;Bandera
🇰🇮;Bandera: Kiribati;Bandera
🇰🇲;Bandera: Comoras;Bandera
🇰🇳;Bandera: San Cristóbal y Nieves;Bandera
🇰🇵;Bandera: Corea del Norte;Bandera
🇰🇷;Bandera: Corea del Sur;Bandera
🇰🇼;Bandera: Kuwait;Bandera
🇰🇾;Bandera: Islas Caimán;Bandera
🇰🇿;Bandera: Kazajistán;Bandera
🇱🇦;Bandera: Laos;Bandera
🇱🇧;Bandera: Líbano;Bandera
🇱🇨;Bandera: Santa Lucía;Bandera
🇱🇮;Bandera: Liechtenstein;Bandera
🇱🇰;Bandera: Sri Lanka;Bandera
🇱🇷;Bandera: Liberia;Bandera
🇱🇸;Bandera: Lesoto;Bandera
🇱🇹;Bandera: Lituania;Bandera
🇱🇺;Bandera: Luxemburgo;Bandera
🇱🇻;Bandera: Letonia;Bandera
🇱🇾;Bandera: Libia;Bandera
🇲🇦;Bandera: Marruecos;Bandera
🇲🇨;Bandera: Mónaco;Bandera
🇲🇩;Bandera: Moldavia;Bandera
🇲🇪;Bandera: Montenegro;Bandera
🇲🇫;Bandera: San Martín;Bandera
🇲🇬;Bandera: Madagascar;Bandera
🇲🇭;Bandera: Islas Marshall;Bandera
🇲🇰;Bandera: Macedonia del Norte;Bandera
🇲🇱;Bandera: Mali;Bandera
🇲🇲;Bandera: Myanmar (Birmania);Bandera
🇲🇳;Bandera: Mongolia;Bandera
🇲🇴;Bandera: RAE de Macao (China);Bandera
🇲🇵;Bandera: Islas Marianas del Norte;Bandera
🇲🇶;Bandera: Martinica;Bandera
🇲🇷;Bandera: Mauritania;Bandera
🇲🇸;Bandera: Montserrat;Bandera
🇲🇹;Bandera: Malta;Bandera
🇲🇺;Bandera: Mauricio;Bandera
🇲🇻;Bandera: Maldivas;Bandera
🇲🇼;Bandera: Malaui;Bandera
🇲🇽;Bandera: México;Bandera
🇲🇾;Bandera: Malasia;Bandera
🇲🇿;Bandera: Mozambique;Bandera
🇳🇦;Bandera: Namibia;Bandera
🇳🇨;Bandera: Nueva Caledonia;Bandera
🇳🇪;Bandera: Níger;Bandera
🇳🇫;Bandera: Isla Norfolk;Bandera
🇳🇬;Bandera: Nigeria;Bandera
🇳🇮;Bandera: Nicaragua;Bandera
🇳🇱;Bandera: Países Bajos;Bandera
🇳🇴;Bandera: Noruega;Bandera
🇳🇵;Bandera: Nepal;Bandera
🇳🇷;Bandera: Nauru;Bandera
🇳🇺;Bandera: Niue;Bandera
🇳🇿;Bandera: Nueva Zelanda;Bandera
🇴🇲;Bandera: Omán;Bandera
🇵🇦;Bandera: Panamá;Bandera
🇵🇪;Bandera: Perú;Bandera
🇵🇫;Bandera: Polinesia Francesa;Bandera
🇵🇬;Bandera: Papúa Nueva Guinea;Bandera
🇵🇭;Bandera: Filipinas;Bandera
🇵🇰;Bandera: Pakistán;Bandera
🇵🇱;Bandera: Polonia;Bandera
🇵🇲;Bandera: San Pedro y Miquelón;Bandera
🇵🇳;Bandera: Islas Pitcairn;Bandera
🇵🇷;Bandera: Puerto Rico;Bandera
🇵🇸;Bandera: Territorios Palestinos;Bandera
🇵🇹;Bandera: Portugal;Bandera
🇵🇼;Bandera: Palaos;Bandera
🇵🇾;Bandera: Paraguay;Bandera
🇶🇦;Bandera: Catar;Bandera
🇷🇪;Bandera: Reunión;Bandera
🇷🇴;Bandera: Rumanía;Bandera
🇷🇸;Bandera: Serbia;Bandera
🇷🇺;Bandera: Rusia;Bandera
🇷🇼;Bandera: Ruanda;Bandera
🇸🇦;Bandera: Arabia Saudí;Bandera
🇸🇧;Bandera: Islas Salomón;Bandera
🇸🇨;Bandera: Seychelles;Bandera
🇸🇩;Bandera: Sudán;Bandera
🇸🇪;Bandera: Suecia;Bandera
🇸🇬;Bandera: Singapur;Bandera
🇸🇭;Bandera: Santa Elena;Bandera
🇸🇮;Bandera: Eslovenia;Bandera
🇸🇯;Bandera: Svalbard y Jan Mayen;Bandera
🇸🇰;Bandera: Eslovaquia;Bandera
🇸🇱;Bandera: Sierra Leona;Bandera
🇸🇲;Bandera: San Marino;Bandera
🇸🇳;Bandera: Senegal;Bandera
🇸🇴;Bandera: Somalia;Bandera
🇸🇷;Bandera: Surinam;Bandera
🇸🇸;Bandera: Sudán del Sur;Bandera
🇸🇹;Bandera: Santo Tomé y Príncipe;Bandera
🇸🇻;Bandera: El Salvador;Bandera
🇸🇽;Bandera: Sint Maarten;Bandera
🇸🇾;Bandera: Siria;Bandera
🇸🇿;Bandera: Esuatini;Bandera
🇹🇦;Bandera: Tristán de Acuña;Bandera
🇹🇨;Bandera: Islas Turcas y Caicos;Bandera
🇹🇩;Bandera: Chad;Bandera
🇹🇫;Bandera: Territorios Australes Franceses;Bandera
🇹🇬;Bandera: Togo;Bandera
🇹🇭;Bandera: Tailandia;Bandera
🇹🇯;Bandera: Tayikistán;Bandera
🇹🇰;Bandera: Tokelau;Bandera
🇹🇱;Bandera: Timor-Leste;Bandera
🇹🇲;Bandera: Turkmenistán;Bandera
🇹🇳;Bandera: Túnez;Bandera
🇹🇴;Bandera: Tonga;Bandera
🇹🇷;Bandera: Turquía;Bandera
🇹🇹;Bandera: Trinidad y Tobago;Bandera
🇹🇻;Bandera: Tuvalu;Bandera
🇹🇼;Bandera: Taiwán;Bandera
🇹🇿;Bandera: Tanzania;Bandera
🇺🇦;Bandera: Ucrania;Bandera
🇺🇬;Bandera: Uganda;Bandera
🇺🇲;Bandera: Islas menores alejadas de EE. UU.;Bandera
🇺🇳;Bandera: Naciones Unidas;Bandera
🇺🇸;Bandera: Estados Unidos;Bandera
🇺🇾;Bandera: Uruguay;Bandera
🇺🇿;Bandera: Uzbekistán;Bandera
🇻🇦;Bandera: Ciudad del Vaticano;Bandera
🇻🇨;Bandera: San Vicente y las Granadinas;Bandera
🇻🇪;Bandera: Venezuela;Bandera
🇻🇬;Bandera: Islas Vírgenes Británicas;Bandera
🇻🇮;Bandera: Islas Vírgenes de EE. UU.;Bandera
🇻🇳;Bandera: Vietnam;Bandera
🇻🇺;Bandera: Vanuatu;Bandera
🇼🇫;Bandera: Wallis y Futuna;Bandera
🇼🇸;Bandera: Samoa;Bandera
🇽🇰;Bandera: Kosovo;Bandera
🇾🇪;Bandera: Yemen;Bandera
🇾🇹;Bandera: Mayotte;Bandera
🇿🇦;Bandera: Sudáfrica;Bandera
🇿🇲;Bandera: Zambia;Bandera
🇿🇼;Bandera: Zimbabue;Bandera
🏴󠁧󠁢󠁥󠁮󠁧󠁿;Bandera: Inglaterra;Bandera
🏴󠁧󠁢󠁳󠁣󠁴󠁿;Bandera: Escocia;Bandera
🏴󠁧󠁢󠁷󠁬󠁳󠁿;Bandera: Gales;Bandera
