😀;মুখে দেঁতো হাসি;দেঁতো হাসি|মুখ|হাসি
📖;খোলা বই;খোলা|বই
📗;সবুজ বই;বই|সবুজ
📘;নীল বই;নীল|বই
📙;কমলা বই;কমলা|কমলা রঙয়ের বই|পড়াশুনা|বই|লেখাপড়া
📚;বই;
📓;নোটবুক;নোটবই
📒;খাতা;নোটবই|নোটের খাতা
📃;মোড়ানো পৃষ্ঠা;কুন্ডলী পাকানো|ডকুমেন্ট|নথি|পৃষ্ঠা
📜;পাকানো;কাগজ
📄;পৃষ্ঠাটির মুখ উপরের দিকে;কাগজ|ডকুমেন্ট|নথি|পৃষ্ঠা
📰;সংবাদপত্র;কাগজ|পেপার|যোগাযোগ|সংবাদ
🗞️;রোল করা সংবাদপত্র;কাগজ|খবরের কাগজ|পাকানো|রোল করা খবরের কাগজ|সংবাদ|সংবাদপত্র
📑;বুকমমার্ক ট্যাব;চিহ্ন|ট্যাব|বুকমার্ক|মার্কার
🔖;বুকমার্ক;চিহ্ন
🏷️;লেবেল;
🪙;কয়েন;ইউরো|টাকা|ডলার|ধনী|ধাতু|মুদ্রা|মোহর|রুপা|সোনা
💰;টাকার ব্যাগ;খরচ|টাকা|ডলার|দাম|ব্যাংক|ব্যাগ|মানিব্যাগ
🪎;গুপ্তধন;ধনভাণ্ডার|পুরস্কার|মূল্যবান|মোহর|রত্ন|রূপা|লুট|সোনা
💴;ইয়েন ব্যাঙ্কনোট;ইয়েন|কাগজের মুদ্রা|টাকা|নোট|বিল|ব্যাংক|ব্যাঙ্ক|ব্যাঙ্কনোট|মুদ্রা
💵;ডলার ব্যাঙ্কনোট;টাকা|ডলার|নোট|বিল|ব্যাঙ্ক|ব্যাঙ্কনোট|মুদ্রা
💶;ইউরো ব্যাঙ্কনোট;ইউরো|কাগজের মুদ্রা|টাকা|নোট|বড়লোক|বিল|ব্যাংক|ব্যাঙ্ক|ব্যাঙ্কনোট|মুদ্রা
💷;পাউন্ড ব্যাঙ্কনোট;কাগজের মুদ্রা|টাকা|নোট|পাউন্ড|বিল|ব্যাংক|ব্যাঙ্ক|ব্যাঙ্কনোট|মুদ্রা
💸;টাকার সাথে পাখা;ওড়া|টাকা|ডলার|ডানা|নোট|বিল|ব্যাংক|ব্যাঙ্ক
💳;ক্রেডিট কার্ড;ঋণ|কার্ড|টাকা|ব্যাংক
🧾;রসিদ;অ্যাকাউন্টিং|ইনভয়েস|গণনা|চালান|দলিল|নথি|প্রমাণ|হিসাব|হিসাবরক্ষণ
💹;ইয়েনের সাথে ক্রমবর্ধমান চার্ট;ইয়েন|গ্রাফ|চার্ট|টাকা|বৃদ্ধি|ব্যাংক|মুদ্রা
✉️;খাম;ই-মেল|ইমেল
📧;ই-মেল;ইমেল|চিঠি|মেল
📨;আগত খাম;আগত|ই-মেল|ইমেল|খাম|গ্রহণ|চিঠি|মেল
📩;তীরের সাথে খাম;ই-মেল|ইমেল|খাম|চিঠি|তীর|তীর যুক্ত খাম|নিম্নমুখী|পাঠানো মেল|বহির্গামী
📤;আউটবক্স ট্রে;আউটবক্স|চিঠি|ট্রে|প্রেরিত|বাক্স|মেল
📥;ইনবক্স ট্রে;ইনবক্স|গ্রহণ|চিঠি|ট্রে|বাক্স|মেল
📦;প্যাকেজ;কুরিয়ার|বাক্স|মোড়ক|শিপিং
📫;উত্থিত পতাকার সাথে বন্ধ মেলবাক্স;ডাক বাক্স|ডাকবাক্স|বন্ধ|মেল|মেলবাক্স
📪;নত করা পতাকার সাথে বন্ধ মেলবাক্স;ডাক বাক্স|নত|বন্ধ|মেল|মেলবাক্স
📬;উত্থিত পতাকার সাথে খোলা মেলবাক্স;খোলা|ডাক বাক্স|ডাকবাক্স|মেল|মেলবাক্স
📭;নত পতাকার সাথে খোলা মেলবাক্স;খোলা|ডাক বাক্স|ডাকবাক্স|নত|পতাকা নামানো|পোস্টবক্স|মেল|মেলবাক্স
📮;পোস্টবক্স;মেল|মেলবাক্স
🗳️;ব্যালটের সাথে ব্যালট বক্স;বাক্স|ব্যালট
✏️;পেনসিল;
✒️;কালো নিব;কলম|নিব|পেন
🖋️;ফাউন্টেন পেন;কলম|পেন|ফাউন্টেন
🖊️;পেন;কলম|বলপেন
🖌️;পেইন্ট ব্রাশ;পেন্টিং
🖍️;ক্রেয়ন;মোমরং
📝;মেমো;পেন্সিল|বস্তু|মিডিয়া|যোগাযোগ|স্মারকলিপি
💼;ব্রিফকেস;
📁;ফাইল ফোল্ডার;ফাইল|ফোল্ডার
📂;ফাইল ফোল্ডার খোলা;খোলা|ফাইল|ফোল্ডার
🗂️;কার্ডের সূচীর বিভাজক;কার্ড|বিভক্ত|সূচক
📅;ক্যালেন্ডার;তারিখ
📆;টিয়ার-অফ ক্যালেন্ডার;ক্যালেন্ডার|ক্যালেন্ডারের পাতা ছেঁড়া|দিনপঞ্জিকা
🗒️;স্পাইরাল নোটপ্যাড;নোট|পেঁচানো|প্যাড
🗓️;স্পাইরাল ক্যালেন্ডার;ক্যালেন্ডার|পেঁচানো|প্যাড
📇;কার্ডের সূচী;কার্ড|কার্ড ইনডেক্স|রোলোডেক্স|সূচক
📈;ক্রমবর্ধমান চার্ট;উর্ধ্বমুখী|গ্রাফ|চার্ট|প্রবণতা|বৃদ্ধি
📉;ক্রমহ্রাসমান চার্ট;গ্রাফ|চার্ট|নিম্নমুখী|প্রবণতা
📊;বার চার্ট;গ্রাফ|চার্ট|বার
📋;ক্লিপবোর্ড;কাজের তালিকা|কী করতে হবে|নোট|ফর্দ
📌;পুশপিন;পিন
📍;গোলাকার পুশপিন;পিন|পুশ পিন
📎;পেপারক্লিপ;
🖇️;সংযুক্ত পেপার ক্লিপ;জিনিস|পেপার ক্লিপ|বস্তু|লিংক
📏;সোজা রুলার;রুলার|সোজা প্রান্ত
📐;ত্রিভুজাকৃতি রুলার;ত্রিভুজ|রুলার|সেট
✂️;কাঁচি;টুল|সরঞ্জাম
🗃️;কার্ডের ফাইল বক্স;কার্ড|ফাইল|বাক্স
🗄️;ফাইলের ক্যাবিনেট;ক্যাবিনেট|ফাইল
🗑️;নোংরা ফেলার ঝুড়ি;বাজে কাগজ ফেলার ঝুঁড়ি|ময়লা ফেলার ঝুড়ি
🔒;তালা বন্ধ;গোপন|তালা|বন্ধ
🔓;খোলা তালা;খোলা|তালা
🔏;পেনের সাথে তালা;কলম|কালি|গোপনীয়তা|তালা|নিব|পেন ও তালা
🔐;চাবি দিয়ে তালা বন্ধ করা;চাবি|তালা|নিরাপদ|বন্ধ
🔑;চাবি;তালা|পাসওয়ার্ড
🗝️;পুরোনো চাবি;চাবি|তালা|পুরানো|সূত্র
🔨;হাতুড়ি;সরঞ্জাম
🪓;কুঠার;কাঠ|কাঠ কাটা|কুড়াল|ক্ষুদ্র কুঠার|টুকরো করা|ফালি করা
⛏️;কুড়াল;খনন|টুল|সরঞ্জাম
⚒️;হাতুড়ি এবং কুড়াল;গাইতি|টুল|সরঞ্জাম|হাতুড়ি
🛠️;হাতুড়ি এবং রেঞ্চ;রেঞ্চ|সরঞ্জাম|হাতুড়ি
🗡️;ছুরি;অস্ত্র
⚔️;আড়াআড়ি রাখা তলোয়ার;অস্ত্র|আড়াআড়ি ভাবে থাকা|আড়াআড়িভাবে রাখা তলোয়ার|তলোয়ার
💣;বোমা;কমিক
🪃;বুমের‌্যাঙ;অস্ত্র|একধরনের ক্ষেপণাস্ত্র|প্রতিক্রিয়া|প্রতিক্ষিপ্ত|বুমেরাং
🏹;তীর ধনুক;অস্ত্র|তীর|তীরন্দাজ|ধনু|ধনুক|ধনুরাশি|রাশিচক্র|সরঞ্জাম
🛡️;ঢাল;অস্ত্র
🪚;ছুতারের কাজের করাত;করাত|করাতি|কাটা|চিরা|ছাঁটা|ছুতোর|টুল|যন্ত্রপাতি
🔧;রেঞ্চ;টুল|সরঞ্জাম
🪛;স্ক্রুড্রাইভার;যন্ত্রপাতি|স্ক্রু
🔩;নাট এবং বোল্ট;টুল|নাট|নাট-বল্টু|বল্টু|বোল্ট|সরঞ্জাম
⚙️;গিয়ার;টুল|সরঞ্জাম
🗜️;ক্ল্যাম্প;কম্প্রেশন|টুলস|ভাইস|সরঞ্জাম
⚖️;ভারসাম্য স্কেল;ওজন|তুলা|তুলা রাশি|বিচার|ভারসাম্য|রাশিচক্র|সরঞ্জাম
🦯;লাঠি;অন্ধ|অন্ধ ব্যক্তি|অন্ধের লাঠি|অ্যাক্সেসিবিলিটি
🔗;লিঙ্ক;লিংক
⛓️‍💥;ভাঙা শিকল;কাফ|চেইন|ভাঙ্গা|শিকল|স্বাধীনতা
⛓️;চেন;চেইন|শিকল|শৃঙ্খল
🪝;বঁড়শি;আঁকড়ি|ধরা|ফাঁদে ফেলা|বড়শি|বাঁক|বাঁকানো|সেলিং পয়েন্ট|হুক
🧰;টুলবক্স;কেস|চেস্ট|টুল|বক্স|মিস্ত্রি|মেকানিক|যন্ত্র|লাল বক্স
🧲;চুম্বক;U আকৃতি|অশ্বখুর|আকর্ষণ|ইতিবাচক নেতিবাচক|চৌম্বক|চৌম্বকীয়
🪜;মই;আরোহণ|ওঠা-নামা|চড়াই করা|পদক্ষেপ|মইয়ের ধাপ|সিঁড়ি
🪏;বেলচা;কোদাল|খনন|খোঁড়া|গর্ত|স্কুপ
⚗️;অ্যালেমবিক;টুল|রসায়ন|সরঞ্জাম
🧪;টেস্ট টিউব;কেমিস্ট|গবেষণা|গবেষণাগার|পরীক্ষা|বিজ্ঞান|রসায়ন|রসায়নবিদ|ল্যাব|সায়েন্স
🧫;পেট্রি ডিশ;গবেষণাগার|জীববিজ্ঞানী|জীববিদ্যা|ব্যাকটেরিয়া|ল্যাব|সংস্কৃতি
🧬;ডিএনএ;জিন|জীন|জীবন|জীববিজ্ঞানী|জেনেটিক্স|বিবর্তন
🔬;মাইক্রোস্কোপ;বিজ্ঞান|সরঞ্জাম
🔭;টেলিস্কোপ;সরঞ্জাম
📡;স্যাটেলাইট অ্যান্টেনা;অ্যান্টেনা|উপগ্রহ|ডিশ
💉;সিরিঞ্জ;অসুস্থ|ইঞ্জেকশন|ওষুধ|টিকা|ডাক্তার|ভ্যাকসিন|সরঞ্জাম|সূঁচ
🩸;এক ফোঁটা রক্ত;আঘাত|ঋতুস্রাব|ওষুধ|ঔষধ|রক্ত পরা|রক্তদান|রজঃস্রাব
💊;বড়ি;অসুস্থ|ওষুধ|ডাক্তার|পিল|ভিটামিন
🩹;আঠালো ব্যান্ডেজ;ছোট ব্যান্ডেজ|ব্যাণ্ডেজ
🩼;ক্রাচ;অক্ষমতা|গতিশীলতার সহায়ক|বেত|ব্যাথা পাওয়া|লাঠি|সাহায্য চাই
🩺;স্টেথোস্কোপ;ওষুধ|ঔষধ|ডাক্তার|নিঃশ্বাস|পরীক্ষা করা|শ্বাস প্রশ্বাস|স্বাস্থ্য|হার্ট
🩻;এক্স-রে;কঙ্কাল|ডাক্তার|ডাক্তারি|হাড়
🚪;দরজা;পেছনের দরজা|সামনের দরজা
🛗;এলিভেটর;অ্যাকসেসিবিলিটি|উত্তোলক যন্ত্র|ওঠা-নামা|লিফ্ট|হয়েস্ট
🪞;আয়না;ছদ্মবেশ|ছায়া|দর্পণ|প্রতিচ্ছায়া|প্রতিফলিত|প্রতিবিম্ব|প্রতিরুপ|মেকআপ|সাজসজ্জা
🪟;জানালা;উইন্ডো|কাঁচের পাল্লা|খোলা|তাজা বাতাস|দৃশ্য|ফ্রেম|বাতায়ন|স্বচ্ছ
🛏️;বিছানা;ঘুম|শুয়ে|শোওয়া|হোটেল
🛋️;পালঙ্ক ও বাতি;কাউচ|ল্যাম্প|সোফা|হোটেল
🪑;চেয়ার;আসন|বসার জায়গা
🚽;শৌচাগার;টয়লেট
🪠;প্লানজার;চাপদণ্ড|টয়লেট|পরিষ্কার|প্লামবার|ফোর্স কাপ|রাবার|ল্যাট্রিন|সাকশন|হাতল
🚿;শাওয়ার;গোছল|জল|পানি
🛁;বাথটব;গোছল|স্নান
🪤;ইঁদুর ধরার কল;ইঁদুর ধরার ফাঁদ|চিজ|টোপ|পনির|প্রলোভন|ফাঁদ|ফাঁদে ধরা|ফাঁদে ফেলা|শিকার
🪒;ক্ষুর;জিনিস|দাড়ি কামানো|দাড়ি কামানো জন্য|দাড়ি কামানোর জন্য|ধারাল|রেজর|সরঞ্জাম
🧴;লোশন বোতল;ময়শ্চারাইজার|লোশন|লোশনের বোতল|শ্যাম্পু|সানস্ক্রিন
🧷;সেফটি পিন;ডাইপার|নিরাপত্তা পিন|পাঙ্ক রক|পিন
🧹;ঝাড়ু;জাদুকরী|ঝাড়ু দেওয়া|ঝাড়ু দেত্তয়া|ডাইনি|ডাইনী|পরিস্কার করা|সাফাই
🧺;টুকরি;কৃষি|কৃষি কাজ|ঝুড়ি|ডালা|পিকনিক|বনভোজন|লন্ড্রি
🧻;কাগজের রোল;কাগজ|কাগজের তোয়ালে|টয়লেট টিস্যু|টয়লেট পেপার|টিস্যু|পেপার
🪣;বালতি;চৌবাচ্চা|জলপাত্র|পিপা
🧼;সাবান;গোসল|পরিষ্কার|বার|সাবানদানি|সাবানের ফেনা|স্নান
🫧;বুদবুদ;জলের নীচে|ঢেঁকুর|পরিষ্কার|ভাসমান|সাবান
🪥;ব্রাশ;টুথ ব্রাশ|দন্ত|দাঁত|পরিষ্কার|বাথরুম|স্বাস্থ্যবিধি
🧽;স্পঞ্জ;ছিদ্রময়|জবজবে|পরিষ্কার|ভিজে যাওয়া|ভেজানো|শুষে নেওয়া|শোষক|সাফাই
🧯;অগ্নি নির্বাপক;আগুন|নির্বাপণ|নেভান
🛒;শপিং কার্ট;কার্ট|ট্রলি|শপিং
🚬;সিগারেট;ধুম্রপান|ধূমপান
⚰️;কফিন;মৃত্যু
🪦;কবরের শীর্ষদেশের পাথর;কবর|কবরখানা|কবরস্থান|কবরের শীর্ষের পাথর|সমাধিপ্রস্তর|স্মৃতির ফলক
⚱️;অন্তেষ্ট্যি ক্রিয়াকর্মের পাত্র;অন্ত্যেষ্টিক্রিয়া|অন্ত্যেষ্টিক্রিয়ার ছাই|পাত্র|মৃত্যু
🧿;নজর আমুলেট;অক্ষ|কবচ|কুদৃষ্টি|কুনজর|জাদু|নজর|নীল|ফোঁটা|বিন্দু
🪬;হামসা;অ্যামুলেট|গাইড|ফতিমা|মিরিয়াম|মেরি|সুরক্ষা|হাত
🗿;মোআই;মুখ|মূর্তি|মোয়াই
🪧;প্ল্যাকার্ড;চিহ্ন|প্রতিবাদ|প্রদর্শন|ফাঁড়ি|বিজ্ঞপ্তি
🪪;সনাক্তকরণ কার্ড;আইডি|ডকুমেন্ট|পরিচয় পত্র|লাইসেন্স|শংসাপত্র|সুরক্ষা
🏧;এটিএম চিহ্ন;এটিএম|টেলার|ব্যাংক|ব্যাঙ্ক|স্বয়ংক্রিয়
🚮;বিন চিহ্নে লিটার;জঞ্জাল|জঞ্জাল বাক্স|ময়লা
🚰;পেয় জল;জল|জিনিস|ট্যাপ|পান করা|পানি|পানীয়
♿;হুইলচেয়ার;অ্যাক্সেস|প্রবেশ
🚹;পুরুষদের কক্ষ;পুরুষ|রেস্টরুম|শৌচাগার
🚺;মহিলাদের কক্ষ;নারী|রেস্টরুম|শৌচাগার
🚻;আরামের কক্ষ;শৌচাগার
🚼;শিশুর চিহ্ন;চিহ্ন|চেঞ্জিং|শিশু|শিশুর কাপড় বদলানোর চিহ্ন
🚾;বাথরুম;জল|রেস্টরুম
🛂;পাসপোর্ট নিয়ন্ত্রণ;নিয়ন্ত্রণ|পাসপোর্ট
🛃;কাস্টম;কাস্টমস|প্যাকিং
🛄;জিনিসপত্র দাবি করা;দাবি|ব্যাগেজ|ভ্রমণ
🛅;মালপত্র ছেড়ে যাওয়া;ব্যাগেজ|মালপত্র|লকার|লাগেজ
⚠️;সতর্কতা;ধূমপান|সাবধান
🚸;শিশুরা ক্রস করছে;ট্রাফিক|পথচারী|পারাপার|সন্তান
⛔;নো এন্ট্রি;ট্রাফিক|নয়|না|নিষিদ্ধ|নিষিদ্ধ থাকা|প্রবেশ|প্রবেশ নিষেধ
🚫;নিষিদ্ধ;নয়|না|প্রবেশ
🚳;বাইসাইকেল নিষিদ্ধ;নয়|না|নিষিদ্ধ|নিষিদ্ধ থাকা|বাইক|বাইসাইকেল|যানবাহন|সাইকেল|সাইকেল চালানো যাবে না
🚭;ধূমপান করবেন না;ধূমপান|নয়|না|নিষিদ্ধ|নিষিদ্ধ থাকা
🚯;আবর্জনা ছড়াবেন না;আবর্জনা ফেলবেন না|জঞ্জাল|নয়|না|নিষিদ্ধ|নিষিদ্ধ থাকা
🚱;পেয় জল নয়;জল|জল পান করার উপযুক্ত নয়|নিষিদ্ধ
🚷;যাত্রী পারাপার নিষেধ;নয়|না|নিষিদ্ধ|নিষিদ্ধ থাকা|পথচারী
📵;কোনো মোবাইল ফোন নেই;টেলিফোন|না|নিষিদ্ধ|ফোন|মোবাইল|মোবাইলের অনুমতি নেই|সেল
🔞;আঠারোর মধ্যে কেউ নেই;18|অপরিণত|আঠারো|আঠারোর উপরে নয়|নিষিদ্ধ|বয়স সীমা
☢️;রেডিওঅ্যাকটিভ;চিহ্ন
☣️;বায়োহ্যাজার্ড;চিহ্ন|বিপদজনক
⬆️;উপরে তীর;উত্তর|উপরের দিকে তীর|তীর|দিক|দিকনির্দেশ|পরিমাণবাচক
↗️;উপরে ডানে তীর;আন্তঃ দিগনির্ণয়|উত্তর-পূর্ব|উপরে ডানদিকে তীর|তীর|দিক
➡️;ডানদিকের তীর;তীর|দিক|দিকনির্দেশ|পরিমাণবাচক|পূর্ব
↘️;নিচে ডান দিকের তীর;আন্তঃ দিগনির্ণয়|তীর|দক্ষিণ-পূর্ব|দিক|নিচে ডানদিকে তীর
⬇️;নিচের দিকের তীর;তীর|দক্ষিণ|দিক|দিকনির্দেশ|নিচে|নিচের দিকে তীর|পরিমাণবাচক
↙️;নীচের বামে তীর;আন্তঃ দিগনির্ণয়|তীর|দক্ষিণ-পশ্চিম|দিক|নিচের বাঁঁদিকে তীর
⬅️;বাম তীর;তীর|দিক|দিকনির্দেশ|পরিমাণবাচক|পশ্চিম|বাঁঁদিকের তীর
↖️;উপরে বামে তীর;আন্তঃ দিগনির্ণয়|উত্তর-পশ্চিম|উপরে বাঁঁদিকে তীর|তীর|দিক
↕️;উপরে নীচে তীর;উপর নিচে তীর|তীর
↔️;বামে-ডানে তীর;চিহ্ন|তীর
↩️;ডান তীর বাদিকে বাঁকানো;তীর
↪️;বাম তীর ডান দিকে বাঁকানো;তীর
⤴️;ডান তীর উপরের দিকে বাঁকানো;ঊর্ধ্বমুখী|ডানদিকের তীর উপরের দিকে বাঁকানো|তীর
⤵️;ডান তীর নীচের দিকে বাঁকানো;ডানদিকের তীর নিচের দিকে বাঁকানো|তীর|নিম্নমুখী
🔃;ঘড়ির কাঁটার উল্লম্ব তীর;ঘড়ির কাঁটার দিকে|তীর|পুনরায় লোড
🔄;ঘড়ির কাঁটার বিপরীতে তীর বোতাম;অ্যান্টি ক্লক|ঘড়ির কাঁটার বিপরীত দিকে|ঘড়ির কাঁটার বিপরীত দিকে ঘোরা|ঘড়ির কাঁটার বিপরীতের বোতাম|তীর|রিফ্রেশ
🔙;পিছনে তীর;তীর|পিছনে
🔚;শেষের তীর;তীর|শেষ
🔛;অন! তীর;চালু|চিহ্ন|তীর
🔜;শীঘ্র তীর;চিহ্ন|তাড়াতাড়ি|তাড়াতাড়ি কর|তীর|শীঘ্রই
🔝;শীর্ষের তীর;উপরের দিকে তীর|উর্দ্ধমুখী|খুব কাছের কেউ|তীর|শীর্ষ
🛐;উপাসনার স্থান;ধর্ম|পূজা
⚛️;কণিকার চিহ্ন;অণু|নাস্তিক|পরমাণু|পরমাণুর চিহ্ন
🕉️;ওম;ধর্ম|হিন্দু
✡️;ডেভিড নক্ষত্র;ইহুদি|ডেভিড|তারা|ধর্ম
☸️;ধর্মের চাকা;চাকা|ধর্ম|বৌদ্ধ
☯️;ইন ইয়াঙ্গ;ইন|ইন ইয়ান|ইয়াং|কঠিন|জীবন|তাও|তাওবাদী|ধর্ম
✝️;ল্যাটিন ক্রস;ক্রস|খৃস্টান|ধর্ম
☦️;অর্থডক্স ক্রস;ক্রস|খৃস্টান|ধর্ম
☪️;তারা এবং অর্ধচন্দ্রাকার;ইসলাম|ধর্ম|মুসলিম
☮️;শান্তির চিহ্ন;শান্তি
🕎;মেনোরা;ইহুদী|দীপাধার|ধর্ম|বাতিদান
🔯;ডট-যুক্ত ছটি পয়েন্টের তারা;তারা|সৌভাগ্য
🪯;খান্দা;খালসা|ধর্ম|শিখ|শিখ ধর্মীয় প্রতীক
♈;মেষ;রাশিচক্র
♉;বৃষ;বুল|মহিষ|রাশিচক্র
♊;মিথুন;মিথুনরাশি|রাশিচক্র
♋;কর্কট;কর্কটরাশি|রাশিচক্র
♌;সিংহ রাশি;রাশিচক্র|সিংহ
♍;কন্যা;কন্যারাশি|কুমারী|রাশিচক্র
♎;তুলা;তুলারাশি|বিচার|ভারসাম্য|রাশিচক্র
♏;বৃশ্চিক;রাশিচক্র
♐;ধনু;রাশিচক্র
♑;মকর;চিহ্ন|রাশিচক্র|রাশিফল
♒;কুম্ভ;কুম্ভ রাশি|জল|রাশিচক্র
♓;মীন;রাশিচক্র
⛎;অফিউচুস;বাহক|রাশিচক্র|সাপ
🔀;অদলবদল ট্র্যাক বোতাম;আড়াআড়ি ভাবে অদলবদল করা|তীর|পরে
🔁;পুনরায় করার বোতাম;আবার|আবার করার বোতাম|ঘড়ির কাঁটার দিকে|তীর|পুনরাবৃত্তি
🔂;পুনরায় করার একক বোতাম;একবার|ঘড়ির কাঁটার দিকে|তীর
▶️;প্লে বোতাম;চালানো|ডানদিক|তীর|ত্রিভুজ|প্লে ফরওয়ার্ড বোতাম|প্লে ফরোয়ার্ড বোতাম|ফরোয়ার্ড
⏩;ফাস্ট-ফরোয়ার্ড বোতাম;অগ্রবর্তী|চিহ্ন|তীর|দ্বিগুণ|দ্রুত|ফাস্ট-ফরোয়ার্ড করার বোতাম
⏭️;পরবর্তী ট্র্যাকের বোতাম;তীর|ত্রিভুজ|পরবর্তী ট্র্যাক|পরবর্তী ট্র্যাকের যাওয়ার বোতাম|পরের দৃশ্য
⏯️;প্লে বা বিরতি বোতাম;খেলা|ডান|তীর|ত্রিভুজ|প্লে বা পজ করার বোতাম|বিরতি
◀️;রিভার্স বোতাম;তীর|ত্রিভুজ|প্লে রিভার্স বোতাম|বাম|বিপরীত
⏪;দ্রুত রিভার্স বোতাম;তীর|দ্বিগুণ|পিছনে|পিছনে ফেরা|ফাস্ট রিভার্স বোতাম
⏮️;শেষের ট্র্যাক বোতাম;তীর|ত্রিভুজ|পূর্ববর্তী ট্র্যাক|পূর্ববর্তী ট্র্যাকে যাওয়ার বোতাম|পূর্ববর্তী দৃশ্য
🔼;উপরের বোতাম;উপরের করার বোতাম|তীর|বোতাম|লাল
⏫;দ্রুত উপরের বোতাম;তীর|দ্বিগুণ|দ্রুত এগিয়ে যাওয়ার বোতাম
🔽;নীচের বোতাম;তীর|নিচে|বোতাম|লাল
⏬;দ্রুত নীচের বোতাম;তীর|দ্বিগুণ|দ্রুত নিচের দিকে যাওয়ার বোতাম|নিচে
⏸️;বিরতি বোতাম;উল্লম্ব|দ্বিগুণ|পজ করার বোতাম|বার|বিরতি
⏹️;বন্ধ বোতাম;বন্ধ|বর্গাকার|বর্গাকার বন্ধ করার বোতাম
⏺️;রেকর্ড বোতাম;বৃত্ত|রেকর্ড|রেকর্ড করার বোতাম
⏏️;ইজেক্ট বোতাম;মোছা
🎦;সিনেমা;ক্যামেরা|চলচ্চিত্র|ফিল্ম|মুভি
🔅;অনুজ্জ্বল বোতাম;অস্পষ্ট|উজ্জ্বলতা|কম|কম আলো
🔆;উজ্জ্বল বোতাম;উজ্জ্বল|উজ্জ্বলতা
📶;অ্যান্টেনা দণ্ড;অ্যান্টেনা|টেলিফোন|ফোন|বার|মোবাইল|সিগন্যাল|সেল
🛜;ওয়্যারলেস;ইন্টারনেট|ওয়াইফাই|কম্পিউটার|নেটওয়ার্ক|ব্রডব্যান্ড
📳;ভাইব্রেশন মোড;কম্পন|টেলিফোন|ফোন|মোড|মোবাইল|সেল
📴;মোবাইল ফোন বন্ধ;টেলিফোন|ফোন|বন্ধ|মোবাইল|সেল
♀️;স্ত্রী চিহ্ন;মহিলা|স্ত্রি
♂️;পুরুষ চিহ্ন;ছেলে|পুরুষ
⚧️;রূপান্তরিত লিঙ্গ চিহ্ন;রূপান্তরিত লিঙ্গ
✖️;গুণ;×|এক্স|চিহ্ন|বাতিল
➕;যোগ;+|গণিত|চিহ্ন
➖;বিয়োগ;-|−|গণিত|চিহ্ন
➗;ভাগ;÷|গণিত|চিহ্ন|বিভাজন
🟰;মোটা সমান চিহ্ন;অঙ্ক|উত্তর|সমতা|সমান চিহ্ন
♾️;অনন্ত;অসীম|চিরতরে|বিশ্বজনীন
‼️;দুটি বিস্ময়বোধক চিহ্ন;চিহ্ন|বিস্ময়বোধক|ব্যাং ব্যাং|যতিচিহ্ন
⁉️;বিস্ময়বোধক প্রশ্নবোধক চিহ্ন;!|!?|?|চিহ্ন|প্রশ্ন|বিস্ময়বোধক|বিস্ময়বোধক এবং প্রশ্নবোধক|যতিচিহ্ন
❓;প্রশ্নবোধক চিহ্ন;?|চিহ্ন|প্রশ্ন|যতিচিহ্ন চিহ্ন
❔;সাদা প্রশ্নবোধক চিহ্ন;?|চিহ্ন|প্রশ্ন|যতিচিহ্ন|রূপরেখা
❕;সাদা বিস্ময়বোধক চিহ্ন;!|চিহ্ন|বিস্ময়বোধক|যতিচিহ্ন|রূপরেখা|সাদা বিস্ময়বোধক
❗;বিস্ময়বোধক চিহ্ন;!|চিহ্ন|বিস্ময়বোধক|যতিচিহ্ন|লাল
〰️;তরঙ্গায়িত ড্যাশ;ড্যাশ|ঢেউ|ঢেউ খেলানো ড্যাশ|তরঙ্গ|তরঙ্গায়িত|যতিচিহ্ন
💱;মুদ্রা বিনিময়;টাকা|ডলার|বিনিময়|ব্যাংক|মুদ্রা
💲;খুব বড় ডলারের চিহ্ন;কারেন্সি|চিহ্ন|টাকা|ডলার|পয়সা|মুদ্রা
⚕️;চিকিৎসার চিহ্ন;অ্যাসক্লিপিয়স|ওষুধ|ঔযদ|ঔষধ|চিকিৎসা|স্টাফ
♻️;রিসাইকেলিং চিহ্ন;চিহ্ন|পুনর্ব্যবহার|রিসাইকেল
⚜️;পুষ্পবিশেষ;ফ্লার-ডি-লিস|ফ্লার-ডি-লিস (একধরনের ফুল)|যোদ্ধা
🔱;ত্রিশূল প্রতীক;জাহাজ|ত্রিশূল|নোঙ্গর|প্রতীক|সরঞ্জাম
📛;নামের ব্যাজ;নাম|ব্যাজ
🔰;শিক্ষানবিসদের জন্য জাপানী প্রতীক;জাপানি|পাতা|শিক্ষানবিস|শিক্ষানবিসদের জন্য জাপানি প্রতীক|শেভ্রন|সবুজ|সরঞ্জাম|হলুদ
⭕;ফাঁপা লাল বৃত্ত;ইংরাজী ‘ও’ চিহ্ন|ও|বড়|বৃত্ত|লাল
✅;সাদা চেক মার্ক বোতাম;✓|চিহ্ন|টিক|বোতাম
☑️;চেকের সাথে ব্যালট বক্স;✓|চেক|চেকের সাথে চেক বক্স|টিক|টিক চিহ্ন|বক্স|বাক্স|ব্যালট|হয়ে গেছে
✔️;চেক মার্ক;✓|চিহ্ন|টিক
❌;ক্রস মার্ক;×|x|এক্স|গুণ|গুন করা|চিহ্ন|বাতিল
❎;ক্রস মার্কের বোতাম;×|x|চিহ্ন|বর্গাকার
➰;কার্লি লুপ;কুন্ডলী পাকানো|লুপ
