😀;широко улыбается;лицо|радость|смех|счастье|улыбка
🪚;пила по дереву;древесина|инструмент|пила|пилить|плотник|резать|столяр
🔧;гаечный ключ;гаечный|инструмент|ключ|ремонт
🪛;отвертка;винт|инструмент|мастер|умелец
🔩;болт и гайка;болт|винт|гайка|закрутить|инструмент|ремонт|шуруп
⚙️;шестеренка;деталь|зубчатое|колесо|шестерня
🗜️;компрессор;зажим|тиски
⚖️;весы;взвешивание|знак|зодиак|правосудие|справедливость
🦯;белая трость;белая|инвалид|палка|слепой|трость|ходьба
🔗;гиперссылка;звенья|связывание|связь|ссылка|цепочка|цепь
⛓️‍💥;разорванная цепь;оковы|разорвать|разрыв|свобода|цепь
⛓️;цепь;звено|звенья|цепи|цепочка
🪝;крюк;захват|крючок|подвес|уловка
🧰;ящик для инструментов;инструменты|комплект инструментов|коробка|красный ящик|мастер|механик|набор инструментов|ремонт|слесарь
🧲;магнит;магнетический|магнит-подкова|отрицательный|подкова|положительный|притяжение
🪜;лестница;залезать|лезть|перекладина|стремянка|ступень
🪏;лопата;ковш|копать|совок|яма
⚗️;перегонный сосуд;аппарат|куб|перегонный|сосуд|химия
🧪;пробирка;лаборатория|наука|опыты|химик|химия|эксперимент|эксперименты
🧫;чашка Петри;анализы|бактерии|биолог|биология|лаборатория|эксперимент
🧬;ДНК;биология|генетика|гены|жизнь|молекула|эволюция
🔬;микроскоп;биология|изучать|инструмент|исследовать|клетки|лупа|микробы|прибор|увеличение
🔭;телескоп;астрономия|звезды|инструмент|линза|лупа|планетарий|планеты|прибор|увеличительное стекло
📡;спутниковая антенна;антенна|спутник|спутниковая
💉;шприц;инъекция|кровь|лечение|медицина|препарат|прививка|укол
🩸;капля крови;донор|капля|красный|кровить|кровоточить|кровь|медицина|менструация
💊;пилюля;барбитураты|капсула|лекарство|лечиться|медикаменты|препарат|рецепт|таблетка
🩹;пластырь;заклеить|лейкопластырь|лечить|медицина|порез|рана
🩼;костыль;инвалид|инвалидность|костыли|опора|перелом|повреждение|помощь|предмет|травма|трость
🩺;стетоскоп;врач|доктор|инструмент|медицина|сердце|слушать
🩻;рентген;врач|кости|медицина|предмет|просветить|скелет|снимок
🚪;дверь;вход|входная|выход|двери|дверная ручка|закрытая|проем
🛗;лифт;грузоподъемник|подъемник|специальные возможности
🪞;зеркало;краситься|макияж|отражатель|отражение
🪟;окно;вид|окошко|прозрачный|рама|свежий воздух|стекло
🛏️;кровать;гостиница|дом|застеленная постель|отель|постель|пустая|спальня|спать
🛋️;диван и торшер;вечер|диван|лампа|лень|отдых дома|торшер|уют
🪑;стул;мебель|сидение|сидеть|сидя|стулья
🚽;унитаз;бачок|смывать|туалет
🪠;вантуз;засор|прочистка|сантехник|слив|сортир|туалет
🚿;душ;вода|мыться|принимать душ|струя воды|чистота
🛁;ванна;ванная|вода|купаться|мыться|принимать ванную|чистота
🪤;мышеловка;заманить|западня|капкан|ловушка|приманка|сыр
🪒;бритва;бритье|бриться|лезвие|лицо|опасная|острый
🧴;бутылка лосьона;бальзам|гель для душа|кондиционер|крем|лосьон|увлажнение|флакон|шампунь
🧷;английская булавка;булавка|приколоть|пристегнуть
🧹;метла;ведьма|веник|подметать|уборка
🧺;корзина;грибы|корзина с бельем|пикник|собирать|стирка|ягоды
🧻;рулон бумаги;бумага|бумажное полотенце|бумажные полотенца|рулон|салфетка|туалетная бумага
🪣;ведро;бадья|ведерко|кадка
🧼;мыло;ванна|душ|купание|кусок мыла|мало|мыльная пена|мыть|пена|пузыри
🫧;пузыри;вода|мыло|мыльные пузыри|мыть|предмет|пузырь|чистый
🪥;зубная щетка;ванная|гигиена|зубы|умываться|чистить|чистый|щетка
🧽;губка;ванна|впитывать|мочалка|мыло|мыть|мытье посуды|пена|посуда|спонж|чистить
🧯;огнетушитель;красный|огонь|пожар|тушение пожара|тушить
🛒;тележка для покупок;магазин|покупки|тележка
🚬;сигарета;дым|курение|курить|курю|можно|окурок|пепел|разрешено
⚰️;гроб;гибель|погребение|похороны|смерть
🪦;надгробие;гробница|кладбище|могила|могильный камень
⚱️;урна с прахом;останки|пепел|похороны|прах|смерть|урна
🧿;назар бонджук;амулет|око|сглаз|синий|талисман
🪬;хамса;амулет|защита|защитить|кисть|ладонь|предмет|рука|рука Марии|рука Мириам|рука Фатимы
🗿;истукан;голова|лицо|остров|пасхи|статуя
🪧;плакат;высказаться|демонстрация|заявление|знак|пикет|протест
🪪;удостоверение личности;водительские права|документ|паспорт|права|удостоверение
🏧;значок банкомата;банкомат|выдача|деньги|наличные|терминал
🚮;бросайте мусор в урну;мусор|мусорить|мусорка|урна
🚰;питьевая вода;вода|кран|пить|питьевая
♿;значок «для инвалидов»;возможности|доступ|значок|инвалид|инвалидная|коляска
🚹;мужской туалет;кабинки|мужской|мужчины|туалет|уборная
🚺;женский туалет;женщины|кабинки|туалет|уборная
🚻;уборная;WC|туалет
🚼;пеленальная;дети|младенцы|пеленки|стол
🚾;туалет;WC|общественный|уборная|унитаз
🛂;паспортный контроль;контроль|паспортный|печать|пограничник|проверка
🛃;таможня;багаж|граница|проверка|таможенник
🛄;получение багажа;багаж|лента|получение|прибытие|чемодан
🛅;забытый багаж;багаж|замок|кабинка|камера|ключ|хранения|чемодан
⚠️;значок предупреждения;восклицательный|желтый|знак|оповещение|осторожно|предупреждение|треугольный
🚸;знак «дети»;движение|дети|дорога|знак "дети"|переход|пешеход|пешеходы
⛔;въезд запрещен;вход|въезд|запрещен|запрещено|кирпич|красный|круг|нет|стоп
🚫;запрещено;вход|входа|зачеркнутый|красный|круг|нельзя|нет
🚳;перечеркнутый велосипед;велосипед|въезд|въезда|запрещено|нельзя|нет|перечеркнутый
🚭;курение запрещено;запрет|запрещено|красный|круг|курение|курить|не|нельзя|черный
🚯;не мусорьте;запрещено|красный|мусор|мусорить|нельзя|перечеркнутый|черный
🚱;непитьевая вода;вода|вредно|запрещено|кран|круг|не|нельзя|непитьевая|опасно|перечеркнутый|пить
🚷;переход запрещен;входить|запрещен|круг|не|опасно|переход|пешеход|пешеходный
📵;мобильные телефоны запрещены;запрещен|запрещено|запрещены|звонить|звонки|мобильный|перечеркнутый|смартфон|сотовый|телефон
🔞;для людей старше восемнадцати лет;18 лет|запрет|нельзя|несовершеннолетним запрещено
☢️;радиация;знак|опасность|радиоактивность|символ|угроза
☣️;биологическая угроза;биологическая|знак|опасность|угроза|химическая
⬆️;стрелка вверх;вверх|направление|север|стрелка
↗️;стрелка вправо-вверх;вправо-вверх|направление|северо-восток|стрелка
➡️;стрелка вправо;восток|вправо|направление|стрелка
↘️;стрелка вправо-вниз;вправо-вниз|направление|стрелка|юго-восток
⬇️;стрелка вниз;вниз|направление|стрелка|юг
↙️;стрелка влево-вниз;влево-вниз|направление|стрелка|юго-запад
⬅️;стрелка влево;влево|запад|направление|стрелка
↖️;стрелка влево-вверх;влево-вверх|направление|северо-запад|стрелка
↕️;стрелка вверх-вниз;вверх|вверх-вниз|вниз|двойная|стрелка
↔️;стрелка влево-вправо;влево|влево-вправо|вправо|двойная|стрелка
↩️;стрелка вправо с поворотом влево;влево|вправо|изгиб|изогнутая|поворот|стрелка
↪️;стрелка влево с поворотом вправо;влево|вправо|изгиб|изогнутая|поворот|стрелка
⤴️;стрелка вправо с поворотом вверх;вверх|вправо|изгиб|изогнутая|поворот|стрелка
⤵️;стрелка вправо с поворотом вниз;вниз|вправо|изгиб|изогнутая|поворот|стрелка
🔃;по часовой стрелке;вертикальные|зависание|перезагрузка|по|стрелке|стрелки|часовой
🔄;против часовой стрелки;горизонтальные|кнопка|обновить|обновление|против|стрелки|часовой
🔙;стрелка «назад»;вернуться|назад|стрелка
🔚;стрелка «конец»;конец|стрелка конец
🔛;стрелка «активно»;активно|включено|стрелка активно
🔜;стрелка «скоро»;вправо|далее|продолжение|скоро|следует|стрелка
🔝;стрелка «верх»;вверх|верх|наверх|стрелка|топ
🛐;религия;место|молитва|молиться|поклонение|религиозное|святое|святыня
⚛️;символ атома;атеизм|атеист|атом|атомный|символ|частица
🕉️;ом;аум|мантра|религия
✡️;звезда Давида;вера|давид|еврей|звезда|иудаизм|религия|шестиконечная
☸️;колесо дхармы;буддизм|буддийский|дхарма|колесо|религия
☯️;инь-ян;вера|инь|инь-янь|религия|символ|тао|таоизм|ян|янь
✝️;латинский крест;крест|латинский|религия|христианский|христианство
☦️;православный крест;вера|крест|православие|православный|религия|христианин|христианство
☪️;звезда и полумесяц;вера|звезда|ислам|мечеть|мусульманин|мусульманство|полумесяц|Рамадан|религия|символ
☮️;пацифик;значок|мир|пацифизм|символ
🕎;менора;подсвечник|религия|свечи|ханука|ханукия
🔯;шестиконечная звезда;звезда|звезда Давида
🪯;кханда;дег|религия|сикх|сикхизм|символ|тех|фатех|хальса
♈;знак зодиака Овен;баран|гороскоп|знак|зодиак|овен|овца
♉;знак зодиака Телец;бык|гороскоп|знак|зодиак|теленок|телец
♊;знак зодиака Близнецы;близнецы|гороскоп|знак|зодиак
♋;знак зодиака Рак;гороскоп|знак|зодиак|рак
♌;знак зодиака Лев;гороскоп|знак|зодиак|лев
♍;знак зодиака Дева;гороскоп|дева|знак|зодиак
♎;знак зодиака Весы;весы|гороскоп|знак|зодиак
♏;знак зодиака Скорпион;гороскоп|знак|зодиак|скорпион
♐;знак зодиака Стрелец;гороскоп|знак|зодиак|стрелец
♑;знак зодиака Козерог;гороскоп|знак|зодиак|козерог
♒;знак зодиака Водолей;водолей|гороскоп|знак|зодиак
♓;знак зодиака Рыбы;гороскоп|знак|зодиак|рыба|рыбы
⛎;знак зодиака Змееносец;гороскоп|змееносец|знак|зодиак
🔀;случайный выбор;выбор|перемешивание|пересечение|скрещенные|случайно|случайный|стрелки
🔁;повтор;горизонтальные|замкнутые|по|повторить|стрелке|стрелки|часовой
🔂;повтор одной песни;две стрелки|кнопка|одна песня|повтор
▶️;воспроизведение;вперед|вправо|геометрия|кнопка|перемотать|перемотка|проигрывание|треугольник|фигура
⏩;перемотка вперед;вперед|вправо|два|кнопка|перемотать|перемотка|треугольника
⏭️;следующий трек;вперед|вправо|далее|два треугольника|дорожка|кнопка|композиция|перемотать|перемотка|песня|следующая|следующий|трек|черта
⏯️;воспроизведение/пауза;воспроизведение|воспроизвести|воспроизвещение|две черты|играть|кнопка|пауза|приостановить|треугольник
◀️;реверс;влево|кнопка|назад|обратный|стрелка
⏪;перемотка назад;влево|два треугольника|кнопка|назад|перемотать|стрелка
⏮️;предыдущий трек;влево|два треугольника|перемотать назад|перемотка|перемотка назад|предыдущая дорожка|предыдущая композиция
🔼;треугольник острием вверх;вверх|кнопка|кнопка треугольник острием вверх|пирамида|треугольник
⏫;два треугольника острием вверх;вверх|два треугольника|кнопка|стрелка|стрелки вверх
🔽;треугольник острием вниз;вниз|кнопка|треугольник
⏬;два треугольника острием вниз;вниз|два треугольника|кнопка|стрелка|стрелки вниз
⏸️;пауза;две черты|кнопка|кнопка паузы|остановить|стоп
⏹️;стоп;кнопка|остановить|остановка
⏺️;запись;записать|кнопка|круг|начать запись
⏏️;выброс;кнопка
🎦;видеозапись;видео|видеокамера|дубль|запись|камера|кино|кинокамера|телевидение|фильм
🔅;низкая яркость;низкий|солнышко|темно|уровень|яркость
🔆;высокая яркость;высокий|светло|уровень|яркость
📶;сигнал сети;антенна|подключение|связь|телефон|уровень сигнала
🛜;беспроводная сеть;wi-fi|wifi|wlan|вайфай|интернет|компьютер|подключение|роутер|сеть|смартфон|точка доступа|широкополосный
📳;режим вибрации;вибрация|мобильник|мобильный|режим|смартфон|телефон|телефон вибрирует
📴;выключенный телефон;выключен|выключено|мобильник|мобильный|смартфон|сотовый|телефон
♀️;женский символ;венера|женщина|символ
♂️;мужской символ;марс|мужчина|символ
⚧️;трансгендер;символ|трансгендерная|трансгендерное|трансгендерные|трансгендерный
✖️;знак умножения;знак|отмена|отмены|умножение|умножения|х
➕;знак сложения;добавить|знак|плюс|прибавить|сложение|сложения
➖;знак вычитания;вычесть|вычитание|вычитания|знак|минус|отнять
➗;знак деления;деление|деления|делить|знак|разделить
🟰;жирный знак равенства;знак|математика|равенства|равенство|равно
♾️;бесконечность;знак бесконечности|навсегда|постоянно
‼️;два восклицательных знака;восклицание|восклицательные|восклицательный|восклицательных|два|знак|знака|знаки|пунктуация
⁉️;восклицательный и вопросительный знаки;вопрос|вопросительный|восклицание|восклицательный|знак|знаки|и|пунктуация
❓;красный вопросительный знак;вопрос|вопроса|вопросительный|знак|красный|пунктуация
❔;белый вопросительный знак;?|белый|вопрос|вопросительный|знак|пунктуация
❕;белый восклицательный знак;белый|восклицание|восклицательный знак|восклицать|знак|пунктуация
❗;красный восклицательный знак;восклицание|восклицательный знак|знак|красный|пунктуация
〰️;волнистая линия;волна|волнистая|знак|линия|пунктуация
💱;обмен валюты;банк|валюта|валюты|деньги|касса|курс|обмен
💲;жирный знак доллара;валюта|деньги|доллар|США
⚕️;медицинский символ;аптека|асклепий|врачевание|жезл|лекарства|лекарство|лечение|медицина|посох|посох со змеей
♻️;утилизация;мусор|мусорный|отходы|переработка|переработка отходов
⚜️;геральдическая лилия;геральдика|герб|лилия|фигура|флер-де-лис
🔱;трезубец;вилы|посейдон|символ|эмблема
📛;бейдж;бейджик|значок|значок с именем|имя|огонь|предупреждение
🔰;символ новичка;новичок|символ|Япония|японский символ новичка
⭕;красное кольцо;большое кольцо|большой круг|кольцо|красное|красный круг|круг|синий круг
✅;белая галочка;белая|галочка|готово|знак|проверено|проверка|сделано
☑️;галочка в квадрате;бюллетень|бюллетень с галочкой|выполнено|галочка|голосование|готово|проверено|проверка|сделано
✔️;галочка;галка|готово|знак|значок|отметка|отмечено|помечено|черная галочка|черный
❌;крестик;закрытие|значок|отмена|умножение
❎;кнопка «крестик»;закрытие|квадрат|кнопка|кнопка "крестик"|крестик|умножение
➰;петля;значок|петелька
➿;двойная петля;две|двойная|петелька|петельки|петли|петля
〽️;вступает другой голос;голос|другой голос|знак|певцы|япония
✳️;восьмиконечная звездочка;восьмиконечная|звезда|звездочка
✴️;восьмиконечная звезда;восьмиконечная|звезда
❇️;искра;мерцание
©️;значок защиты авторского права;автор|авторские права|авторское|защита|значок|копирайт|право|символ
®️;зарегистрированный товарный знак;зарегистрирован|зарегистрировано|товарный знак
™️;товарный знак;ТМ|товарная марка|торговая марка|торговый знак
🫟;клякса;краска|пролить|пятно|Холи
*️⃣;клавиши: *;клавиши
0️⃣;клавиша 0;0|клавиша|ноль
1️⃣;клавиша 1;1|клавиша|один
2️⃣;клавиша 2;2|два|клавиша
3️⃣;клавиша 3;3|клавиша|три
4️⃣;клавиша 4;4|клавиша|четыре
5️⃣;клавиша 5;5|клавиша|пять
6️⃣;клавиша 6;6|клавиша|шесть
7️⃣;клавиша 7;7|клавиша|семь
8️⃣;клавиша 8;8|восемь|клавиша
9️⃣;клавиша 9;9|девять|клавиша
🔟;клавиши: 10;клавиши
🔠;ввод прописными;алфавит|ввод|верхний регистр|латиница|латинские буквы|прописные|прописные символы
🔡;ввод строчными;алфавит|буквы|ввод|кнопка|латинские буквы|нижний регистр|строчные|строчные символы
🔢;ввод цифр;ввод|цифры
🔣;ввод символов;ввод|символы
🔤;ввод латиницей;алфавит|буквы|ввод|латиница|латинские|латинский|символы
🅰️;II группа крови;2 группа крови|буква А|вторая группа крови|группа крови|группа крови А|кровь
🆎;IV группа крови;4 группа крови|буквы АВ|группа крови|группа крови AB|кровь|четвертая группа крови
🅱️;III группа крови;3 группа крови|буква В|группа крови|группа крови В|кровь|третья группа крови
🆑;кнопка «очистить»;CL|значок «понятно»|кнопка|кнопка "очистить"|кнопка "стереть"|очистить|стереть|ясно
🆒;значок «круто»;здорово|значок|кнопка|круто
🆓;значок «бесплатно»;бесплатно|значок|кнопка
ℹ️;значок информации;значок|инфо|информации|информация|подробнее|сведения|справка|справки
🆔;значок «идентификация»;значок|идентификатор|идентификация|кнопка
Ⓜ️;буква «м» в кружке;буква|буква "м" в кружке|буква в кружке|кружок|м
🆕;значок «новинка»;значок|значок "новинка"|новинка|новое|новый
🆖;значок «не годится»;значок|значок "не годится"|не годится|нехорошо|плохо
🅾️;I группа крови;1 группа крови|буква О|группа крови|группа крови O|кнопка с О|кровь|О|первая группа крови
🆗;значок «ОК»;значок|о’кей|ОК|окей|хорошо
🅿️;парковка;автостоянка|машины|парковаться|припарковаться|стоянка
🆘;значок SOS;sos|помогите|помощь|сос|спасите
🆙;значок «обновление»;вверх|значок|значок "обновление"|обновление
🆚;значок «против»;значок|кнопка|против|сравнение
🈁;значок «здесь»;здесь|значок|кнопка|япония
🈂️;цена услуги;значок|кнопка|стоимость|услуги|цена|япония
🈷️;месяц;значок|иероглиф|кнопка|сумма|япония
🈶;платно;значок|иероглиф|кнопка|наличие|япония
🈯;забронировано;занято|значок|кнопка|япония
🉐;удачная сделка;выгода|значок|кнопка|сделка|япония
🈹;скидка;деление|значок|значок "скидка"|иероглиф|кнопка|кнопка "скидка"|япония
🈚;бесплатно;значок|иероглиф|кнопка|нет в наличии|отсутствие|япония
🈲;запрет;воспрещен|вход запрещен|запрещено|значок|иероглиф|кнопка|нельзя|япония
🉑;допустимость;допустимо|значок|иероглиф|китай|кнопка|можно|приемлемо|принятие
🈸;заявка;запрос|значок|иероглиф|китай|кнопка|подача|япония
🈴;проходной балл;значок|иероглиф|китай|кнопка|пропускной балл|согласие|япония
🈳;есть места;доступно|доступность|значок|иероглиф|китай|кнопка|пусто|пустота|свободно
㊗️;поздравление;значок|кнопка|праздник|япония
㊙️;секрет;значок|кнопка|тайна|япония
🈺;открыто;значок|иероглиф|китай|кнопка|работа|работает|япония
🈵;нет мест;занято|заполнено|значок|иероглиф|кнопка|мест|нет|Япония
🔴;красный круг;геометрия|красный|круг|фигура|шар
🟠;оранжевый круг;геометрия|круг|оранжевый|фигура|шар
🟡;желтый круг;геометрия|желтый|круг|фигура|шар
🟢;зеленый круг;геометрия|зеленый|круг|фигура|шар
🔵;голубой круг;геометрия|голубой|круг|синий|фигура|шар
🟣;фиолетовый круг;геометрия|круг|фигура|фиолетовый|шар
🟤;коричневый круг;геометрия|коричневый|круг|фигура|шар
⚫;черный круг;геометрия|круг|фигура|черный|шар
⚪;белый круг;белый|геометрия|круг|фигура|шар
🟥;красный квадрат;геометрия|квадрат|красный|прямоугольник|фигура
🟧;оранжевый квадрат;геометрия|квадрат|оранжевый|прямоугольник|фигура
🟨;желтый квадрат;геометрия|желтая|желтый|карточка|квадрат|предупреждение|фигура
🟩;зеленый квадрат;геометрия|зеленый|квадрат|фигура
🟦;синий квадрат;геометрия|голубой|квадрат|синий|фигура
🟪;фиолетовый квадрат;геометрия|квадрат|прямоугольник|фигура|фиолетовый
🟫;коричневый квадрат;геометрия|квадрат|коричневый|прямоугольник|фигура
⬛;большой черный квадрат;большой|геометрия|квадрат|фигура|черный
⬜;большой белый квадрат;белый|большой|геометрия|квадрат|фигура
◼️;черный квадрат;геометрия|квадрат|средний|фигура|черный
◻️;белый квадрат;белый|геометрия|квадрат|фигура
◾;небольшой черный квадрат;геометрия|квадрат|небольшой|фигура|черный
◽;небольшой белый квадрат;белый|геометрия|квадрат|небольшой квадрат|фигура
▪️;черный квадратик;геометрия|квадрат|квадратик|маленький|фигура|черный
▫️;белый квадратик;белый|геометрия|квадрат|квадратик|маленький|фигура
🔶;большой оранжевый ромб;большой|геометрия|оранжевый|ромб|фигура
🔷;большой голубой ромб;большой|геометрия|голубой|ромб|синий|фигура
🔸;небольшой оранжевый ромб;геометрия|маленький|оранжевый|ромб|фигура
🔹;небольшой голубой ромб;геометрия|голубой|небольшой ромб|ромб|фигура
🔺;треугольник вершиной вверх;вверх|вершиной|геометрия|красный|пирамида|треугольник|фигура
🔻;треугольник вершиной вниз;вершиной|вниз|геометрия|красный|пирамида|треугольник|фигура
💠;ромб с точкой;алмаз|бриллиант|геометрия|драгоценный|камень|ромб|с|точкой|украшение|фигура|цветок
🔘;круглая кнопка;кнопка|круглая|серая
🔳;кнопка с белой рамкой;белая|белой|квадрат|кнопка|рамкой|с
🔲;кнопка с черной рамкой;квадрат|кнопка|рамкой|с|черная|черной
🏁;клетчатый флаг;в|гонка|гонки|клетку|клетчатый|финиш|флаг|черно-белый
🚩;треугольный флаг;красный|треугольный|флаг|флажок
🎌;скрещенные флаги;два|скрещенные|флага|флаги|Япония|японских
🏴;черный флаг;реет|флаг|черный
🏳️;белый флаг;белый|капитуляция|плен|реет|сдавайся|сдаваться|сдаюсь|флаг
🏳️‍🌈;радужный флаг;гей|гомосексульный|ЛГБТ|радуга|радужный|трансгендер|флаг
🏳️‍⚧️;флаг трансгендерного сообщества;белый|розовый|светло-голубой|трансгендер|флаг
🏴‍☠️;пиратский флаг;веселый роджер|кости|пираты|флаг|череп
🇦🇨;флаг: о-в Вознесения;флаг
🇦🇩;флаг: Андорра;флаг
🇦🇪;флаг: ОАЭ;флаг
🇦🇫;флаг: Афганистан;флаг
🇦🇬;флаг: Антигуа и Барбуда;флаг
🇦🇮;флаг: Ангилья;флаг
🇦🇱;флаг: Албания;флаг
🇦🇲;флаг: Армения;флаг
🇦🇴;флаг: Ангола;флаг
🇦🇶;флаг: Антарктида;флаг
🇦🇷;флаг: Аргентина;флаг
🇦🇸;флаг: Американское Самоа;флаг
🇦🇹;флаг: Австрия;флаг
🇦🇺;флаг: Австралия;флаг
🇦🇼;флаг: Аруба;флаг
🇦🇽;флаг: Аландские о-ва;флаг
🇦🇿;флаг: Азербайджан;флаг
🇧🇦;флаг: Босния и Герцеговина;флаг
🇧🇧;флаг: Барбадос;флаг
🇧🇩;флаг: Бангладеш;флаг
🇧🇪;флаг: Бельгия;флаг
🇧🇫;флаг: Буркина-Фасо;флаг
🇧🇬;флаг: Болгария;флаг
🇧🇭;флаг: Бахрейн;флаг
🇧🇮;флаг: Бурунди;флаг
🇧🇯;флаг: Бенин;флаг
🇧🇱;флаг: Сен-Бартелеми;флаг
🇧🇲;флаг: Бермудские о-ва;флаг
🇧🇳;флаг: Бруней;флаг
🇧🇴;флаг: Боливия;флаг
🇧🇶;флаг: Бонэйр, Синт-Эстатиус и Саба;флаг
🇧🇷;флаг: Бразилия;флаг
🇧🇸;флаг: Багамы;флаг
🇧🇹;флаг: Бутан;флаг
🇧🇻;флаг: о-в Буве;флаг
🇧🇼;флаг: Ботсвана;флаг
🇧🇾;флаг: Беларусь;флаг
🇧🇿;флаг: Белиз;флаг
🇨🇦;флаг: Канада;флаг
🇨🇨;флаг: Кокосовые о-ва;флаг
🇨🇩;флаг: Конго - Киншаса;флаг
🇨🇫;флаг: Центрально-Африканская Республика;флаг
🇨🇬;флаг: Конго - Браззавиль;флаг
🇨🇭;флаг: Швейцария;флаг
🇨🇮;флаг: Кот-д’Ивуар;флаг
🇨🇰;флаг: о-ва Кука;флаг
🇨🇱;флаг: Чили;флаг
🇨🇲;флаг: Камерун;флаг
🇨🇳;флаг: Китай;флаг
🇨🇴;флаг: Колумбия;флаг
🇨🇵;флаг: о-в Клиппертон;флаг
🇨🇶;флаг: Сарк;флаг
🇨🇷;флаг: Коста-Рика;флаг
🇨🇺;флаг: Куба;флаг
🇨🇻;флаг: Кабо-Верде;флаг
🇨🇼;флаг: Кюрасао;флаг
🇨🇽;флаг: о-в Рождества;флаг
🇨🇾;флаг: Кипр;флаг
🇨🇿;флаг: Чехия;флаг
🇩🇪;флаг: Германия;флаг
🇩🇬;флаг: Диего-Гарсия;флаг
🇩🇯;флаг: Джибути;флаг
🇩🇰;флаг: Дания;флаг
🇩🇲;флаг: Доминика;флаг
🇩🇴;флаг: Доминиканская Республика;флаг
🇩🇿;флаг: Алжир;флаг
🇪🇦;флаг: Сеута и Мелилья;флаг
🇪🇨;флаг: Эквадор;флаг
🇪🇪;флаг: Эстония;флаг
🇪🇬;флаг: Египет;флаг
🇪🇭;флаг: Западная Сахара;флаг
🇪🇷;флаг: Эритрея;флаг
🇪🇸;флаг: Испания;флаг
🇪🇹;флаг: Эфиопия;флаг
🇪🇺;флаг: Европейский союз;флаг
🇫🇮;флаг: Финляндия;флаг
🇫🇯;флаг: Фиджи;флаг
🇫🇰;флаг: Фолклендские о-ва;флаг
🇫🇲;флаг: Федеративные Штаты Микронезии;флаг
🇫🇴;флаг: Фарерские о-ва;флаг
🇫🇷;флаг: Франция;флаг
🇬🇦;флаг: Габон;флаг
🇬🇧;флаг: Великобритания;флаг
🇬🇩;флаг: Гренада;флаг
🇬🇪;флаг: Грузия;флаг
🇬🇫;флаг: Французская Гвиана;флаг
🇬🇬;флаг: Гернси;флаг
🇬🇭;флаг: Гана;флаг
🇬🇮;флаг: Гибралтар;флаг
🇬🇱;флаг: Гренландия;флаг
🇬🇲;флаг: Гамбия;флаг
🇬🇳;флаг: Гвинея;флаг
🇬🇵;флаг: Гваделупа;флаг
🇬🇶;флаг: Экваториальная Гвинея;флаг
🇬🇷;флаг: Греция;флаг
🇬🇸;флаг: Южная Георгия и Южные Сандвичевы о-ва;флаг
🇬🇹;флаг: Гватемала;флаг
🇬🇺;флаг: Гуам;флаг
🇬🇼;флаг: Гвинея-Бисау;флаг
🇬🇾;флаг: Гайана;флаг
🇭🇰;флаг: Гонконг (САР);флаг
🇭🇲;флаг: о-ва Херд и Макдональд;флаг
🇭🇳;флаг: Гондурас;флаг
🇭🇷;флаг: Хорватия;флаг
🇭🇹;флаг: Гаити;флаг
🇭🇺;флаг: Венгрия;флаг
🇮🇨;флаг: Канарские о-ва;флаг
🇮🇩;флаг: Индонезия;флаг
🇮🇪;флаг: Ирландия;флаг
🇮🇱;флаг: Израиль;флаг
🇮🇲;флаг: о-в Мэн;флаг
🇮🇳;флаг: Индия;флаг
🇮🇴;флаг: Британская территория в Индийском океане;флаг
🇮🇶;флаг: Ирак;флаг
🇮🇷;флаг: Иран;флаг
🇮🇸;флаг: Исландия;флаг
🇮🇹;флаг: Италия;флаг
🇯🇪;флаг: Джерси;флаг
🇯🇲;флаг: Ямайка;флаг
🇯🇴;флаг: Иордания;флаг
🇯🇵;флаг: Япония;флаг
🇰🇪;флаг: Кения;флаг
🇰🇬;флаг: Киргизия;флаг
🇰🇭;флаг: Камбоджа;флаг
🇰🇮;флаг: Кирибати;флаг
🇰🇲;флаг: Коморы;флаг
🇰🇳;флаг: Сент-Китс и Невис;флаг
🇰🇵;флаг: КНДР;флаг
🇰🇷;флаг: Республика Корея;флаг
🇰🇼;флаг: Кувейт;флаг
🇰🇾;флаг: о-ва Кайман;флаг
🇰🇿;флаг: Казахстан;флаг
🇱🇦;флаг: Лаос;флаг
🇱🇧;флаг: Ливан;флаг
🇱🇨;флаг: Сент-Люсия;флаг
🇱🇮;флаг: Лихтенштейн;флаг
🇱🇰;флаг: Шри-Ланка;флаг
🇱🇷;флаг: Либерия;флаг
🇱🇸;флаг: Лесото;флаг
🇱🇹;флаг: Литва;флаг
🇱🇺;флаг: Люксембург;флаг
🇱🇻;флаг: Латвия;флаг
🇱🇾;флаг: Ливия;флаг
🇲🇦;флаг: Марокко;флаг
🇲🇨;флаг: Монако;флаг
🇲🇩;флаг: Молдова;флаг
🇲🇪;флаг: Черногория;флаг
🇲🇫;флаг: Сен-Мартен;флаг
🇲🇬;флаг: Мадагаскар;флаг
🇲🇭;флаг: Маршалловы о-ва;флаг
🇲🇰;флаг: Северная Македония;флаг
🇲🇱;флаг: Мали;флаг
🇲🇲;флаг: Мьянма (Бирма);флаг
🇲🇳;флаг: Монголия;флаг
🇲🇴;флаг: Макао (САР);флаг
🇲🇵;флаг: Северные Марианские о-ва;флаг
🇲🇶;флаг: Мартиника;флаг
🇲🇷;флаг: Мавритания;флаг
🇲🇸;флаг: Монтсеррат;флаг
🇲🇹;флаг: Мальта;флаг
🇲🇺;флаг: Маврикий;флаг
