😀;gülən üz;gülmək|üz
🏒;buz xokkeyi çubuğu və şaybası;buz|çubuq|oyun|şayba|xokkey
🥍;lakross;çubuq|idman|qol|top
🏓;pinq ponq;dəyənək|oyun|raketka|stolüstü tennis|top
🏸;badminton;bödi|idman|oyun|raketka|tennis
🥊;boks əlcəyi;boks|döyüş|əlcək
🥋;döyüş idmanı geyimi;cüdo|döyüş|idman|idman forması|karate
🥅;darvaza;futbol|idman|qapı|qol|top
⛳;dəlikdə bayraq;dəlik|qolf
⛸️;buz konkisi;buz|konki
🎣;balıq tilovu;balıq|tilov
🤿;dalğıc maskası;akvalanq|dalğıc
🎽;atlet köynəyi;kəmər|köynək|qaçış
🎿;xizək;qar
🛷;sanka;kirşə|xizək
🥌;qıvrım daş;körlinq|oyun|qaya
🎯;birbaşa atış;göz|hədəf|nişan|ox|oyun|vur
🪀;yo-yo;dalğalanma|oyuncaq|yo-yo oyuncağı
🪁;çərpələng;havada üzmə|uçuş
🔫;tapança;alət|revolver|silah
🎱;bilyard;8|oyun|səkkiz|top
🔮;kristal kürə;alət|fantastika|kristal|nağıl|top|var-dövlət
🪄;sehrli çubuq;cadugər|falçı|sehrli
🎮;video oyun;kontroller|oyun
🕹️;coystik;oyun|video oyun
🎰;avtomat maşın;avtomat|kazino|oyun|qumar
🎲;oyun zəri;oyun|zər
🧩;pazl;başsındırma|ipucu|parça
🧸;plüş ayı;oyuncaq|oyuncaq ayı|plüş|yumşaq
🪅;pinyata;bayram|konfet|Meksika|şənlik
🪩;güzgü top;diskoteka|güzgü|kürə|parıltı|rəqs|ziyafət
🪆;matryoşkalar;gəlincik|Rusiya|yuva
♠️;qaratoxmaq dəsti;dəst|kart|oyun|pik|qaratoxmaq
♥️;ürək dəsti;dəst|eşq kartı|kart|kupa|oyun|ürək|ürəklər
♦️;romb dəsti;dəst|karo|kart|oyun|romb|romblar
♣️;klub dəsti;dəst|kart|klub|klublar|oyun|üçyarpaq yonca|xaç
♟️;şahmat piyadası;əfəl|genişlənən|şahmat
🃏;joker;kart|oynamaq|oyun|uno
🀄;maconq qırmızı əjdaha;maconq|oyun|qırmızı
🎴;gül oyun kartları;gül|kart|oynamaq|oyun|yapon|Yaponiya
🎭;teatr incəsənəti;icra etmək|incəsənət|maska|teatr
🖼️;şəkilli çərçivə;çəkmək|çərçivə|incəsənət|muzey|şəkil
🎨;rəssam palitrası;çəkmək|incəsənət|muzey|palitra|rəngarəng|rəsm
🧵;sap;iynə|kələfçə|tikiş
🪡;tikiş maşınının iynəsi;dərzilik|ilgəklər|ip|iynə|naxış|tikiş|tikiş yolları
🧶;iplik;top|toxuma
🪢;düyün;ip|kəndir|qarışıq-dolaşıq|sapma
👓;eynək;geyim|göz|gün eynəyi
🕶️;gün eynəyi;eynək|göz|tünd
🥽;qoruyucu eynək;göz müdafiyəsi|qaynaq|qaynaq eynəyi|su eynəyi|üzgüçülük eynəyi|üzmək
🥼;laboratoriya geyimi;alim|həkim|təcrübə
🦺;güvənlik jaketi;fövqəladə hal|güvənlik|jaket|təcililik|təhlükəsizlik jileti
👔;qalstuk;geyim|köynək|rəsmi geyim
👕;qısaqol köynək;futbolka|geyim|köynək
👖;cins;geyim|şalvar
🧣;şərf;boyun|soyuq
🧤;əlcəklər;əl|əlcək
🧥;palto;pencək
🧦;corablar;uzunboğaz corab
👗;don;alış-veriş|geyim|paltar
👘;kimono;geyim
🥻;sari;geyim|paltar
🩱;bir hissəli üzgüçülük geyimi;çimərlik geyimi|hamam geyimi
🩲;trusik;alt paltar|alt paltarı|hamam geyimi|tuman|üzgüçülük geyimi
🩳;şort;alt paltar|alt paltarı|hamam geyimi|şalvar|üzgüçülük geyimi
👙;bikini;çimərlik|geyim|üzmək
👚;qadın paltarı;geyim|köynək|qadın|qadın koftası
🪭;yığılan yelpik;çırpınmaq|fanatlar|isti|rəqs|soyutma|utancaq
👛;pul kisəsi;əl çantası|geyim|qəpik
👜;əl çantası;alış-veriş|çanta|geyim|qadın
👝;torba;çanta|geyim
🛍️;alış-veriş çantaları;çanta|otel|şoppinq
🎒;məktəbli bel çantası;bel çantası|çanta|məktəb
🩴;vyetnamka;ayaqqabı|çimərlik səndəlləri|rezin vyetnamka|səndəllər|vyetnamkalar|zori
👞;kişi ayaqqabısı;ayaqqabı|geyim|kişi
👟;qaçış ayaqqabısı;atletik|ayaqqabı|geyim|idman ayaqqabısı|krossovka
🥾;gəzinti botinkası;botinka|çəkmə|əşyaları yığmaq|gəzinti|kempinq|piyada gəzmək
🥿;yastı ayaqqabı;balet ayaqqabısı|botinka|düz altlı|əşyaları yığmaq|gəzinti|kempinq|rahat|yastıdaban
👠;hündür daban ayaqqabı;ayaqqabı|daban|geyim|hündürdaban ayaqqabı|qadın
👡;qadın səndəli;ayaqqabı|geyim|qadın|səndəl
🩰;balet ayaqqabıları;balet|rəqs
👢;qadın çəkməsi;ayaqqabı|çəkmə|geyim|qadın
🪮;saç düzümü;afro|daraq|saç|seçin
👑;tac;geyim|kral|kraliça
👒;qadın şlyapası;geyim|papaq|qadın
🎩;silindr şlyapa;baş|fokus|geyim|papaq|sehir|silindr papaq
🎓;məzuniyyət papağı;bayram|geyim|kepka|məzun papağı|məzuniyyət|papaq|təhsil
🧢;kepka;beysbol kepkası|papaq
🪖;hərbi dəbilqə;dəbilqə|döyüşçü|əsgər|hərbi|ordu
⛑️;ağ xaçlı dəbilqə;dəbilqə|kömək|papaq|üz|xaç|xilasedici dəbilqə
📿;təsbeh;abid|boyunbağı|din|geyim|muncuq
💄;dodaq boyası;kosmetika|makiyaj
💍;üzük;brilyant|nişan|romantika
💎;qiymətli daş;brilyant|daş-qaş|romantika
🔇;səsucaldan sönülüdür;sakit|səs|səssiz|səsucaldan|spiker
🔈;səsucaldan;səs
🔉;səsucaldan aktivdir;aşağı|dalğa|səs|səsucaldan
🔊;səsucaldan yüksəkdir;3|səs|səsucaldan|üç|uca|yüksək
📢;səsucaldıcı;ictimai ünvan|səs|uca
📣;meqafon;salamlama|səsi uzağa yayan cihaz
📯;poçt şeypuru;poçt|şeypur
🔔;zəng;
🔕;üstündən xətt çəkilmiş zəng;qadağa|qadağan olunmuş|sakit|səssiz
🎼;musiqi partiturası;musiqi|partitura
🎵;musiqi notu;musiqi|not
🎶;musiqi notları;musiqi|not|notlar
🎙️;studiya mikrafonu;mik|mikrofon|musiqi|studio
🎚️;səviyyə slayderi;musiqi|səviyyə|slayder
🎛️;idarə düymələri;düymə|idarə|musiqi
🎤;mikrofon;karaoke|mik|səs
🎧;qulaqlıq;
📻;radio;video
🎷;saksofon;alət|musiqi|saks
🎺;şeypur;alət|musiqi
🪊;trombon;alət|caz|kədərli|latun|musiqi|slayd
🪗;akkordeon;akkordion|instrument|konsertino|musiqi|qarmon
🎸;gitara;alət|musiqi|musiqi aləti
🎹;musiqi klaviaturası;alət|klaviatura|musiqi|musiqi aləti|piano
🎻;skripka;alət|musiqi|musiqi aləti
🪕;banco;bandjo|musiqi|simli alət
🥁;davul;dəf|nağara
🪘;uzun baraban;instrument|konqa|ritm|təbil|vurmaq
🪇;marakas;alət|cingilti|musiqi|rəqs|şənlik|silkələmək|zərb
🪈;fleyta;ağac nəfəsi|boru|fifa|musiqi|musiqi aləti|nəfəs aləti|orkestr|yazıcı
🪉;arfa;instrument|kupidon|məhəbbət|musiqi|orkestr
📱;mobil telefon;əlaqə saxlamaq|mobil|telefon
📲;oxlu mobil telefon;mobil|ox|qəbul etmək|telefon|ünsiyyət|zəng
☎️;telefon;
📞;telefon dəstəyi;qəbuledən|telefon
📟;peycer;
📠;faks aparatı;faks
🔋;batareya;
🪫;bitən enerji;batareya|elektron|zəif batareya|zəif enerji
🔌;elektrik ştepseli;elektrik|ştepsel
💻;kompüter;pk|şəxsi
🖥️;masaüstü kompüter;kompüter|masaüstü
🖨️;printer;kompüter
⌨️;klaviatura;kompüter
🖱️;kompüter siçanı;3|düymə|kompüter|siçan|üç
🖲️;kürəşəkilli manipulyator;kompüter
💽;mini disk;disk|kompüter|kompüter diski|minidisk|optik
💾;çevik disk;çevik|disk|disket|kompüter
💿;optik disk;blu-rey|cd|disk|dvd|kompüter|optik
📀;dvd;blu-rey|cd|disk|kompüter|optik
🧮;çötkə;hesablama
🎥;kino kamerası;film|kamera|kino
🎞️;film kadrları;film|kadr|kino
📽️;kino projektoru;film|kino|kinofilm|projector|video
🎬;numerator;film
📺;televizor;tv|video
📷;kamera;foto çəkmək|video
📸;işıqlı kamera;fleş işığı olan kamera|işıq|kamera|video
📹;video kamera;kamera|video|videokamera
📼;video kaset;kasset|vhs|video|videokaset
🔍;sola yönəlmiş böyüdücü şüşə;alət|axtarış|axtarmaq|böyüdücü|laboratoriya|şüşə
🔎;sağa yönəlmiş böyüdücü şüşə;alət|axtarmaq|böyüdücü|şüşə
🕯️;şam;işıq
💡;işıq lampası;elektrik|ideya|işıq|komik|lampa
🔦;fənər;alət|elektrik|işıq
🏮;qırmızı kağız fənər;bar|fənər|işıq|qırmızı|yapon
🪔;yağ lampası;lampa|yağ
📔;bəzəkli cildli dəftər;bəzəkli üzqabığı olan dəftər|bəzənmiş|cild|dəftər|kitab|qeyd dəftəri
📕;bağlı kitab;bağlı|kitab
📖;açıq kitab;açıq|elm|kitab|kitabxana|öyrənmək|təhsil
📗;yaşıl kitab;kitab|oxumaq|yaşıl
📘;mavi kitab;kitab|mavi|oxumaq
📙;narıncı kitab;kitab|narıncı|oxumaq
📚;kitablar;bilik|kitab|təhsil
📓;bloknot;
📒;mühasibatlıq kitabı;dəftər|qeyd dəftərçəsi
📃;qatlanmış səhifə;səhifə|sənəd|spiral
📜;lülə halında bükülmüş kağız;kağız|manuskript|qədim əl yazısı|sürüşdürərək açmaq
📄;üzüyuxarı səhifə;səhifə|sənəd
📰;qəzet;kağız|xəbər
🗞️;bükülmüş qəzet;bükülmüş kağız toplusu|burulmuş|kağız|qəzet|xəbər
📑;əlfəcin tabları;əlfəcin|işarə|marker|tablar
🔖;əlfəcin;işarə
🏷️;etiket;
🪙;xırda pul;avro|dollar|gümüş|metal|pul|qəpik|qızıl|xəzinə
💰;pul torbası;çanta|dollar|kisə|pul
🪎;xəzinə sandığı;gümüş|mükafat|pul|qiymətli daş|qiymətli əşyalar|qızıl|sərvət|talan|zinət əşyaları
💴;iena banknotu;bank|banknot|hesab|iena|pul|valyuta|yen|yen banknotu
💵;dollar əskinazı;bank|banknot|dollar|valyuta
💶;avro əskinazı;avro|bank|banknot|pul|valyuta
💷;funt əskinazı;bank|əskinaz|funt|pul|valyuta
💸;qanadlı pullar;bank|dollar|əskinaz|hesab|not|pul|valyuta
💳;kredit kartı;bank|kart|kredit|ödəmək|pul
🧾;qəbz;dəlil|faktura|mühasibat|mühasibatlıq|sübut
💹;ien ilə qalxan qrafik;artım|artmaq|bank|bazar|cədvəl|qrafik|yen ilə artan qrafik
✉️;zərf;e-poçt|elektron poçt|məktub
📧;e-poçt;e-məktub|məktub|poçt
📨;gələn zərf;e-məktub|e-poçt|elektron poçt|gələn|məktub|poçt|qəbul etmək|zərf
📩;oxlu zərf;aşağı|e-poçt|gedən|göndərmək|məktub
📤;gedənlər qutusu;e-məktub|gedən|göndərmək|məktub|poçt|qutu
📥;gələnlər qutusu;e-poçt|gələn|məktub|poçt|qəbul etmək|qutu
📦;bağlama;qutu
📫;qaldırılmış bayraqlı bağlı poçt qutusu;bağlı|bağlı poçt qutusu|poçt|poçt qutusu
📪;endirilmiş bayraqlı bağlı poçt qutusu;aşağı|bağlı|poçt|poçt qutusu
📬;qaldırılmış bayraqlı açıq poçt qutusu;açıq|məktub gəlmiş poçt qutusu|poçt|poçt qutusu
📭;endirilmiş bayraqlı açıq poçt qutusu;açıq|aşağı|poçt|poçt qutusu
📮;poçt qutusu;poçt
🗳️;səsvermə kağızı olan seçki qutusu;qutu|seçki
✏️;karandaş;
✒️;qara qələm;qara rəngli qələm ucu|qələm|qələm ucu
🖋️;avto qələm;avto|doldurma qələm|qələm
🖊️;qələm;diyircəkli qələm
🖌️;fırça;çəkmək
🖍️;yağlı karandaş;karandaş
📝;yaddaş qeydi;karandaş|media|qeydlər
💼;çemodan;portfel
📁;fayl qovluğu;fayl|qovluq
📂;açıq fayl qovluğu;açıq|fayl|qovluq
🗂️;kart indeksi arakəsmələri;arakəsmə|işarə|kart
📅;təqvim;tarix
📆;təqvimi cırmaq;təqvim
🗒️;spiral dəftər;bloknot|qeyd|spiral
🗓️;spiral təqvim;bloknot|spiral|təqvim
📇;kart indeksi;işarə|kart|rolodeks
📈;qalxan qrafik;artım|cədvəl|qrafik|trend|yuxarı
📉;düşən qrafik;aşağı|cədvəl|data|qrafik|sxem|trend
📊;diaqram;bar|cədvəl|qrafik
📋;lövhə;qeydlər|siyahı tutmaq
📌;löhvə düyməsi;sancaq|sancmaq
📍;dairəvi sancaq;basmadüymə|məkan|sancaq|xəritə
📎;skrepka;dəftərxana sancağı
🖇️;birləşmiş sancaqlar;dəftərxana sancağı|əlaqə|sancaq
📏;düz xətkeş;düz kənarlı|xətkeş
📐;ücbucaq xətkeş;dəst|üçbucaq|üçbucaq formalı xətkeş|xətkeş
✂️;qayçı;alət
🗃️;kart faylı qutusu;fayl|kart|qutu
🗄️;fayl şkafı;fayl|kabinet
🗑️;zibilqabı;
🔒;kilid;bağlı
🔓;açıq kilid;açıq|kilid|kilidi açmaq
🔏;qələmli kilid;kilid|məxfi|mürəkkəb|qələm|qələm ucu
🔐;açarla bağlanmış kilid;açar|bağlı|kilid|secure|təhlükəsiz
🔑;açar;kilid|parol
🗝️;köhnə açar;açar|kilid|köhnə
🔨;çəkic;alət
🪓;balta;bölmək|doğramaq|kəsmək|taxta
⛏️;külüng;alət|çəkic|mədən
⚒️;çəkic və külüng;alət|çəkic|külüng
🛠️;çəkic və açar;açar|alət|çəkic
🗡️;xəncər;bıçaq|silah
⚔️;kəsişən qılınclar;kəsişən|qılınclar|silah
💣;bomba;komik|partlayış|təhlükəli
🪃;bumeranq;avstraliya|əksetmə|rikoşet|silah
🏹;ox və kaman;alət|ox|oxatan|silah|tənzim etmək|zodiak
🛡️;qalxan;silah
🪚;əl mişarı;alət|bıçqı|dülgər|kəsmək|taxta-şalban
🔧;təmir açarı;alət|qayka açarı
🪛;vintaçan;alət|vint
🔩;bolt və qayka;alət|bolt|qayka
⚙️;mexanizm;alət
🗜️;sıxma;alət|bolt|kəlbətin
⚖️;tarazlıq tərəzisi;balans|çəki|ədalət|libra|tərəzi
🦯;zond;çəlik|əlçatımlılıq|əlverişlilik|əsa|kor
🔗;zəncir;
⛓️‍💥;qırılmış zəncir;azadlıq|qaçış|qandal|qırıq zəncir|sındırmaq|zəncir
⛓️;zəncirlər;zəncir
🪝;qarmaq;cəftə|əyri|satış nöqtəsi|tələyə salmaq|tutmaq
🧰;alətlər qutusu;alət|çanta|mexanik
🧲;maqnit;cazibə|müsbət təsir|nal
🪜;nərdivan;addım|dırmaşma|pillə
🪏;bel;bağ|bitki|çala|çanaqlı bel|çömçə|dəfn etmək|düz bel|qar|qazmaq
⚗️;distillə qazanı;alət|kimya
🧪;sınaq şüşəsi;eksperiment|elm|kimya|kimyaçı|laboratoriya
🧫;Petri qabı;bakteriya|biologiya|bioloq|kultura|laboratoriya
🧬;dnt;bioloq|gen|genetika|təkamül|yaşam
🔬;mikroskop;alət
🔭;teleskop;alət|elm
📡;peyk antenası;antena|çanaq antenası|peyk
💉;şpris;alət|çəkmək|həkim|iynə|naxoş|tibb|vaksin|xəstə
🩸;qan damlası;aybaşı|menstruasiya|qan donoru|tibb
💊;həb;dərman|həkim|naxoş|tibb|vitamin
🩹;yapışan bandaj;bandaj|yapışqan lent
🩼;qoltuqağacı;əlillik|hərəkətlilik yardımı|incitmək|kömək|qalmaq|yaralanmış
🩺;stetoskop;doktor|döyünmə|həkim|tibb|ürək
🩻;rentgen;həkim|kəllə|rentgen şüaları|skelet|sümüklər|tibbi
🚪;qapı;
🛗;lift;əlverişlilik|qaldırıcı|qaldırmaq
🪞;güzgü;əksetdirmə|reflektor
🪟;pəncərə;açılır|çərçivə|görünüş|şəffaf|təmiz hava
🛏️;yataq;otel|yatmaq
🛋️;divan və lampa;divan|lampa|otel
🪑;stul;oturacaq|oturmaq
🚽;tualet;
🪠;porşen;lehimçi|sorma|sorucu nasos|tualet|vantuz
🚿;duş;su
🛁;vanna;hamam
🪤;siçan tələsi;tələ|tələ yemi|tutmaq
🪒;ülgüc;iti|kəsici
🧴;losyon şüşəsi;gün kremi|losyon|nəmləndirici|şampun
🧷;sancaq;pank rok|ped
🧹;süpürgə;cadugər|ifritə|süpürmə|süpürmək|təmizləmə|təmizləmək
🧺;səbət;ferma|paltar səbəti|piknik
🧻;kağız rulonu;tualet kağızı
🪣;vedrə;bak|boçka|çəllək
🧼;sabun;çimmək|sabunqabı|təmizlənmək
🫧;köpüklər;gəyirti|inci|köpük|sabun|sualtı|təmiz|üzən
🪥;diş fırçası;diş|dişlər|fırça|gigiyena|təmiz|vanna otağı
🧽;süngər;hopdurmaq|məsaməli|təmizləmək
🧯;alov söndürən;alov|ocaq|söndürmək|yanğınsöndürən
🛒;alış-veriş arabası;alış-veriş|araba|kisə
🚬;siqaret;
⚰️;tabut;ölüm
🪦;başdaşı;məzar|məzarlıq|ölü|qəbirdaşı|qəbiristanlıq
⚱️;cənazə urnası;cənazə|meyidin külü|ölüm|urna
🧿;gözmüncuğu;gözdəymə|gözmuncuğu|muncuq|talisman
🪬;hamsa;amulet|əl|Fatimə|Məryəm|Miriam|ovuc|qorunma|Xəmsə həmayili|xoşbəxtlik|yol göstərmək
🗿;moai;heykəl|üz
🪧;plakat;etiraz|işarə|lövhə|nümayiş|paya
🪪;şəxsiyyət vəsiqəsi;etimadnamələri|identifikasiya|lisenziya|sənəd|təhlükəsizlik
🏧;Bankomat işarəsi;avtomatik|bank|bankomat|kassir
🚮;zibili qutuya atın işarəsi;"zibili qutuya atın" işarəsi|zibil|zibil qutusu
🚰;içməli su;içmək|içməli|su
♿;əlil arabası işarəsi;əlil arabası simvolu|giriş
🚹;kişi tualeti;ayaqyolu|kişi|tualet|wc
🚺;qadın tualeti;ayaqyolu|qadın|tualet|wc
🚻;ayaqyolu;tualet|wc
🚼;körpə simvolu;bələyi dəyişmək|körpə|körpə işarəsi
🚾;wc;ayaqyolu|su|tualet|tualet otağı
🛂;pasport yoxlaması;pasport|yoxlama
🛃;gömrük;qablaşdırma
🛄;baqajın verilməsi;baqaj|baqaj tələbi|çamadan işarəsi|tələb
🛅;saxlama kamerası;baqaj|şkaf|yük
⚠️;xəbərdarlıq;həyəcan
🚸;uşaqlar yol keçir;"uşaqlar yol keçir" işarəsi|keçmək|nəqliyyat|piyada|uşaq
⛔;giriş yoxdur;giriş|nəqliyyat|qadağa|qadağan olunmuş|xeyr|yox
🚫;qadağandır;giriş|giriş yoxdur|qadağan olunmuş|qadağandır işarəsi|xeyr|yox
🚳;velosiped sürmək olmaz;bayk|nəqliyyat|qadağa|qadağan olunmuş|velosiped|velosiped girişi yoxdur
🚭;siqaret çəkmək olmaz;"siqaret çəkmək qadağandır" işarəsi|qadağa|qadağan olunmuş|siqaret|xeyr|yox
🚯;zibil atmaq olmaz;"zibil atmaq qadağandır" işarəsi|qadağa|qadağan olunmuş|xeyr|yox|zibil
🚱;su içməli deyil;içməli deyil|içməyə yararsız|su|su içmək qadağandır işarəsi
🚷;piyadalara keçmək olmaz;"piyadalara keçmək qadağandır" işarəsi|piyada|qadağa|qadağan olunmuş|xeyr|yox
📵;mobil telefondan istifadə etmək olmaz;"mobil telefondan istifadə etmək qadağandır" işarəsi|mobil|qadağa|qadağan olunmuş|qadağandır|telefon|xeyr|yox
🔞;18 yaşından aşağı olanlara olmaz;"18 yaşdan aşağı olanlara qadağandır" işarəsi|18|həddi-buluğa çatmamış|on səkkiz|on səkkiz yaşdan aşağıya olmaz|qadağandır|yaş məhdudiyyəti
☢️;radioaktiv;işarə
☣️;biotəhlükəli;işarə
⬆️;üzüyuxarı ox;əsas|istiqamət|ox|şimal|yuxarı
↗️;üzüyuxarı sağa yönəlmiş ox;interkardinal|istiqamət|ox|şimal şərq|şimal-şərq|yuxarı istiqamətdə sağa yönəlmiş ox
➡️;sağa ox;əsas|istiqamət|ox|sağ|sağa doğru ox|şərq
↘️;üzüaşağı sağa yönəlmiş ox;aşağı istiqamətdə sağa yönəlmiş ox|cənub şərq|cənub-şərq|interkardinal|istiqamət|ox
⬇️;üzüaşağı ox;aşağı|cənub|əsas|istiqamət|ox
↙️;üzüaşağı sola yönəlmiş ox;aşağı istiqamətdə sola yönəlmiş ox|cənub qərb|cənub-qərb|interkardinal|istiqamət|ox
⬅️;sola ox;istiqamət|kardinal|ox|qərb|sol|sola doğru ox
↖️;üzüyuxarı sola yönəlmiş ox;interkardinal|istiqamət|ox|şimal qərb|şimal-qərb|yuxarı istiqamətdə sola yönəlmiş ox
↕️;üzü aşağı-yuxarı ox;aşağı-yuxarı yönəlmiş ox|ox
↔️;sola-sağa ox;ox|sola-sağa yönəlmiş ox
↩️;sola dönən sağ ox;ox|sola dönən ox
↪️;sağa dönən sol ox;ox|sağa dönən ox
⤴️;yuxarı dönən sağ ox;ox|soldan yuxarı dönən ox
⤵️;aşağı dönən sağ ox;aşağı|ox|soldan aşağı dönən ox
🔃;saat istiqamətində yönəlmiş şaquli ox;ox|saat əqrəbi istiqaməti|saat istiqaməti|yenidən yüklə|yenidən yükləmək işarəsi
🔄;saat istiqamətinin əksinə yönəlmiş oxlar düyməsi;ox|saat istiqaməti əksinə
🔙;geriyə yönəlmiş ox;arxa|ox
🔚;sona yönəlmiş ox;ox|son|sonluğu göstərən ox işarəsi
🔛;aktivdir! oxu;"aktivdir" işarəsi|işarə|ox|üstündə
🔜;tezliklə oxu;ox|tezliklə|tezliklə işarəsi
🔝;yuxarı yönəlmiş ox;ox|üst|yuxarı|yuxarı yönəlmiş ox işarəsi
🛐;tapınaq;din|dua etmək|ibadət|tapınmaq
⚛️;atom simvolu;ateist|atom
🕉️;om;din|hindu
✡️;davud ulduzu;davud|din|ulduz|yəhudi
☸️;dharma çarxı;buddist|çarx|dharma|din|hind fəlsəfəsi
☯️;in yan;dao|daoist|din|in|İn və Yan|yan
✝️;latın xaçı;din|xaç|xristian|xristian simvolu
☦️;ortodoks xaçı;din|xaç|xristian
☪️;ulduz və aypara;din|islam|müsəlman
☮️;sülh simvolu;sülh
🕎;hanukiya;din|kandelyabr|şamdan|şamdanlar|yəhudi
🔯;nöqtəli altıguşəli ulduz;ulduz|var-dövlət
🪯;xanda;Deq Teq Fateh|din|inanc|Khalsa|Siqh|Siqhizm
♈;qoç bürcü;bürc|qoç|zodiak
♉;buğa;buğa bürcü|öküz|ox|zodiak
♊;əkizlər;əkizlər bürcü|zodiak
♋;xərçəng;xərçəng bürcü|zodiak
♌;şir;aslan|şir bürcü|zodiak
♍;qız;bakirə|qız bürcü|zodiak
♎;tərəzi;balans|ədalət|tərəzi bürcü|zodiak
♏;əqrəb bürcü;bürc|əqrəb|zodiak
♐;oxatan;oxatan bürcü|zodiak
♑;oğlaq;keçi|oğlaq bürcü|zodiak
♒;dolça;daşıyan|dolça bürcü|su|sutökən|zodiak
♓;balıqlar;balıq|balıqlar bürcü|zodiak
⛎;ilandaşıyan;daşıyan|ilan|ilan simvolu|zodiak
🔀;trekləri qarışdır düyməsi;kəsişən|ox|trekləri nizamsız səsləndirmək düyməsi
🔁;təkrarla düyməsi;ox|saat istiqaməti|təkrarla
🔂;bir dəfə təkrarla düyməsi;bir|bir dəfə təkrarlamaq düyməsi|ox|saat istiqaməti
▶️;işə sal düyməsi;işə sal|işə salmaq düyməsi|ox|sağ|üçbucaq
⏩;sürətli irəliyə çək düyməsi;ikiqat|irəli|ox|sürətlə irəliyə keçmək düyməsi|sürətli
⏭️;növbəti trek düyməsi;növbəti səhnə|növbəti trek|ox|üçbucaq
⏯️;işə sal və ya fasilə et düyməsi;dayandırmaq düyməsi|fasilə|işə sal|ox|sağ|üçbucaq
◀️;geriyə düyməsi;əks|geri qayıtmaq düyməsi|ox|sol|üçbucaq
⏪;sürətlə geriyə çək düyməsi;ikiqat|ox|rekülək|sürətlə geriyə qayıtmaq düyməsi
⏮️;sonuncu trek düyməsi;əvvəlki səhnə|əvvəlki trek|ox|üçbucaq
🔼;yuxarı düyməsi;düymə|ox|qırmızı
⏫;sürətlə yuxarı keç düyməsi;ikiqat|ox
🔽;aşağı düyməsi;aşağı|düymə|ox|qırmızı
⏬;sürətlə aşağı keç düyməsi;aşağı|ikiqat|ox
⏸️;fasilə et düyməsi;fasilə|fasilə düyməsi|ikiqat|şaquli|şkala
⏹️;dayandır düyməsi;dayan|dayandırmaq düyməsi|kvadrat
⏺️;yaz düyməsi;dairə|qeydə almaq düyməsi|yaz
⏏️;çıxart düyməsi;çıxart
🎦;kino;film|kamera
🔅;tutqunluq düyməsi;aşağı|parlaqlıq|parlaqlıq düyməsi|tutqun
🔆;parlaqlıq düyməsi;parlaq|parlaqlıq
📶;antena siqnalları;antena|mobil telefon|mobile|şəbəkə göstəricisi|siqnal|şkala|telefon
🛜;naqilsiz;hotspot|internet|komputer|kompüter|router|şəbəkə|wifi
📳;vibrasiya rejimi;mobil|rejim|telefon|vibrasiya
📴;mobil telefonu söndürün;"mobil telefonu söndürün" işarəsi|mobil|sönülü|telefon
♀️;qadın işarəsi;qadın
♂️;kişi işarəsi;kişi
⚧️;transgender simvolu;transgender
✖️;qalın vurma x;×|işarə|ləğv et|vur|vurma|vurma işarəsi
➕;qalın üstəgəl işarəsi;+|işarə|plyus|riyaziyyat|üstəgəl
➖;qalın çıxma işarəsi;-|−|çıxma|işarə|minus|riyaziyyat
➗;qalın bölmə işarəsi;bölmə|riyaziyyat
🟰;ağır bərabərlik işarəsi;bərabər|bərabərlik|cavab|eyni|riyaziyyat
♾️;sonsuzluq;həmişəlik|limitsiz|universal
‼️;qoşa nida işarəsi;durğu işarəsi|işarə|nida|qoşa nida
⁉️;nida və sual işarəsi;durğu işarəsi|işarə|nida|nida və sual işarələrinin liqaturası|sual
❓;qırmızı sual işarəsi;durğu işarəsi|qırmızı işarə|sual|sual işarəsi
❔;ağ sual işarəsi;durğu işarəsi|işarə|qeyd edilmiş|sual|sxematik sual işarəsi
❕;ağ nida işarəsi;durğu işarəsi|işarə|nida|qeyd edilmiş|sxematik nida işarəsi
❗;qırmızı nida işarəsi;durğu işarəsi|işarə|nida|nida işarəsi
〰️;dalğalı tire;dalğavari|durğu işarəsi|tilda|tire
💱;valyuta mübadiləsi;bank|mübadilə|pul|valyuta
💲;qalın dollar işarəsi;dollar|pul|valyuta
⚕️;tibb işarəsi;asklepiy|eskulap|heyət|tibb
♻️;təkrar istifadə simvolu;təkrar istifadə
⚜️;zanbaq;kral simvolu
🔱;üçdiş emblem;alət|emblem|gəmi|lövbər|üçdiş
📛;ad nişanı;ad|nişan
🔰;yaponların başlayan üçün simvolu;alət|başlayan|sarı|şevron|yapon|yaponların başlanğıc simvolu
⭕;qırmızı qalın dairə;dairə|o|q|qalın böyük dairə|qalın dairə|rm|z
✅;təsdiq işarəsi;hazırdır|işarə|işarələ|tamamlandı
☑️;təsdiqlənmiş seçim düzbucaqlısı;işarələ|qutu|seçki
✔️;qalın təsdiq işarəsi;hazırdır|işarə|işarələ|işarələmək|tamamlandı|təsdiq işarəsi|tikləmək
❌;çarpazlamaq işarəsi;işarə|ləğv et|ləğv etmək işarəsi|riyazi əməl|vurma|vurma işarəsi|vurmaq|x
❎;çarpazlamaq düyməsi;işarə|kəsişmə düyməsi|kvadrat|vurma işarəsi
➰;spiral ilmə;dalğalı sikl|ilmə|spiral
