😀;leveä hymy;hymy|kasvot|naama|virnistys
📑;kirjanmerkkivälilehdet;kirjanmerkki|merkki|välilehti
🔖;kirjanmerkki;merkki
🏷️;lappu;etiketti|kortti|lipuke
🪙;kolikko;aarre|hopea|kulta|metalli|raha
💰;rahasäkki;raha|rahapussi|säkki
🪎;aarrearkku;arvoesineet|hopea|jalokivi|korut|kulta|palkinto|raha|ryöstösaalis|vauraus
💴;yen-seteli;pankki|raha|seteli|valuutta|yen
💵;dollariseteli;dollari|pankki|raha|seteli|valuutta
💶;euroseteli;euro|pankki|raha|seteli|valuutta
💷;puntaseteli;pankki|punta|raha|seteli|valuutta
💸;rahalla on siivet;pankki|raha|seteli|siivet|valuutta
💳;luottokortti;kortti|luotto|pankki|raha
🧾;kuitti;kirjanpito|kulut|tilinpito|todistus|tosite
💹;yen ja nouseva käyrä;kasvu|käyrä|markkinat|nousu|pankki|raha|valuutta
✉️;kirjekuori;e-mail|kirje|sähköposti|viesti
📧;sähköposti;e-mail|email|kirje|sähköpostiviesti|viesti
📨;saapuva kirjekuori;e-mail|saapuva|sähköposti|sähköpostiviesti|viesti
📩;kirjekuori ja nuoli;e-mail|kirjekuori|lähetetty|lähtevä|posti|sähköposti|sähköpostiviesti|viesti
📤;lähtevät;e-mail|lähettää|postilaatikko|sähköposti
📥;saapuvat;e-mail|postilaatikko|sähköposti|vastaanottaa
📦;paketti;laatikko|lähetys|pakkaus
📫;suljettu postilaatikko, lippu ylhäällä;lähtevä|lippu ylhäällä|postilaatikko|suljettu
📪;suljettu postilaatikko, lippu alhaalla;alhaalla|lippu alhaalla|postilaatikko|suljettu
📬;avoin postilaatikko, lippu ylhäällä;auki|avoin postilaatikko|lippu ylhäällä|postilaatikko
📭;avoin postilaatikko, lippu alhaalla;alhaalla|auki|avoin postilaatikko|lippu alhaalla|postilaatikko
📮;postilaatikko;posti
🗳️;ääniuurna;äänestyslippu|ääni|uurna|vaali
✏️;lyijykynä;kynä
✒️;musta kynänkärki;kynä|mustekynä
🖋️;täytekynä;kynä|mustekynä
🖊️;kuulakärkikynä;kynä
🖌️;sivellin;maalaaminen|maali|maalisuti
🖍️;väriliitu;liitu|väri
📝;muistio;lyijykynä|muistiinpanot
💼;salkku;toimisto
📁;tiedostokansio;kansio|tiedosto
📂;avoin tiedostokansio;avoin|kansio|tiedosto
🗂️;kortiston välilehdet;arkisto|kortisto|kortti|välilehti
📅;kalenteri;päivämäärä
📆;päiväkalenteri;kalenteri
🗒️;kierrelehtiö;kierre|lehtiö|muistio
🗓️;kierrekalenteri;kalenteri|kierre|lehtiö
📇;kortisto;kortti|rolodex
📈;nouseva käyrä;kaavio|kasvu|käyrä|nousu|suuntaus|trendi
📉;laskeva käyrä;kaavio|käyrä|lasku|suuntaus
📊;pylväskaavio;kaavio|pylväs|tilasto
📋;leikepöytä;levy|paperinpidike
📌;nuppineula;
📍;pyöreä nasta;karttanaula|nasta|naula|neula
📎;paperiliitin;klemmari|liitin
🖇️;klemmarit yhdessä;klemmari|liitin|paperiliitin|yhdessä
📏;viivoitin;suora|viivain
📐;kolmioviivain;kolmio|viivain|viivotin
✂️;sakset;leikkaus|työkalu
🗃️;arkistolaatikko;kortisto|laatikko|mappi
🗄️;arkistokaappi;kaappi|kortisto|mappi
🗑️;roskakori;roskis
🔒;lukko;kiinni|yksityinen
🔓;lukko auki;auki|avata|lukko
🔏;lukko ja kynä;kirjoittaa|lukko|mustekynä|suojaus
🔐;avain ja lukko kiinni;avain|kiinni|lukko|pyörä|turva
🔑;avain;lukittu|salasana
🗝️;vanha avain;avain|lukko|vanha|vihje
🔨;vasara;korjaus|työkalu
🪓;kirves;hakata|halkoa|metsä|pilkkoa|puu
⛏️;hakku;kaivaa|kaivos|työkalu
⚒️;hakku ja vasara;hakku|työkalu|vasara
🛠️;jakoavain ja vasara;jakoavain|työkalu|vasara
🗡️;tikari;ase|miekka|teräase|veitsi
⚔️;miekat ristissä;ase|miekka|risti
💣;pommi;räjähdys|sarjakuva
🪃;bumerangi;ase|australia|kimmota takaisin|seuraus
🏹;jousi ja nuoli;ase|horoskooppi|horoskooppimerkki|jousiammunta|jousimies|jousipyssy|työkalu
🛡️;kilpi;ase
🪚;käsisaha;puuseppä|saha|sahatavara|työkalu
🔧;jakoavain;työkalu
🪛;ruuvimeisseli;meisseli|ruuvi|taltta|työkalu
🔩;ruuvi ja mutteri;mutteri|ruuvi|työkalu
⚙️;hammasratas;työkalu
🗜️;ruuvipuristin;puristin|ruuvipenkki|työkalu
⚖️;vaaka;horoskooppi|horoskooppimerkki|oikeus|punnus|työkalu
🦯;valkoinen keppi;esteettömyys|sokea
🔗;lenkki;ketju
⛓️‍💥;katkennut ketju;irti kahleista|käsiraudat|katketa|ketju|vapaus
⛓️;ketjut;ketju
🪝;koukku;haka|koukuttaa
🧰;työkalulaatikko;laatikko|mekaaninen|pakki|työkalu|työkalupakki
🧲;magneetti;hevosenkenkä|magneettinen|negatiivinen|positiivinen|puoleensavetävä
🪜;tikkaat;askelma|kiivetä|tikapuut
🪏;lapio;haudata|kaivaa|kasvi|kuoppa|puutarha
⚗️;tislauskolvi;kemia|työkalu
🧪;koeputki;kemia|kemisti|koe|laboratorio|tiede
🧫;petrimalja;bakteerikasvusto|bakteerit|biologi|laboratorio|viljely
🧬;dna;biologi|evoluutio|geeni|genetiikka|perimä
🔬;mikroskooppi;koe|tiede|työkalu
🔭;kaukoputki;teleskooppi|työkalu
📡;lautasantenni;antenni|lautanen|satelliitti|satelliittiantenni
💉;ruisku;lääkäri|lääke|piikki|rokote|tauti|työkalu
🩸;veripisara;kuukautiset|lääketiede|vamma|verenluovutus
💊;pilleri;lääkäri|lääke|lääketiede|tauti
🩹;laastari;haava|hoito
🩼;kainalosauva;keppi|liikkumisen apuväline|rajoite|sauva|vamma
🩺;stetoskooppi;kuuntelu|lääkäri|sydän
🩻;röntgen;lääkäri|lääketiede|luuranko|luut
🚪;ovi;
🛗;hissi;esteettömyys
🪞;peili;heijastus|meikkaus|peilata
🪟;ikkuna;aukko|kehys|läpinäkyvä|näkymä|raikas ilma
🛏️;sänky;hotelli|nukkua|uni
🛋️;sohva ja lamppu;hotelli|lamppu|sohva
🪑;tuoli;istua|istuin|istumapaikka
🚽;vessanpönttö;vessa|wc
🪠;viemäripumppu;imukuppi|kakka|putkimies|WC
🚿;suihku;vesi
🛁;kylpyamme;amme|kylpy
🪤;hiirenloukku;ansa|hiiri|juusto|loukku|syötti
🪒;partaveitsi;ajaa parta|terävä
🧴;hoitoainepullo;aurinkovoide|hoitoaine|kosteusvoide|sampoo|shampoo
🧷;hakaneula;punk|punkkari|vaippa
🧹;luuta;harja|lakaisu|noita|siivous
🧺;kori;maatalous|piknik|pyykki|pyykkikori
🧻;paperirulla;paperipyyhkeet|talouspaperi|vessapaperi|wc-paperi
🪣;ämpäri;sanko
🧼;saippua;kylpy|palasaippua|peseytyminen|saippuavaahto|siivous
🫧;kuplat;helmi|kupla|leijua|pinnanalainen|puhdas|röyhtäisy|saippua|vedenalainen
🪥;hammasharja;hampaat|harja|hygienia|kylpyhuone|puhdas
🧽;pesusieni;huokoinen|imukykyinen|pesu|sieni|siivous
🧯;sammutin;palonsammutin|palosammutin|sammuttaa|sammutusväline|tuli|tulipalo
🛒;ostoskärryt;kärryt|ostaminen|ostokset
🚬;savuke;tupakointi
⚰️;arkku;kuolema|ruumisarkku|vampyyri
🪦;hautakivi;hauta|hautausmaa|kuolema|muisto
⚱️;tuhkauurna;hautajaiset|kuolema|uurna
🧿;nazar-amuletti;amuletti|helmi|paha silmä|taikakalu|talismaani
🪬;hamsa;amuletti|ennustus|Fatima|kämmen|käsi|Maria|Miriam|suoja|suojelu
🗿;moai;kasvot|kivipatsas|moait|Pääsiäissaari|patsas
🪧;kyltti;kortti|mielenosoitus|protesti
🪪;henkilökortti;ajokortti|henkilötodistus|henkkarit|kortti|kulkulupa|tunnistus|turvallisuus
🏧;pankkiautomaatti;automaatti|otto|pankki
🚮;roskat-merkki;roska|roskakori
🚰;juomakelpoista vettä;hana|juoma|juomavesi|juotava|vesi
♿;pyörätuoli;esteettömyys
🚹;miesten wc;miestenhuone|vessa|wc
🚺;naisten wc;naistenhuone|vessa|wc
🚻;wc;saniteetti|vessa
🚼;vauva-merkki;lapsenhoito|vaipanvaihto|vauva
🚾;vessa;huussi|käymälä|wc
🛂;passintarkastus;passi|tarkastus
🛃;tulli;paketti
🛄;matkatavarat;hihna|luovutus
🛅;säilytyslokero;matkatavarat|säilytys|tavarasäilytys
⚠️;varoitus;muu vaara|tiedote|vaara
🚸;lapsia liikenteessä;jalankulkija|lapsi|liikenne|suojatie|ylitys
⛔;kielletty ajosuunta;ajosuunta|ei|kielletty|liikenne|sallittu
🚫;pääsy kielletty;ei|kielletty|liikenne|pääsy
🚳;polkupyörällä ajo kielletty;ei polkupyörille|kielletty|liikenne|polkupyörä|pyörä
🚭;tupakointi kielletty;kielletty|tupakka|tupakointi
🚯;roskaaminen kielletty;kielletty|roska|sotku
🚱;vesi ei juomakelpoista;ei juomakelpoinen|juomakelvoton|juominen kielletty|kielto|pilaantunut vesi|vesi
🚷;jalankulku kielletty;jalankulkija|kielletty
📵;ei matkapuhelimia;kielletty|matkapuhelin|puhelin
🔞;kielletty alaikäisiltä;18|ikäraja|ikärajoitus|kielletty|täysi-ikäinen
☢️;säteilyvaara;radioaktiivinen|säteily|vaara|ydinsäteily
☣️;biologinen vaara;biologinen|biovaara|vaara
⬆️;nuoli ylös;ilmansuunta|nuoli|pääilmansuunta|pohjoinen
↗️;nuoli yläoikealle;ilmansuunta|koillinen|nuoli|väli-ilmansuunta
➡️;nuoli oikealle;ilmansuunta|itä|nuoli|pääilmansuunta
↘️;nuoli alaoikealle;ilmansuunta|kaakko|nuoli|väli-ilmansuunta
⬇️;nuoli alas;etelä|ilmansuunta|nuoli|pääilmansuunta
↙️;nuoli alavasemmalle;ilmansuunta|lounas|nuoli|väli-ilmansuunta
⬅️;nuoli vasemmalle;ilmansuunta|länsi|nuoli|pääilmansuunta
↖️;nuoli ylävasemmalle;ilmansuunta|luode|nuoli|väli-ilmansuunta
↕️;nuoli ylös ja alas;nuoli|suunta
↔️;nuoli oikealle ja vasemmalle;nuoli|suunta
↩️;vasemmalle kääntyvä nuoli;nuoli
↪️;oikealle kääntyvä nuoli;nuoli|oikea
⤴️;ylös kääntyvä nuoli;nuoli|ylös
⤵️;alas kääntyvä nuoli;alas|nuoli
🔃;pystynuolet myötäpäivään;myötäpäivään|nuoli|päivitä
🔄;nuolet vastapäivään;nuoli|uudelleen|vastapäivään
🔙;BACK-nuoli;nuoli|takaisin
🔚;END-nuoli;lopeta|nuoli
🔛;ON!-nuoli;nuoli|päällä
🔜;SOON-nuoli;nuoli|pian|tulossa
🔝;TOP-nuoli;alkuun|nuoli|ylös
🛐;pyhä rakennus;palvonta|palvontapaikka|pyhäkkö|uskonto
⚛️;atomi;ateisti
🕉️;om-tavu;hindu|hindulaisuus|symboli|tavu|uskonto
✡️;Daavidin tähti;Daavid|daavidintähti|juutalaisuus|tähti|uskonto
☸️;dharma-pyörä;buddha|buddhalaisuus|dharma|pyörä|ratas|uskonto
☯️;jin ja jang;jang|jin|tao|taolaisuus|uskonto|vaikea
✝️;latinalainen risti;kristinusko|risti|uskonto
☦️;ortodoksiristi;kristinusko|ortodoksisuus|risti|uskonto
☪️;kuunsirppi ja tähti;islam|kuu|muslimi|tähti|uskonto
☮️;rauhansymboli;rauha|symboli
🕎;menora;juutalaisuus|kynttilä|seitsenhaarainen|uskonto
🔯;kuusisakarainen tähti pisteellä;onnentähti|tähti|uskonto
🪯;khanda;khalsa|sikhi|sikhiläinen|sikhismi|symboli|uskonto|veljeys
♈;oinas-merkki;horoskooppi|horoskooppimerkki|oinas
♉;härkä-merkki;härkä|horoskooppi|horoskooppimerkki
♊;kaksonen-merkki;horoskooppi|horoskooppimerkki|kaksonen|kaksoset
♋;rapu-merkki;horoskooppi|horoskooppimerkki|rapu
♌;leijona-merkki;horoskooppi|horoskooppimerkki|leijona
♍;neitsyt-merkki;horoskooppi|horoskooppimerkki|neitsyt
♎;vaaka-merkki;horoskooppi|horoskooppimerkki|Libra|vaaka
♏;skorpioni-merkki;horoskooppi|horoskooppimerkki|skorpioni
♐;jousimies-merkki;horoskooppi|horoskooppimerkki|jousimies
♑;kauris-merkki;horoskooppi|horoskooppimerkki|kauris
♒;vesimies-merkki;horoskooppi|horoskooppimerkki|vesimies
♓;kalat-merkki;horoskooppi|horoskooppimerkki|kalat
⛎;käärmeenkantaja;horoskooppi|horoskooppimerkki|käärme|ophiuchus|tähtikuvio
🔀;sekoitus;nappi|nuoli|painike|ristissä
🔁;toista uudelleen;myötäpäivään|nappi|nuoli|painike|uudestaan
🔂;toista kerran;kerran|myötäpäivään|nappi|nuoli|painike
▶️;toista;aloita|kolmio|nappi|oikealle|painike|toisto
⏩;kelaa eteenpäin;2|eteen|kelaus|nappi|nuoli|painike
⏭️;seuraava kappale;eteen|kolmiot|nappi|painike|seuraava|siirry
⏯️;toista/pysäytä;aloita|kolmio|nappi|painike|pysäytä|tauko|toisto
◀️;kelaa hitaasti taakse;kelaus|kolmio|nappi|painike|taakse
⏪;kelaa taaksepäin;2|kelaus|nappi|nuoli|painike|taakse
⏮️;edellinen kappale;edellinen|kolmiot|nappi|painike|siirry|taakse
🔼;ylös;kolmio|nappi|painike
⏫;nopeasti ylös;2|kolmio|nappi|painike|ylös
🔽;alas;kolmio|nappi|painike
⏬;nopeasti alas;2|alas|kolmio|nappi|painike
⏸️;pysäytä;2|nappi|painike|palkki|tauko
⏹️;lopeta;nappi|neliö|painike|pysäytä
⏺️;tallenna;äänitä|nappi|nauhoita|painike|ympyrä
⏏️;poista;anna|avaus|nappi|painike
🎦;videokuva;elokuva|kamera|kuvata|video
🔅;himmennä;kirkkaus|nappi|painike|vähennä
🔆;kirkasta;kirkkaus|lisää|nappi|painike
📶;kuuluvuuspalkit;kenttä|kuuluvuus|matkapuhelin|palkki|puhelin|signaali
🛜;langaton;internet|laajakaista|netti|symboli|tietokone|verkko|wifi
📳;värinätila;äänetön|hiljainen|kännykkä|matkapuhelin|puhelin|värinä
📴;matkapuhelin suljettava;kielletty|matkapuhelin|pois|puhelin
♀️;Venus-symboli;naissymboli
♂️;Mars-symboli;miessymboli
⚧️;transsymboli;trans|transsukupuolinen
✖️;kertomerkki;×|kertolasku|merkki|peruuta|x
➕;plusmerkki;+|matematiikka|plus
➖;miinusmerkki;-|matematiikka|miinus|vähennys
➗;jakomerkki;/|jako|jakoviiva|matematiikka
🟰;paksu yhtäsuuruusmerkki;matematiikka|vastaus|yhtä kuin|yhtäsuuruus
♾️;äärettömyys;ääretön|aina|ikuinen|rajaton|universaali
‼️;kaksoishuutomerkki;2|huutomerkki|merkki|välimerkki
⁉️;huuto-kysymysmerkki;2|huutomerkki|kysymysmerkki|merkki|välimerkki
❓;kysymysmerkki;merkki|välimerkki
❔;valkoinen kysymysmerkki;kysymysmerkki|merkki|välimerkki
❕;valkoinen huutomerkki;huutomerkki|merkki|välimerkki|valkoinen
❗;huutomerkki;merkki|välimerkki
〰️;aaltoviiva;aaltoileva|välimerkki|viiva
💱;valuutanvaihto;pankki|raha|vaihto|valuutta
💲;paksu dollarimerkki;dollari|raha|valuutta
⚕️;lääketieteen symboli;Asklepioksen sauva|lääketiede
♻️;kierrätyssymboli;kierrättää|kierrätys
⚜️;Ranskan lilja;fleur-de-lis|heraldinen lilja|lilja|ranskanlilja
🔱;kolmikärki;ankkuri|atrain|kolme|laiva|meri
📛;nimikyltti;kyltti|lappu|nimi
🔰;japanilainen symboli aloittelijalle;ajokortti|aloittelija|auto|japani|shoshinsha|vihreä
⭕;suuri ympyrä;O|ympyrä
✅;valkoinen valintamerkki;merkki|oikein|rasti|tarkistusmerkki|V|valmis
☑️;punainen valintamerkki;merkki|rasti|tarkistusmerkki|V
✔️;paksu valintamerkki;merkki|oikein|tarkistusmerkki|V|valintamerkki
❌;punainen rastimerkki;kertolasku|merkki|peruuta|X
❎;rastimerkki;kertolasku|laatikko|merkki|peruuta|X
➰;silmukka;kaareva silmukka
➿;kaksoissilmukka;2|nauhuri|silmukka|vastaaja
〽️;osanvaihtomerkki;ioriten|japani|merkki
✳️;kahdeksanpiikkinen tähtimerkki;8|asteriski|tähti|tähtimerkki
✴️;kahdeksankärkinen tähti;8|asteriski|tähti|tähtimerkki
❇️;kipinä;säihke|tähti
©️;tekijänoikeusmerkki;C|tekijänoikeus
®️;rekisteröity-merkki;R|rekisteröity
™️;tavaramerkki;merkki|TM
🫟;roiske;holi|maali|tahra
*️⃣;näppäin: *;näppäin
0️⃣;näppäin: 0;0|näppäin|nolla
1️⃣;näppäin: 1;1|näppäin|yksi
2️⃣;näppäin: 2;2|kaksi|näppäin
3️⃣;näppäin: 3;3|kolme|näppäin
4️⃣;näppäin: 4;4|näppäin|neljä
5️⃣;näppäin: 5;5|näppäin|viisi
6️⃣;näppäin: 6;6|kuusi|näppäin
7️⃣;näppäin: 7;7|näppäin|seitsemän
8️⃣;näppäin: 8;8|kahdeksan|näppäin
9️⃣;näppäin: 9;9|näppäin|yhdeksän
🔟;näppäin: 10;näppäin
🔠;syötä isoja kirjaimia;aakkoset|ABCD|isot|kirjaimet|latinalaiset|syötä
🔡;syötä pieniä kirjaimia;aakkoset|abcd|kirjaimet|latinalaiset|pienet|syötä
🔢;syötä numeroja;1234|numerot|syötä
🔣;syötä merkkejä;merkit|symbolit|syötä
🔤;syötä kirjaimia;aakkoset|abc|kirjaimet|latinalaiset|syötä
🅰️;A-veriryhmä;a|veriryhmä
🆎;AB-veriryhmä;ab|veriryhmä
🅱️;B-veriryhmä;b|veriryhmä
🆑;pyyhi-näppäin;cl|kumita|pyyhi
🆒;COOL;laatikko|siistiä|teksti
🆓;FREE;ilmainen|laatikko|painike|teksti|vapaa
ℹ️;info;i|info-piste|tietoja
🆔;ID;henkilöllisyystodistus|identiteetti
Ⓜ️;m ympyrässä;m|metro|ympyrä
🆕;NEW;laatikko|painike|teksti|uusi|uutta
🆖;NG;good|moka|no|teksti
🅾️;O-veriryhmä;o|veriryhmä
🆗;OK;laatikko|okay|okei|selvä
🅿️;P;merkki|parkkipaikka|pysäköinti
🆘;SOS;apua|hätämerkki|merkki
🆙;UP!;huutomerkki|merkki|päivitys|up|uutta|ylös
🆚;VS;merkki|versus
🈁;täällä-kirjainmerkki;japani|katakana|kirjoitusmerkki
🈂️;palvelumaksu-kirjainmerkki;japani|katakana|kirjoitusmerkki
🈷️;kuukausittainen määrä -kirjainmerkki;japani|kirjoitusmerkki|kuukausittainen määrä
🈶;maksullinen-kirjainmerkki;ei ilmainen|japani|kirjoitusmerkki
🈯;varattu-kirjainmerkki;japani|kirjoitusmerkki
🉐;hyvä ostos -kirjainmerkki;hyvä ostos|japani|kirjoitusmerkki
🈹;alennus-kirjoitusmerkki;alennus|japani|kirjoitusmerkki
🈚;maksuton-kirjainmerkki;japani|kirjoitusmerkki
🈲;kielletty-kirjoitusmerkki;japani|kirjoitusmerkki
🉑;hyväksyttävä-kirjoitusmerkki;japani|kiina|kirjoitusmerkki
🈸;hakemus-kirjoitusmerkki;hakemus|japani|kiina|kirjoitusmerkki
🈴;hyväksytty arvosana -kirjoitusmerkki;japani|kiina|kirjoitusmerkki
🈳;tyhjä-kirjoitusmerkki;japani|kiina|kirjoitusmerkki
㊗️;onnittelut-kirjoitusmerkki;japani|kirjoitusmerkki
㊙️;salainen-kirjoitusmerkki;ideogrammi|japani|käsitemerkki|kirjoitusmerkki
🈺;avoinna-kirjoitusmerkki;avoinna|japani|kirjoitusmerkki
🈵;täynnä-kirjoitusmerkki;japani|kirjoitusmerkki
🔴;punainen ympyrä;muoto|punainen|ympyrä
🟠;oranssi ympyrä;oranssi|ympyrä
🟡;keltainen ympyrä;keltainen|ympyrä
🟢;vihreä ympyrä;vihreä|ympyrä
🔵;sininen ympyrä;muoto|sininen|ympyrä
🟣;violetti ympyrä;violetti|ympyrä
🟤;ruskea ympyrä;ruskea|ympyrä
⚫;musta ympyrä;muoto|musta|ympyrä
⚪;valkoinen ympyrä;muoto|ympyrä
🟥;punainen neliö;neliö|punainen
🟧;oranssi neliö;neliö|oranssi
🟨;keltainen neliö;keltainen|neliö
🟩;vihreä neliö;neliö|vihreä
🟦;sininen neliö;neliö|sininen
🟪;violetti neliö;neliö|violetti
🟫;ruskea neliö;neliö|ruskea
⬛;iso musta neliö;muoto|neliö
⬜;iso valkoinen neliö;muoto|neliö|valkoinen
◼️;keskikokoinen musta neliö;muoto|neliö
◻️;keskikokoinen valkoinen neliö;muoto|neliö
◾;pienehkö musta neliö;muoto|musta|neliö
◽;pienehkö valkoinen neliö;muoto|neliö|valkoinen
▪️;pieni musta neliö;muoto|musta|neliö
▫️;pieni valkoinen neliö;muoto|neliö|valkoinen
🔶;iso oranssi vinoneliö;muoto|oranssi|vinoneliö
🔷;iso sininen vinoneliö;muoto|sininen|vinoneliö
🔸;pieni oranssi vinoneliö;muoto|oranssi|vinoneliö
🔹;pieni sininen vinoneliö;muoto|sininen|vinoneliö
🔺;punainen kolmio kärki ylös;kolmio|muoto|punainen
🔻;punainen kolmio kärki alas;kolmio|muoto|punainen
💠;vinoneliö/kukka;kukka|muoto|vinoneliö
🔘;valintanappi;muoto|valinta|valintaruutu|ympyrä
🔳;valkoinen neliöruutu;muoto|neliö|valinta|valintaruutu
🔲;musta neliöruutu;muoto|neliö|valinta|valintaruutu
🏁;ruutulippu;kilpa-ajot|ruutukuvio
🚩;kolmiolippu;golf|lippu
🎌;liput ristissä;Japani|juhla|ristityt
🏴;musta lippu;liehuva|lippu|musta
🏳️;valkoinen lippu;liehuva|lippu|valkoinen
🏳️‍🌈;sateenkaarilippu;biseksuaali|hlbt|hlbtq|hlbtqia|homo|lesbo|lhbt|lhbtq|lhbtqia|liehuva|lippu|sateenkaari|trans|transsukupuolinen
🏳️‍⚧️;translippu;lippu|trans|transsukupuolinen
🏴‍☠️;merirosvolippu;aarre|lippu|pääkallolippu|rosvous|ryöstö
🇦🇨;lippu: Ascension-saari;lippu
🇦🇩;lippu: Andorra;lippu
🇦🇪;lippu: Arabiemiirikunnat;lippu
🇦🇫;lippu: Afganistan;lippu
🇦🇬;lippu: Antigua ja Barbuda;lippu
🇦🇮;lippu: Anguilla;lippu
🇦🇱;lippu: Albania;lippu
🇦🇲;lippu: Armenia;lippu
🇦🇴;lippu: Angola;lippu
🇦🇶;lippu: Antarktis;lippu
🇦🇷;lippu: Argentiina;lippu
🇦🇸;lippu: Amerikan Samoa;lippu
🇦🇹;lippu: Itävalta;lippu
🇦🇺;lippu: Australia;lippu
🇦🇼;lippu: Aruba;lippu
🇦🇽;lippu: Ahvenanmaa;lippu
🇦🇿;lippu: Azerbaidžan;lippu
🇧🇦;lippu: Bosnia ja Hertsegovina;lippu
🇧🇧;lippu: Barbados;lippu
🇧🇩;lippu: Bangladesh;lippu
🇧🇪;lippu: Belgia;lippu
🇧🇫;lippu: Burkina Faso;lippu
🇧🇬;lippu: Bulgaria;lippu
🇧🇭;lippu: Bahrain;lippu
🇧🇮;lippu: Burundi;lippu
🇧🇯;lippu: Benin;lippu
🇧🇱;lippu: Saint-Barthélemy;lippu
🇧🇲;lippu: Bermuda;lippu
🇧🇳;lippu: Brunei;lippu
🇧🇴;lippu: Bolivia;lippu
🇧🇶;lippu: Karibian Alankomaat;lippu
🇧🇷;lippu: Brasilia;lippu
🇧🇸;lippu: Bahama;lippu
🇧🇹;lippu: Bhutan;lippu
🇧🇻;lippu: Bouvet’nsaari;lippu
🇧🇼;lippu: Botswana;lippu
🇧🇾;lippu: Valko-Venäjä;lippu
🇧🇿;lippu: Belize;lippu
🇨🇦;lippu: Kanada;lippu
🇨🇨;lippu: Kookossaaret (Keelingsaaret);lippu
🇨🇩;lippu: Kongon demokraattinen tasavalta;lippu
🇨🇫;lippu: Keski-Afrikan tasavalta;lippu
🇨🇬;lippu: Kongon tasavalta;lippu
🇨🇭;lippu: Sveitsi;lippu
🇨🇮;lippu: Norsunluurannikko;lippu
🇨🇰;lippu: Cookinsaaret;lippu
🇨🇱;lippu: Chile;lippu
🇨🇲;lippu: Kamerun;lippu
🇨🇳;lippu: Kiina;lippu
🇨🇴;lippu: Kolumbia;lippu
🇨🇵;lippu: Clippertoninsaari;lippu
🇨🇶;lippu: Sark;lippu
🇨🇷;lippu: Costa Rica;lippu
🇨🇺;lippu: Kuuba;lippu
🇨🇻;lippu: Kap Verde;lippu
🇨🇼;lippu: Curaçao;lippu
🇨🇽;lippu: Joulusaari;lippu
🇨🇾;lippu: Kypros;lippu
🇨🇿;lippu: Tšekki;lippu
🇩🇪;lippu: Saksa;lippu
🇩🇬;lippu: Diego Garcia;lippu
🇩🇯;lippu: Djibouti;lippu
🇩🇰;lippu: Tanska;lippu
🇩🇲;lippu: Dominica;lippu
🇩🇴;lippu: Dominikaaninen tasavalta;lippu
🇩🇿;lippu: Algeria;lippu
🇪🇦;lippu: Ceuta ja Melilla;lippu
🇪🇨;lippu: Ecuador;lippu
🇪🇪;lippu: Viro;lippu
🇪🇬;lippu: Egypti;lippu
🇪🇭;lippu: Länsi-Sahara;lippu
🇪🇷;lippu: Eritrea;lippu
🇪🇸;lippu: Espanja;lippu
🇪🇹;lippu: Etiopia;lippu
🇪🇺;lippu: Euroopan unioni;lippu
🇫🇮;lippu: Suomi;lippu
🇫🇯;lippu: Fidži;lippu
🇫🇰;lippu: Falklandinsaaret;lippu
🇫🇲;lippu: Mikronesia;lippu
🇫🇴;lippu: Färsaaret;lippu
🇫🇷;lippu: Ranska;lippu
🇬🇦;lippu: Gabon;lippu
🇬🇧;lippu: Iso-Britannia;lippu
🇬🇩;lippu: Grenada;lippu
🇬🇪;lippu: Georgia;lippu
🇬🇫;lippu: Ranskan Guayana;lippu
🇬🇬;lippu: Guernsey;lippu
🇬🇭;lippu: Ghana;lippu
🇬🇮;lippu: Gibraltar;lippu
🇬🇱;lippu: Grönlanti;lippu
🇬🇲;lippu: Gambia;lippu
🇬🇳;lippu: Guinea;lippu
🇬🇵;lippu: Guadeloupe;lippu
🇬🇶;lippu: Päiväntasaajan Guinea;lippu
🇬🇷;lippu: Kreikka;lippu
🇬🇸;lippu: Etelä-Georgia ja Eteläiset Sandwichinsaaret;lippu
🇬🇹;lippu: Guatemala;lippu
🇬🇺;lippu: Guam;lippu
🇬🇼;lippu: Guinea-Bissau;lippu
🇬🇾;lippu: Guyana;lippu
🇭🇰;lippu: Hongkong – Kiinan erityishallintoalue;lippu
🇭🇲;lippu: Heard ja McDonaldinsaaret;lippu
🇭🇳;lippu: Honduras;lippu
🇭🇷;lippu: Kroatia;lippu
🇭🇹;lippu: Haiti;lippu
🇭🇺;lippu: Unkari;lippu
🇮🇨;lippu: Kanariansaaret;lippu
🇮🇩;lippu: Indonesia;lippu
🇮🇪;lippu: Irlanti;lippu
🇮🇱;lippu: Israel;lippu
🇮🇲;lippu: Mansaari;lippu
🇮🇳;lippu: Intia;lippu
🇮🇴;lippu: Brittiläinen Intian valtameren alue;lippu
🇮🇶;lippu: Irak;lippu
🇮🇷;lippu: Iran;lippu
🇮🇸;lippu: Islanti;lippu
🇮🇹;lippu: Italia;lippu
🇯🇪;lippu: Jersey;lippu
🇯🇲;lippu: Jamaika;lippu
🇯🇴;lippu: Jordania;lippu
🇯🇵;lippu: Japani;lippu
🇰🇪;lippu: Kenia;lippu
🇰🇬;lippu: Kirgisia;lippu
🇰🇭;lippu: Kambodža;lippu
🇰🇮;lippu: Kiribati;lippu
🇰🇲;lippu: Komorit;lippu
🇰🇳;lippu: Saint Kitts ja Nevis;lippu
