😀;nevető arc;arc|boldog|fogak|nevetés|szmájli|vidám
🎿;sílécek;hó|síel|síelés|sport|téli sportok
🛷;szán;szán, szánkó, szánkózás, szánkózik, tobogán, lesiklás, hó, sport|szánkó
🥌;curlingkő;csapatjáték|csúszókorong|curling|játék|jégteke|kő|sport|téli sport
🎯;telitalálat;bullseye|cél|céltábla|darts|játék|szórakozás|találat
🪀;jojó;játék|jojózik
🪁;papírsárkány;repül|sárkányrepülő|szárnyal
🔫;vízipisztoly;fegyver|játékpisztoly|kézifegyver|pisztoly|revolver
🎱;biliárd;8-as|biliárdgolyó|golyó|játék
🔮;kristálygömb;gömb|jós|jóslás|jósnő|jövendő|jövendőmondás|jövő|mese
🪄;varázspálca;boszi|boszorkány|mágus|pálca|varázslat|varázsló
🎮;videojáték;játék|kontroller|konzol|playstation|szórakozás|xbox
🕹️;joystick;játék|videojáték
🎰;nyerőgép;félkarú rabló|játékgép|pénzbedobós|szerencsejáték|szerencsejátékot űz
🎲;dobókocka;játék|kocka|társas|társasjáték
🧩;kirakó;darab|illeszkedik|illeszkedő|nyom|összekapcsolódó|puzzle
🧸;plüssmaci;játék|játékmackó|játszótárs|mackó|medve|plüss|plüssmackó|tömött
🪅;pinyáta;buli|cukor|édesség|mexikó|ünnepség
🪩;tükörgömb;buli|csillám|diszkó|diszkógömb|tánc
🪆;matrjoska;baba|bábuska|egymásba rakható|orosz
♠️;pikk szín;francia kártya|játék|kártya|pikk|szín
♥️;kőr szín;francia kártya|játék|kőr|szín|szív
♦️;káró szín;francia kártya|játék|káró|piros rombusz|rombusz|szín
♣️;treff szín;francia kártya|játék|szín|treff
♟️;gyalog;feláldozható|paraszt|sakk
🃏;dzsóker;francia kártya|játék|joker|kártya
🀄;madzsong vörös sárkány;játék|kínai|madzsong|vörös
🎴;virágos kártyajáték;japán|játék|kártya|virág
🎭;előadóművészetek;előadás|játék|kikapcsolódás|maszkok|művészet|színész|színház|szórakozás
🖼️;kép kerettel;bekeretezett kép|festmény|galéria|kép|keret|műalkotás|művészet|múzeum
🎨;festőpaletta;festészet|festő|galéria|hobbi|kreatív|művészet|múzeum|paletta|színes
🧵;cérna;fonal|madzag|orsó|tű|varrás
🪡;varrótű;cérna|hímzés|öltés|szabászat|tű|varrás|varrat
🧶;fonál;fonal|gombolyag|horgol|horgolás|köt|kötés|kötöget
🪢;csomó;hurok|kötél|madzag|tengerészcsomó|zsineg
👓;szemüveg;kiegészítő|szem|viselet
🕶️;napszemüveg;kiegészítő|sötét|szem|szemüveg
🥽;védőszemüveg;búvár|búvárszemüveg|hegeszt|hegesztés|hegesztőszemüveg|merülés|szemüveg|szemvédelem|szemvédő|úszás
🥼;laborköpeny;doktor|dr|fehér köpeny|kísérlet|köpeny|laboratóriumi köpeny|orvos|orvosi köpeny|ruha|tudós
🦺;mentőmellény;biztonság|láthatósági mellény|mellény|mentő|vészhelyzet
👔;nyakkendő;elegancia|hivatalos|ing|ing nyakkendővel|komoly|ruházat
👕;póló;alkalmi|gallér|galléros póló|ing|kék póló|ruha|ruházat
👖;farmer;farmernadrág|nadrág|ruha|ruházat|vásárlás
🧣;sál;hideg|nyak|ruházat
🧤;kesztyű;kesztyű, kék kesztyű, kéz|kéz
🧥;kabát;dzseki|hideg|ruházat|télikabát
🧦;zokni;harisnya
👗;ruha;ruházat|vásárlás
👘;kimonó;japán|ruha|ruházat
🥻;szári;indiai ruha|ruha|ruházat
🩱;egyrészes fürdőruha;fürdőruha
🩲;fürdőnadrág;alsó|alsónadrág|egyrészes|fürdőgatya
🩳;rövidnadrág;alsó|fürdőgatya|fürdőnadrág|gatya
👙;bikini;fürdő|fürdőruha|medence|ruha|ruházat|úszás
👚;női ruha;blúz|ing|nők|ruha|ruházat
🪭;összecsukható kézi legyező;félénk|forróság|hűtés|legyez|legyező|tánc
👛;pénztárca;kiegészítő|női pénztárca|pénz|vásárlás
👜;női táska;kézitáska|kiegészítő|táska|vásárlás
👝;táska;kézitáska|kiegészítő|pénztárca|retikül
🛍️;bevásárlótáskák;bevásárlótáska|táska|vásárlás
🎒;iskolatáska;hátizsák|iskola|kiegészítő|táska
🩴;tangapapucs;flip-flop|lábbeli|lábujjközes papucs|papucs|strandpapucs|szandál
👞;férfi cipő;cipő|férfi|ruha|ruházat|vásárlás
👟;futócipő;atlétika|cipő|edzőcipő|futás|ruha|ruházat|sportcipő|tornacipő
🥾;túrabakancs;bakancs|barna cipő|cipő|erdő|hátizsákos túra|hegymászás|kemping|szabad levegő|túra|túrázás|vadon
🥿;lapos sarkú cipő;balenira|balerina|balerinacipő|balettcipő|belebújós cipő|kényelmes|mamusz|mokaszin|papucs
👠;magas sarkú cipő;cipő|divat|kiegészítő|magas sarkú|magassarkú|nők|ruha|ruházat|sarok|vásárlás
👡;női szandál;cipő|kiegészítő|nők|ruha|ruházat|szandál
🩰;balettcipő;balett|tánc
👢;női csizma;csizma|kiegészítő|lábbeli|nők|ruha|ruházat
🪮;hosszú fogú fésű;afro|fésű|fogú|haj|hosszú
👑;korona;fejdísz|kiegészítő|király|királynő|királyság|középkori
👒;női kalap;kalap|nők|ruha|ruházat
🎩;cilinder;bűvész|elegáns|kalap|ruha|ruházat
🎓;diplomaosztón használt kalap;diplomaosztó|diplomázás|diplomázik|egyetem|kalap|oktatás|ruha|ruházat|ünneplés
🧢;sildes sapka;baseball sapka|baseballsapka|kiegészítő|ruházat|sapka
🪖;katonai sisak;hadsereg|harcos|katona|katonaság|sisak
⛑️;sisak vörös kereszttel;elsősegély|kereszt|ment|segítség|sisak|védősisak|vöröskereszt
📿;imafüzér;gyöngyök|ima|nyaklánc|rózsafüzér|vallás
💄;ajakrúzs;kozmetikum|randevú|randi|rúzs|smink|szépségápolás
💍;gyűrű;ékszer|eljegyez|eljegyzési gyűrű|gyémánt|házasság|jegyben jár|jegyes|lánykérés|megkéri a kezét|romantika
💎;ékkő;drágakő|ékszer|eljegyzés|érték|értékes|esküvő|gyémánt|romantika
🔇;elnémított hangszóró;csendes|hangerő|hangszóró|néma|némított
🔈;hangszóró;hangerő
🔉;bekapcsolt hangszóró;hang|hangerő|hangszóró|közepes
🔊;hangos hangszóró;hangos|hangszóró|nagy hangerő|zene
📢;hangosbeszélő;hangos|kikiált|közhírré tesz|közlemények|megafon
📣;megafon;hangosbeszélő|szurkolás
📯;postakürt;kürt|posta|postai
🔔;harang;csengő|szünet|templom
🔕;áthúzott harang;csengő|harang|nem|nem csörög|néma|némítás|némított|tilos|tiltott
🎼;zenei kotta;G-kulcs|hangjegy|kotta|violinkulcs|zene
🎵;hangjegy;dallam|hang|zene
🎶;hangjegyek;hangjegy|zene
🎙️;stúdiómikrofon;mikrofon|stúdió|zene
🎚️;csúszka;hangerő|zene
🎛️;vezérlőgombok;gombok|irányítás|kontroller|poti|potméter|zene
🎤;mikrofon;hangjegyek|karaoke|zene
🎧;fülhallgató;zenehallgatás
📻;rádió;rádiókészülék
🎷;szaxofon;hangszer|szaxi|zene
🎺;trombita;hangszer|zene
🪊;harsona;hangszer|jazz|rézfúvós|szomorú|zene
🪗;harmonika;hangszer|tangóharmonika|zene
🎸;gitár;elektromos gitár|hangszer|zene
🎹;zenei billentyűzet;billentyűzet|hangszer|szintetizátor|zene|zongora
🎻;hegedű;hangszer|zene
🪕;bendzsó;húros|zene
🥁;dob;dobol|dobverő|hangszer|zene
🪘;hosszú dob;dob|hangszer|konga|ritmus|ütem
🪇;rumbatök;csörgő|hangszer|ráz|ütőhangszer|zene
🪈;fuvola;blockflöte|fafúvós|fife|furulya|zene
🪉;hárfa;Ámor|hangszer|szerelem|zene|zenekar
📱;mobiltelefon;kommunikáció|mobil|rádiótelefon|telefon
📲;mobiltelefon nyíllal;hívás|kommunikáció, hívásfogadás|mobil|mobiltelefon|nyíl|rádiótelefon|telefon
☎️;telefon;
📞;telefonkagyló;kagyló|telefon
📟;személyhívó;
📠;faxkészülék;fax
🔋;elem;akkumulátor
🪫;alacsony töltöttség;alacsony energiaszint|elektronikus|lemerült akkumulátor
🔌;elektromos dugó;dugó|elektronika|hálózati csatlakozó|villamosság
💻;laptop;munka|notebook|pc|számítógép
🖥️;asztali számítógép;asztali|monitor|pc|számítógép
🖨️;nyomtató;számítógép
⌨️;billentyűzet;számítógép
🖱️;számítógépes egér;3 gombos|egér|három|számítógép
🖲️;trackball;hanyattegér, egér|számítógép
💽;minidisk;CD|DVD|lemez|minidisc|optikai|számítógép
💾;floppylemez;floppy|hajlékonylemez|lemez|számítógép
💿;optikai lemez;blu-ray|CD|dvd|lemez|optikai|számítógép
📀;dvd;blu-ray|cd|lemez|optikai|számítógép|zene
🧮;abakusz;számítás|számolás|számológép
🎥;kamera;felvétel|felvevő|film|mozi
🎞️;filmkockák;film|filmtekercs|kocka|kockák|mozi
📽️;filmvetítő;film|mozi|vetítő|vetítőgép|videó
🎬;csapó;film|filmfelvétel|filmforgatás|forgatás|mozi
📺;televízió;tévé|tévékészülék|tv
📷;fényképezőgép;fotó|kamera|utazás
📸;fényképező vakuval;fényképezőgép|kamera|vaku|videó
📹;videokamera;kamera|videó|videók
📼;videokazetta;kazetta|szalag|vhs|videó
🔍;balra mutató nagyító;keresés|lencse|nagyító|nyomozó
🔎;jobbra mutató nagyító;keresés|lencse|nagyító
🕯️;gyertya;világítás
💡;villanykörte;fény|képregény|ötlet|világítás
🔦;zseblámpa;elektronikus|elemlámpa|fény|világítás
🏮;piros papírlámpa;bár|étterem|fény|japán|lámpa|lámpás|piros
🪔;olajlámpa;diya|lámpa|olaj
📔;jegyzetfüzet díszkötésben;borító|díszes|díszkötés|egyetem|füzet|iskola|jegyzet|jegyzetfüzet|könyv|oktatás|olvas|olvasás|tanul|tanulás
📕;becsukott könyv;csukott|egyetem|iskola|könyv|oktatás|olvas|olvasás|piros könyv|tanul|tanulás|tudás
📖;nyitott könyv;iskola|könyv|könyvtár|nyitott|oktatás|olvas|tanul|tudás
📗;zöld könyv;iskola|könyv|könyvtár|kötet|oktatás|olvas|olvasás|regény|tanul|tanulás|zöld
📘;kék könyv;egyetem|iskola|kék|könyv|könyvtár|oktatás|olvas|olvasás|tanul|tanulás
📙;narancssárga könyv;egyetem|iskola|könyv|könyvtár|narancssárga|oktatás|olvas|olvasás|tanul|tanulás
📚;könyvek;iskola|könyv|könyvtár|oktatás|olvas|olvasás|regény|tanul|tanulás|tanulmányok|tudás
📓;jegyzetfüzet;füzet|jegyzetek
📒;főkönyv;füzet|jegyzetfüzet|könyv|notesz|spirálos füzet
📃;kunkorodó lap;csavarodik|csavarodó|dokumentum|kunkorodik|lap|oldal
📜;tekercs;papír|papírtekercs|pergamen
📄;felfelé néző oldal;dokumentum|lap|oldal
📰;újság;hírek|újságos
🗞️;feltekert újság;feltekert|papír|újság
📑;könyvjelzők;fülek|jelzés|könyvjelző
🔖;könyvjelző;
🏷️;címke;árcédula|cédula
🪙;érme;arany|dollár|euró|ezüst|fém|kincs|pénz
💰;pénzeszsák;bank|dollár|drága|fizet|gazdag|nyer|pénz|zsák
🪎;kincsesláda;arany|drágakő|ékszerek|érték|ezüst|gazdagság|jutalom|pénz|zsákmány
💴;jen bankjegy;bank|bankjegy|bankó|jen|köteg|papírpénz|pénz|pénznem|valuta
💵;dollár bankjegy;bank|bankjegy|bankó|dollár|köteg|papírpénz|pénz|pénznem|valuta
💶;euró bankjegy;bank|bankjegy|bankó|euró|gazdag|papírpénz|pénz|pénznem|valuta
💷;font bankjegy;bank|bankjegy|bankó|font|gazdag|készpénz|papírpénz|pénz|pénznem|valuta
💸;pénz szárnyakkal;bank|bankjegy|bankó|dollár|fizet|készpénz|kifizet|papírpénz|pénz|repülés|szárnyak
💳;hitelkártya;bank|bankkártya|fizet|kártya
🧾;nyugta;bizonyíték|bizonylat|könyvelés|pénzügyek|számla|számvitel
💹;növekvő jendiagram;bank|diagram|emelkedés|felfelé|jen|növekedés|pénz|pénznem|piac|trend|valuta
✉️;boríték;e-mail|levél|üzenet
📧;e-mail;email|levél
📨;beérkező boríték;beérkező|bejövő|boríték|e-mail|fogadás|kézbesíteni|küldött|levél|posta
📩;boríték nyíllal;boríték|e-mail|elküldött|kimenő|levél|nyíl|posta
📤;kimenő tálca;doboz|e-mail|elküldött|email|kimenő|levél|posta|tálca
📥;beérkező tálca;beérkező|doboz|e-mail|email|fogadás|levél|posta|tálca
📦;csomag;doboz|szállítás
📫;csukott levelesláda felemelt zászlóval;csukott|levél|levelesláda|postaláda
📪;csukott levelesláda leengedett zászlóval;csukott|leengedett|levél|levelesláda|posta|postaláda|zárt
📬;nyitott levelesláda felemelt zászlóval;felemelt|levél|levelesláda|nyitott|postaláda|postás
📭;nyitott levelesláda leengedett zászlóval;leengedett|levél|levelesláda|nyitott|posta|postaláda|postás
📮;postaláda;doboz|levél|levelesláda
🗳️;urna szavazólappal;doboz|szavazás|urna
✏️;ceruza;írószer|iskola
✒️;fekete tollhegy;fekete toll|írószer|toll|tollhegy|töltőtoll
🖋️;töltőtoll;írószer|toll
🖊️;toll;golyóstoll|írószer
🖌️;ecset;festés|írószer|toll|töltőtoll
🖍️;zsírkréta;rajz
📝;feljegyzés;ceruza|jegyzet|lap|üzenet
💼;aktatáska;iroda
📁;fájlmappa;fájl|mappa
📂;nyitott fájlmappa;dosszié|fájl|mappa|nyitott
🗂️;kartotékelválasztók;elválasztók|kartoték|katalógus
📅;naptár;dátum
📆;fali naptár;falinaptár|naptár
🗒️;spirálfüzet;jegyzetfüzet|jegyzettömb|notesz|spirál|tömb|üzenet
🗓️;spirálos naptár;naptár|spirál|tömb
📇;forgó névjegykártyatartó;forgó|kártya|névjegykártya|névjegykártyatartó|rolodex|tartó
📈;növekvő diagram;adat|diagram|emelkedés|emelkedő|felfelé|gráf|növekedés|trend
📉;csökkenő diagram;adat|csökkenés|diagram|esik|gráf|lefelé|negatív|trend
📊;oszlopdiagram;ábra|adat|diagram|grafikon|oszlop|sáv
📋;írótábla;jegyzetek
📌;rajzszög;irodaszer|iskola
📍;kerek rajzszög;cím|helyzet|kitűz|rajzszög|térkép
📎;gemkapocs;irodaszer|papírkapocs
🖇️;összekapcsolt gemkapcsok;gemkapcsok|kapcsolódás
📏;egyenes vonalzó;egyenes|felszerelés|iskola|matek|matematika|mérés|vonalzó
📐;háromszögvonalzó;derékszögű|háromszög|matek|matematika|szög|vonalzó
✂️;olló;eszköz|papírvágó olló|vág
🗃️;kartotékdoboz;akták|doboz|kartoték
🗄️;iratszekrény;akták|iratok|irattár|iroda|szekrény
🗑️;papírkosár;szemeteskosár
🔒;lakat;zárt|zárva
🔓;nyitott lakat;kinyitás|lakat|nyitva
🔏;lakat tollal;adatvédelem|tinta|toll|töltőtoll|zár
🔐;zárt lakat kulccsal;biztonságos|kulcs|lakat|zár|zárt|zárva
🔑;kulcs;jelszó
🗝️;régi kulcs;kulcs|öreg kulcs|zár
🔨;kalapács;javít|szerel|szerszám
🪓;balta;fa|favágás|fejsze|szekerce|vágás
⛏️;csákány;bányász|bányászat|szerszám
⚒️;kalapács és csákány;csákány|kalapács|szerszám
🛠️;kalapács és csavarkulcs;csavarkulcs|javít|kalapács|szerel|szerszám|villáskulcs
🗡️;tőr;fegyver|kés|szúrás
⚔️;keresztezett kardok;fegyver|kardok|keresztbe tett|keresztezett|lovag
💣;bomba;képregény|robban|robbanás|veszélyes
🪃;bumeráng;ausztrália|fegyver|visszajön|visszarepül
🏹;íj és nyíl;fegyver|íj|nyíl|nyilas|sport
🛡️;pajzs;fegyver
🪚;rókafarkú fűrész;ács|asztalos|fa|fűrész|rókafarkú|szerszám|vágás
🔧;csavarkulcs;szerel|szerszám|villáskulcs
🪛;csavarhúzó;ezermester|laposfejű|szerszám
🔩;csavar és anya;anya|csavar|szerel|szerszám
⚙️;fogaskerék;beállítások|szerszám
🗜️;satu;szerszám
⚖️;kétkarú mérleg;eszköz|felszerelés|igazság|jog|mérleg|súly|tömeg
🦯;fehér bot;akadálymentesség|vak
🔗;kapocs;láncszem
⛓️‍💥;elszakadt lánc;bilincs|elszakít|lánc|szabadság|szakítás
⛓️;lánc;láncszemek
🪝;kampó;csapda|fogás|horog
🧰;szerszámosláda;barkácsolás|doboz|láda|piros doboz|szerelő|szerszám|szerszámok|szerszámos doboz|szerszámos láda
🧲;mágnes;mágneses|negatív|patkó|patkómágnes|pozitív|vonz|vonzás|vonzódás
🪜;létra;fok|létrafok|mászás
🪏;ásó;ás|elás|hó|kert|lapát|lyuk|ültet
⚗️;lombik;eszköz|felszerelés|kémia
🧪;kémcső;kémia|kísérlet|labor|laboratórium|tudomány|vegyész|vegyészet|vegyi anyag|vegyipar
🧫;Petri-csésze;baktérium|biológia|biológus|labor|laboratórium|tenyészet|tenyésztés
🧬;DNS;biológia|biológus|élet|evolúció|fejlődés|gén|gének|genetika|tudomány
🔬;mikroszkóp;biológia|eszköz|felszerelés|kísérlet|laboratórium|tudomány
🔭;távcső;csillagászat|eszköz|felszerelés
📡;parabolaantenna;antenna|műhold|parabola antenna|tányér
💉;fecskendő;eszköz|injekciós tű|orvos|véradás|vérvétel
🩸;vércsepp;gyógyszer|menstruáció|seb|sebesülés|sérülés|véradás|vérvétel|vérzés
💊;tabletta;betegség|doktor|gyógyszer|kapszula|orvos|pirula|vitamin
🩹;ragtapasz;kötszer|seb|tapasz
🩼;mankó;bot|fogyatékosság|mozgássegítő|sérülés|sétapálca
🩺;sztetoszkóp;gyógyszer|orvos|szív|szívhang
🩻;röntgen;csontok|csontváz|orvos|orvosi|röntgenkép
🚪;ajtó;
🛗;lift;akadálymentesítés|felvonó
🪞;tükör;smink|tükröződés|visszaverődés
🪟;ablak;átlátszó|friss levegő|keret|kilátás|nyílás
🛏️;ágy;alvás|hotel|szálloda
🛋️;kanapé és lámpa;kanapé|lámpa|szálloda
🪑;szék;ül|ülés
🚽;vécé;mosdó|toalett|wc
🪠;vécépumpa;dugulás|kaki|pumpa|vécé|vízvezeték-szerelő|wc|WC-pumpa
🚿;zuhanyzó;víz|vízsugár|zuhany|zuhanyzik
🛁;fürdőkád;fürdés
🪤;egércsapda;csalétek|csali|csapda|egérfogó|sajt
🪒;borotva;borotvál|borotválkozik|éles|leborotvál|megborotválkozik
🧴;krémes flakon;hidratáló|krém|naptej|napvédő krém|sampon|testápoló
🧷;biztosítótű;biztostű|pelenka|punk rock
🧹;seprű;boszorkány|seper|sepreget|seprés|söpör|takarítás|tisztítás
🧺;kosár;gazdálkodás|mosás|növénytermesztés|piknik|szennyes|tanya
🧻;papírtekercs;papír|papírhenger|papírtörlő|papírtörölköző|vécépapír|WC|WC-papír
🪣;vödör;felmosó|felmosóvödör
🧼;szappan;buborék|darab|fürdés|szappanhab|szappantartó|tiszta|tisztálkodás|tisztaság|zuhany
🫧;buborékok;böfi|szappan|szappanbuborékok|tiszta|víz alatti
🪥;fogkefe;fogak|fogászat|fogmosás|fürdőszoba|higiénia|kefe|tisztítás
🧽;szivacs;felszív|lyukacsos|nedvszívó|porózus|takarít|tisztít|tisztítás
🧯;tűzoltó készülék;elfojt|elolt|tűz|tüzet olt|tűzoltó
🛒;bevásárlókocsi;bevásárlás|bevásárló|élelmiszer áruház|kocsi|közért|shopping|szupermarket|vásárlás
🚬;dohányzás;cigaretta|cigi
⚰️;koporsó;halál|temetés|vámpír
🪦;sírkő;fejfa|halál|rip|sír|temető
⚱️;halotti urna;halál|hamvak|hamvasztás|temetés|urna
🧿;nazar amulett;amulett|bűbáj|gonoszűző|gyöngy|kék|nazar|rontás|szem|talizmán
🪬;hamsza;amulett|Fatima|kéz|Mária|Mirjam|védelem
🗿;moai;arc|japán|kő|kőarc|szobor
🪧;transzparens;demonstráció|sztrájk|tábla|tüntetés
🪪;személyi igazolvány;azonosító|biztonság|engedély|hitelesítő adatok|igazolvány
🏧;ATM-jel;atm|automata|bank|bankautomata|készpénz|kiadó|pénzfelvétel
🚮;szemét a kukában szimbólum;környezettudatosság|szemét|szemetes
🚰;ivóvíz;fogyasztható víz|iható|víz
♿;kerekesszék;akadálymentesség|mozgássérült|rokkant
🚹;férfimosdó;férfi mosdó|férfiak|mosdó|toalett|vécé|wc
🚺;női mosdó;mosdó|nők|toalett|vécé|wc
🚻;mosdó;toalett|vécé|WC
🚼;baba szimbólum;kisbaba|pelenkázó
🚾;toalett;mellékhelyiség|mosdó|vécé|wc
🛂;útlevél-ellenőrzés;ellenőrzés|utazás|útlevél
🛃;vám;ellenőrzés|poggyász átvizsgálása|vizsgálat
🛄;poggyászfelvétel;csomag|felvétel|poggyász|repülő|utazás
🛅;csomagmegőrző;csomag|megőrzés|poggyász|poggyászmegőrző
⚠️;figyelmeztetés;figyelem
🚸;átkelő gyermekek;gyalogos-átkelőhely|gyalogosok|gyermekek|iskola|közlekedési tábla|KRESZ-tábla
⛔;behajtani tilos;behajtás|forgalom|közlekedési tábla|KRESZ-tábla|nincs behajtás|tilos|tiltott
🚫;tilos;behajtani tilos|behajtás|frogalom|közlekedési tábla|KRESZ-tábla|nincs behajtás|tábla|tiltott
🚳;kerékpározni tilos;bicikli|kerékpár|tilos|tiltott
🚭;dohányozni tilos;cigaretta|dohányzás|tilos|tiltott
🚯;szemetelni tilos;szemét|szemetelés|tilos|tiltott
🚱;nem ivóvíz;ivás|ivóvíz|nem|nem iható|tilos|tiltott|víz
🚷;nem gyalogos zóna;gyalog|gyalogos|tilos|tiltott
📵;mobiltelefon használata tilos;mobil|mobiltelefon|telefon|tilos|tiltott
🔞;18 év alatt tilos;18-as karika|kiskorú|korhatár|szám|tilos|tiltás|tiltott|tizennyolc
☢️;radioaktív;jel|nukleáris veszély|sugárzás|veszély
☣️;biológiai veszély;biológiai|jel|veszély
⬆️;felfelé mutató nyíl;égtáj|észak|felfelé|gomb|irány|nyíl
↗️;jobbra felfelé mutató nyíl;égtáj|északkelet|felfelé|irány|nyíl
➡️;jobbra mutató nyíl;égtáj|irány|jobbra|kelet|nyíl
↘️;jobbra lefelé mutató nyíl;délkelet|égtáj|irány|nyíl
⬇️;lefelé mutató nyíl;dél|égtáj|irány|lefelé|nyíl
↙️;balra lefelé mutató nyíl;délnyugat|égtáj|irány|nyíl
⬅️;balra mutató nyíl;balra|égtáj|irány|nyíl|nyugat
↖️;balra felfelé mutató nyíl;égtáj|északnyugat|irány|nyíl
↕️;fel-le mutató nyíl;kétirányú nyíl|nyíl
↔️;balra-jobbra mutató nyíl;kétirányú nyíl|nyíl
↩️;balra görbülő jobb nyíl;nyíl
↪️;jobbra görbülő bal nyíl;nyíl
⤴️;felfelé görbülő jobb nyíl;nyíl
⤵️;lefelé görbülő jobb nyíl;lefelé|nyíl
🔃;óramutató járásával megegyező irányú függőleges nyilak;frissítés gomb|nyíl|óramutató járásával megegyező|újratöltés
🔄;óramutató járásával ellentétes irányú nyilak gombja;csavar|frissítés|frissítés gomb|megint|nyíl|óramutató járásával ellentétes|teker|újból
🔙;vissza nyíl;nyíl|visszafelé
🔚;vége nyíl;nyíl|vége
🔛;bekapcsolva nyíl;bekapcsolva|jelzés|nyíl
🔜;hamarosan nyíl;hamarosan|jön|nyíl|pill.
🔝;csúcsra nyíl;felfelé|nyíl|top
🛐;imahely;ima|imád|imádkozik|vallás
⚛️;atom szimbólum;ateista|atom
🕉️;om;hindu|vallás
✡️;Dávid-csillag;csillag|Dávid|Izrael|vallás|zsidó
☸️;dharma-kerék;buddha|buddhista|buddhizmus|kerék|vallás
☯️;jin-jang;jang|jin|tao|taoizmus|vallás
✝️;latin kereszt;kereszt|kereszténység|vallás
☦️;ortodox kereszt;kereszt|keresztény|kereszténység|vallás
☪️;csillag és félhold;iszlám|muszlim|vallás
☮️;békejel;béke|békés|szimbólum
🕎;menóra;gyertyatartó|hanuka|judaizmus|vallás|zsidó
🔯;hatágú csillag ponttal;csillag|judaizmus|szerencse|vallás|zsidó
🪯;khanda;szikh|vallás
♈;kos csillagjegy;horoszkóp|kos
♉;bika csillagjegy;bika|horoszkóp
♊;ikrek csillagjegy;horoszkóp|ikrek
♋;rák csillagjegy;csillagjegy|horoszkóp|rák
♌;oroszlán csillagjegy;horoszkóp|oroszlán
♍;szűz csillagjegy;horoszkóp|szűz
♎;mérleg csillagjegy;horoszkóp|mérleg
♏;skorpió csillagjegy;horoszkóp|skorpió
♐;nyilas csillagjegy;horoszkóp|nyilas
♑;bak csillagjegy;bak|horoszkóp
♒;vízöntő csillagjegy;horoszkóp|vízöntő
♓;halak csillagjegy;halak|horoszkóp
⛎;kígyótartó;csillagjegy|horoszkóp|kígyó
🔀;véletlenszerű lejátszás gomb;egymást keresztező nyilak|nyíl|nyilak
🔁;ismétlés gomb;ismétlés|megint|nyíl|nyilak|óra járásának megfelelően|újból|újra
🔂;egy szám ismétlése gomb;ismétlés egyszer|még egyszer|nyíl|nyilak|óra járásának irányában|óra járásának megegyezően|óra járásának megfelelően|újra
▶️;lejátszás gomb;jobbra nyíl|lejátszás|nyíl
⏩;előretekerés gomb;dupla nyíl|előre|gyors tekerés
⏭️;következő szám gomb;gomb|következő jelenet|következő szám|nyíl
⏯️;lejátszás vagy szünet gomb;lejátszás|szüneteltetés
◀️;visszajátszás gomb;balra nyíl|gomb|háromszög|nyíl|vissza
⏪;visszatekerés gomb;dupla nyíl|gyors tekerés|vissza
⏮️;legutóbbi szám gomb;előző jelenet|előző szám|nyíl
🔼;felfelé gomb;gomb|nyíl|piros
⏫;gyors felfelé gomb;dupla|gomb|nyíl
🔽;lefelé gomb;gomb|lefelé|nyíl|piros
⏬;gyors lefelé gomb;gomb|lefelé|nyíl|piros
⏸️;szüneteltetés gomb;dupla vonal|függőleges|gomb|szünet
⏹️;leállítás gomb;gomb|leállítás|négyzet|stop
⏺️;felvétel gomb;felvétel|gomb|kör
⏏️;lemez kiadása gomb;gomb|kiadás
🎦;mozi;film|kamera
🔅;sötétítés gomb;fényerő|sötétítés
🔆;világosítás gomb;fényerő|világosítás
📶;antennasávok;antenna|mobil|mobiltelefon|térerő
🛜;vezeték nélküli;hálózat|hotspot|internet|kapcsolat|okostelefon|router|számítógép|szélessávú|wi-fi|wifi|wlan
📳;rezgő mód;mobil|mobiltelefon|rádiótelefon|rezgés|telefon|tiltott
📴;mobiltelefon kikapcsolva;kikapcsolva|mobil|mobiltelefon|rádiótelefon|telefon|tiltott
♀️;női nem jelképe;nem|női
♂️;férfi nem jelképe;férfi|nem
⚧️;transznemű szimbólum;transznemű
✖️;szorzás;×|jel|mégse|vastag szorzásjel|x
➕;plusz;+|jel|matek|matematika|meg|pluszjel|vastag pluszjel
➖;mínusz;-|−|gondolatjel|jel|kivonás jel|matematika|vastag mínuszjel
➗;osztás;÷|jel|matematika|vastag osztásjel
🟰;vastag egyenlőségjel;egyenlőség|egyenlőségjel|matematika
♾️;végtelen;korlátlan|örökké|univerzális
‼️;dupla felkiáltójel;felkiáltás|felkiáltójel|írásjel|központozás
⁉️;felkiáltójel kérdőjellel;felkiáltás|írásjel|kérdés|kérdőjel|központozás
❓;piros kérdőjel;írásjel|kérdés|kérdőjel|központozás
❔;fehér kérdőjel;?|fehér|írásjel|kérdés|kérdőjel|központozás
❕;fehér felkiáltójel;!|fehér|felkiáltás|felkiáltójel|írásjel|központozás
❗;piros felkiáltójel;felkiáltás|felkiáltójel|írásjel|központozás
〰️;hullámos gondolatjel;gondolatjel|hullám|hullámos|központozás|víz
💱;pénzváltás;átváltás|bank|pénz|pénzváltó|valuta
💲;vastag dollárjel;dollár|fizet|pénz|pénznem
⚕️;orvosi szimbólum;Aszklépiosz|bot|gyógyszer|gyógyszertár|kígyó|orvos|orvoslás|patika
♻️;újrahasznosítás szimbólum;újra|újrahasznosítás
⚜️;Anjou-liliom;Anjou|liliom|lovag|lovagok
