😀;חיוך רחב;חיוך|מחייך|פרצוף|שמח
🌊;גל;ים|סערה
🎃;מנורת דלעת;אור|דלעת|האלווין|ליל כל הקדושים|מנורה
🎄;עץ אשוח מקושט;אשוח|חג המולד|כריסמס|מקושט
🎆;זיקוקים;זיקוקין|חגיגה|יום העצמאות
🎇;זיקוק על מקל;זיקוקי דינור|זיקוקים|חגיגה
🧨;זיקוקין די נור;דינמיט|זיקוקים|חזיז
✨;נצנוץ;כוכב|כוכבים|נצנוצים
🎈;בלון;חגיגה|יום הולדת|לחגוג|מסיבה
🎉;פצצת קונפטי;חגיגה|מסיבה|קונפטי
🎊;כדור קונפטי;חגיגה|מסיבה|קונפטי
🎋;קישוט חג יפני;חג|חגיגה|יפני|קישוט
🎍;קישוט אצטרובלים;אצטרובלים|במבוק|יפני|קישוט
🎎;בובות יפניות;בובות|חג|יפני|פסטיבל
🎏;דגלים בצורת דגי קוי;דגל|חג|חגיגה|יפני|קוי
🎐;פעמון רוח;חג|חגיגה|יפני|פעמון|רוח
🎑;טקס ירח;חג|חגיגה|טקס|יפני|ירח
🧧;מעטפה אדומה;כסף|מזל טוב|מתנה|סין
🎀;סרט מתנה;חגיגה|מסיבה|מתנה|סרט
🎁;קופסת מתנה;אריזה|יום הולדת|מסיבה|מתנה|עטוף|קופסה|שי
🎗️;סרט הזדהות;זיכרון
🎟️;כרטיס כניסה;כניסה|כרטיס
🎫;כרטיס;כניסה
🎖️;מדליה צבאית;גבורה|גיבור|מדליה|עיטור|צבא
🏆;גביע;אלוף|מקום ראשון|ניצחון|ספורט
🏅;מדליית ספורט;מדליה|ניצחון|ספורט
🥇;מדליית זהב;הצטיינות|מקום ראשון
🥈;מדליית כסף;מקום שני
🥉;מדליית ארד;מקום שלישי
⚽;כדורגל;כדור|ספורט
⚾;כדור בסיס;בייסבול|כדור|ספורט
🥎;סופטבול;בייסבול|כדור|כפפה
🏀;כדור סל;כדור|כדורסל|ספורט
🏐;כדורעף;כדור|משחק|ספורט
🏈;פוטבול אמריקאי;אמריקאי|כדור|ספורט|פוטבול
🏉;כדור רוגבי;כדור|ספורט|רוגבי
🎾;כדור טניס;טניס|כדור|מחבט|ספורט
🥏;פריזבי;דיסק|צלחת מעופפת
🎳;כדור באולינג;באולינג|כדור|כדורת|משחק|פינים
🏏;קריקט;כדור|מחבט|משחק|ספורט
🏑;הוקי שדה;הוקי|מחבט|ספורט|שדה
🏒;מקל ודיסקית של הוקי קרח;הוקי|מחבט|ספורט|קרח
🥍;לקרוס;כדור|מקל|משחק רשת
🏓;פינג פונג;טניס שולחן|כדור|מחבט|משחק
🏸;בדמינטון;כדור נוצה|מחבט|רקטה
🥊;כפפת אגרוף;אגרוף|איגרוף|בוקס|כפפה
🥋;חליפת אומנויות לחימה;אמנויות לחימה|ג’ודו|חגורה שחורה|חליפה|טקוואנדו|ספורט|קראטה
🥅;שער כדורגל;גול|מטרה|שער רשת
⛳;דגל גולף;גולף|גומה|דגל|משחק
⛸️;נעל החלקה על קרח;החלקה|נעל|קרח
🎣;חכת דיג;דג|דיג|דייג|חכה
🤿;מסיכת צלילה;לצלול|צלילה|שנורקל
🎽;חולצת ריצה;ג׳וגינג|חולצה|ספורט|ריצה
🎿;מגלשי סקי;מגלשיים|ספורט|סקי|שלג
🛷;מִזְחֶלֶת;מזחלת|שלג
🥌;אבן קרלינג;אבן|משחק
🎯;פגיעה בול;בול|בול פגיעה|חץ|מטרה|משחק|קליעה
🪀;יו-יו;יויו|עולה ויורד|צעצוע
🪁;עפיפון;להעיף|מתעופף|מתרומם
🔫;אקדח מים;אקדח|ירי|יריות|ירייה|כלי נשק|נשק
🎱;כדור ביליארד;ביליארד|כדור|משחק|סנוקר
🔮;כדור בדולח;מזל|נבואה|ניבוי|עתידות|קריסטל|ראיית הנולד
🪄;שרביט קסמים;מכשף|מכשפה|קוסם|קוסמים|קסם|קסמים|שרביט
🎮;משחק וידאו;ג׳ויסטיק|וידאו|מחשב|משחק|קונסולה|שלט משחק
🕹️;ג׳ויסטיק;מחשב|משחק|משחקי וידאו
🎰;מכונת מזל;הימורים|מהמר|מזל|משחק|קזינו
🎲;קוביית משחק;מהמר|מזל|משחק|קובייה
🧩;חלק בפאזל;התאמה|חתיכה מהפאזל|פאזל|קשר|רמז
🧸;דובי;בובה|דובון|ילדים|צעצוע
🪅;פיניאטה;חגיגה|מסיבה|פינייטה
🪩;כדור מראה;בילויים|דיסקו|כדור דיסקו|מסיבות|נצנצים|ריקודים
🪆;בבושקה;בובה|בובות בבושקה|מטריושקה|רוסית
♠️;קלף עלה;משחק|עלה|קלף|קלפים
♥️;קלף לב;אהבה|לב|משחק|קלף
♦️;קלף יהלום;יהלום|משחק|קלף
♣️;קלף תלתן;משחק|קלף|קלפים|תלתן
♟️;פיון בשחמט;פיון|רגלי|שח|שחמט
🃏;ג׳וקר;משחק|קלף
🀄;דרקון אדום מה-ג׳ונג;אדום|דרקון|דרקון אדום במה-ג׳ונג|מה-ג׳ונג|משחק
🎴;קלפי פרחים;יפני|משחק|קלף
🎭;אמנויות הבמה;במה|דרמה|מסיכות|משחק|פורים|תיאטרון
🖼️;מסגרת עם תמונה;אמנות|מוזיאון|מסגרת|ציור|תמונה
🎨;פלטת צבעים;אמן|אמנות|מוזיאון|צבעים|ציור
🧵;חוט;מחט|סליל|תפירה
🪡;מחט;לרקום|לתפור|רקמה|תפירה
🧶;צמר;כדור צמר|סריגה|קרושה
🪢;קשר;חבל|לקשור|עניבה|קשירה
👓;משקפיים;עיניים
🕶️;משקפי שמש;משקפיים|שמש
🥽;משקפי שחייה;משקפי מגן|משקפיים|משקפת|סקי
🥼;חלוק מעבדה;חוקר|מדען|רופא
🦺;אפוד בטיחות;אפוד|בטיחות|חירום|חליפת הצלה
👔;חולצה עם עניבה;בגד|חולצה|מחויט|עניבה|עסקי
👕;חולצת טי;בגד|חולצה|חולצת טריקו|טי שירט|טי-שירט|קצרה
👖;מכנסי ג׳ינס;בגד|ג׳ינס|מכנסיים
🧣;צעיף;חורף|צוואר
🧤;כפפות;יד|כפפה
🧥;מעיל;ג׳קט|ז׳קט|חורף|קר
🧦;גרביים;
👗;שמלה;בגד|חגיגית|יפה
👘;קימונו;בגד|יפן|יפני|מסורתי
🥻;סארי;בגד|הודו
🩱;בגד ים שלם;בגד ים|בגד רחצה|ים|שחייה|שלם
🩲;תחתונים;בגד ים|בגד רחצה|הלבשה תחתונה|תחתון
🩳;מכנסיים קצרים;בגד ים|בגד רחצה|הלבשה תחתונה|מכנס קצר|תחתונים
👙;ביקיני;בגד|ים|קיץ
👚;חולצת אישה;אישה|בגד|חולצה
🪭;מניפת יד מתקפלת;חם|לפלרטט|לקרר|לרקוד|מאוורר|מניפה|מניפת יד|קירור
👛;ארנק;כסף|מטבעות
👜;תיק יד;אקססוריז|ארנק|ביגוד
👝;תיק ערב;אקססוריז|פאוץ׳|תיק|תיק קלאץ׳
🛍️;שקיות קניות;קניות|שופינג|שקיות
🎒;ילקוט;בית ספר|לימודים|תיק|תיק גב
🩴;כפכפי אצבע;כפכפים|נעלי אצבע|קיץ
👞;נעל של גבר;גבר|נעל
👟;נעל ריצה;אצן|נעל|סניקרס|ספורט|ריצה
🥾;נעלי הליכה;הליכה|טיול|טרק|מחנאות|נעליים|נעליים גבוהות
🥿;נעל שטוחה;נעלי בובה|נעלי בלט|נעלי סירה
👠;נעל עקב גבוה;אופנה|אישה|נעל|עקב
👡;סנדל של אישה;אישה|סנדל|עקב|קיץ
🩰;נעלי בלט;בלט|בלרינה|נעליים|ריקוד
👢;מגף של אישה;אישה|חורף|מגף|נעליים|קניות
🪮;מסרק שיער;אפרו|טיפוח|מסרק|סידור שיער|שיער|תלתלים
👑;כתר;מלך|מלכה
👒;כובע של אישה;אישה|כובע|קיץ|קיצי
🎩;מגבעת צילינדר;ביגוד|גבר|כובע|מגבעת|מהודר|צילינדר|קוסם
🎓;כובע סיום לימודים;אוניברסיטה|אקדמיה|דיפלומה|כובע|תעודה
🧢;כובע מצחייה;בייסבול|כובע|מצחיה
🪖;קסדה צבאית;חייל|חיילים|צבא|צה״ל|קסדה|קפלס״ט|קפלסט
⛑️;קסדה עם צלב לבן;בטיחות|קסדה|קסדת בטיחות
📿;מחרוזת תפילה;דת|מחרוזת|מסבחה|סביחה|שרשרת|תפילה
💄;שפתון;איפור|אישה|טיפוח|יופי|קוסמטיקה
💍;טבעת;אירוסין|חתונה|יהלום|נישואין|רומנטיקה|תכשיט
💎;יהלום;רומנטיקה|תכשיט
🔇;רמקול מושתק;השתקה|ווליום|להשתיק|מושתק|קול מושתק|רמקול|שקט
🔈;ווליום נמוך;ווליום נמוך של הרמקול|נמוך
🔉;ווליום בינוני;בינוני|ווליום בינוני של הרמקול
🔊;ווליום חזק;ווליום|חזק|רמקול
📢;מגפון;דובר|הודעה|הפגנה|חזק|כרוז
📣;מגפון בלי ידית;כרוז|מגפון|עידוד
📯;קרן דואר;דואר|חצוצרה|קרן
🔔;פעמון;הפסקה|צליל|צלצול
🔕;פעמון מושתק;מושתק|פעמון|שקט
🎼;מפתח סול;מוזיקה|מוסיקה|תווים
🎵;תו מוזיקלי;מוזיקה|תו|תווים
🎶;תווים מוזיקליים;מוזיקה|מוסיקה|תווים
🎙️;מיקרופון אולפן;אולפן|הקלטה|מוזיקה|מיקרופון|שירה
🎚️;מחוון עוצמת קול;מחוון|סאונד|סליידר|עוצמה|צליל|קול|רמה
🎛️;כפתורי עוצמת קול;ווליום|כפתורים|מוזיקה|מוסיקה|סינתי|עוצמת קול|שליטה
🎤;מיקרופון;הקלטה|לשיר|מוזיקה|קריוקי|שירה
🎧;אוזניה;אוזניות|אוזנייה|אזניות|מוזיקה
📻;רדיו;מוזיקה|מוסיקה
🎷;סקסופון;כלי נגינה|מוזיקה|מוסיקה
🎺;חצוצרה;כלי נגינה|מוזיקה|מוסיקה
🪊;טרומבון;ג׳אז|כלי נגינה|כלי נשיפה ממתכת|מוזיקה|סלייד|עצוב
🪗;אקורדיון;אקורדיאון|מוסיקה|קונצרטינה
🎸;גיטרה;חשמלית|כלי נגינה|מוזיקה|מוסיקה|רוק
🎹;קלידים;אורגן|כלי נגינה|מוזיקה|פסנתר
🎻;כינור;כלי נגינה|מוזיקה|מוסיקה
🪕;בנג׳ו;כלי מיתר|כלי מיתרים|כלי נגינה|מוזיקה|מוסיקה
🥁;תוף;מוזיקה|מוסיקה|מקלות תיפוף|סנר|קצב
🪘;תוף גבוה;לתופף|מתופף|קונגה|קצב|תוף|תופים|תיפוף
🪇;מאראקס;חגיגה|כלי הקשה|לטינית|מוזיקה|מסיבה|מרקה|נגינה|צ׳ה צ׳ה|ריקוד|תיפוף
🪈;חליל;חליל עץ|חלילית|כלי נשיפה|מוזיקה|נגינה
🪉;נבל;אהבה|מוזיקה|פריטה|קופידון
📱;טלפון נייד;טלפון|נייד|סלולרי
📲;טלפון נייד עם חץ;חץ|טלפון|נייד|סלולרי|שיחה נכנסת
☎️;טלפון רגיל;דבר איתי|דברי איתי|טלפון|לחייג|לצלצל|שיחה
📞;שפופרת טלפון;אפרכסת|בשיחה|טלפון|שיחה|שפופרת
📟;איתורית;ביפר|זימונית
📠;מכשיר פקס;פקס|פקסימיליה
🔋;סוללה;בטריה|טעינה|לטעון|מצבר
🪫;סוללה נמוכה;אנרגיה|בטריה|חשמל|מעט אנרגיה|מרוקן|סוללה
🔌;תקע חשמלי;חשמל|מתח|תקע
💻;מחשב נייד;אישי|לפטופ|מחשב|נייד|פי סי
🖥️;מחשב שולחני;מחשב|מסך|נייח
🖨️;מדפסת;מחשב
⌨️;מקלדת;לוח מקשים|מחשב
🖱️;עכבר למחשב;מחשב|עכבר
🖲️;גלגלת עכבר;גלגלת|מחשב|עכבר
💽;דיסק;אופטי|דיסק קשיח|מחשב|מינידיסק|תקליטור
💾;דיסקט;מחשב|פלופי
💿;דיסק אופטי;אופטי|דיסק|מחשב|תקליטור
📀;dvd;אופטי|דיסק|מחשב|תקליטור
🧮;חשבונייה;אבקוס|חישוב|חשבון|חשבוניה
🎥;מצלמת קולנוע;מסרטה|מצלמה|סרט|פילם|צילום|קולנוע
🎞️;פילם;סרט|צילום|קולנוע
📽️;מקרן קולנוע;וידאו|מסרטה|מקרן|סרט|קולנוע
🎬;קלאפר;סרט|צילום|קולנוע
📺;טלוויזיה;TV|וידאו|מסך
📷;מצלמה;וידאו|מצלמת כיס|צילום
📸;מצלמה עם פלאש;הבזק|לצלם|מבזק|מצלמה|פלאש|צילום
📹;מצלמת וידאו;וידאו|מצלמה|צילום
📼;קלטת וידאו;VHS|וידאו|קלטת|קסטה
🔍;זכוכית מגדלת נוטה שמאלה;בלש|זכוכית|חיפוש|מגדלת|שרלוק
🔎;זכוכית מגדלת נוטה ימינה;בלש|זכוכית|חוקר|חיפוש|מגדלת
🕯️;נר;אור|להבה
💡;נורה;אור|חשמל|רעיון
🔦;פנס;אור|תאורה
🏮;פנס נייר אדום;אדום|יפני|נייר|סיני|פנס
🪔;מנורת דייה;דייה|הודו|מנורה|מנורת שמן
📔;מחברת עם כריכה מעוטרת;יומן|כריכה|כתיבה|מחברת|ספר
📕;ספר סגור;לימודים|סגור|ספר
📖;ספר פתוח;ספר|פתוח|קורא
📗;ספר ירוק;ירוק|ספר
📘;ספר כחול;כחול|ספר
📙;ספר כתום;כתום|לקרוא|ספר|ספריה|קריאה
📚;ספרים;לימודים|ספר|קריאה
📓;מחברת;יומן|ספרון
📒;יומן;מחברת
📃;דף עם קצה מגולגל;דף|מגולגל|מסמך|נייר
📜;מגילה;נייר|קלף
📄;דף עם הפנים כלפי מעלה;דף|דף כתוב|מסמך|נייר
📰;עיתון;חדשות|תקשורת
🗞️;עיתון מגולגל;חדשות|מגולגל|עיתון
📑;תוויות סימניה;דפים|מסמכים|ניירות|סימון|סימניה|סימניות|תוויות
🔖;סימנייה;סימון
🏷️;תווית;סימון|תג|תוויות|תיוג
🪙;מטבע;אוצר|זהב|כסף|מטבעות
💰;שק כסף;בנק|דולר|זכיתי|טחון|כסף|לשלם|מליין|עשיר|שק
🪎;תיבת אוצר;אבן חן|זהב|חפצי ערך|כסף|עושר|פרס|שלל|תכשיטים
💴;שטר ין;ין|כסף|מטבע|שטר
💵;שטר דולר;דולר|כסף|מטבע|שטר
💶;שטר אירו;אירו|טחון|כסף|מטבע|עשיר|שטר
💷;שטר לירה שטרלינג;כסף|לירה שטרלינג|מטבע|סטפה|פאונד|שטר
💸;כסף עם כנפיים;דולר|כנפיים|כסף|עף
💳;כרטיס אשראי;אשראי|כסף|כרטיס|תשלום
🧾;קבלה;הוכחה|הנהלת חשבונות|חשבונית|ראיית חשבון
💹;גרף עולה עם סימן ין;גרף|יואן|ין|יפן|כלכלה|כסף|סין|עולה|צמיחה
✉️;מעטפה;אימייל|דוא״ל|דואר|דואר אלקטרוני|מכתב
📧;אימייל;דוא״ל|דואר|דואר אלקטרוני|מכתב|מעטפה
📨;מעטפה נכנסת;אימייל|דוא״ל נכנס|דואר|מכתב|מעטפה|נכנס|קבלה
📩;מעטפה עם חץ;אימייל|דוא״ל|דואר אלקטרוני|חץ|מכתב|מעטפה|נשלח
📤;מגש דואר יוצא;דואר|יוצא|מגש|מכתב|נשלח|תיבה
📥;מגש דואר נכנס;דואר|מגש|מכתב|נכנס|קבלה|תיבה
📦;חבילה;אריזה|מעבר|משלוח|צרור
📫;תיבת דואר סגורה עם דגלון למעלה;דואר|סגורה|תיבת דואר
📪;תיבת דואר סגורה עם דגלון למטה;דואר|סגורה|תיבת דואר
📬;תיבת דואר פתוחה עם דגלון למעלה;דואר|פתוחה|תיבת דואר
📭;תיבת דואר פתוחה עם דגלון למטה;דואר|פתוחה|תיבת דואר
📮;תיבת דואר;דואר|מכתב
🗳️;קלפי עם פתק הצבעה;בחירות|הצבעה|פתק|קלפי
✏️;עיפרון;כלי כתיבה|לכתוב|עפרון|עפרונות
✒️;עט ציפורן שחור;דיו|עט|עט נובע|ציפורן
🖋️;עט נובע;נובע|עט
🖊️;עט;כדורי
🖌️;מכחול;ציור
🖍️;צבע פנדה;פנדה|צבע|ציור|קריון
📝;פתק תזכורת;עיפרון
💼;תיק מסמכים;מזוודה|מסמכים|עסקים|תיק
📁;תיקיית מסמכים;מסמכים|תיקייה
📂;תיקיית מסמכים פתוחה;מסמכים|פתוחה|תיקיה|תיקייה
🗂️;כרטסת עם חוצצים;חוצצים|כרטיסיות|כרטסת
📅;לוח שנה;יומן|תאריך
📆;לוח שנה לתלישת דפים;יומן|לוח שנה|תאריך
🗒️;פנקס עם ספירלה;ספירלה|פנקס
🗓️;לוח שנה עם ספירלה;לוח שנה|ספירלה
📇;כרטסת;כרטיסיות|רולודקס
📈;גרף עולה;גידול|גרף|למעלה|מגמה|נתונים|עולה|תרשים
📉;גרף יורד;גרף|יורד|ירידה|מגמה|תרשים
📊;תרשים עמודות;גרף|נתונים|עמודות|תרשים
📋;לוח כתיבה;כתיבה|לוח|משימות|רשימה
📌;נעץ;סיכה
📍;סיכה;מיקום|נעץ
📎;אטב נייר;מהדק
🖇️;אטבי נייר מחוברים;אטבי נייר|מהדקים|מחוברים
📏;סרגל;ישר|למדוד|מדידה
📐;סרגל משולש;הנדסה|משולש|סרגל
✂️;מספריים;גזירה|יצירה|לגזור
🗃️;קופסת תיוק כרטיסיות;כרטיסיות|קופסה|תיוק
🗄️;מגירות מסמכים;ארון|מגירות|מסמכים|תיוק
🗑️;סל ניירות;אשפה|סל|פח
🔒;מנעול;לסגור|סגור
🔓;מנעול פתוח;לסגור|מנעול|פתוח
🔏;מנעול עם עט;מנעול|סגור|עט|פרטיות
🔐;מנעול סגור עם מפתח;מאובטח|מנעול|מפתח|נעול עם מפתח|סגור
🔑;מפתח;לנעול|סיסמה|רמז
🗝️;מפתח ישן;ישן|לנעול|מנעול|מפתח|רמז
🔨;פטיש;בנייה|כלי עבודה
🪓;גרזן;לבקע|לחתוך|לקצוץ|עץ
⛏️;מכוש;חופר|חפירה|כלי עבודה|לחפור
⚒️;פטיש ומכוש;בנייה|חפירה|כלי עבודה|מכוש|עבודה|פטיש
🛠️;פטיש ומפתח ברגים;כלי עבודה|כלים|מפתח ברגים|עבודה|פטיש
🗡️;פגיון;חרב|כלי נשק|סכין
⚔️;חרבות מוצלבות;חרבות|כלי נשק|מוצלבות
💣;פצצה;בום|קומיקס|רימון
🪃;בומרנג;אוסטרליה|חרב פיפיות|לחזור כבומרנג
🏹;חץ וקשת;גלגל המזלות|חץ|כלי נשק|קשת
🛡️;מגן;אביר|כלי נשק
🪚;מסור;כלי עבודה|מנסר|מסור ידני|נגר|נגרייה|ניסור
🔧;מפתח ברגים;כלי עבודה|תיקון
🪛;מברג;הברגה|כלי עבודה
🔩;בורג ואום;אום|בורג|הרכבה
⚙️;גלגל שיניים;מנגנון
🗜️;מלחציים;כלי עבודה
⚖️;מאזניים;בית משפט|גלגל המזלות|משפט|משקל|צדק
🦯;מקל נחייה;נגישות|עיוור
🔗;חוליות משולבות;חוליות|קישור|שילוב|שרשרת
⛓️‍💥;שרשרת שבורה;חירות|קטיעה|שבירה|שלשלאות|שרשרת
⛓️;שרשראות;שלשלאות|שרשרת
🪝;קרס;אנקול|וו
🧰;ארגז כלים;ארגז|כלי עבודה|כלים|תיבה|תיקונים
🧲;מגנט;מגנוט|מגנטי|משיכה|פרסה
🪜;סולם;טיפוס|לטפס|עלייה
🪏;מעדר;את|חפירה|לחפור
⚗️;מבחנת כימיה;כימיה|מבחנה|מעבדה|ניסוי
🧪;מבחנה;כימיה|מדע|מעבדה|ניסויים
🧫;צלחת פטרי;ביולוגיה|חיידקים|מעבדה|ניסויים|תרבית
🧬;די אנ איי;DNA|אבולוציה|ביולוגיה|גנטיקה|גנים|חיים
🔬;מיקרוסקופ;מדע|מחקר
🔭;טלסקופ;כוכבים|מדע|מחקר|מצפה כוכבים|צפייה
📡;צלחת לוויין;אנטנה|לוויין|צלחת|תקשורת
💉;מזרק;זריקה|חולה|חיסון|מחט|תרופה
🩸;טיפת דם;דם|רפואה|תרומת דם
💊;כדור;חולה|כמוסה|רופא|תרופה
🩹;פלסטר;חבישה|פצע
🩼;קביים;מגבלה|מקל|נכות|עזרה|פצוע|פציעה|צליעה|קב
🩺;סטתוסקופ;מַסְכֵּת|רופא
🩻;רנטגן;בדיקה|עצמות|קרינה|קרני רנטגן|רופא|רופאה|שיקוף|שלד
🚪;דלת;פתח
🛗;מעלית;בניין גבוה|לעלות|נגישות
🪞;מראה;בבואה|השתקפות|ראי
🪟;חלון;מסגרת|פתח
🛏️;מיטה;לינה|לישון|מלון
🛋️;ספה ומנורה;מלון|מנורה|סלון|ספה
🪑;כיסא;ישיבה|כסא|לשבת
🚽;אסלה;בית שימוש|נוחיות|שירותים
🪠;פומפה;אינסטלטור|סתום|סתימה|פמפמת|פתיחת סתימות|שירותים|שרברב
🚿;מקלחת;ברז|דוש|מים
🛁;אמבטיה;מקלחת
🪤;מלכודת עכברים;להפיל בפח|מלכודת|פח
🪒;סכין גילוח;גילוח|חד|להתגלח|סכין|תער
🧴;קרם לחות;לחות|קרם|קרם הגנה|שמפו|תחליב
🧷;סיכת ביטחון;חיתול|סיכה|פאנק רוק
🧹;מטאטא;לטאטא|לנקות|מכשפה
🧺;סל;כביסה|פיקניק
🧻;גליל נייר;בית שימוש|מגבות נייר|נייר טואלט|שירותים
🪣;דלי;מיכל|ספונג׳ה
🧼;סבון;להתרחץ|לרחוץ|סבון גוף|ספוג
🫧;בועות;גיהוק|מתחת למים|נקי|סבון|פנינים|צדפה|קונכייה|תת-ימי
🪥;מברשת שיניים;דנטלי|היגיינת הפה|לצחצח|מברשת|צחצוח|שיניים
🧽;ספוג;לנקות|לספוג|לרחוץ|מקלחת|נקבובי
🧯;מטף אש;אש|כיבוי|לכבות אש|מטף כיבוי
🛒;עגלת קניות;מכולת|סופרמרקט|סל קניות|עגלה|קניות
🚬;סיגריה דולקת;דולקת|סיגריה|עישון
⚰️;ארון קבורה;לוויה|מוות|ערפד
🪦;מצבה;אזכרה|בית עלמין|בית קברות|מוות|מציבה|קבורה|קבר
⚱️;כד אפר;לוויה|מוות
🧿;קמע;אבן טובה|מזל|נגד עין הרע
🪬;חמסה;הגנה|כף יד|מזל|סמל|עין הרע|קמע
🗿;פסל מאיי הפסחא;איי הפסחא|פנים|פסל|פרה היסטורי|פרצוף
🪧;כרזה;הודעה|הפגנה|מודעה|פלקט|שלט
🪪;תעודת זהות;אבטחה|דרכון|זיהוי|כרטיס|רישיון|רשמי|ת״ז|תעודה מזהה|תעודת זהות ביומטרית
🏧;שלט כספומט;בנק|כסף|כספומט|למשוך כסף|מזומן
🚮;שלט פסולת לפח;זבל|פח|פסולת
🚰;שלט מי שתייה;ברז|מים|שתייה
♿;שלט לנכים בלבד;גישה|לנכים בלבד|נגיש|נכה|נכים
🚹;שלט שירותי גברים;WC|גברים|ציבוריים|שירותי גברים|שירותים
🚺;שלט שירותי נשים;בית שימוש|נוחיות|נשים|ציבוריים|שירותי נשים|שירותים
🚻;שלט שירותים;WC|נוחיות|ציבוריים|שירותים
🚼;סמל של תינוק;החתלה|להחליף חיתול|תינוק
🚾;שלט WC;WC|בית שימוש|נוחיות|ציבוריים|שירותים
🛂;שלט עמדת דרכונים;ביקורת גבולות|דלפק דרכונים|דרכון|דרכונים
🛃;שלט עמדת מכס;בדיקה|ביקורת גבולות|בית המכס|דלפק מכס|מכס
🛄;שלט איסוף כבודה;איסוף|כבודה|מזוודות|מטוס|מטען|נסיעה
🛅;שלט אחסון כבודה;אחסון|כבודה|מזוודות|תיקים
⚠️;שלט אזהרה;אזהרה|זהירות|סכנה
🚸;ילדים חוצים;הולכי רגל|זהירות בדרכים|חוצים|ילדים|כביש|מעבר חצייה
⛔;אין כניסה;אסור|לא|תמרור
🚫;אסור;אין כניסה|איסור|לא
🚳;אין כניסה לאופניים;אופניים|אין כניסה|איסור|אסור
🚭;אסור לעשן;איסור|אסור|לא לעשן|עישון
🚯;אין להשליך פסולת;איסור|אסור|אסור להשליך פסולת|לא ללכלך|פסולת
🚱;אין לשתות את המים;אסור לשתות|ברז|זיהום|לא לשתות|מזוהם|מים
🚷;אין כניסה להולכי רגל;אין כניסה|איסור|אסור|הולך רגל|הולכי רגל
📵;אין להשתמש במכשירים ניידים;אין להשתמש במכשירים סלולריים|איסור|אסור|בלי טלפונים|טלפון|לסגור את הטלפון|נייד|סלולרי
🔞;מגיל שמונה-עשרה בלבד;18|איסור|אסור|הגבלת גיל|לא|שמונה עשרה
☢️;רדיואקטיבי;אזהרה|גרעיני|זיהום|מסוכן|סכנה
☣️;סכנה ביולוגית;אזהרה|ביולוגי|זיהום|מסוכן|סכנה|שלט
⬆️;חץ למעלה;חץ|כיוון|למעלה|צפון
↗️;חץ למעלה וימינה;חץ|כיוון|צפון-מזרח
➡️;חץ ימינה;חץ|ימינה|כיוון|מזרח
↘️;חץ למטה וימינה;דרום-מזרח|חץ|חץ מטה וימינה|ימינה|כיוון|למטה
⬇️;חץ למטה;דרום|חץ|כיוון|למטה
↙️;חץ למטה ושמאלה;דרום-מערב|חץ|כיוון|למטה|שמאלה
⬅️;חץ שמאלה;חץ|כיוון|מערב|שמאלה
↖️;חץ למעלה ושמאלה;חץ|כיוון|למעלה|צפון-מערב|שמאלה
↕️;חץ מעלה ומטה;חץ|למטה|למעלה
↔️;חץ שמאלה וימינה;חץ|חץ ימינה ושמאלה|ימינה|לשני הכיוונים|שמאלה
↩️;חץ ימינה מתעקל שמאלה;חץ|מתעקל|פרסה|שמאלה
↪️;חץ שמאלה מתעקל ימינה;חץ
⤴️;חץ ימינה מתעקל מעלה;חץ|למעלה|מתעקל
⤵️;חץ ימינה מתעקל מטה;חץ|למטה|מתעקל
🔃;חצים אנכיים מתעקלים בכיוון השעון;חצים|טעינה מחדש|מעגל
🔄;לחצן חצים נגד כיוון השעון;אחורה|חץ|לחצן|נגד כיוון השעון
🔙;חץ אחורה;אחורה|חזרה|חץ|לאחור
🔚;חץ לסוף;END|חץ|סוף
🔛;חץ פועל!;חץ|פועל
🔜;חץ בקרוב;בקרוב|חץ
🔝;חץ מעלה;הטופ|הכי טוב|חץ|למעלה
🛐;בית תפילה;דת|תפילה
⚛️;סמל האטום;אטום|אתאיזם|אתאיסט|גרעיני|כור|סמל אטום
🕉️;אום;דת|הינדו|הינדי
✡️;מגן דוד;דוד|דת|יהדות|יהודי
☸️;גלגל הדהרמה;בודהיזם|בודהיסט|גלגל|דהרמה|דת
☯️;יין-יאנג;דאו|דאואיזם|דאואיסט|דת|טאו|יין ויאנג
✝️;צלב;דת|נוצרי|נצרות
☦️;צלב אורתודוכסי;אורתודוכסי|דת|נוצרי|נצרות|צלב
☪️;כוכב וסהר;איסלם|דת|כוכב|מוסלמי|סהר
☮️;סמל השלום;peace|היפי|היפים|שלום
🕎;חנוכיה;דת|חנוכה|יהדות|מנורה
🔯;מגן דוד עם נקודה באמצע;דת|יהדות|יהודי|מגן דוד
🪯;סמל סיקי;אמונה|דת|סיקים|סמל|קהלסה|קהנדה
♈;מזל טלה;גלגל המזלות|טלה|מזל
♉;מזל שור;גלגל המזלות|מזל|שור
♊;מזל תאומים;גלגל המזלות|מזל|תאומים
♋;מזל סרטן;גלגל המזלות|מזל|סרטן
♌;מזל אריה;אריה|גלגל המזלות|מזל
♍;מזל בתולה;בתולה|גלגל המזלות|מזל
♎;מזל מאזניים;גלגל המזלות|מאזניים|מזל|משפט|צדק
♏;מזל עקרב;גלגל המזלות|מזל|עקרב
♐;מזל קשת;גלגל המזלות|מזל|קשת
♑;מזל גדי;גדי|גלגל המזלות|מזל
♒;מזל דלי;גלגל המזלות|דלי|מזל|מים
