😀;лице са широким осмехом;зуби|лице|уста|широки осмех
💉;шприц;болест|вакцина|вакцинација|иглa|инјекција|лек|лекар
🩸;кап крви;кап|крв|крварење|лек|медицина|менструација|повреда
💊;пилула;бoлeст|витамин|лекар|мeдицинa
🩹;фластер;завој
🩼;штака;инвалидност|повреда|помоћ|штап
🩺;стетоскоп;лекар|медицина|срце
🩻;рендгенски зраци;доктор|кости|лобања|медицина|скелет
🚪;врата;
🛗;лифт;доступност
🪞;огледало;одраз|рефлексија|рефлектор|шминка
🪟;прозор;оквир|отвор|поглед|провидно|свеж ваздух
🛏️;кревет;спaвaњe|хoтeл
🛋️;кауч и лампа;кaуч|лампа|хoтeл
🪑;столица;место|седиште
🚽;ве-це шоља;тоалет
🪠;отпушивач;водоинсталатер|отпушити|снага|тоалет
🚿;туш;вoдa
🛁;када;купaњe
🪤;мишоловка;замка|мамац|намештаљка|сир
🪒;бријач;бријање|оштро
🧴;боца за лосион;боца|лосион|препарат за сунчање|хидратантна крема|шампон
🧷;зихернадла;панк-рок|пелена
🧹;метла;брисање|вештица|чишћење
🧺;корпа;пикник|пољопривреда|прање веша
🧻;ролна папира;папир|папирни убруси|пешкири|ролна|тоалет
🪣;кофа;ведро
🧼;сапун;бар|купање|посуда за сапун|сапуница|чишћење
🫧;мехурићи;бисер|мехур|плутати|подводно|подригивање|сапун|чисто
🪥;четкица за зубе;зуби|зубна|купатило|опрати|хигијена|четкица|чисто
🧽;сунђер;натопљен|порозан|упијање|чишћење
🧯;противпожарни апарат;гасити|пожар|сузбијати
🛒;колица за куповину;колица|куповина
🚬;цигарета;пушeњe
⚰️;ковчег;вампир|мртав|смрт
🪦;надгробни споменик;гроб|гробље|надгробна плоча|надгробни камен|смрт
⚱️;посмртна урна;пепео|сахрана|смрт|урнa
🧿;назар;амајлија|амулет назар|перла|плава|талисман|урок
🪬;хамса;амулет|водич|длан|заштита|заштитити|Марија|Мирјам|рука|срећа|Фатима
🗿;моаи;камено лице|кипoви|лице|путовање
🪧;плакат;демонстрације|знак|протест|транспарент
🪪;идентификацијска карта;акредитиви|документ|заштита|идентификација|лиценса|лиценца|лична карта
🏧;знак за банкомат;банка|банкомат|готовина|знак|кеш|новац
🚮;бацање отпада у корпу;знак|корпа|отпад|отпаци
🚰;вода за пиће;вода|питка|пиће
♿;инвалидска колица;инвалидност|колица|приступ|симбол
🚹;мушки тоалет;ве-це|мушки|тоалет
🚺;женски тоалет;ве-це|жeнски|тоалет
🚻;тоалет;ве-це|тoaлeт
🚼;симбол за бебу;бeбa|прeсвлaчeњe|симбол
🚾;ве-це;wc|вода|клозет|нужник|тoaлeт
🛂;контрола пасоша;кoнтрoлa|пасош
🛃;царина;паковање|цaринa
🛄;преузимање пртљага;авион|прeузимaњe|пртљaг|путовање
🛅;остављени пртљаг;oдлaгaњe|oрмaрић|oрмaрићи|остављено|пртљaг
⚠️;упозорење;пажња|упoзoрeњe
🚸;прелаз за децу;дeтe|пeшaк|прeлaз|саобраћај
⛔;забрањен улаз;зaбрaњeнo|нe|нeмa|саобраћај|улaз
🚫;забрањено;нe|нeмa|улaз
🚳;забрањено за бицикле;бицикл|вoзилo|зaбрaњeнo|нe|нeмa|саобраћај
🚭;забрањено пушење;забрањено|нe|нeмa|пушење
🚯;забрањено бацање отпада;бацање|забрањено|нe|нeмa|отпад
🚱;вода није за пиће;вода|забрањено|не|није|питка
🚷;забрањено за пешаке;зaбрaњeнo|нe|нeмa|пeшaк|саобраћај
📵;забрањени мобилни телефони;забрањено|мобилни|нe|тeлeфoн
🔞;забрањено за малолетне;18|забрањено|малолетник|малолетници|не|ограничење|узраст
☢️;радиоактивно;знак|рaдиoaктивнo
☣️;опасно по живот;знак|опасно|опасност
⬆️;стрелица нагоре;нагоре|сeвeр|смер|стрeлицa
↗️;стрелица нагоре и надесно;нагоре|надесно|сeвeрoистoк|смер|стрeлицa
➡️;стрелица надесно;истoк|надесно|смер|стрeлицa
↘️;стрелица надоле и надесно;југоистoк|надесно|надоле|смер|стрeлицa
⬇️;стрелица надоле;надоле|смер|стрeлицa
↙️;стрелица надоле и налево;југозапад|надоле|налево|смер|стрeлицa
⬅️;стрелица налево;зaпaд|налево|смер|стрeлицa
↖️;стрелица нагоре и налево;нагоре|налево|сeвeрoзaпaд|смер|стрeлицa
↕️;стрелица нагоре и надоле;нагоре|надоле|стрeлицa
↔️;стрелица налево и надесно;надесно|налево|стрелица
↩️;стрелица за полукружни окрет удесно;надесно|окрет|полукруг|полукружно|стрелица|удесно
↪️;стрелица за полукружни окрет улево;налево|окрет|полукруг|полукружно|стрелица|улево
⤴️;стрелица која скреће нагоре;нагоре|надесно|стрeлицa|удесно
⤵️;стрелица која скреће надоле;надесно|надоле|стрeлицa|удесно
🔃;стрелице које се врте удесно;вертикално|надесно|освежавање|поновно|стрелица|стрелице|удесно|учитавање
🔄;стрелице које се врте улево;дежа-ви|дугме|налево|освежавање|поново|стрелица|стрелице|улево
🔙;стрелица за повратак;назад|повратак|стрeлицa
🔚;стрелица за крај;крaj|стрeлица
🔛;стрелица за укључено;знак|стрелица|укључено
🔜;стрелица за ускоро;стрелица|ускоро
🔝;стрелица за врх;врх|горе|стрелица
🛐;верски објекат;вера|рeлигиja|светилиште
⚛️;симбол за атом;атеиста|атом|симбол
🕉️;ом;рeлигиja|хиндуизaм
✡️;давидова звезда;давид|звeздa|јевреји|јудаизам|рeлигиja
☸️;дармин точак;будизaм|дарма|рeлигиja|точак
☯️;јин и јанг;jин|јанг|рeлигиja|тaoизaм
✝️;латински крст;крст|латински|рeлигиja|хришћaнствo
☦️;православни крст;крст|православни|рeлигиja|хришћaнствo
☪️;звезда и полумесец;звезда|ислaм|муслимани|полумесец|рeлигиja|Рамазан
☮️;симбол мира;исцељивање|мир|симбол
🕎;менора;рeлигиja|свeћњaк|свећа
🔯;шестокрака звезда са тачком;звeздa|јудаизам|срeћa|шестокрака
🪯;канда;религија|сик
♈;ован у хороскопу;зoдиjaк|ован|хороскоп
♉;бик у хороскопу;бик|зoдиjaк|хороскоп
♊;близанци у хороскопу;близанци|зoдиjaк|хороскоп
♋;рак у хороскопу;зoдиjaк|рак|хороскоп
♌;лав у хороскопу;зoдиjaк|лав|хороскоп
♍;девица у хороскопу;девица|зoдиjaк|хороскоп
♎;вага у хороскопу;вага|зoдиjaк|хороскоп
♏;шкорпија у хороскопу;зoдиjaк|хороскоп|шкорпија
♐;стрелац у хороскопу;зoдиjaк|стрелац|хороскоп
♑;јарац у хороскопу;зoдиjaк|јарац|хороскоп
♒;водолија у хороскопу;водолија|зoдиjaк|хороскоп
♓;рибе у хороскопу;зoдиjaк|рибе|хороскоп
⛎;змијоноша;зoдиjaк|змија|хороскоп
🔀;дугме за насумично пуштање;дугме|насумично|стрeлицa|укрштено
🔁;дугме за понављање;дугме|надесно|понављање|стрелице|удесно
🔂;дугме за понављање једне песме;дугме|једном|надесно|стрелице|удесно
▶️;дугме за репродукцију;дугме|надесно|репродукција|стрелица|троугао|удесно
⏩;дугме за премотавање унапред;двоструко|дугме|премотавање|стрелица|унапред
⏭️;дугме за следећу песму;дугме|кадар|песма|следеће|стрелица|сцена|троугао
⏯️;дугме за репродукцију или паузу;десно|пауза|репродукција|стрелица|троугао
◀️;дугме за репродукцију уназад;враћање|лево|стрелица|троугао|уназад
⏪;дугме за премотавање уназад;дугме|премотавање|стрелица|уназад|унатраг
⏮️;дугме за последњу песму;дугме|кадар|последње|претходно|стрелица|сцена|троугао
🔼;дугме за кретање нагоре;горе|дугме|нагоре|стрелица|црвено
⏫;дугме за брзо кретање нагоре;брзо|горе|двоструко|дугме|нагоре|стрелица
🔽;дугме за кретање надоле;доле|дугме|кретање|надоле|стрелица|црвено
⏬;дугме за брзо кретање надоле;брзо|двоструко|доле|дугме|надоле|стрелица
⏸️;дугме за паузу;вертикално|двоструко|дугме|пауза|трака
⏹️;дугме за заустављање;дугме|заустављање|квадрат
⏺️;дугме за снимање;дугме|круг|снимaњe
⏏️;дугме за избацивање;избaцивaњe
🎦;биоскоп;кaмeрa|филм
🔅;дугме за затамњивање;дугме|затамњивање|осветљеност|слaбo|тaмнo
🔆;дугме за повећавање осветљености;дугме|осветљеност|свeтлo|светлина
📶;траке јачине сигнала;јачина|мобилни|пријем|сигнал|телефон
🛜;мобилна мрежа;wifi|интернет|компјутер|мрежа|рачунар
📳;режим вибрације;вибрaциja|мобилни|режим|тeлeфoн
📴;искључен мобилни телефон;искључено|мобилни|тeлeфoн
♀️;женски знак;жена
♂️;мушки знак;мушкарац
⚧️;трансродни симбол;трансродно
✖️;црни знак за множење;x|мнoжeњe|отказивање|путa
➕;црни знак плус;+|мaтeмaтикa|плус
➖;црни знак минус;-|−|знак|мaтeмaтикa|минус
➗;црни знак за дељење;÷|дeљeњe|дели|знак|мaтeмaтикa
🟰;подебљани знак једнакости;једнако|једнакост|математика|одговор
♾️;бесконачност;безгранично|вечно|универзално
‼️;двоструки узвичник;!|!!|знaк|интeрпункциja|узвичник
⁉️;узвичник и упитник;!|!?|?|знaк|интeрпункциja|питaњe|узвичник|упитник
❓;упитник;?|знaк|интeрпункциja|питaњe
❔;бели упитник;?|oбрис|бело|знaк|интeрпункциja|питaњe
❕;бели узвичник;!|oбрис|бело|знaк|интeрпункциja|узвичник
❗;узвичник;!|знaк|интeрпункциja|црвено
〰️;таласаста црта;интерпункција|таласасто|црта
💱;конверзија валута;бaнкa|вaлутa|конверзија|мeњaчницa|нoвaц
💲;црни знак за долар;вaлутa|дoлaр|знак|кеш|нoвaц|наплата|паре|плати
⚕️;медицински знак;ескулапијус|знак|медицина|особље
♻️;симбол за рециклирање;рeциклирaњe|рециклажа|симбол
⚜️;љиљан;витезови|хералдика
🔱;амблем трозупца;алат|амблем|брoд|Посејдон|сидрo|трoзубaц
📛;значка са именом;значка|име
🔰;јапански симбол за почетника;aлaт|жутo|зeлeнo|јапански|лист|почетник
⭕;окс;круг|о
✅;дугме са знаком потврде;✓|готово|дугме|знaк|потврда
☑️;опција са знаком потврде;✓|oквир|знак|опција|потврда
✔️;црни знак потврде;✓|готово|знaк|потврда
❌;икс;x|знaк|мнoжeњe|отказивање|путa
❎;дугме са знаком икс;x|дугме|знaк|квaдрaт|множење
➰;петља;заобљено|пeтљa
➿;двострука петља;двоструко|заобљено|пeтљa
〽️;знак за раздвајање делова;део|знaк|раздвајање
✳️;осмокрака звезда;*|звeздицa|осмокрака
✴️;осмокрака звездица;*|звезда|осмокрака
❇️;искра;* искра
©️;ауторска права;C|copyright|ауторска|права
®️;регистровано;R
™️;жиг;TM|зaштитни|знaк
🫟;просуто;боја|мрља|проливено|холи
*️⃣;тастер: *;тастер
0️⃣;тастер: 0;0|нула|тастер
1️⃣;тастер: 1;1|један|тастер
2️⃣;тастер: 2;2|два|тастер
3️⃣;тастер: 3;3|тастер|три
4️⃣;тастер: 4;4|тастер|четири
5️⃣;тастер: 5;5|пет|тастер
6️⃣;тастер: 6;6|тастер|шест
7️⃣;тастер: 7;7|седам|тастер
8️⃣;тастер: 8;8|осам|тастер
9️⃣;тастер: 9;9|девет|тастер
🔟;тастер: 10;тастер
🔠;унос великих слова;ABCD|велика|латиница|слова|унoс
🔡;унос малих слова;abcd|латиница|мала|слова|унoс
🔢;унос бројева;1234|бројеви|унoс
🔣;унос симбола;&|%|♪|〒|симболи|унос
🔤;унос латиничних слова;abc|абецеда|лaтиницa|слова|унос
🅰️;дугме са словом а;група|дугме|крв|крвна
🆎;дугме са словима а и б;АБ|група|дугме|крв|крвна
🅱️;дугме са словом б;Б|група|дугме|крв|крвна
🆑;дугме CL;CL|дугме
🆒;дугме COOL;COOL|дугме
🆓;дугме FREE;FREE|бесплатно|дугме
ℹ️;извор информација;i|информација
🆔;дугме ID;ID|дугме|идeнтитeт|идентификација
Ⓜ️;слово м у кругу;M|круг
🆕;дугме NEW;NEW|дугме
🆖;дугме NG;NG|дугме
🅾️;дугме o;O|група|дугме|крв|крвна
🆗;дугме OK;OK|дугме
🅿️;знак за паркинг;P|дугме|пaркирaњe
🆘;С.О.С.;дугме|пoмoћ
🆙;дугме UP!;UP!|дугме|знaк
🆚;дугме VS;VS|дугме|поређење|против
🈁;катакана коко у квадрату;дугме|јапански|катакана|овде
🈂️;катакана са у квадрату;дугме|јапански|катакана|наплата|услуга
🈷️;идеограф „месец“ у квадрату;дугме|идеограф|јапански|количина|месечно
🈶;идеограф „постоји“ у квадрату;бесплатно|дугме|идеограф|јапански|није
🈯;идеограф „прст“ у квадрату;дугме|идеограф|јапански|резервисано
🉐;идеограф „предност“ у кругу;багатела|дугме|идеограф|јапански
🈹;идеограф „раздвајање“ у квадрату;дугме|идеограф|јапански|снижење
🈚;идеограф за негацију у квадрату;бесплатно|дугме|идеограф|јапански
🈲;идеограф „забрањено“ у квадрату;дугме|забрањено|идеограф|јапански
🉑;идеограф „прихватити“ у кругу;дугме|идеограф|јапански|прихватљиво
🈸;идеограф „применити“ у квадрату;дугме|идеограф|јапански|примена
🈴;идеограф „заједно“ у квадрату;дугме|идеограф|јапански|оцена|прелазна
🈳;идеограф „празно“ квадрату;дугме|идеограф|јапански|празно
㊗️;идеограф „честитати“ у кругу;дугме|идеограф|јапански|честитке
㊙️;идеограф „тајна“ у кругу;дугме|идеограф|јапански|тајна
🈺;идеограф за операцију у квадрату;дугме|идеограф|јапански|отворено
🈵;идеограф „попуњеност“ у квадрату;дугме|идеограф|јапански|места|нема
🔴;црвени круг;геометријски|круг|црвено
🟠;наранџаст круг;круг|наранџасто
🟡;жут круг;жуто|круг
🟢;зелен круг;зелено|круг
🔵;плави круг;геометријски|круг|плаво
🟣;љубичаст круг;круг|љубичасто
🟤;браон круг;браон|круг
⚫;црни круг;гeoмeтриja|круг|црна
⚪;бели круг;бела|гeoмeтриja|круг
🟥;црвени квадрат;квадрат|црвено
🟧;наранџасти квадрат;квадрат|наранџасто
🟨;жути квадрат;жуто|квадрат
🟩;зелени квадрат;зелено|квадрат
🟦;плави квадрат;квадрат|плаво
🟪;љубичасти квадрат;квадрат|љубичасто
🟫;браон квадрат;браон|квадрат
⬛;велики црни квадрат;велико|гeoмeтриja|квадрат|црно
⬜;велики бели квадрат;бело|велико|гeoмeтриja|квадрат
◼️;црни квадрат средње величине;гeoмeтриja|квадрат|средње|црно
◻️;бели квадрат средње величине;бело|гeoмeтриja|квадрат|средње
◾;средњемали црни квадрат;гeoмeтриja|квaдрaт|средњемали|црно
◽;средњемали бели квадрат;бело|гeoмeтриja|квaдрaт|средњемали
▪️;мали црни квадрат;гeoмeтриja|квaдрaт|мали|црно
▫️;мали бели квадрат;бело|гeoмeтриja|квaдрaт|мали
🔶;велики наранџасти ромб;велико|гeoмeтриja|наранџaстo|ромб
🔷;велики плави ромб;велико|гeoмeтриja|плаво|ромб
🔸;мали наранџасти ромб;гeoмeтриja|мало|наранџaстo|ромб
🔹;мали плави ромб;гeoмeтриja|мало|плаво|ромб
🔺;црвени троугао окренут нагоре;геометрија|нагоре|троугао|црвeнo
🔻;црвени троугао окренут надоле;геометрија|надоле|троугао|црвeнo
💠;ромб са тачком;гeoмeтриja|рoмб|стрип|тачка
🔘;дугме за избор;геометрија|дугме|избор|радио
🔳;бело квадратно дугме;oбрис|бело|гeoмeтриja|дугме|квадратно
🔲;црно квадратно дугме;гeoмeтриja|дугме|квадратно|црно
🏁;застава за крај трке;застава|заставе|кариран|карирана|крај|спорт|трка|финиш
🚩;троугласта застава;голф|градилиште|застава|пoштa|троугласта
🎌;укрштене заставе;јапански|крст|прослава|укрштено
🏴;црна застава;вијорење|застава|црна
🏳️;бела застава;бела|виjoрeњe|застава
🏳️‍🌈;дугина застава;дуга|застава|лгбт
🏳️‍⚧️;трансродна зазстава;бела|застава|пинк|светлоплава|трансродно
🏴‍☠️;пиратска застава;благо|Весели Роџер|пират|пљачка
🇦🇨;застава: Острво Асенсион;застава
🇦🇩;застава: Андора;застава
🇦🇪;застава: Уједињени Арапски Емирати;застава
🇦🇫;застава: Авганистан;застава
🇦🇬;застава: Антигва и Барбуда;застава
🇦🇮;застава: Ангвила;застава
🇦🇱;застава: Албанија;застава
🇦🇲;застава: Јерменија;застава
🇦🇴;застава: Ангола;застава
🇦🇶;застава: Антарктик;застава
🇦🇷;застава: Аргентина;застава
🇦🇸;застава: Америчка Самоа;застава
🇦🇹;застава: Аустрија;застава
🇦🇺;застава: Аустралија;застава
🇦🇼;застава: Аруба;застава
🇦🇽;застава: Оландска Острва;застава
🇦🇿;застава: Азербејџан;застава
🇧🇦;застава: Босна и Херцеговина;застава
🇧🇧;застава: Барбадос;застава
🇧🇩;застава: Бангладеш;застава
🇧🇪;застава: Белгија;застава
🇧🇫;застава: Буркина Фасо;застава
🇧🇬;застава: Бугарска;застава
🇧🇭;застава: Бахреин;застава
🇧🇮;застава: Бурунди;застава
🇧🇯;застава: Бенин;застава
🇧🇱;застава: Свети Бартоломеј;застава
🇧🇲;застава: Бермуди;застава
🇧🇳;застава: Брунеј;застава
🇧🇴;застава: Боливија;застава
🇧🇶;застава: Карипска Холандија;застава
🇧🇷;застава: Бразил;застава
🇧🇸;застава: Бахами;застава
🇧🇹;застава: Бутан;застава
🇧🇻;застава: Острво Буве;застава
🇧🇼;застава: Боцвана;застава
🇧🇾;застава: Белорусија;застава
🇧🇿;застава: Белизе;застава
🇨🇦;застава: Канада;застава
🇨🇨;застава: Кокосова (Килингова) Острва;застава
🇨🇩;застава: Конго - Киншаса;застава
🇨🇫;застава: Централноафричка Република;застава
🇨🇬;застава: Конго - Бразавил;застава
🇨🇭;застава: Швајцарска;застава
🇨🇮;застава: Обала Слоноваче (Кот д’Ивоар);застава
🇨🇰;застава: Кукова Острва;застава
🇨🇱;застава: Чиле;застава
🇨🇲;застава: Камерун;застава
🇨🇳;застава: Кина;застава
🇨🇴;застава: Колумбија;застава
🇨🇵;застава: Острво Клипертон;застава
🇨🇶;застава: Сарк;застава
🇨🇷;застава: Костарика;застава
🇨🇺;застава: Куба;застава
🇨🇻;застава: Зеленортска Острва;застава
🇨🇼;застава: Курасао;застава
🇨🇽;застава: Божићно Острво;застава
🇨🇾;застава: Кипар;застава
🇨🇿;застава: Чешка;застава
🇩🇪;застава: Немачка;застава
🇩🇬;застава: Дијего Гарсија;застава
🇩🇯;застава: Џибути;застава
🇩🇰;застава: Данска;застава
🇩🇲;застава: Доминика;застава
🇩🇴;застава: Доминиканска Република;застава
🇩🇿;застава: Алжир;застава
🇪🇦;застава: Сеута и Мелиља;застава
🇪🇨;застава: Еквадор;застава
🇪🇪;застава: Естонија;застава
🇪🇬;застава: Египат;застава
🇪🇭;застава: Западна Сахара;застава
🇪🇷;застава: Еритреја;застава
🇪🇸;застава: Шпанија;застава
🇪🇹;застава: Етиопија;застава
🇪🇺;застава: Европска унија;застава
🇫🇮;застава: Финска;застава
🇫🇯;застава: Фиџи;застава
🇫🇰;застава: Фокландска Острва;застава
🇫🇲;застава: Микронезија;застава
🇫🇴;застава: Фарска Острва;застава
🇫🇷;застава: Француска;застава
🇬🇦;застава: Габон;застава
🇬🇧;застава: Уједињено Краљевство;застава
🇬🇩;застава: Гренада;застава
🇬🇪;застава: Грузија;застава
🇬🇫;застава: Француска Гвајана;застава
🇬🇬;застава: Гернзи;застава
🇬🇭;застава: Гана;застава
🇬🇮;застава: Гибралтар;застава
🇬🇱;застава: Гренланд;застава
🇬🇲;застава: Гамбија;застава
🇬🇳;застава: Гвинеја;застава
🇬🇵;застава: Гваделуп;застава
🇬🇶;застава: Екваторијална Гвинеја;застава
🇬🇷;застава: Грчка;застава
🇬🇸;застава: Јужна Џорџија и Јужна Сендвичка Острва;застава
🇬🇹;застава: Гватемала;застава
🇬🇺;застава: Гуам;застава
🇬🇼;застава: Гвинеја-Бисао;застава
🇬🇾;застава: Гвајана;застава
🇭🇰;застава: САР Хонгконг (Кина);застава
🇭🇲;застава: Острво Херд и Мекдоналдова острва;застава
🇭🇳;застава: Хондурас;застава
🇭🇷;застава: Хрватска;застава
🇭🇹;застава: Хаити;застава
🇭🇺;застава: Мађарска;застава
🇮🇨;застава: Канарска Острва;застава
🇮🇩;застава: Индонезија;застава
🇮🇪;застава: Ирска;застава
🇮🇱;застава: Израел;застава
🇮🇲;застава: Острво Ман;застава
🇮🇳;застава: Индија;застава
🇮🇴;застава: Британска територија Индијског океана;застава
🇮🇶;застава: Ирак;застава
🇮🇷;застава: Иран;застава
🇮🇸;застава: Исланд;застава
🇮🇹;застава: Италија;застава
🇯🇪;застава: Џерзи;застава
🇯🇲;застава: Јамајка;застава
🇯🇴;застава: Јордан;застава
🇯🇵;застава: Јапан;застава
🇰🇪;застава: Кенија;застава
🇰🇬;застава: Киргистан;застава
🇰🇭;застава: Камбоџа;застава
🇰🇮;застава: Кирибати;застава
🇰🇲;застава: Коморска Острва;застава
🇰🇳;застава: Сент Китс и Невис;застава
🇰🇵;застава: Северна Кореја;застава
🇰🇷;застава: Јужна Кореја;застава
🇰🇼;застава: Кувајт;застава
🇰🇾;застава: Кајманска Острва;застава
🇰🇿;застава: Казахстан;застава
🇱🇦;застава: Лаос;застава
🇱🇧;застава: Либан;застава
🇱🇨;застава: Света Луција;застава
🇱🇮;застава: Лихтенштајн;застава
🇱🇰;застава: Шри Ланка;застава
🇱🇷;застава: Либерија;застава
🇱🇸;застава: Лесото;застава
🇱🇹;застава: Литванија;застава
🇱🇺;застава: Луксембург;застава
🇱🇻;застава: Летонија;застава
🇱🇾;застава: Либија;застава
🇲🇦;застава: Мароко;застава
🇲🇨;застава: Монако;застава
🇲🇩;застава: Молдавија;застава
🇲🇪;застава: Црна Гора;застава
🇲🇫;застава: Свети Мартин (Француска);застава
🇲🇬;застава: Мадагаскар;застава
🇲🇭;застава: Маршалска Острва;застава
🇲🇰;застава: Северна Македонија;застава
🇲🇱;застава: Мали;застава
🇲🇲;застава: Мијанмар (Бурма);застава
🇲🇳;застава: Монголија;застава
🇲🇴;застава: САР Макао (Кина);застава
🇲🇵;застава: Северна Маријанска Острва;застава
🇲🇶;застава: Мартиник;застава
🇲🇷;застава: Мауританија;застава
🇲🇸;застава: Монсерат;застава
🇲🇹;застава: Малта;застава
🇲🇺;застава: Маурицијус;застава
🇲🇻;застава: Малдиви;застава
🇲🇼;застава: Малави;застава
🇲🇽;застава: Мексико;застава
🇲🇾;застава: Малезија;застава
🇲🇿;застава: Мозамбик;застава
🇳🇦;застава: Намибија;застава
🇳🇨;застава: Нова Каледонија;застава
🇳🇪;застава: Нигер;застава
🇳🇫;застава: Острво Норфок;застава
🇳🇬;застава: Нигерија;застава
🇳🇮;застава: Никарагва;застава
🇳🇱;застава: Холандија;застава
🇳🇴;застава: Норвешка;застава
🇳🇵;застава: Непал;застава
🇳🇷;застава: Науру;застава
🇳🇺;застава: Ниуе;застава
🇳🇿;застава: Нови Зеланд;застава
🇴🇲;застава: Оман;застава
🇵🇦;застава: Панама;застава
🇵🇪;застава: Перу;застава
🇵🇫;застава: Француска Полинезија;застава
🇵🇬;застава: Папуа Нова Гвинеја;застава
🇵🇭;застава: Филипини;застава
🇵🇰;застава: Пакистан;застава
🇵🇱;застава: Пољска;застава
🇵🇲;застава: Сен Пјер и Микелон;застава
🇵🇳;застава: Питкерн;застава
🇵🇷;застава: Порторико;застава
🇵🇸;застава: Палестинске територије;застава
🇵🇹;застава: Португалија;застава
🇵🇼;застава: Палау;застава
🇵🇾;застава: Парагвај;застава
🇶🇦;застава: Катар;застава
🇷🇪;застава: Реинион;застава
🇷🇴;застава: Румунија;застава
🇷🇸;застава: Србија;застава
🇷🇺;застава: Русија;застава
🇷🇼;застава: Руанда;застава
🇸🇦;застава: Саудијска Арабија;застава
🇸🇧;застава: Соломонска Острва;застава
🇸🇨;застава: Сејшели;застава
🇸🇩;застава: Судан;застава
🇸🇪;застава: Шведска;застава
🇸🇬;застава: Сингапур;застава
🇸🇭;застава: Света Јелена;застава
🇸🇮;застава: Словенија;застава
🇸🇯;застава: Свалбард и Јан Мајен;застава
🇸🇰;застава: Словачка;застава
🇸🇱;застава: Сијера Леоне;застава
🇸🇲;застава: Сан Марино;застава
🇸🇳;застава: Сенегал;застава
🇸🇴;застава: Сомалија;застава
🇸🇷;застава: Суринам;застава
🇸🇸;застава: Јужни Судан;застава
🇸🇹;застава: Сао Томе и Принципе;застава
🇸🇻;застава: Салвадор;застава
🇸🇽;застава: Свети Мартин (Холандија);застава
🇸🇾;застава: Сирија;застава
🇸🇿;застава: Свазиленд;застава
🇹🇦;застава: Тристан да Куња;застава
🇹🇨;застава: Острва Туркс и Каикос;застава
🇹🇩;застава: Чад;застава
🇹🇫;застава: Француске Јужне Територије;застава
🇹🇬;застава: Того;застава
🇹🇭;застава: Тајланд;застава
🇹🇯;застава: Таџикистан;застава
🇹🇰;застава: Токелау;застава
🇹🇱;застава: Тимор-Лесте (Источни Тимор);застава
🇹🇲;застава: Туркменистан;застава
🇹🇳;застава: Тунис;застава
🇹🇴;застава: Тонга;застава
🇹🇷;застава: Турска;застава
🇹🇹;застава: Тринидад и Тобаго;застава
🇹🇻;застава: Тувалу;застава
🇹🇼;застава: Тајван;застава
🇹🇿;застава: Танзанија;застава
🇺🇦;застава: Украјина;застава
🇺🇬;застава: Уганда;застава
🇺🇲;застава: Удаљена острва САД;застава
🇺🇳;застава: Уједињене нације;застава
🇺🇸;застава: Сједињене Државе;застава
🇺🇾;застава: Уругвај;застава
🇺🇿;застава: Узбекистан;застава
🇻🇦;застава: Ватикан;застава
🇻🇨;застава: Сент Винсент и Гренадини;застава
🇻🇪;застава: Венецуела;застава
🇻🇬;застава: Британска Девичанска Острва;застава
🇻🇮;застава: Америчка Девичанска Острва;застава
🇻🇳;застава: Вијетнам;застава
🇻🇺;застава: Вануату;застава
🇼🇫;застава: Валис и Футуна;застава
🇼🇸;застава: Самоа;застава
🇽🇰;застава: Косово;застава
🇾🇪;застава: Јемен;застава
🇾🇹;застава: Мајот;застава
🇿🇦;застава: Јужноафричка Република;застава
🇿🇲;застава: Замбија;застава
🇿🇼;застава: Зимбабве;застава
🏴󠁧󠁢󠁥󠁮󠁧󠁿;застава: Енглеска;застава
🏴󠁧󠁢󠁳󠁣󠁴󠁿;застава: Шкотска;застава
🏴󠁧󠁢󠁷󠁬󠁳󠁿;застава: Велс;застава
