😀;išsišiepęs veidas;išsišiepti|linksmas|veidas
🎴;kortos su gėlėmis;gėlė|japonų|kortos|žaidimas
🎭;scenos menas;kaukė|menas|pasirodymas|teatras
🖼️;rėmas su paveikslu;menas|muziejus|paveikslas|piešinys|rėmas
🎨;dailininko paletė;menas|muziejus|paletė|piešinys
🧵;siūlas;adata|gija|ritė|siuvimas
🪡;siuvimo adata;adata|siūlai|siuvimas|siuvinėjimas
🧶;siūlų kamuolys;kamuolys|megzti|nerti|siūlai
🪢;mazgas;kaklaraištis|surišti|virvė
👓;akiniai;akys|apranga|drabužiai
🕶️;akiniai nuo saulės;akiniai|akys|drabužiai|tamsūs
🥽;apsauginiai akiniai;akių apsauga|nardymas|plaukimas|suvirinimas
🥼;laboratorinis chalatas;bandymas|drabužiai|gydytojas|medicina|mokslas|mokslininkas
🦺;gelbėjimosi liemenė;drabužis|gelbėjimosi|kritinė padėtis|liemenė
👔;kaklaraištis;biuras|drabužiai|marškiniai
👕;marškinėliai;drabužiai|kasdieniai|marškiniai|vyras
👖;džinsai;drabužiai|kasdieniai|kelnės|trumpikės
🧣;skara;drabužis|kaklas|šalikas|šalta
🧤;pirštinės;drabužis|ranka
🧥;paltas;drabužis|striukė|švarkas
🧦;kojinės;blauzdinė|drabužis
👗;suknelė;drabužiai
👘;kimono;drabužiai|patogu
🥻;saris;apranga|drabužis|suknelė
🩱;vientisas maudymosi kostiumėlis;drabužis|maudymosi kostiumėlis
🩲;trumpikės;apatiniai|drabužis|maudymosi kostiumėlis|viena dalis
🩳;šortai;apatiniai|drabužis|maudymosi kostiumas|trumpikės
👙;bikinis;drabužiai|maudymosi kostiumėlis|moteris|paplūdimys|plaukti
👚;moteriški drabužiai;drabužiai|moteris|palaidinė
🪭;sulankstoma vėduoklė;aušinimas|drovus|flirtas|karšta|plazdėjimas|šokti|vėsinimas
👛;piniginė;apsipirkimas|drabužiai|monetos
👜;rankinė;drabužiai|krepšys
👝;maišelis;drabužiai|drabužių krepšys|krepšys|rankinė
🛍️;pirkinių krepšeliai;apsipirkimas|krepšys|viešbutis
🎒;mokyklinė kuprinė;krepšys|kuprinė|mokykla
🩴;sandalai su dirželiu;batai|dirželiai|paplūdimio sandalai|paplūdimio šlepetė|sandalai|šlepetė
👞;vyriškas batas;batai|batas|drabužiai|vyras
👟;bėgimo batelis;atletiškas|batai|batas|drabužiai|sportinis batelis
🥾;žygio batai;aulinis batas|batas|kuprinė|rudas batas|stovyklavietė|žygiai
🥿;lygiapadis batelis;avalynė be raištelių|baleto batelis|batai|patogu|šlepetė
👠;aukštakulnis batelis;batai|batas|drabužiai|kulnas|moteris
👡;moteriška basutė;basutė|batai|batas|drabužiai|moteris|sandalas
🩰;baleto bateliai;baletas|batai|šokis
👢;moteriškas batas;batai|batas|batelis|drabužiai|ilgaaulis batas|moteris
🪮;plaukų šukutės;juodaodžių|plaukai|rinkti|šukos|šukuoti
👑;karūna;drabužiai|karalienė|karalius
👒;moteriška skrybėlė;drabužiai|moteris|skrybėlė
🎩;cilindras;aukšta|drabužiai|kepurė|skrybėlė
🎓;mokyklos baigimo kepurėlė;baigimas|drabužiai|kepurė|kepurėlė|šventė
🧢;reklaminė kepurė;beisbolo kepuraitė|drabužis|kepurė|kepurė su snapeliu
🪖;kareiviškas šalmas;armija|kareivis|kariuomenė|karys|šalmas
⛑️;šalmas su baltu kryžiumi;kepurė|kryžius|pagalba|šalmas|veidas
📿;rožinis;drabužiai|karoliai|melstis|religija|vėrinys
💄;lūpų dažai;kosmetika|lūpdažis|makiažas
💍;žiedas;deimantas|sužadėtuvės|vestuvės
💎;brangakmenis;deimantas|juvelyrika|romantika|sužadėtuvės
🔇;garsiakalbis išjungtas;garsiakalbis|garsumas|nutildytas|prietaisas|tylus
🔈;tylus garsiakalbis;garsiakalbis|prietaisas|tylus
🔉;vidutinio garso garsiakalbis;garsiakalbis|vidutinis
🔊;didelis garsiakalbio garsumas;garsiakalbis|garsus|prietaisas
📢;garsiakalbio simbolis;garsiai|garsiakalbis|skelbimas|viešas
📣;garsintuvas;džiaugsmingi šūksniai|garsiakalbis
📯;pašto ragas;paštas|pašto|ragas
🔔;varpelis;bažnyčia|pertrauka|varpas
🔕;perbrauktas varpelis;draudžiama|nutildyti|tyliai|varpas|varpelis
🎼;partitūra;muzika|nata|smuiko raktas
🎵;muzikos nata;muzika|nata
🎶;muzikos natos;muzika|nata|natos
🎙️;studijos mikrofonas;mikrofonas|muzika|studija
🎚️;lygio slankiklis;lygis|muzika|slankiklis
🎛️;valdymo rankenos;muzika|rankenėlės|rankenos|valdymas|valdymo pultas
🎤;mikrofonas;karaokė|muzika
🎧;ausinės;garsas
📻;radijas;pramogos|vaizdo įrašas
🎷;saksofonas;instrumentas|muzika
🎺;trimitas;instrumentas|muzika
🪊;trombonas;džiazas|instrumentas|liūdnas|muzika|pučiamieji
🪗;akordeonas;armonika|instrumentas|muzika
🎸;gitara;instrumentas|muzika
🎹;muzikos klaviatūra;instrumentas|klaviatūra|muzika|pianinas
🎻;smuikas;instrumentas|muzika
🪕;bandža;instrumentas|muzika|styginis
🥁;būgnas;lazdelės|muzika
🪘;ilgas būgnas;būgnas|Kongas|ritmas
🪇;marakasai;barškalai|barškutis|barškynė|instrumentas|kratyti|mušamieji|muzika|purtyti
🪈;fleita;grupė|instrumentas|mažoji fleita|mediniai pučiamieji|muzika|orkestras|skudutis|vamzdis|vargonai
🪉;arfa;instrumentas|kupidonas|meilė|muzika|orkestras
📱;mobilusis telefonas;mobilusis|prietaisas|telefonas
📲;mobilusis telefonas su rodykle;mobilusis|prietaisas|rodyklė|skambinti|telefonas
☎️;telefonas;
📞;telefono ragelis;prietaisas|ragelis|telefonas
📟;gaviklis;bedravimas
📠;fakso aparatas;faksas
🔋;baterija;
🪫;išeikvota baterija;akumuliatorius|elektronika|išeikvota energija|išeikvotas akumuliatorius|mažai energijos
🔌;elektros kištukas;elektra|kištukas
💻;skreitinis kompiuteris;asmeninis|buras|kompiuteris|nešiojamas kompiuteris
🖥️;stalinis kompiuteris;kompiuteris|stalinis
🖨️;spausdintuvas;kompiuteris
⌨️;klaviatūra;kompiuteris|prietaisas
🖱️;kompiuterio pelė;kompiuteris|pelė|prietaisas
🖲️;rutulinis manipuliatorius;kompiuteris|prietaisas
💽;kompiuterio diskas;diskas|kompiuteris|minidiskas|optinis
💾;diskelis;diskas|kompiuteris
💿;optinis diskas;CD|diskas|kompaktinis diskas|kompiuteris|optinis
📀;skaitmeninis vaizdo diskas;Blu-Ray|diskas|kompaktinis diskas|kompiuteris|optinis
🧮;skaitytuvai;skaičiavimas|skaitliukas|skaitytuvas
🎥;filmavimo kamera;filmas|kamera|kinas
🎞️;filmo kadrai;filmas|juosta|kadrai|kinas
📽️;filmų projektorius;filmas|kinas|projektorius|vaizdo įrašas
🎬;pliauškė;filmas|pranešimo lenta|veiksmas
📺;televizorius;TV|vaizdo įrašas
📷;fotoaparatas;asmenukė|vaizdo įrašas
📸;fotoaparatas su blykste;blykstė|fotoaparatas|vaizdo įrašas
📹;vaizdo kamera;fotoaparatas|vaizdo įrašas
📼;vaizdo įrašų kasetė;juosta|kasetė|senovinė|vaizdo įrašas|VHS
🔍;didinimo stiklas į kairę;didinimo|įrankis|laboratorija|mokslas|paieška|stiklas
🔎;didinimo stiklas į dešinę;didinimo|įrankis|paieška|stiklas
🕯️;žvakė;šviesa
💡;lemputė;elektra|idėja|komiksas|šviesa
🔦;žibintuvėlis;deglas|elektra|įrankis|šviesa
🏮;raudonas popierinis žibintas;baras|popierinis žibintas|raudonas|šviesa|žibintas
🪔;žibalinė lempa;daiktas|lempa|žibalas|žvakė
📔;užrašų knygelė su dekoratyviniu viršeliu;dekoratyvinis|knyga|užrašų knygelė|viršelis
📕;užversta knyga;knyga|mokslas|užversta|užverta
📖;atversta knyga;atversta|biblioteka|knyga|mokslas|žinios
📗;žalia knyga;knyga|mokslas|žalia
📘;mėlyna knyga;biblioteka|išsilavinimas|knyga|mėlyna|skaitymas
📙;oranžinė knyga;biblioteka|knyga|oranžinė|skaitymas|žinios
📚;knygos;knyga|mokslas|mokykla
📓;užrašinė;
📒;sąskaitų knyga;knyga|užrašų knygelė
📃;užsirietęs puslapis;dokumentas|puslapis|užsirietęs
📜;susuktas lapas;lapas|popierius
📄;puslapis viršutine puse;dokumentas|puslapis
📰;laikraštis;naujienos|popierius
🗞️;susuktas laikraštis;laikraštis|naujienos|popierius|susuktas
📑;žymių skirtukai;skirtukai|skirtukas|žyma|žymė|žymeklis
🔖;žymė;skirtukas|žyma
🏷️;etiketė;
🪙;moneta;auksas|lobis|metalas|pinigai|sidabras
💰;pinigų maišas;doleris|maišas|pinigai
🪎;lobių skrynia;auksas|brangakmeniai|brangakmenis|grobis|pinigai|prizas|sidabras|turtas|vertingi daiktai
💴;jenos banknotas;bankas|banknotas|jena|pinigai|valiuta
💵;dolerio banknotas;bankas|banknotas|doleris|pinigai|valiuta
💶;euro banknotas;bankas|banknotas|euras|pinigai|valiuta
💷;svaro sterlingų banknotas;bankas|banknotas|pinigai|svaras sterlingų|valiuta
💸;pinigai su sparnais;bankas|banknotas|doleris|pinigai
💳;kredito kortelė;bankas|kortelė|kreditas|pinigai
🧾;čekis;apskaita|įrodymai
💹;didėjimo diagrama su jenos simboliu;augimas|diagrama|jena|tendencijos|valiuta
✉️;vokas;el. laiškas|el. paštas|laiškas|paštas
📧;el. laiškas;laiškas|paštas
📨;gaunamas vokas;el. laiškas|gaunamas laiškas|gavimas|laiškas|paštas|vokas
📩;vokas su rodykle;el. laiškas|el. paštas|laiškas|rodyklė|vokas
📤;siunčiamų laiškų dėklas;dėklas|išsiųsti|laiškas|paštas|siunčiami
📥;gaunamų laiškų dėklas;dėklas|gauti|laiškas|paštas
📦;paketas;dėžė|siuntinys
📫;uždaryta pašto dėžutė su pakelta vėliava;paštas|pašto dėžutė|uždaryta
📪;uždaryta pašto dėžutė su nuleista vėliava;nuleista|paštas|pašto dėžutė|uždaryta
📬;atidaryta pašto dėžutė su pakelta vėliava;atidaryta|pakelta|paštas|pašto dėžutė
📭;atidaryta pašto dėžutė su nuleista vėliava;atidaryta|nuleista|paštas|pašto dėžutė
📮;pašto dėžutė;laiškas|paštas
🗳️;balsavimo dėžutė su balsavimo biuleteniu;balsavimas|balsavimo dėžutė|dėžutė
✏️;pieštukas;
✒️;juoda plunksna;rašiklis|smaigalys
🖋️;automatinis plunksnakotis;plunksnakotis|rašiklis
🖊️;rašiklis;tušinukas
🖌️;teptukas;tapymas
🖍️;kreidelė;
📝;atmintinė;bendravimas|pieštukas
💼;portfelis;biuras
📁;failų aplankas;aplankas|failas|uždarytas|uždarytas failų aplankas
📂;atidarytas failų aplankas;aplankas|atidarytas|failas|failų aplankas
🗂️;kortelių laikiklio skirtukai;indeksas|kortelė|skirtukai
📅;kalendorius;data
📆;nuplėšiamas kalendorius;data|kalendorius
🗒️;užrašinė su spirale;spiralė|užrašas|užrašinė
🗓️;kalendorius su spirale;data|kalendorius|spiralė|užrašinė
📇;kortelių dėklas;dėklas|indeksas|kortelė|senovinis
📈;didėjimo tendencijos diagrama;augimas|diagrama|schema|tendencija
📉;mažėjimo tendencijos diagrama;diagrama|į apačią|mažėjimas|tendencija
📊;juostinė diagrama;diagrama|juosta
📋;segtuvas;darbų sąrašas|sąrašas
📌;smeigtukas;
📍;apvalus smeigtukas;smeigtukas
📎;sąvaržėlė;
🖇️;sukabintos sąvaržėlės;sąvaržėlė|sujungimas
📏;tiesi liniuotė;liniuotė|matematika|tiesi
📐;trikampė liniuotė;liniuotė|matematika|trikampis
✂️;žirklės;įrankis
🗃️;kortelių saugojimo dėžė;dėžė|failas|kortelė
🗄️;bylų spintelė su stalčiais;failas|failų spintelė su stalčiais|spintelė
🗑️;šiukšliadėžė;
🔒;spyna;saugu|uždaryta|užrakinta
🔓;atrakinta spyna;atidaryta|atrakinta|spyna
🔏;spyna ir rašiklis;privatumas|rašalas|rašiklis|smaigalys|spyna
🔐;užrakinta spyna su raktu;raktas|saugu|spyna|uždaryta
🔑;raktas;saugu|slaptažodis|spyna
🗝️;senas raktas;raktas|sena|spyna
🔨;plaktukas;įrankis
🪓;kirvis;daiktas|kapoti|mediena
⛏️;kirstuvas;įrankis|kasimas
⚒️;plaktuvas ir kirstuvas;įrankis|kirstuvas|plaktukas|plaktukas ir kirstuvas
🛠️;plaktukas ir veržliaraktis;įrankis|plaktukas|veržliaraktis
🗡️;durklas;ginklas|peilis
⚔️;sukryžiuoti kardai;ginklai|kardai|sukryžiuoti
💣;bomba;komiksas|sprogimas
🪃;bumerangas;australija|grįžimas|įrankis
🏹;lankas ir strėlė;ginklas|įrankis|lankas|šaulys|strėlė|zodiako
🛡️;skydas;ginklas
🪚;pjūklas;dailidė|įrankis|mediena
🔧;veržliaraktis;įrankis
🪛;atsuktuvas;įrankis|varžtas
🔩;veržlė ir varžtas;įrankis|varžtas|veržlė
⚙️;krumpliaratis;įrankis
🗜️;suspaudimas;įrankis|spaustuvai
⚖️;svarstyklės su lėkštėmis;įrankis|pusiausvyra|svarstyklės|svoris|teisingumas|zodiakas
🦯;neregio lazda;aklas|neįgaliųjų prieinamumas|neregys|prieinamumas
🔗;jungtis;jungtys
⛓️‍💥;nutraukta grandinė;grandinė|laisvė|nutrūkusi
⛓️;grandinės;grandinė
🪝;kablys;grobis|sugauti
🧰;įrankių rinkinys;dėžė|įrankis|mechanikas
🧲;magnetas;magnetinis|pasaga|trauka
🪜;kopėčios;lipti|žingsnis
🪏;kastuvas;augalas|duobė|kasti|palaidoti|smėlis|sniegas|sodas
⚗️;distiliavimo indas;chemija|įrankis
🧪;mėgintuvėlis;bandymas|chemija|chemikas|laboratorija|mokslas
🧫;petri lėkštelė;bakterijos|bakterijų auginimas|biologas|biologija|laboratorija
🧬;DNR;biologas|evoliucija|genas|genetika|gyvybė
🔬;mikroskopas;įrankis|laboratorija|mokslas
🔭;teleskopas;įrankis|mokslas
📡;palydovinė antena;antena|indas|mokslas|palydovas
💉;švirkštas;adata|dūris|gydytojas|įrankis|ligonis|medicina
🩸;kraujo lašas;kraujas|kraujo aukojimas|medicina|menstruacijos
💊;piliulė;gydytojas|kapsulė|ligonis|medicina
🩹;pleistras;
🩼;ramentas;lazda|negalia|pagalba|pagalba judėti|ramstis|sužeistas
🩺;stetoskopas;gydytojas|medicina|širdis
🩻;rentgenas;gydytojas|kaulai|medicina|skeletas
🚪;durys;
🛗;elevatorius;keltuvas|liftas|prieinamumas
🪞;veidrodis;atspindys|atšvaitas|makiažas|reflektorius
🪟;langas;atvėrimas|perregimas|rėmas|šviežias oras|vaizdas
🛏️;lova;miegoti|viešbutis
🛋️;sofa ir lempa;lempa|sofa|viešbutis
🪑;kėdė;daiktas|sėdėti
🚽;tualetas;
🪠;santechninė pompa;pompa|santechnikas|siurbimas|tualetas
🚿;dušas;vanduo
🛁;vonia;
🪤;pelėkautai;pasala|spąstai|sūris
🪒;skustuvas;aštrus|skusti
🧴;losjono buteliukas;apsauga nuo saulės|drėkinamasis kremas|kremas|kremas nuo saulės|losjonas|šampūnas
🧷;žiogelis;pankrokas|vystyklai
🧹;šluota;ragana|šlavimas|valymas
🧺;pintinė;daiktas|iškyla|skalbiniai|ūkininkavimas
🧻;popieriaus ritinys;popieriniai rankšluosčiai|tualetinis popierius
🪣;kibiras;
🧼;muilas;maudytis|muilinė|muilinti|plytelė|praustis
🫧;burbulai;burbulas|muilas|perlas|po vandeniu|švara
🪥;dantų šepetėlis;dantys|higiena|šepetėlis|valyti|vonios kambarys
🧽;kempinė;akytas|praustis|sugeriantis
🧯;gesintuvas;gesinti|ugnis
🛒;pirkinių vežimėlis;apsipirkimas|parduotuvė|vežimėlis
🚬;rūkymas;cigaretė
⚰️;karstas;laidotuvės|mirtis|vampyras
🪦;paminklas;kapas|kapinės|mirtis
⚱️;laidojimo urna;laidotuvės|mirtis|urna
🧿;amuletas akis;blogio akis|karoliukas|nazaras|talismanas|žavesys
🪬;hamsa;amuletas|apsauga|delnas|Fatima|Marija|ranka|sėkmė
🗿;moai;kelionė|statula|veidas
🪧;plakatas;demonstracija|piketas|protestas|ženklas
🪪;tapatybės kortelė;dokumentas|ID|licencija|pažymėjimas|sauga|tapatybė
🏧;bankomato ženklas;ATM|automatinis|bankas|bankomatas|kasininkas|pinigai
🚮;šiukšlių metimo į šiukšliadėžes ženklas;šiukšlė|šiukšliadėžė|ženklas
🚰;geriamasis vanduo;čiaupas|geriamas|gerti|vanduo
♿;neįgaliojo vežimėlio simbolis;neįgalieji|neįgaliųjų prieinamumas|pasiekiamumas|simbolis
🚹;vyrų tualetas;tualetas|vyras|wc|ženklas
🚺;moterų tualetas;moteris|tualetas|wc
🚻;tualeto kambarys;moteris|tualetas|wc|ženklas
🚼;kūdikio simbolis;kūdikis|vystyklų keitimas
🚾;tualeto patalpa;tualetas|vanduo|wc
🛂;pasų kontrolė;kontrolė|pasas
🛃;muitinė;pakavimas
🛄;bagažo skyrius;atsiimti|bagažas|kelionė|ženklas
🛅;paliktas bagažas;bagažas|lagaminas|spintelė|ženklas
⚠️;įspėjimas;
🚸;vaikų perėja;eismas|perėja|pėstysis|vaikas
⛔;įėjimo nėra;draudžiama|eismas|įėjimas|ne|uždrausta
🚫;draudžiama;įėjimas|ne|rūkyti|uždrausta|ženklas
🚳;dviračiai draudžiami;draudžiama|dviratis|ne|transporto priemonė|uždrausta|ženklas
🚭;rūkyti draudžiama;draudžiama|ne|rūkymas|uždrausta|ženklas
🚯;šiukšlinti draudžiama;draudžiama|ne|šiukšlės|uždrausta
🚱;draudžiama gerti vandenį;draudžiama|geriamas|gėrimas|gerti|ne|uždrausta|vanduo
🚷;pėstiesiems eiti draudžiama;draudžiama|ne|pėstysis|uždrausta
📵;jokių mobiliųjų telefonų;draudžiama|mobilusis|ne|telefonas|uždrausta|ženklas
🔞;tik pilnamečiams;18|amžiaus apribojimas|aštuoniolika|draudžiama|ne|nepilnametis|uždrausta
☢️;radioaktyvu;ženklas
☣️;biorizika;ženklas
⬆️;rodyklė į viršų;koordinatė|kryptis|rodyklė|šiaurė
↗️;rodyklė į viršų ir į dešinę;kryptis|rodyklė|šiaurės rytai
➡️;rodyklė į dešinę;koordinatė|kryptis|rodyklė|rytai
↘️;rodyklė į apačią ir į dešinę;kryptis|pietryčiai|rodyklė
⬇️;rodyklė į apačią;į apačią|koordinatė|kryptis|pietūs|rodyklė
↙️;rodyklė į apačią ir į kairę;kryptis|pietvakariai|rodyklė
⬅️;rodyklė į kairę;koordinatė|kryptis|rodyklė|vakarai
↖️;rodyklė į viršų ir į kairę;kryptis|rodyklė|šiaurės vakarai
↕️;rodyklė į viršų ir į apačią;rodyklė
↔️;rodyklė į kairę ir į dešinę;rodyklė
↩️;rodyklė į dešinę, užlenkta į kairę;lenkta rodyklė|rodyklė|rodyklė į dešinę|užlenkta į kairę
↪️;rodyklė į kairę, užlenkta į dešinę;lenkta rodyklė|rodyklė|rodyklė į kairę|užlenkta į dešinę
⤴️;rodyklė į dešinę, užlenkta į viršų;į viršų|lenkta rodyklė į viršų|rodyklė|rodyklė į dešinę|užlenkta į viršų
⤵️;rodyklė į dešinę, užlenkta į apačią;į apačią|lenkta rodyklė į apačią|rodyklė|rodyklė į dešinę|užlenkta į apačią
🔃;vertikalios laikrodžio rodyklės kryptimis nukreiptos rodyklės;pagal laikrodžio rodyklę|rodyklė
🔄;prieš laikrodžio rodyklę nukreiptų rodyklių mygtukas;dejavu|mygtukas|prieš laikrodžio rodyklę|rodyklė
🔙;rodyklė su užrašu „Back“;atgal|rodyklė
🔚;rodyklė su užrašu „End“;pabaiga|rodyklė
🔛;rodyklė su užrašu „On!“;į abi puses|rodyklė|rodyklė į abi puses|žymė
🔜;rodyklė su užrašu „Soon“;greitai|rodyklė
🔝;rodyklė su užrašu „Top“;į viršų|rodyklė|viršus
🛐;garbinimo vieta;garbinti|religija
⚛️;atomo simbolis;ateistas|atomas
🕉️;Om;hindu|religija
✡️;Dovydo žvaigždė;Dovydas|religija|žvaigždė|žydas|žydų
☸️;Dharmos ratas;budistas|dharma|ratas|religija
☯️;In ir Jang;in|jang|religija|sunkumai|tao|taoizmas
✝️;Romos katalikų kryžius;krikščionis|kryžius|religija
☦️;ortodoksų kryžius;krikščionis|kryžius|religija
☪️;žvaigždė ir pusmėnulis;islamas|musulmonas|religija
☮️;taikos simbolis;simbolis|taika
🕎;menora;religija|žvakės|žvakidė|žydų
🔯;šešiakampė žvaigždė su tašku;judaizmas|sėkmė|žvaigždė|žydų
🪯;khanda;Deg Tegh Fateh|khalsa|religija|sikhas|sikhizmas|tikėjimas
♈;avinas;zodiakas
♉;tauras;bulius|zodiakas
♊;dvyniai;zodiakas
♋;vėžys;krabas|zodiakas
♌;liūtas;zodiakas
♍;mergelė;zodiakas
♎;svarstyklės;pusiausvyra|teisingumas|zodiakas
♏;skorpionas;zodiakas
♐;šaulys;zodiakas
♑;ožiaragis;ožys|zodiakas
♒;vandenio ženklas;vandenis|vanduo|zodiakas
♓;žuvys;zodiakas|žuvis
⛎;gyvatnešis;gyvatė|nešėjas|zodiakas
🔀;maišyti takelius;mygtukas|rodyklė|sukryžiuota
🔁;kartoti;mygtukas|mygtukas „pakartoti“|pagal laikrodžio rodyklę|rodyklė
🔂;kartoti vieną;kartoti vieną kartą|mygtukas|pagal laikrodžio rodyklę|rodyklė|vieną kartą
▶️;paleisti;dešinė|mygtukas|rodyklė|trikampis
⏩;sukti pirmyn;du kartus|dviguba|greitai|rodyklė|sukti
⏭️;kitas takelis;kitas vaizdas|mygtukas|rodyklė|trikampis
⏯️;paleisti arba pristabdyti;dešinė|mygtukas|paleisti|pristabdyti|rodyklė|trikampis
◀️;atvirkštinė tvarka;atvirkštinė|kairė|mygtukas|rodyklė|trikampis
⏪;atsukti atgal;du kartus|dviguba|mygtukas|rodyklė|sukti atgal
⏮️;paskutinis takelis;ankstesnis takelis|ankstesnis vaizdas|mygtukas|rodyklė|trikampis
🔼;į viršų;mygtukas|raudonas|rodyklė|trikampis
⏫;greitai į viršų;dviguba|rodyklė
🔽;į apačią;mygtukas|raudona|rodyklė
⏬;greitai į apačią;dviguba|į apačią|mygtukas|rodyklė
⏸️;pristabdyti;dviguba|juosta|mygtukas|pauzė|vertikali
⏹️;sustabdymo mygtukas;kvadratas|mygtukas|stabdyti
⏺️;įrašymo mygtukas;apskritimas|įrašas|mygtukas|ratas
⏏️;išmetimo mygtukas;išmesti
🎦;kinas;filmas|kamera
🔅;užtemdymo mygtukas;blankus|mažas|mygtukas|ryškumas
🔆;ryškumo mygtukas;ryškumas|ryškus
📶;antenos juostos;antena|juosta|mobilusis|ryšys|signalas|telefonas
🛜;belaidis ryšys;internetas|išmanusis telefonas|kompiuteris|maršruto parinktuvas|plačiajuostis|ryšys|tinklas|viešosios prieigos taškas|vietinis belaidis tinklas|Wi-Fi
📳;vibravimo režimas;mobilusis|režimas|telefonas|vibravimas
📴;išjungti mobilųjį telefoną;išjungti|mobilusis|telefonas
♀️;moteriškos lyties ženklas;moteris
♂️;vyriškos lyties ženklas;vyras
⚧️;translyčių simbolis;translytis
✖️;paryškintas daugybos ženklas;atšaukti|dauginti|daugyba|x
➕;paryškintas pliusas;matematika|pliusas
➖;paryškintas minusas;matematika|minusas
➗;paryškintas dalybos ženklas;dalyba|matematika
🟰;paryškintas lygybės ženklas;atsakymas|lygu|lygybė|lygybės ženklas
♾️;begalybė;amžinai|neribotas|universalus
‼️;du šauktukai;šauktukas|skyryba|žymė
⁉️;šauktukas ir klaustukas;klausimas|šauktukas|skyryba|žymė
❓;raudonas klaustukas;klausimas|klaustukas|skyryba|žymė
❔;baltas klaustukas;klausimas|klaustukas|kontūras|skyryba|žymė
❕;baltas šauktukas;kontūras|šauktukas|skyryba|žymė
❗;raudonas šauktukas;šauktukas|skyryba|žymė
〰️;vingiuotas brūkšnys;brūkšnys|skyryba|vingiuotas
💱;valiutos keitimas;bankas|keitimas|pinigai|valiuta
💲;paryškintas dolerio ženklas;doleris|pinigai|valiuta
⚕️;medicinos simbolis;asklepijas|asklepijus|medicina|personalas
♻️;perdirbimo simbolis;perdirbti
⚜️;lelijos simbolis;lelija|riteriai
🔱;trišakė emblema;emblema|inkaras|įrankis|laivas|trišakis
📛;vardo ženklelis;vardas|ženklelis
🔰;japoniškas pradedančiojo simbolis;geltonas|įrankis|japonų|lapas|pradedantysis|simbolis|žalias
⭕;ryškus didelis ratas;o|ratas
✅;balta paryškinta varnelė;padaryta|varnelė|žymė
☑️;balsavimo laukelis su varnele;balsavimas|laukelis|padaryta|pažymėti|varnelė
✔️;paryškinta varnelė;varnelė|žymė
❌;kryžiukas;atšaukti|dauginti|daugyba|x|žymė
❎;kryžiuko mygtukas;kryžiukas|kvadratas|mygtukas|žymė
➰;kilpelė;kilpa|raityti
➿;dviguba kilpelė;dviguba|kilpa|raityti
〽️;dalių apkeitimo ženklas;dalis|žymė
✳️;aštuoniakampė žvaigždutė;žvaigždutė
✴️;aštuoniakampė žvaigždė;žvaigždė
❇️;kibirkštėlė;kibirkštis
©️;autorių teisės;
®️;užregistruota;
™️;prekės ženklas;tm|žymė
🫟;tiškalas;dažai|dėmė|išsiliejimas|lašinti|netvarka|purslai|rašalas|skystis
*️⃣;mygtukas: *;mygtukas
0️⃣;mygtukas: 0;0|mygtukas|nulis
1️⃣;mygtukas: 1;1|mygtukas|vienas
2️⃣;mygtukas: 2;2|du|mygtukas
3️⃣;mygtukas: 3;3|mygtukas|trys
4️⃣;mygtukas: 4;4|keturi|mygtukas
5️⃣;mygtukas: 5;5|mygtukas|penki
6️⃣;mygtukas: 6;6|mygtukas|šeši
7️⃣;mygtukas: 7;7|mygtukas|septyni
8️⃣;mygtukas: 8;8|aštuoni|mygtukas
9️⃣;mygtukas: 9;9|devyni|mygtukas
🔟;mygtukas: 10;mygtukas
🔠;įvestis didžiosios lotyniškos raidės;ABCD|didžiosios|įvestis|lotyniškos|raidės
🔡;įvestis mažosios lotyniškos raidės;abcd|įvestis|lotyniškos|mažosios|raidės
🔢;įvesties skaičiai;1234|įvestis|skaičiai
🔣;įvesties simboliai;įvestis|simbolis
🔤;įvestis lotyniškos raidės;abc|abėcėlė|įvestis|lotyniškos|raidės
🅰️;mygtukas „A“ (raudona);a|kraujo grupė|mygtukas|raudona
🆎;mygtukas „AB“ (raudona);ab|kraujo grupė|raudona
🅱️;mygtukas „B“ (raudona);b|kraujo grupė|raudona
🆑;simbolis „CL“;cl|mygtukas|mygtukas „CL“
🆒;simbolis „COOL“;cool|mygtukas|mygtukas „COOL“|vėsu
🆓;simbolis „FREE“;mygtukas|mygtukas „FREE“|nemokama
ℹ️;informacija;i
🆔;simbolis „ID“;ID|mygtukas|mygtukas „ID“|tapatybė
Ⓜ️;raidė „M“;apskritimas|m|raidė „M“ apskritime
🆕;simbolis „NEW“;mygtukas|mygtukas „NEW“|nauja|new
🆖;simbolis „NG“;mygtukas|mygtukas „NG“|ng
🅾️;simbolis „O“ (raudona);mygtukas|mygtukas „O“ (raudona)|o|raudona
🆗;simbolis „OK“;mygtukas|mygtukas „OK“|ok
🅿️;simbolis „P“;automobilių stovėjimas|mygtukas|mygtukas „P“
🆘;simbolis „SOS“;mygtukas|mygtukas „SOS“|pagalba|sos
🆙;mygtukas „Up!“;į viršų|mygtukas|up|žymė
🆚;simbolis „VS“;mygtukas|mygtukas „VS“|palyginti
🈁;čia reiškiantis hieroglifas;čia|hieroglifas|japonų|mygtukas
🈂️;paslaugos mokestį reiškiantis hieroglifas;hieroglifas|japonų|mygtukas|paslaugos mokestis
🈷️;mėnesio sumą reiškiantis hieroglifas;hieroglifas|japonų|mėnesio suma
