😀;ansikte med stort leende;ansikte|glad|kul|leende|roligt|skratt
🈳;japansk ”lediga rum”-knapp;ideogram|ideogram för ledig|japansk|lediga rum
㊗️;japansk ”grattis”-knapp;grattis|ideogram|ideogram för grattis|japansk
㊙️;japansk ”hemligt”-knapp;hemligt|ideogram|ideogram för hemlighet|japansk
🈺;japansk ”öppet”-knapp;ideogram|ideogram för öppet|japansk|öppet
🈵;japansk ”fullbelagt”-knapp;fullbelagt|ideogram|ideogram för inget ledigt|inga lediga rum|japansk
🔴;röd cirkel;cirkel|geometrisk|röd
🟠;orange cirkel;cirkel|orange
🟡;gul cirkel;cirkel|gul
🟢;grön cirkel;cirkel|grön
🔵;blå cirkel;blå|cirkel|geometrisk
🟣;lila cirkel;cirkel|lila
🟤;brun cirkel;brun|cirkel
⚫;svart cirkel;cirkel|geometrisk
⚪;vit cirkel;cirkel|geometrisk
🟥;röd kvadrat;kvadrat|röd
🟧;orange kvadrat;kvadrat|orange
🟨;gul kvadrat;gul|kvadrat
🟩;grön kvadrat;grön|kvadrat
🟦;blå kvadrat;blå|kvadrat
🟪;lila kvadrat;kvadrat|lila
🟫;brun kvadrat;brun|kvadrat
⬛;stor svart ruta;geometrisk|ruta|svart
⬜;stor vit ruta;geometrisk|ruta
◼️;mellanstor svart ruta;geometrisk|ruta|svart
◻️;mellanstor vit ruta;geometrisk|ruta|vit
◾;mellanliten svart ruta;geometrisk|medelstor svart ruta|ruta|svart
◽;mellanliten vit ruta;geometrisk|medelstor vit ruta|ruta|vit
▪️;liten svart ruta;ruta|svart
▫️;liten vit ruta;ruta|vit
🔶;stor orange diamantform;diamant|orange
🔷;stor blå diamantform;blå|diamant
🔸;liten orange diamantform;diamant|orange
🔹;liten blå romb;blå|diamant|liten blå diamantform
🔺;uppåtpekande röd triangel;röd triangel
🔻;nedåtpekande röd triangel;röd triangel
💠;diamantform med en prick;blomblad|diamant|diamantform|känslor
🔘;alternativknapp;knapp|vit rund knapp med svart kant
🔳;vit fyrkantig knapp;fyrkant|knapp|svart fyrkantig knapp med vit kant
🔲;svart fyrkantig knapp;fyrkant|knapp|vit fyrkantig knapp med svart kant
🏁;schackrutig flagga;flagga|flaggor|mållinen|racing|schackrutig|sport|vinna
🚩;trekantig flagga;flagga|trekantig röd flagga
🎌;korsade flaggor;fest|flaggor|japanska|korsade
🏴;svart flagga;flagga
🏳️;vit flagga;flagga
🏳️‍🌈;regnbågsflagga;flagga|regnbåge
🏳️‍⚧️;transflagga;flagga|ljusblå|rosa|transgender|vit
🏴‍☠️;sjörövarflagga;pirater|plundra|skatter
🇦🇨;flagga: Ascension;flagga
🇦🇩;flagga: Andorra;flagga
🇦🇪;flagga: Förenade Arabemiraten;flagga
🇦🇫;flagga: Afghanistan;flagga
🇦🇬;flagga: Antigua och Barbuda;flagga
🇦🇮;flagga: Anguilla;flagga
🇦🇱;flagga: Albanien;flagga
🇦🇲;flagga: Armenien;flagga
🇦🇴;flagga: Angola;flagga
🇦🇶;flagga: Antarktis;flagga
🇦🇷;flagga: Argentina;flagga
🇦🇸;flagga: Amerikanska Samoa;flagga
🇦🇹;flagga: Österrike;flagga
🇦🇺;flagga: Australien;flagga
🇦🇼;flagga: Aruba;flagga
🇦🇽;flagga: Åland;flagga
🇦🇿;flagga: Azerbajdzjan;flagga
🇧🇦;flagga: Bosnien och Hercegovina;flagga
🇧🇧;flagga: Barbados;flagga
🇧🇩;flagga: Bangladesh;flagga
🇧🇪;flagga: Belgien;flagga
🇧🇫;flagga: Burkina Faso;flagga
🇧🇬;flagga: Bulgarien;flagga
🇧🇭;flagga: Bahrain;flagga
🇧🇮;flagga: Burundi;flagga
🇧🇯;flagga: Benin;flagga
🇧🇱;flagga: S:t Barthélemy;flagga
🇧🇲;flagga: Bermuda;flagga
🇧🇳;flagga: Brunei;flagga
🇧🇴;flagga: Bolivia;flagga
🇧🇶;flagga: Karibiska Nederländerna;flagga
🇧🇷;flagga: Brasilien;flagga
🇧🇸;flagga: Bahamas;flagga
🇧🇹;flagga: Bhutan;flagga
🇧🇻;flagga: Bouvetön;flagga
🇧🇼;flagga: Botswana;flagga
🇧🇾;flagga: Belarus;flagga
🇧🇿;flagga: Belize;flagga
🇨🇦;flagga: Kanada;flagga
🇨🇨;flagga: Kokosöarna;flagga
🇨🇩;flagga: Kongo-Kinshasa;flagga
🇨🇫;flagga: Centralafrikanska republiken;flagga
🇨🇬;flagga: Kongo-Brazzaville;flagga
🇨🇭;flagga: Schweiz;flagga
🇨🇮;flagga: Elfenbenskusten;flagga
🇨🇰;flagga: Cooköarna;flagga
🇨🇱;flagga: Chile;flagga
🇨🇲;flagga: Kamerun;flagga
🇨🇳;flagga: Kina;flagga
🇨🇴;flagga: Colombia;flagga
🇨🇵;flagga: Clippertonön;flagga
🇨🇶;flagga: Sark;flagga
🇨🇷;flagga: Costa Rica;flagga
🇨🇺;flagga: Kuba;flagga
🇨🇻;flagga: Kap Verde;flagga
🇨🇼;flagga: Curaçao;flagga
🇨🇽;flagga: Julön;flagga
🇨🇾;flagga: Cypern;flagga
🇨🇿;flagga: Tjeckien;flagga
🇩🇪;flagga: Tyskland;flagga
🇩🇬;flagga: Diego Garcia;flagga
🇩🇯;flagga: Djibouti;flagga
🇩🇰;flagga: Danmark;flagga
🇩🇲;flagga: Dominica;flagga
🇩🇴;flagga: Dominikanska republiken;flagga
🇩🇿;flagga: Algeriet;flagga
🇪🇦;flagga: Ceuta och Melilla;flagga
🇪🇨;flagga: Ecuador;flagga
🇪🇪;flagga: Estland;flagga
🇪🇬;flagga: Egypten;flagga
🇪🇭;flagga: Västsahara;flagga
🇪🇷;flagga: Eritrea;flagga
🇪🇸;flagga: Spanien;flagga
🇪🇹;flagga: Etiopien;flagga
🇪🇺;flagga: Europeiska unionen;flagga
🇫🇮;flagga: Finland;flagga
🇫🇯;flagga: Fiji;flagga
🇫🇰;flagga: Falklandsöarna;flagga
🇫🇲;flagga: Mikronesien;flagga
🇫🇴;flagga: Färöarna;flagga
🇫🇷;flagga: Frankrike;flagga
🇬🇦;flagga: Gabon;flagga
🇬🇧;flagga: Storbritannien;flagga
🇬🇩;flagga: Grenada;flagga
🇬🇪;flagga: Georgien;flagga
🇬🇫;flagga: Franska Guyana;flagga
🇬🇬;flagga: Guernsey;flagga
🇬🇭;flagga: Ghana;flagga
🇬🇮;flagga: Gibraltar;flagga
🇬🇱;flagga: Grönland;flagga
🇬🇲;flagga: Gambia;flagga
🇬🇳;flagga: Guinea;flagga
🇬🇵;flagga: Guadeloupe;flagga
🇬🇶;flagga: Ekvatorialguinea;flagga
🇬🇷;flagga: Grekland;flagga
🇬🇸;flagga: Sydgeorgien och Sydsandwichöarna;flagga
🇬🇹;flagga: Guatemala;flagga
🇬🇺;flagga: Guam;flagga
🇬🇼;flagga: Guinea-Bissau;flagga
🇬🇾;flagga: Guyana;flagga
🇭🇰;flagga: Hongkong SAR;flagga
🇭🇲;flagga: Heardön och McDonaldöarna;flagga
🇭🇳;flagga: Honduras;flagga
🇭🇷;flagga: Kroatien;flagga
🇭🇹;flagga: Haiti;flagga
🇭🇺;flagga: Ungern;flagga
🇮🇨;flagga: Kanarieöarna;flagga
🇮🇩;flagga: Indonesien;flagga
🇮🇪;flagga: Irland;flagga
🇮🇱;flagga: Israel;flagga
🇮🇲;flagga: Isle of Man;flagga
🇮🇳;flagga: Indien;flagga
🇮🇴;flagga: Brittiska territoriet i Indiska oceanen;flagga
🇮🇶;flagga: Irak;flagga
🇮🇷;flagga: Iran;flagga
🇮🇸;flagga: Island;flagga
🇮🇹;flagga: Italien;flagga
🇯🇪;flagga: Jersey;flagga
🇯🇲;flagga: Jamaica;flagga
🇯🇴;flagga: Jordanien;flagga
🇯🇵;flagga: Japan;flagga
🇰🇪;flagga: Kenya;flagga
🇰🇬;flagga: Kirgizistan;flagga
🇰🇭;flagga: Kambodja;flagga
🇰🇮;flagga: Kiribati;flagga
🇰🇲;flagga: Komorerna;flagga
🇰🇳;flagga: S:t Kitts och Nevis;flagga
🇰🇵;flagga: Nordkorea;flagga
🇰🇷;flagga: Sydkorea;flagga
🇰🇼;flagga: Kuwait;flagga
🇰🇾;flagga: Caymanöarna;flagga
🇰🇿;flagga: Kazakstan;flagga
🇱🇦;flagga: Laos;flagga
🇱🇧;flagga: Libanon;flagga
🇱🇨;flagga: S:t Lucia;flagga
🇱🇮;flagga: Liechtenstein;flagga
🇱🇰;flagga: Sri Lanka;flagga
🇱🇷;flagga: Liberia;flagga
🇱🇸;flagga: Lesotho;flagga
🇱🇹;flagga: Litauen;flagga
🇱🇺;flagga: Luxemburg;flagga
🇱🇻;flagga: Lettland;flagga
🇱🇾;flagga: Libyen;flagga
🇲🇦;flagga: Marocko;flagga
🇲🇨;flagga: Monaco;flagga
🇲🇩;flagga: Moldavien;flagga
🇲🇪;flagga: Montenegro;flagga
🇲🇫;flagga: Saint-Martin;flagga
🇲🇬;flagga: Madagaskar;flagga
🇲🇭;flagga: Marshallöarna;flagga
🇲🇰;flagga: Nordmakedonien;flagga
🇲🇱;flagga: Mali;flagga
🇲🇲;flagga: Myanmar (Burma);flagga
🇲🇳;flagga: Mongoliet;flagga
🇲🇴;flagga: Macao SAR;flagga
🇲🇵;flagga: Nordmarianerna;flagga
🇲🇶;flagga: Martinique;flagga
🇲🇷;flagga: Mauretanien;flagga
🇲🇸;flagga: Montserrat;flagga
🇲🇹;flagga: Malta;flagga
🇲🇺;flagga: Mauritius;flagga
🇲🇻;flagga: Maldiverna;flagga
🇲🇼;flagga: Malawi;flagga
🇲🇽;flagga: Mexiko;flagga
🇲🇾;flagga: Malaysia;flagga
🇲🇿;flagga: Moçambique;flagga
🇳🇦;flagga: Namibia;flagga
🇳🇨;flagga: Nya Kaledonien;flagga
🇳🇪;flagga: Niger;flagga
🇳🇫;flagga: Norfolkön;flagga
🇳🇬;flagga: Nigeria;flagga
🇳🇮;flagga: Nicaragua;flagga
🇳🇱;flagga: Nederländerna;flagga
🇳🇴;flagga: Norge;flagga
🇳🇵;flagga: Nepal;flagga
🇳🇷;flagga: Nauru;flagga
🇳🇺;flagga: Niue;flagga
🇳🇿;flagga: Nya Zeeland;flagga
🇴🇲;flagga: Oman;flagga
🇵🇦;flagga: Panama;flagga
🇵🇪;flagga: Peru;flagga
🇵🇫;flagga: Franska Polynesien;flagga
🇵🇬;flagga: Papua Nya Guinea;flagga
🇵🇭;flagga: Filippinerna;flagga
🇵🇰;flagga: Pakistan;flagga
🇵🇱;flagga: Polen;flagga
🇵🇲;flagga: S:t Pierre och Miquelon;flagga
🇵🇳;flagga: Pitcairnöarna;flagga
🇵🇷;flagga: Puerto Rico;flagga
🇵🇸;flagga: Palestinska territorierna;flagga
🇵🇹;flagga: Portugal;flagga
🇵🇼;flagga: Palau;flagga
🇵🇾;flagga: Paraguay;flagga
🇶🇦;flagga: Qatar;flagga
🇷🇪;flagga: Réunion;flagga
🇷🇴;flagga: Rumänien;flagga
🇷🇸;flagga: Serbien;flagga
🇷🇺;flagga: Ryssland;flagga
🇷🇼;flagga: Rwanda;flagga
🇸🇦;flagga: Saudiarabien;flagga
🇸🇧;flagga: Salomonöarna;flagga
🇸🇨;flagga: Seychellerna;flagga
🇸🇩;flagga: Sudan;flagga
🇸🇪;flagga: Sverige;flagga
🇸🇬;flagga: Singapore;flagga
🇸🇭;flagga: S:t Helena;flagga
🇸🇮;flagga: Slovenien;flagga
🇸🇯;flagga: Svalbard och Jan Mayen;flagga
🇸🇰;flagga: Slovakien;flagga
🇸🇱;flagga: Sierra Leone;flagga
🇸🇲;flagga: San Marino;flagga
🇸🇳;flagga: Senegal;flagga
🇸🇴;flagga: Somalia;flagga
🇸🇷;flagga: Surinam;flagga
🇸🇸;flagga: Sydsudan;flagga
🇸🇹;flagga: São Tomé och Príncipe;flagga
🇸🇻;flagga: El Salvador;flagga
🇸🇽;flagga: Sint Maarten;flagga
🇸🇾;flagga: Syrien;flagga
🇸🇿;flagga: Eswatini;flagga
🇹🇦;flagga: Tristan da Cunha;flagga
🇹🇨;flagga: Turks- och Caicosöarna;flagga
🇹🇩;flagga: Tchad;flagga
🇹🇫;flagga: Franska sydterritorierna;flagga
🇹🇬;flagga: Togo;flagga
🇹🇭;flagga: Thailand;flagga
🇹🇯;flagga: Tadzjikistan;flagga
🇹🇰;flagga: Tokelauöarna;flagga
🇹🇱;flagga: Östtimor;flagga
🇹🇲;flagga: Turkmenistan;flagga
🇹🇳;flagga: Tunisien;flagga
🇹🇴;flagga: Tonga;flagga
🇹🇷;flagga: Turkiet;flagga
🇹🇹;flagga: Trinidad och Tobago;flagga
🇹🇻;flagga: Tuvalu;flagga
🇹🇼;flagga: Taiwan;flagga
🇹🇿;flagga: Tanzania;flagga
🇺🇦;flagga: Ukraina;flagga
🇺🇬;flagga: Uganda;flagga
🇺🇲;flagga: USA:s yttre öar;flagga
🇺🇳;flagga: Förenta Nationerna;flagga
🇺🇸;flagga: USA;flagga
🇺🇾;flagga: Uruguay;flagga
🇺🇿;flagga: Uzbekistan;flagga
🇻🇦;flagga: Vatikanstaten;flagga
🇻🇨;flagga: S:t Vincent och Grenadinerna;flagga
🇻🇪;flagga: Venezuela;flagga
🇻🇬;flagga: Brittiska Jungfruöarna;flagga
🇻🇮;flagga: Amerikanska Jungfruöarna;flagga
🇻🇳;flagga: Vietnam;flagga
🇻🇺;flagga: Vanuatu;flagga
🇼🇫;flagga: Wallis- och Futunaöarna;flagga
🇼🇸;flagga: Samoa;flagga
🇽🇰;flagga: Kosovo;flagga
🇾🇪;flagga: Jemen;flagga
🇾🇹;flagga: Mayotte;flagga
🇿🇦;flagga: Sydafrika;flagga
🇿🇲;flagga: Zambia;flagga
🇿🇼;flagga: Zimbabwe;flagga
🏴󠁧󠁢󠁥󠁮󠁧󠁿;flagga: England;flagga
🏴󠁧󠁢󠁳󠁣󠁴󠁿;flagga: Skottland;flagga
🏴󠁧󠁢󠁷󠁬󠁳󠁿;flagga: Wales;flagga
