😀;کھل کے ہنستا چہرہ;چہرہ|کھلا|منہ|ہنسی
🔊;بلند آواز نکالتے اسپیکر;آواز|اسپیکر|بلند
📢;لاؤڈ اسپیکر;آواز|اجتماع|بلند آواز|خطاب
📣;میگا فون;آلہ|بلند آواز فون|تیز آواز|حوصلہ افزائی
📯;پوسٹل ہارن;پوسٹل|ساز|ہارن
🔔;گھنٹی;آواز|جرس|چرچ|کلیسہ|مذہب
🔕;گھنٹی پر سلیش;خاموشی|سکوت|گھنٹی|گھنٹی بجانا ممنوع|ممانعت|نہیں
🎼;میوزیکل اسکور;اسکور|موسیقی
🎵;میوزیکل نوٹ;موسیقی|نوٹ
🎶;میوزیکل نوٹس;سنگیت|موسیقی|نوٹس
🎙️;اسٹوڈیو مائیکروفون;اسٹوڈیو|مائیک|مائیکروفون|موسیقی
🎚️;لیول سلائیڈر;سلائیڈر|لیول|موسیقی
🎛️;کنٹرول کرنے والی نابز;کنٹرول|موسیقی|نابز
🎤;مائیکروفون;آواز|سنگیت|کیریئوکے|گانا|گیت|مائیک|موسیقی
🎧;ہیڈ فون;موسیقی
📻;ریڈیو;ابلاغ|برقی آلہ|میڈیا|ویڈیو
🎷;سیکسو فون;آلہ|موسیقی
🎺;ٹرمپٹ;آلہ|موسیقی
🪊;ٹرومبون;آلہ|اداس|پیتل|جاز|سلائیڈ|موسیقی
🪗;ارگن باجا;سکویز باکس|کنسرٹینا|موسیقی|موسیقی کا آلہ
🎸;گٹار;آلہ|موسیقی
🎹;میوزیکل کی بورڈ;آلہ|کی بورڈ|موسیقی
🎻;وائلن;آلہ|موسیقی
🪕;بینجو;تاروں والا آلہ|موسیقی
🥁;ڈرم;اسٹکس|موسیقی
🪘;لمبا ڈرم;بجانا|ڈرم|ڈھول|ردھم|موسیقی کا آلہ
🪇;مراکس;آلہ|ارتعاش|پارٹی|جھنجھنا|رقص|زور زور سے ہلانا|شیکر|ضرب پذیر آلہ|ماراکاس|مراکا|موسیقی
🪈;بانسری;پائپ|ریکارڈر|ساز|فائف|موسیقی|ووڈوِنڈ
🪉;بربط;آرکسٹرا|آلہ|پیار|کیوپڈ|مسیقی
📱;موبائل فون;ابلاغ|برقی آلہ|فون|موبائل
📲;تیر کے نشان کے ساتھ موبائل فون;آلہ|تیر|فون|موبائل|نشان
☎️;ٹیلیفون;برقی آلہ|فون
📞;ٹیلیفون کا ریسیور;ابلاغ|برقی آلہ|ریسیور|فون
📟;پیجر;برقی آلہ
📠;فیکس مشین;برقی آلہ|فیکس
🔋;بیٹری;
🪫;کم بیٹری;الیکٹرانک|کم انرجی|کم پاور|کم توانائی
🔌;الیکٹرک پلگ;برقی|پلگ
💻;لیپ ٹاپ کمپیوٹر;کمپیوٹر|لیپ ٹاپ
🖥️;ڈیسک ٹاپ کمپیوٹر;اسکرین|ڈیسک ٹاپ|کمپیوٹر|مانیٹر
🖨️;پرنٹر;پرنٹ|کمپیوٹر
⌨️;کی بورڈ;ٹائپنگ|کمپیوٹر
🖱️;کمپیوٹر ماؤس;کرسر|کمپیوٹر
🖲️;ٹریک بال;بال|ٹریک|کمپیوٹر
💽;کمپیوٹر ڈسک;چھوٹی ڈسک|ڈسک|کمپیوٹر|منی
💾;فلاپی ڈسک;ڈسک|فلاپی|کمپیوٹر
💿;آپٹکل ڈسک;آپٹکل|بلو رے|ڈسک|سی ڈی|کمپیوٹر
📀;ڈی وی ڈی;ڈسک|کمپیوٹر
🧮;گِنتارا;اباکس، گنتی،کیلکولیٹر|حساب کتاب
🎥;مووی کیمرا;بالیوڈ|سینما|فلم|کیمرا|لالیوڈ|ہالیوڈ
🎞️;فلم کے فریم;سینما|فریم|فلم|مووی
📽️;فلم پروجیکٹر;پروجیکٹر|سینما|فلم|ویڈیو
🎬;کلیپر بورڈ;فلم|کلیپر
📺;ٹیلی ویژن;اسکرین|ٹی وی|ویڈیو
📷;کیمرا;تصویر|سیلفی|فوٹو|ویڈیو
📸;فلیش والا کیمرا;تصویر|فلیش|فوٹو|کیمرا|ویڈیو
📹;ویڈیو کیمرا;تصاویر|کیمرا|مو وی|ویڈیو
📼;ویڈیو کیسٹ;پرانہ|ٹیپ|قدیم|وی ایچ ایس|ویڈیو
🔍;بائیں اشارہ کرتا محدب عدسہ;آلہ|اشارہ|بائیں|سمت|عدسہ|محدب
🔎;دائیں اشارہ کرتا محدب عدسہ;آلہ|اشارہ|دائیں|سمت|عدسہ|محدب
🕯️;موم بتی;بتی|روشنی|موم
💡;لائٹ بلب;برقی|بلب|خیال|روشنی|سجھائو|کامک|نور
🔦;فلیش لائٹ;آلہ|برقی|ٹارچ|روشنی|فلیش|نور
🏮;سرخ کاغذی لالٹین;بار|چاپانی|روایت|روشنی|سرخ|سرخ مرچ|کاغذ|لال|لالٹین
🪔;دیا لیمپ;تیل|جلتا دیا|دیا|دِیا|دیپ|لیمپ
📔;سجاوٹی کوور والی نوٹ بک;سجاوٹ|کتاب|کتاب کا غلاف|کتاب کا لحاف|کوور|نوٹ بک
📕;بند کتاب;بند|پڑھائی|تعلیم|سرخ کتاب|کتاب|لال کتاب
📖;کھلی کتاب;افسانہ داستان|تعلیم|کتاب|کتب خانہ|کھلی|کہانی|مطالعہ|ناول
📗;سبز کتاب;پڑھائی|تعلیم|رنگ|سبز|عِلم|کتاب|مطالعہ
📘;نیلی کتاب;پڑھائی|تعلیم|رنگ|علم|کتاب|کہانی|مطالعہ|معلومات|نیلا
📙;نارنجی کتاب;تعلیم|رنگ|علم|کتاب|کتب خانہ|کہانی|مطالعہ|نارنجی
📚;کتابیں;پڑھائی|تعلیم|عِلم|کتاب|مطالعہ
📓;نوٹ بک;کتاب
📒;لیجر;نوٹ بک
📃;مڑا ہوا صفحہ;دستاویز|صفحہ|مڑا ہوا|ورق
📜;اسکرول;صفحہ
📄;صفحے کا سامنے والا حصہ;پنہ|دستاویز|سامنے|صفحہ|ورق
📰;اخبار;ابلاغ|اطلاع|خبر|معلومات
🗞️;رول کیا ہوا اخبار;اخبار|خبر نامہ|رول|کاغذ
📑;بُک مارک ٹیبز;بک مارک|ٹیبز|جدول|نشانی
🔖;بُک مارک;بک مارک
🏷️;لیبل;ٹیگ
🪙;سکہ;امیر|چاندی|خزانہ|دھات|ڈالر|رقم|سونا|کوئن|مالدار
💰;پیسوں کا بیگ;بیگ|پیسا|پیسوں کی پوٹلی|ڈالر|رقم|مال
🪎;ٹریژر چیسٹ;انعام|پیسہ|جیم|چاندی|دولت|زیورات|سونا|قیمتی اشیاء|لوٹ
💴;ین بینک نوٹ;بنک|رقم|نوٹ|ین
💵;ڈالر بینک نوٹ;بنک|ڈالر|رقم|نوٹ
💶;یورو بینک نوٹ;۱۰۰|بنک|رقم|سو|نوٹ|یورو
💷;پاؤنڈ بینک نوٹ;بنک|پاؤنڈ|رقم|نوٹ
💸;پروں والے نوٹ;اڑنا|بنک|پر|ڈالر|رقم|نوٹ
💳;کریڈٹ کارڈ;بنک|رقم|قیمت|کارڈ|کریڈٹ
🧾;رسید;اکاؤنٹنگ|اکاؤنٹنگ، بُک کیپنگ، مشاہدہ، ثبوت، رسید، انوائس|ثبوت|حساب نویسی|شہادت
💹;ین کے ساتھ صعودی چارٹ;اضافہ|بنک|چارٹ|رقم|گراف|ین
✉️;لفافہ;ابلاغ|پیغام|خط|ڈاک
📧;ای میل;برقی خط|پیغام|خط
📨;آتا ہوا لفافہ;آلہ|ابلاغ|ای میل|برقی خط|پیغام|خط|ڈاک|لفافہ|وصولی
📩;تیر کا نشان اور لفافہ;ابلاغ|ای میل|برقی خط|بھیجی گئی ای میل|پیغام|تیر|ڈاک|لفافہ|نشان
📤;آؤٹ باکس ٹرے;ای میل|برقی خط|بھیجا ہوا|ٹرے|خط
📥;ان باکس ٹرے;ای میل|برقی خط|ٹرے|خط|موصولہ
📦;پیکج;ابلاغ|ارسال|باکس|پارسل|ڈبہ
📫;بلند جھنڈے والا بند میل باکس;باکس|بلند جھنڈا|بند|پوسٹ باکس|پیغام|خط|ڈبا|میل
📪;جھکے ہوئے جھنڈے والا بند میل باکس;آلہ|باکس|بند|پیغام|جھکا جھنڈا|خط|خطوط|میل
📬;بلند جھنڈے والا کھلا میل باکس;باکس|بلند جھنڈا|کھلا|میل
📭;جھکے ہوئے جھنڈے والا کھلا میل باکس;باکس|پیغام|جھکا جھنڈا|خط|کھلا|میل
📮;پوسٹ باکس;باکس|خط|میل
🗳️;بیلٹ کے ساتھ بیلٹ باکس;باکس|بیلٹ|چنائو|ڈبّہ
✏️;پنسل;
✒️;سیاہ نب;پن|سیاہ|نب
🖋️;فاؤنٹین پن;پن
🖊️;پن;بال پوائنٹ
🖌️;پینٹ برش;پینٹنگ
🖍️;کرے آن;آتشی رنگ|اسٹیشنری|رنگ|سرخ|لال
📝;میمو;ابلاغ|اسٹیشنری|اندراج|پنسل|پینسل|کاغز قلم|لکھائی|لکھاوٹت
💼;بریف کیس;آفس
📁;فائل فولڈر;فائل|فولڈر
📂;کھلا فائل فولڈر;فائل|فولڈر|کھلا
🗂️;کارڈ انڈیکس کے تقسیم کار;انڈیکس|کارڈ|کارڈ ڈرائیورز
📅;کیلنڈر;تاریخ
📆;ٹیئر آف کیلنڈر;ٹیئر آف|کیلنڈر
🗒️;سپائرل نوٹ بک;اسپائرل نوٹ|نوٹ بک|نوٹ پیڈ
🗓️;سپائرل کیلنڈر;اسپائرل|پیڈ|کیلنڈر
📇;کارڈ انڈیکس;آلہ|اسٹیشنری|انڈیکس|کارڈ
📈;صعودی چارٹ;اسٹیشنری|بڑھوتری|چارٹ
📉;تنزلی چارٹ;اسٹیشنری|تنزلی|چارٹ
📊;بار چارٹ;اسٹیشنری|بار|چارٹ|گراف
📋;کلپ بورڈ;اسٹیشنری|فہرست|نوٹ
📌;پُش پن;پن|کالیج
📍;گول پُش پن;پُش پن|پن|جگہ|گول|نقشہ
📎;پیپر کلپ;اسٹیشنری|پن|پیپر|پیوست|کلپ
🖇️;جڑے ہوئے پیپر کلپس;اسٹیشنری|پیپر|پیوست|جڑے ہوئے|کلپ
📏;اسٹریٹ رولر;اسٹیشنری|پیمانہ|رولر|زاویہ|سیدھا|عمودی پیمانہ|کونا|گنتی
📐;تکونی رولر;آلہ|اسٹیشنری|پیمانہ|تکونی|رولر|گنتی|مثلث
✂️;قینچی;آلہ|اسٹیشنری|کاٹنا|کاغذ|کترن|کترنا
🗃️;کارڈ فائل باکس;باکس|فائل|کارڈ
🗄️;فائل کیبنٹ;اسٹیشنری|فائل|کتابچہ خانہ|کیبنٹ
🗑️;ردی کی ٹوکری;ٹوکری|ردی|کچرا|کوڑےدان
🔒;لاک;بند|تالہ|رازدارانہ|قفل|مخفی|مقفل|نجی
🔓;کھلا لاک;کھلا|لاک
🔏;پن کے ساتھ لاک;پرائیویسی|پن|لاک
🔐;چابی کے ساتھ بند لاک;بند|چابی|لاک|محفوظ
🔑;چابی;پاسورڈ|سنہری چابی|سنہری کلید|کلید|کنجی|کھولنا|لاک
🗝️;پرانی چابی;پاسورڈ|پرانا|لاک
🔨;ہتھوڑا;آلہ|ترمیم|گھر|گھر کی مرمت|مرمت
🪓;کلہاڑا;ٹکڑے کرنا|جنگل|کاٹنا|کٹائی|کلہاڑی|کھدائی|لکڑی
⛏️;کدال;آلہ|کریدنا|کھدائی|ہتھوڑا
⚒️;ہتھوڑا اور کدال;آلہ|ہتھوڑا
🛠️;ہتھوڑا اور رینچ;آلہ|پانا|رینچ|ستھار|ہتھوڑا
🗡️;خنجر;آلہ|کٹار|ہتھیار
⚔️;کراس کی شکل بناتی تلواریں;تلواریں|خنجر|کراس|ہتھیار
💣;بم;آگ|بمباری|خطرہ|دھماکہ|گرم
🪃;بومرینگ;پلٹنا|گونج|ہتھیار
🏹;تیر اور کمان;تیر|جنگ|کمان|ہتھیار
🛡️;شیلڈ;ہتھیار
🪚;بڑھئی کا آرا;آرا|آری|آلہ|اوزار|بڑھئی|لکڑی
🔧;رینچ;آلہ|اوزار|ترمیم|گھر کی مرمت|مرمت
🪛;پیچ کس;آلہ|اسکریو ڈرائیور|اوزار|پیچ
🔩;نٹ اور بولٹ;آلہ|بولٹ|ترمیم|گھر کی مرمت|مرمت|نٹ
⚙️;گیئر;آلہ|سادھن|گراری
🗜️;کلیمپ;آلہ|اوزار|دبائو|کمپریس|کمپریشن
⚖️;برابر پلڑوں والا ترازو;آلہ|برابر|بوجھ|پلڑے|ترازو|تولنا|مقدار|ناپ|ناپ تول|وزن
🦯;نابینا افراد کیلئے چھڑی;دسترس|نابینا
🔗;لنک;تالا|جوڑ|رابطہ
⛓️‍💥;ٹوٹی ہوئی زنجیر;توڑنا، توڑنا، زنجیر، ہتھکڑی، آزادی
⛓️;زنجیریں;زنجیر
🪝;ہک;بیچنے کا مقام|پکڑنا|پھانسنا|ترشول|خمیدہ|کھونٹا
🧰;ٹُول بکس;اوزار|صندوق|صندوق، مکینک، ٹول، ٹول باکس، باکس، سرخ صندوق|مکینک
🧲;مقناطیس;کشش|کشش، گھوڑے کا سم، مقناطیس، مقناطیسی، U کی شکل، مثبت منفی|گھڑ نعل|مقناطیسی
🪜;سیڑھی;چڑھنا|زینہ|قدم
🪏;بیلچہ;پھاوڑا|سوراخ|کفچہ|کھدائی
⚗️;الیمبک;آلہ|سادھن|کیمیا|کیمیاگر
🧪;ٹیسٹ ٹیوب;تجربہ|سائنس|کیمسٹ|کیمسٹری|لیب
🧫;پیٹری ڈش;بائیالوجسٹ|بائیالوجی|بیکٹیریا|ثقافت|لیب
🧬;ڈی این اے;ارتقاء|بائیالوجسٹ|جین|جینیات|زندگی
🔬;مائیکروسکوپ;آلہ|سکوپ|مائیکرو
🔭;ٹیلی سکوپ;آلہ|ٹیلی|دور بین|سکوپ
📡;سیٹلائٹ انٹینا;آلہ|ابلاغ|انٹینا|ڈش|رابطہ|سٹلائٹ|طشتری
💉;سرنج;آلہ|ٹیکا|دوائی|ڈاکٹر|سوئی|فلو
🩸;خون کا قطرہ;چوٹ|حیض|خون|خون بہنا|خون کا بہاؤ|خون کا بہنا|خون کا رسنا|خون کا عطیہ|دوا|دوائی|زخم|عطیہ خون|قطرہ خون
💊;گولی;بیماری|جرّاحی|دوا|دوائی|ڈاکٹر|طب|علالت
🩹;چپکنے والی پٹی;پٹی
🩼;بیساکھی;چھڑی|چوٹ|لاٹھی|لنگڑا پن|معذوری|نقل و حرکت میں مدد
🩺;سٹیتھو سکوپ;دل|دوا|ڈاکٹر
🩻;ایکس رے;ایکسرے|ڈاکٹر|ڈھانچہ|میڈیکل|ہڈیاں
🚪;دروازہ;پچھلا دروازہ|داخلی دروازہ|دہلیز
🛗;ایلیویٹر;رسائی|لفٹ|لہرانا
🪞;آئینہ;انعکاس|بناؤ سنگھار|شیشہ|عکاسی|منعکس کرنے والا|منعکس کنندہ|میک اپ
🪟;کھڑکی;تازہ ہوا|روشن دان|شفاف|فریم|کھلا|منظر
🛏️;بستر;نیند|ہوٹل
🛋️;کاؤچ اور لیمپ;کاؤچ|لیمپ|ہوٹل
🪑;کرسی;بیٹھنا|سیٹ
🚽;بیت الخلا;پا خانہ|ٹائلٹ
🪠;پلنجر;پلمبر|ٹوائلٹ|ٹوائلٹ کا پمپ|چوسنا|فورس کپ
🚿;شاور;پانی
🛁;نہانے کا ٹب;نہانا
🪤;چوہے کا پھندہ;پھندہ|ٹریپ|جال|چارہ|چوہے دانی|دھوکہ|فریب
🪒;استرا;تیز دھار|شیو
🧴;لوشن کی بوتل;سورج کی تمازت سے بچنے کے لیے جِلدی کریم|شیمپو|لوشن|موئسچرائزر
🧷;حِفاظتی پِن;پَنک راک|ڈائپر|سیفٹی پن
🧹;جھاڑو;جادوگرنی|جھاڑو لگانا|صفائی
🧺;ٹوکری;پکنک|فارمنگ|لانڈری
🧻;کاغذی رول;ٹوائلٹ پیپر|کاغذی تولیے
🪣;بالٹی;پیپا|ٹب|ٹوکری|حوض
🧼;صابن;ٹکیہ|جھاگ|صابن کی ڈش|صفائی|غسل
🫧;بلبلے;پانی کے اندر|تیرنا|ڈکار|زیر آب|صابن|صاف|غوطہ زن|موتی
🪥;ٹوتھ برش;برش|حفظان صحت|دانت|دانتوں کی صفائی|دندان|صاف|غسل خانہ
🧽;اسفنج;جذب کرنے والا|صفائی|مسام دار
🧯;آگ بُجھانے والا آلہ;آتش|آگ بجھانا|ٹھنڈا کرنا
🛒;شاپنگ ٹرالی;ٹرالی|شاپنگ|کارٹ
🚬;سگریٹ نوشی;دھواں|سگریٹ کشی
⚰️;تابوت;جنازہ|کفن|موت|میت|ویمپائر
🪦;کتبہ;انتقال|قبر|قبرستان|مزار|موت|وفات|یادگار
⚱️;مردے کی راکھ والا مرتبان;برتن|جنازہ|راکھ|موت|میت
🧿;بری نظر کیلئے تعویز;بری نظر|تعویز|طلسمان|موتی|موتی، پرکشش، بری نظر، نظر، نظر تعویذ، طلسمان، نیلا|نظر
🪬;حمسہ;اچھا نصیب|تحفظ|تعویذ|خوش قسمتی|رہنما|فاطمہ|مریم|میری|ہاتھ|ہتھیلی
🗿;موآئی;ایسٹر جزائر|تفریح|چہرہ|سفر|مجسمہ
🪧;پلے کارڈ;احتجاج مظاہرہ|اشارہ|علامت|کھونٹی|نوٹس
🪪;شناختی کارڈ;آئی ڈی|اسناد|پاسپورٹ|سیکیورٹی|لائسنس
🏧;اے ٹی ایم کی علامت;آٹو میٹک|اے ٹی ایم|بنک|خود کار بینک|رقم
🚮;کوڑا ٹوکری میں کا سائن;ٹوکری|ردی
🚰;پینے کا پانی;آب|پانی|پینا
♿;وہیل چیئر;پہیے|رسائی|کرسی|معذور|معذوروں کے لیے
🚹;مردوں کا ٹوائلٹ;ٹوائلٹ|مرد|مردانہ
🚺;عورتوں کا ٹوائلٹ;ٹوائلٹ|زنانہ|عورتیں
🚻;ریسٹ روم;پاخانہ|ٹوائلٹ|کمرہ
🚼;بے بی کی علامت;بے بی|سائن
🚾;واش روم;پانی کا مخزن|ٹوائلٹ|طہارت گاہ|کمرہ
🛂;پاسپورٹ کنٹرول;پاسپورٹ|کنٹرول
🛃;کسٹمز;ادارہ
🛄;سامان کا کلیم;سامان|سامان پر دعوا کریں|سفر|کلیم|مسافرت
🛅;چُھوٹا ہوا سامان;سامان|لاکر|محفوظ|مقفل سامان
⚠️;انتباہ;تنبیہ|ٹریفک|سائن
🚸;بچوں کے گزرنے کا سائن;بچے|پیدل بچے|پیدل چلنے والے|ٹریفک|سائن|سڑک
⛔;داخلہ ممنوع;ٹریفک|داخلہ|سائن|منع
🚫;ممنوع;ٹریفک|داخلہ|سائن|ممانعت|منع
🚳;سائیکلیں ممنوع;ٹریفک|سائن|سائیکل|منع
🚭;سگریٹ نوشی منع ہے;ٹریفک|دھوئاں|سائن|سگریٹ کشی|سگریٹ کشی منع ہے|سگریٹ نوشی|منع
🚯;کوڑا پھینکنا منع ہے;سائن|کوڑا|کوڑا ممنوع|منع
🚱;نا پینے والا پانی;پانی|پینا|سائن|منع|یہ پانی پینے کے قابل نہیں ہے
🚷;پیدل چلنے والے ممنوع;پیدل|ٹریفک|سائن|ممنوع|منع
📵;موبائل فون ممنوع;فون|منع|موبائل
🔞;اٹھارہ سے کم عمر کی اجازت نہیں;۱۸ سے کم کا کوئی نہیں|اٹھارہ|پابندی|حدودِ عمر|سائن|صرف پختہ|عمر
☢️;تابکاری;تابکار|شعاعیں|نشان
☣️;زندگی کے لیے مضر;جاندار|حیات|خطرناک|نقصان دہ
⬆️;اوپر کا تیر;تیر|سائن|سمت|شمال|کارڈینل
↗️;اوپر دائیں تیر;اوپری دایاں|تیر|سائن|سمت|شمال مشرق
➡️;دائیں تیر;تیر|سائن|سمت|کارڈینل|مشرق
↘️;نیچے دائیں تیر;تیر|جنوب مشرق|سائن|سمت
⬇️;نیچے کا تیر;تیر|جنوب|سائن|سمت|کارڈینل|نیچے
↙️;نیچے بائیں تیر;تیر|جنوب مغرب|سائن|سمت
⬅️;بائیں تیر;اشارہ|تیر|سائن|سمت|کارڈینل|مغرب
↖️;اوپر بائیں تیر;تیر|سائن|سمت|شمال مغرب
↕️;اوپر نیچے تیر;اشارہ|تیر|سائن|سمت|نشانی
↔️;دائیں بائیں تیر;تیر|سائن|سمت
↩️;بائیں مڑتا ہوا دائیں تیر;تیر|سائن|سمت
↪️;دائیں مڑتا ہوا بائیں تیر;تیر|سائن|سمت
⤴️;اوپر مڑتا ہوا دائیں تیر;تیر|سائن|سمت
⤵️;نیچے مڑتا ہوا دائیں تیر;تیر|سائن|سمت
🔃;گھڑی کی سمت میں عمودی تیر;تیر|سائن|سمت|گھڑی کی سمت
🔄;گھڑی کی مخالف سمت میں تیر بٹن;پہلے بھی دیکھا ہوا|تیر|سائن|سمت|گھڑی کی مخالف سمت
🔙;واپسی تیر;اشارہ واپسی|پیچھے|تیر
🔚;اختتام تیر;اختتام|تیر|جلد اختتام
🔛;آن! تیر;آن|تیر
🔜;جلد تیر;تیر|جلد
🔝;بالا تیر;اوپر|تیر
🛐;عبادت گاہ;جگہ|عبادت|مذہب
⚛️;ایٹم کی علامت;ایٹم|لادین
🕉️;اوم;سنسکرت|مذہب|ہندو
✡️;داؤد کا ستارہ;پیغمبر|داؤد|ستارہ|مذہب|نجمِ داوود|یہودی|یہودیت
☸️;دھرم چکر;بدھ|بدھ مت|پہیہ|دھرم|مذہب
☯️;ین یینگ;تاؤ|شش و پنج|مذہب|مکمل|نہ یہ نہ وہ|ین|یِن یینگ
✝️;لاطینی کراس;عیسائیت|کراس|مذہب
☦️;روایتی مذہبی کراس;عیسائیت|کراس|مذہب
☪️;ستارہ اور ہلال;اسلام|رمضان|رمضان مبارک|ستارہ و ہلال|مذہب|مسلمان
☮️;امن کا نشان;امان|امن|تن درستی|نشان
🕎;مینورہ;کینڈل اسٹک|مذہب|ہنوکا|یہودی|یہودیت
🔯;نکتہ دار چھ کونوں والا ستارہ;چھ|داوود|ستارہ|قسمت|کونے|یہودی|یہودیت
🪯;کھنڈا;خالصہ|سکھ|فتح|مذہب
♈;برج حمل;برج|جنتری|حمل
♉;برج ثور;برج|بیل|جنتری
♊;برج جوزا;برج|جُڑواں|جنتری
♋;برج سرطان;برج|کيکڑا|کینسر
♌;برج اسد;برج|جنتری|شیر
♍;برج سنبلہ;برج|جنتری|عورت
♎;برج میزان;اعتدال|برج|میزان
♏;برج عقرب;بچھو|برج|جنتری
♐;برج قوس;برج|تیر انداز|جنتری|قوس
♑;برج جدی;آہو|برج|بکرا|جدی|ہرن
♒;برج دلو;برج|پانی|پانی اٹھانے والا|پخالی
♓;برج حوت;برج|جنتری|مچھلی
⛎;برج حوا;برج|سانپ
🔀;ٹریکس کو شفل کرنے کا بٹن;بٹن|ٹریکس|شفل
🔁;دوہرانے کا بٹن;بٹن|ٹریکس|دوہرانہ
🔂;ایک دفعہ دوہرانے کا بٹن;ایک دفعہ|بٹن|ٹریکس|دوہرانہ
▶️;چلانے کا بٹن;بٹن|ٹریکس|چلائیں بٹن|چلانا
⏩;تیز فارورڈ بٹن;بٹن|ٹریکس|فارورڈ
⏭️;اگلا ٹریک بٹن;اگلا|اگلا منظر|بٹن|ٹریکس
⏯️;چلانے یا روکنے کا بٹن;بٹن|ٹریکس|چلانا|روکنا
◀️;پیچھے جانے کا بٹن;بٹن|پیچھے|ٹریکس
⏪;تیزی سے پیچھے جانے کا بٹن;بٹن|پیچھے|ٹریکس
⏮️;آخری ٹریک کا بٹن;آخری|بٹن|ٹریکس
🔼;اوپر کا بٹن;اوپر|بالا بٹن|بٹن|ٹریکس
⏫;تیزی سے اوپر کا بٹن;اوپر|بٹن|تیزی|ٹریکس|لجد اوپر کا بٹن
🔽;نیچے کا بٹن;بٹن|ٹریکس|ذیل|نیچے
⏬;تیزی سے نیچے کا بٹن;بٹن|تیزی|ٹریکس|نیچے
⏸️;وقفہ ڈالنے کا بٹن;بٹن|ٹریکس|وقفہ
⏹️;روکنے کا بٹن;بٹن|ٹریکس|رکئے|رکیں|روکنا
⏺️;ریکارڈ کا بٹن;بٹن|ٹریکس|ریکارڈ|ریکارڈ کریں بٹن
⏏️;نکالنے کا بٹن;بٹن|ٹریکس|نکالنا
🎦;سینما;فلم|کیمرا|مووی
🔅;دھیما کا بٹن;بٹن|تیزی کم کریں بٹن|ٹریکس|دھیما
🔆;روشن کا بٹن;بٹن|ٹریکس|روشن
📶;انٹینا بارز;ابلاغ|انٹینا|بار|سگنلز|فون|موبائل
🛜;وائرلیس;انٹرنیٹ|سگنلز|کمپیوٹر|نیٹ ورک
📳;وائبریشن موڈ;فون|لرزش|موبائل|وائبریشن
📴;بند موبائل فون;بند|فون|موبائل
♀️;عورتوں کیلئے;علامت|عورت|لڑکی
♂️;مردوں کیلئے;علامت|لڑکا|مرد
⚧️;ہیجڑوں کی علامت;ہیجڑا
✖️;ضرب;×|x|بھاری ضرب کا نشان|ضرب کرنا|علامت|منسوخ کرنا
➕;جمع;+|بھاری جمع کا نشان|ریاضی|علامت
➖;منفی;-|−|بھاری منفی کا نشان|ریاضی|علامت|نفی
➗;تقسیم;÷|بھاری تقسیم کا نشان|تقسیم کرنا|ریاضی|علامت|گنتی
🟰;برابر کا موٹا نشان;ریاضی|مساوات
♾️;لامحدود;عالمگیر|غیر محدود|ہمیشہ
‼️;دوہری علامتِ ندائیہ;!|!!|بینگ بینگ|جذبات|ذو معنی|رموزِ اوقاف|علامت|ندائیہ
⁉️;ندائیہ سوالیہ نشان;!|!?|?|رموزواوقاف|سوال|سوالیہ بینگ|علامت|ندائیہ
❓;سرخ سوالیہ نشان;?|رموزِ اوقاف|سوال|سوالیہ|سوالیہ نشان|علامت
❔;سفید سوالیہ نشان;?|آؤٹ لائن|رموزِ اوقاف|سفید|سوال|سوالیہ|علامت
❕;سفید ندائیہ نشان;!|آؤٹ لائن|رموزِ اوقاف|سفید|علامت|ندائیہ
❗;ندائیہ نشان;!|رموزِ اوقاف|علامت|ندائیہ
〰️;لہردار ڈیش;ڈیش|رموزِ اوقاف|لہردار|لہریں
💱;کرنسی کا تبادلہ;بنک|تبادلہ|رقم|کرنسی
💲;بھاری ڈالر سائن;بنک|ڈالر|رقم|سکہ|کرنسی
⚕️;طبی علامت;صحت|طب|طبی|علامت|نشان
♻️;ری سائیکلنگ کا نشان;ری سائیکلنگ|نشان
⚜️;تین پتیوں والا للی;آسٹریلیا|پتیاں|پھول|تین|سپاہی|گلِ زنبق
🔱;سہ شاخہ آلہ;آلہ|اینکر|بحری جہاز|تریشول|علامت
📛;نام کا بیج;بلّا|بیج|نام
🔰;شروعات کرنے والے کا جاپانی نشان;پیلا|جاپانی|زرد|شروعات|شروعاتی|نشان
⭕;کھوکھلا سرخ دائرہ;o|بڑا|بھاری بڑا دائرہ|دائرہ|سرخ|علامت
✅;سفید بھاری چیک کا نشان;✓|بٹن|تکمیل ہوئی|ٹھیک ہے|چیک|سفید|صحیح ہے|علامت|مکمل|مکمل ہوا|ہو گیا
☑️;چیک کے نشان والا بیلٹ باکس;✓|بیلٹ باکس|چیک|چیک کے ساتھ چیک باکس|خانہ|علامت
✔️;بھاری چیک کا نشان;✓|تکمیل|چیک|علامت|مکمل|ہو گیا
❌;کراس کا نشان;x|x منسوخ کرنا|چوکڑی کا نشان|ضرب|ضرب کرنا|علامت|کراس
❎;کراس کے نشان کا بٹن;×|x|بٹن|ضرب|علامت|علامتِ ضرب|کراس کی علامت کا بٹن|مربع
➰;کرل ہوئی رسی;رسن|رسی|کرل ہوئی|مڑی ہوئی رسی
➿;دوہری کرل ہوئی رسی;دوہری|رسن|رسی|کرل ہوئی
〽️;باری کی تبدیلی کا نشان;باری|علامت|موسیقار
