😀;დაკრეჭილი სახე;დაკრეჭა|დაკრეჭილი|სახე
🔬;მიკროსკოპი;ინსტრუმენტი|ხელსაწყო
🔭;ტელესკოპი;ინსტრუმენტი|ხელსაწყო
📡;თანამგზავრული ანტენა;ანტენა|თანამგზავრი|თანამგზავრული|თეფში|სატელიტი|სატელიტური
💉;შპრიცი;ავადმყოფობა|ექიმი|ინსტრუმენტი|მედიცინა|ნემსი|ხელსაწყო
🩸;სისხლის წვეთი;დონორი|მედიცინა|მენსტრუაცია|სისხლი|სისხლის გაღება
💊;აბი;ავადმყოფობა|ექიმი|მედიცინა
🩹;პლასტირი;ლეოკოპლასტირი|სამედიცინო პლასტირი|ჭრილობა
🩼;ყავარჯენი;დააზარალებს|ინვალიდობა|ლერწამი|მობილობის დახმარება|ჯოხი
🩺;ფონენდოსკოპი;გული|მედიცინა|სტეთოსკოპი|ფილტვები|წნევა
🩻;რენტგენი;დასხივება|ექიმი|მედიცინა|ძვლები
🚪;კარი;
🛗;ლიფტი;ამწე|უნივერსალური წვდომა|შშმ პირი
🪞;სარკე;ანარეკლი|ზერცალო
🪟;ფანჯარა;გამჭვირვალე|გახსნა|სარკმელი|ჩარჩო|ჰაერი
🛏️;საწოლი;სასტუმრო|ძილი
🛋️;დივანი და ლამპა;დივანი|ლამპა|სასტუმრო
🪑;სკამი;დასვენება|დაჯდომა
🚽;ტუალეტი;საპირფარეშო
🪠;დგუში;ამოტუმბვა|პლუნჟერი|ტუალეტი
🚿;შხაპი;წყალი
🛁;აბაზანა;სააბაზანო
🪤;სათაგური;მიტყუება|შეტყუება|ხაფანგი
🪒;ბრიტვა;ბასრი|პარსვა
🧴;ლოსიონის ბოთლი;ლოსიონი|მზისგან დამცავი|სველსაფენი|შამპუნი
🧷;ქინძისთავი;სამაგრი
🧹;ცოცხი;დასუფთავება|კუდიანი|მეეზოვე
🧺;კალათა;პიკნიკი|სარეცხი|ფერმა
🧻;ქაღალდის გრაგნილი;ტუალეტის ქაღალდი|ქაღალდის პირსახოცი
🪣;ვედრო;სათლი|ურნა
🧼;საპონი;ბანაობა|გარეცხვა|სასაპნე
🫧;ბუშტები;საპონი|სუფთა|წყალქვეშა
🪥;კბილის ჯაგრისი;გახეხვა|კბილები|სააბაზანო|ჯაგრისი|ჰიგიენა
🧽;სარეცხი ღრუბელი;რეცხვა|შესრუტვა|წმენდა
🧯;ცეცხლსაქრობი;ჩაქრობა|ხანძარი
🛒;საყიდლების ურიკა;საყიდლები|ურიკა|ყიდვა|შოპინგი
🚬;ბოლი;
⚰️;კუბო;სიკვდილი
🪦;საფლავის ქვა;სამარე|სასაფლაო|საფლავი
⚱️;ფერფლის ურნა;დაკრძალვა|პანაშვიდი|სიკვდილი|ურნა
🧿;ფატიმას თვალი;ავგაროზი|თილისმა|თურქული თვალი|ნაზარი
🪬;ჰამსა;ამულეტი|დაცვა|მარიამი|მირიამი|ფატიმა|ხელი
🗿;მოაი;სახე|ქანდაკება|ძეგლი
🪧;აფიშა;აბრა|დემონსტრაცია|მიტინგი|პლაკატი|პროტესტი
🪪;პირადობა;ID|ID ბარათი|ბეჯი|მოწმობა|უსაფრთხოება
🏧;ბანკომატის ნიშანი;ბანკი|ბანკომატი
🚮;ურნის ნიშანი;ნაგავი|ნაგვის ყუთი
🚰;სასმელი წყალი;დალევა|დასალევი|სასმელი|სმა|წყალი
♿;ინვალიდის სავარძელი;მისადგომი
🚹;კაცების საპირფარეშო;კაცი|საპირფარეშო|საჭირო ოთახი|ტუალეტი
🚺;ქალების საპირფარეშო;საპირფარეშო|საჭირო ოთახი|ტუალეტი|ქალი
🚻;საპირფარეშო;საჭირო ოთახი|ტუალეტი
🚼;ბავშვის სიმბოლო;ბავშვი|გამოცვლა
🚾;საპირფარეშო ოთახი;საპირფარეშო|საჭირო ოთახი|ტუალეტი|წყალი
🛂;საპასპორტო კონტროლი;კონტროლი|პასპორტი
🛃;საბაჟო;
🛄;ბარგის გაცემა;ბარგი
🛅;შემნახველი კამერა;ბარგი|კამერა
⚠️;გაფრთხილება;
🚸;ბავშვების გადასასვლელი;ბავშვი|გადასასვლელი|საგზაო მოძრაობა|ქვეითი
⛔;შესვლა აკრძალულია;აკრძალვა|აკრძალულია|არა|საგზაო მოძრაობა|შესვლა
🚫;აკრძალვა;აკრძალულია|არა|შესვლა
🚳;ველოსიპედებისთვის შესვლა აკრძალულია;აკრძალვა|აკრძალულია|არა|ველოსიპედი|ტრანსპორტი
🚭;მოწევა აკრძალულია;აკრძალვა|აკრძალულია|არა|მოწევა
🚯;დაბინძურება აკრძალულია;აკრძალვა|აკრძალულია|არა|ნაგავი
🚱;არასასმელი წყალი;აკრძალვა|აკრძალულია|არა|დალევა|დასალევი|სასმელი|სმა|წყალი
🚷;ქვეითებისთვის შესვლა აკრძალულია;აკრძალვა|აკრძალულია|არა|ქვეითი
📵;მობილური ტელეფონის გამოყენება აკრძალულია;აკრძალვა|აკრძალულია|არა|მობილური|ტელეფონი|ფიჭური
🔞;თვრამეტ წლამდე აკრძალულია;18|აკრძალვა|აკრძალულია|არა|ასაკობრივი შეზღუდვა|თვრამეტი
☢️;რადიოაქტიური;
☣️;ბიოლოგიური საფრთხე;
⬆️;ისარი ზემოთ;ისარი|კარდინალური|მიმართულება|ჩრდილოეთი
↗️;ისარი ზემოთ და მარჯვნივ;ინტერკარდინალური|ისარი|კარდინალური|მიმართულება|ჩრდილო-აღმოსავლეთი
➡️;ისარი მარჯვნივ;აღმოსავლეთი|ისარი|კარდინალური|მიმართულება
↘️;ისარი ქვემოთ და მარჯვნივ;ინტერკარდინალური|ისარი|კარდინალური|მიმართულება|სამხრეთ-აღმოსავლეთი
⬇️;ისარი ქვემოთ;ისარი|კარდინალური|მიმართულება|სამხრეთი|ქვემოთ
↙️;ისარი ქვემოთ და მარცხნივ;ინტერკარდინალური|ისარი|კარდინალური|მიმართულება|სამხრეთ-დასავლეთი
⬅️;ისარი მარცხნივ;დასავლეთი|ისარი|კარდინალური|მიმართულება
↖️;ისარი ზემოთ და მარცხნივ;ინტერკარდინალური|ისარი|კარდინალური|მიმართულება|ჩრდილო-დასავლეთი
↕️;ისარი ზემოთ და ქვემოთ;ისარი
↔️;ისარი მარცხნივ და მარჯვნივ;ისარი
↩️;ისარი, რომელიც იმრუდება მარჯვნიდან მარცხნივ;ისარი|რომელიც იმრუდება მარჯვნიდან მარცხნივ
↪️;ისარი, რომელიც იმრუდება მარცნიდან მარჯვნივ;ისარი|რომელიც იმრუდება მარცნიდან მარჯვნივ
⤴️;ისარი, რომელიც იმრუდება მარჯვნიდან ზემოთ;ისარი|რომელიც იმრუდება მარჯვნიდან ზემოთ
⤵️;ისარი, რომელიც იმრუდება მარჯვნიდან ქვემოთ;ისარი|რომელიც იმრუდება მარჯვნიდან ქვემოთ|ქვემოთ
🔃;ვერტიკალური ისრები საათის მიმართულებით;გადატვირთვა|ისარი|საათის ისრის მიმართულებით
🔄;საათის მიმართულების საწინააღმდეგო ისრების ღილაკი;ისარი|საათის ისრის საწინააღმდეგოდ
🔙;უკანსვლის ღილაკი;ისარი|უკან
🔚;ბოლოში გადასვლის ისარი;ბოლო|ისარი
🔛;ისარი on!;ისარი|ნიშანი|ჩართვა
🔜;ისარი soon;ისარი|მალე
🔝;ისარი top;ზემოთ|ისარი
🛐;სალოცავი ადგილი;ლოცვა|რელიგია
⚛️;ატომის სიმბოლო;ათეისტი|ატომი
🕉️;ომი;ინდუიზმი|რელიგია
✡️;დავითის ვარსკვლავი;დავითი|ებრაელი|ებრაული|ვარსკვლავი|რელიგია
☸️;დჰარმას ბორბალი;ბორბალი|ბუდიზმი|ბუდისტური|დჰარმა|რელიგია
☯️;ინი და იანი;იანი|ინი|რელიგია|ტაო|ტაოისტური
✝️;ლათინური ჯვარი;რელიგია|ქრისტიანობა|ქრისტიანული|ჯვარი
☦️;მართმადიდებლური ჯვარი;რელიგია|ქრისტიანობა|ქრისტიანული|ჯვარი
☪️;ვარსკვლავი და ნახევარმთვარე;ისლამი|მუსლიმანური|რელიგია
☮️;მშვიდობის სიმბოლო;მშვიდობა
🕎;მენორა;რელიგია|სანთლები|საშანდლე
🔯;შემოზღუდული ექვსქიმიანი ვარსკვლავი;ვარსკვლავი|მომავალი
🪯;ხანდა;რელიგია|სიხიზმი
♈;ვერძი;ერკემალი|ზოდიაქო|ჰოროსკოპი
♉;კურო;ზოდიაქო|ხარი|ჰოროსკოპი
♊;ტყუპები;ზოდიაქო|მარჩბივი|ჰოროსკოპი
♋;კირჩხიბი;ზოდიაქო|კიბო|კიბორჩხალა|ჰოროსკოპი
♌;ლომი;ზოდიაქო|ჰოროსკოპი
♍;ქალწული;ზოდიაქო|ქალიშვილი|ჰოროსკოპი
♎;სასწორი;ზოდიაქო|სამართლიანობა|ჰოროსკოპი
♏;ღრიანკალი;ზოდიაქო|მორიელი|ჰოროსკოპი
♐;მშვილდოსანი;ზოდიაქო|მოისარი|ჰოროსკოპი
♑;თხის რქა;ზოდიაქო|თხა|ჰოროსკოპი
♒;მერწყული;ზოდიაქო|წყალი|ჰოროსკოპი
♓;თევზები;ზოდიაქო|თევზი|ჰოროსკოპი
⛎;გველისმჭერი;გველი|ზოდიაქო|ჰოროსკოპი
🔀;ჩანაწერების შემთხვევით არჩევის ღილაკი;გადაკვეთილი|ისარი
🔁;გამეორების ღილაკი;გამეორება|ისარი|საათის ისრის მიმართულებით
🔂;ერთხელ გამეორების ღილაკი;ერთხელ|ისარი|საათის ისრის მიმართულებით
▶️;დაკვრის ღილაკი;დაკვრა|ისარი|მარჯვნივ|სამკუთხედი
⏩;წინ გადახვევის ღილაკი;ისარი|ორმაგი|სწრაფად|წინ
⏭️;შემდეგ ჩანაწერზე გადასვლის ღილაკი;ისარი|სამკუთხედი|შემდეგი|შემდეგი სცენა|შემდეგი ჩანაწერი
⏯️;დაკვრის ან დაპაუზების ღილაკი;დაკვრა|ისარი|მარჯვნივ|პაუზა|სამკუთხედი
◀️;გადახვევის ღილაკი;ისარი|მარცხნივ|სამკუთხედი|შებრუნება
⏪;უკან გადახვევის ღილაკი;ისარი|ორმაგი|უკან გადახვევა
⏮️;წინა ჩანაწერზე გადასვლის ღილაკი;ისარი|სამკუთხედი წინა სცენა|წინა|წინა ჩანაწერი
🔼;ღილაკი ზემოთ;ისარი|ღილაკი|წითელი
⏫;ღილაკი სწრაფად ზემოთ;ისარი|ორმაგი
🔽;ღილაკი ქვემოთ;ისარი|ქვემოთ|ღილაკი|წითელი
⏬;ღილაკი სწრაფად ქვემოთ;ისარი|ორმაგი|ქვემოთ
⏸️;პაუზის ღილაკი;ბარი|ვერტიკალური|ორმაგი|პაუზა
⏹️;შეჩერების ღილაკი;გაჩერება|კვადრატი
⏺️;ჩაწერის ღილაკი;რგოლი|ჩაწერა|წრე
⏏️;ამოღების ღილაკი;ამოღება
🎦;კინოთეატრი;კამერა|კინო|ფილმი
🔅;გამქრქალების ღილაკი;გამქრქალება|სიკაშკაშე
🔆;სიკაშკაშის ღილაკი;კაშკაშა|სიკაშკაშე
📶;ანტენის ზოლები;ანტენა|ზოლი|მობილური|სიგნალი|ტელეფონი|ფიჭური
🛜;უსადენო;ინტერნეტი|კომპიუტერი|ქსელი
📳;ვიბრაციის რეჟიმი;ვიბრაცია|მობილური|რეჟიმი|ტელეფონი|ფიჭური
📴;მობილური ტელეფონი გამორთულია;გამორთული|მობილური|ტელეფონი|ფიჭური
♀️;მდედრობითი;ქალი
♂️;მამრობითი;კაცი
⚧️;ტრანსგენდერი სიმბოლო;ტრანსგენდერი
✖️;გამრავლება;×|x|გაუქმება|მსხვილი გამრავლება
➕;პლუსი;+|მათემატიკა|მიმატება|პლუსის ნიშანი
➖;მინუსი;-|−|გამოკლება|მათემატიკა|მინუსის ნიშანი
➗;გაყოფა;÷|გაყოფის ნიშანი|მათემატიკა
🟰;მუქი ტოლობის ნიშანი;თანასწორობა|მათემატიკა
♾️;უსასრულობა;სამუდამოდ|უნივერსალური
‼️;ორმაგი ძახილის ნიშანი;ნიშანი|პუნქტუაცია|ძახილი
⁉️;კითხვა-ძახილის ნიშანი;კითხვა|კითხვა-ძახილი|ნიშანი|პუნქტუაცია|ძახილი
❓;წითელი კითხვის ნიშანი;კითხვა|კითხვის ნიშანი|ნიშანი|პუნქტუაცია
❔;თეთრი კითხვის ნიშანი;კითხვა|კონტურიანი|ნიშანი|პუნქტუაცია
❕;თეთრი ძახილის ნიშანი;კონტურიანი|ნიშანი|პუნქტუაცია|ძახილი
❗;წითელი ძახილის ნიშანი;ნიშანი|პუნქტუაცია|ძახილი|ძახილის ნიშანი
〰️;ტალღოვანი ტირე;პუნქტუაცია|ტალღოვანი|ტირე
💱;ვალუტის გადაცვლა;ბანკი|გადაცვლა|გაცვლა|ვალუტა|ფული
💲;მსხვილი დოლარის ნიშანი;დოლარი|ვალუტა|ფული
⚕️;სამედიცინო ნიშანი;პერსონალი
♻️;გადამუშავების სიმბოლო;გადამუშავება
⚜️;ჰერალდიკური შროშანი;შროშანი|ჰერალდიკური
🔱;სამკბილა ემბლემა;გემი|ემბლემა|ინსტრუმენტი|სამკბილა|ღუზა|ხელსაწყო
📛;სახელიანი ბეჯი;ბეჯი|სახელი
🔰;იაპონური დამწყების სიმბოლო;დამწყები|იაპონური|ინსტრუმენტი|ფოთოლი
⭕;მსხვილი დიდი წრე;o|რგოლი|წრე
✅;მსხვილი თეთრი მონიშვნის ნიშანი;მონიშვნა|ნიშანი
☑️;მონიშნული მოსანიშნი უჯრა;მონიშვნა|ყუთი
✔️;მსხვილი მონიშვნის ნიშანი;მონიშვნა|ნიშანი
❌;ჯვრით მონიშვნა;x|გამრავლება|გაუქმება|ნიშანი
❎;ჯვრით მონიშვნის ღილაკი;კვადრატი|ნიშანი
➰;ხვეული მარყუჟი;მარყუჟი|ხვეული
➿;ორმაგი ხვეული მარყუჟი;მარყუჟი|ორმაგი|ხვეული
〽️;ჯერის ცვლის ნიშანი;ნიშანი|ჯერი
✳️;რვაქიმიანი ასტერისკი;ასტერისკი
✴️;რვაქიმიანი ვარსკვლავი;ვარსკვლავი
❇️;ნაპერწკალი;
©️;საავტორო უფლება;საავტორო უფლებები
®️;რეგისტრირებული სასაქონლო ნიშანი;R
™️;სავაჭრო ნიშანი;ნიშანი
🫟;შხეფი;დასვრა|დაღვრა|დაწვეთება|ლაქა|მელანი|საღებავი|სითხე|ჰოლი
*️⃣;კლავიში: *;კლავიში
0️⃣;კლავიში: 0;0|კლავიში|ნული
1️⃣;კლავიში: 1;1|ერთი|კლავიში
2️⃣;კლავიში: 2;2|კლავიში|ორი
3️⃣;კლავიში: 3;3|კლავიში|სამი
4️⃣;კლავიში: 4;4|კლავიში|ოთხი
5️⃣;კლავიში: 5;5|კლავიში|ხუთი
6️⃣;კლავიში: 6;6|ექვსი|კლავიში
7️⃣;კლავიში: 7;7|კლავიში|შვიდი
8️⃣;კლავიში: 8;8|კლავიში|რვა
9️⃣;კლავიში: 9;9|კლავიში|ცხრა
🔟;კლავიში: 10;კლავიში
🔠;მთავრული ლათინური ასოების შეყვანა;ასოები|ლათინური|მთავრული|შეყვანა
🔡;ნუსხური ლათინური ასოების შეყვანა;abcd|ასოები|ლათინური|ნუსხური|შეყვანა
🔢;რიცხვების შეყვანა;1234|რიცხვები|შეყვანა
🔣;სიმბოლოების შეყვანა;შეყვანა
🔤;ლათინური ასოების შეყვანა;abc|ანბანი|ასოები|ლათინური|შეყვანა
🅰️;ღილაკი A (სისხლის ტიპი);a|სისხლი
🆎;ღილაკი AB (სისხლის ტიპი);ab|სისხლი
🅱️;ღილაკი B (სისხლის ტიპი);b|სისხლი
🆑;ღილაკი CL;cl
🆒;ღილაკი COOL;cool
🆓;free კვადრატში;FREE|ღილაკი
ℹ️;ინფორმაცია;i
🆔;ღილაკი ID;id|იდენტიფიკაცია
Ⓜ️;ასო m წრეში;m|რგოლი|წრე
🆕;ღილაკი NEW;ახალი
🆖;ღილაკი NG;ng
🅾️;ღილაკი O (სისხლის ტიპი);o|სისხლი
🆗;ღილაკი OK;კარგი
🅿️;ღილაკი p;ავტოსადგომი|პარკინგი
🆘;ღილაკი SOS;sos|დახმარება
🆙;ღილაკი up!;ზემოთ|ნიშანი
🆚;vs კვადრატში;vs|წინააღმდეგ
🈁;იაპონური ღილაკი "აქ";იაპონური
🈂️;იაპონური ღილაკი „სერვისის გადასახადი“;იაპონური
🈷️;მთვარის იდეოგრამა კვადრატში;იაპონური
🈶;არსებობის იდეოგრამა კვადრატში;იაპონური
🈯;თითის იდეოგრამა კვადრატში;იაპონური
🉐;უპირატესობის იდეოგრამა წრეში;იაპონური
🈹;გაყოფის იდეოგრამა კვადრატში;იაპონური
🈚;უარყოფის იდეოგრამა კვადრატში;იაპონური
🈲;აკრძალვის იდეოგრამა კვადრატში;იაპონური
🉑;მიღების იდეოგრამა წრეში;ჩინური
🈸;გამოყენების იდეოგრამა კვადრატში;ჩინური
🈴;ერთად ყოფნის იდეოგრამა კვადრატში;ჩინური
🈳;სიცარიელის იდეოგრამა კვადრატში;ჩინური
㊗️;მილოცვის იდეოგრამა წრეში;იდეოგრამა|მილოცვა|ჩინური
㊙️;საიდუმლოს იდეოგრამა წრეში;იდეოგრამა|საიდუმლო|ჩინური
🈺;მოქმედების იდეოგრამა კვადრატში;ჩინური
🈵;სისრულის იდეოგრამა კვადრატში;ჩინური
🔴;წითელი წრე;გეომეტრია|გეომეტრიული|რგოლი|წითელი|წრე
🟠;ნარინჯისფერი წრე;ნარინჯისფერი|წრე
🟡;ყვითელი წრე;ყვითელი|წრე
🟢;მწვანე წრე;მწვანე|წრე
🔵;ლურჯი წრე;გეომეტრია|გეომეტრიული|ლურჯი|რგოლი|ცისფერი|წრე
🟣;იისფერი წრე;იისფერი|წრე
🟤;ყავისფერი წრე;ყავისფერი|წრე
⚫;შავი წრე;გეომეტრია|გეომეტრიული|რგოლი|წრე
⚪;თეთრი წრე;გეომეტრია|გეომეტრიული|რგოლი|წრე
🟥;წითელი კვადრატი;კვადრატი|წითელი
🟧;ნარინჯისფერი კვადრატი;კვადრატი|ნარინჯისფერი
🟨;ყვითელი კვადრატი;კვადრატი|ყვითელი
🟩;მწვანე კვადრატი;კვადრატი|მწვანე
🟦;ლურჯი კვადრატი;კვადრატი|ლურჯი
🟪;იისფერი კვადრატი;იისფერი|კვადრატი
🟫;ყავისფერი კვადრატი;კვადრატი|ყავისფერი
⬛;დიდი შავი კვადრატი;გეომეტრია|გეომეტრიული|კვადრატი
⬜;დიდი თეთრი კვადრატი;გეომეტრია|გეომეტრიული|კვადრატი
◼️;საშუალო შავი კვადრატი;გეომეტრია|გეომეტრიული|კვადრატი
◻️;საშუალო თეთრი კვადრატი;გეომეტრია|გეომეტრიული|კვადრატი
◾;საშუალო-პატარა შავი კვადრატი;გეომეტრია|გეომეტრიული|კვადრატი
◽;საშუალო-პატარა თეთრი კვადრატი;გეომეტრია|გეომეტრიული|კვადრატი
▪️;პატარა შავი კვადრატი;გეომეტრია|გეომეტრიული|კვადრატი
▫️;პატარა თეთრი კვადრატი;გეომეტრია|გეომეტრიული|კვადრატი
🔶;დიდი სტაფილოსფერი რომბი;გეომეტრია|გეომეტრიული|ნარინჯისფერი|რომბი|სტაფილოსფერი
🔷;დიდი ლურჯი რომბი;გეომეტრია|გეომეტრიული|ლურჯი|რომბი|ცისფერი
🔸;პატარა სტაფილოსფერი რომბი;გეომეტრია|გეომეტრიული|ნარინჯისფერი|რომბი|სტაფილოსფერი
🔹;პატარა ლურჯი რომბი;გეომეტრია|გეომეტრიული|ლურჯი|რომბი|ცისფერი
🔺;მაღლა მიმართული წითელი სამკუთხედი;გეომეტრია|გეომეტრიული|წითელი
🔻;დაბლა მიმართული წითელი სამკუთხედი;გეომეტრია|გეომეტრიული|ქვემოთ|წითელი
💠;რომბი წერტილით;გეომეტრია|გეომეტრიული|რომბი|სასაცილო|შიგნით
🔘;რადიო ღილაკი;გეომეტრია|გეომეტრიული|რადიო|ღილაკი
🔳;თეთრი კვადრატული ღილაკი;გეომეტრია|გეომეტრიული|კვადრატი|კონტურიანი|ღილაკი
🔲;შავი კვადრატული ღილაკი;გეომეტრია|გეომეტრიული|კვადრატი|ღილაკი
🏁;უჯრედებიანი დროშა;დროშა|რბოლა|უჯრედებიანი
🚩;სამკუთხა დროშა;ფოსტა
🎌;გადაკვეთილი დროშები;აღნიშვნა|გადაკვეთილი|ზეიმი|იაპონური|ჯვარი
🏴;გაშლილი შავი დროშა;გაშლილი|შავი დროშა
🏳️;გაშლილი თეთრი დროშა;გაშლილი|თეთრი დროშა
🏳️‍🌈;ცისარტყელას დროშა;ცისარტყელა
🏳️‍⚧️;ტრანსგენდერი დროშა;დროშა|ვარდისფერი|თეთრი|ტრანსგენდერი|ცისფერი
🏴‍☠️;მეკობრეთა დროშა;განძი|მეკობრე|მხიარული როჯერი|ჩონჩხი და თავის ქალა
🇦🇨;დროშა: ამაღლების კუნძული;დროშა
🇦🇩;დროშა: ანდორა;დროშა
🇦🇪;დროშა: არაბთა გაერთიანებული საამიროები;დროშა
🇦🇫;დროშა: ავღანეთი;დროშა
🇦🇬;დროშა: ანტიგუა და ბარბუდა;დროშა
🇦🇮;დროშა: ანგილია;დროშა
🇦🇱;დროშა: ალბანეთი;დროშა
🇦🇲;დროშა: სომხეთი;დროშა
🇦🇴;დროშა: ანგოლა;დროშა
🇦🇶;დროშა: ანტარქტიკა;დროშა
🇦🇷;დროშა: არგენტინა;დროშა
🇦🇸;დროშა: ამერიკის სამოა;დროშა
🇦🇹;დროშა: ავსტრია;დროშა
🇦🇺;დროშა: ავსტრალია;დროშა
🇦🇼;დროშა: არუბა;დროშა
🇦🇽;დროშა: ალანდის კუნძულები;დროშა
🇦🇿;დროშა: აზერბაიჯანი;დროშა
🇧🇦;დროშა: ბოსნია და ჰერცეგოვინა;დროშა
🇧🇧;დროშა: ბარბადოსი;დროშა
🇧🇩;დროშა: ბანგლადეში;დროშა
🇧🇪;დროშა: ბელგია;დროშა
🇧🇫;დროშა: ბურკინა-ფასო;დროშა
🇧🇬;დროშა: ბულგარეთი;დროშა
🇧🇭;დროშა: ბაჰრეინი;დროშა
🇧🇮;დროშა: ბურუნდი;დროშა
🇧🇯;დროშა: ბენინი;დროშა
🇧🇱;დროშა: სენ-ბართელმი;დროშა
🇧🇲;დროშა: ბერმუდა;დროშა
🇧🇳;დროშა: ბრუნეი;დროშა
🇧🇴;დროშა: ბოლივია;დროშა
🇧🇶;დროშა: კარიბის ნიდერლანდები;დროშა
🇧🇷;დროშა: ბრაზილია;დროშა
🇧🇸;დროშა: ბაჰამის კუნძულები;დროშა
🇧🇹;დროშა: ბუტანი;დროშა
🇧🇻;დროშა: ბუვე;დროშა
🇧🇼;დროშა: ბოტსვანა;დროშა
🇧🇾;დროშა: ბელარუსი;დროშა
🇧🇿;დროშა: ბელიზი;დროშა
🇨🇦;დროშა: კანადა;დროშა
🇨🇨;დროშა: ქოქოსის (კილინგის) კუნძულები;დროშა
🇨🇩;დროშა: კონგო - კინშასა;დროშა
🇨🇫;დროშა: ცენტრალური აფრიკის რესპუბლიკა;დროშა
🇨🇬;დროშა: კონგო - ბრაზავილი;დროშა
🇨🇭;დროშა: შვეიცარია;დროშა
🇨🇮;დროშა: კოტ-დივუარი;დროშა
🇨🇰;დროშა: კუკის კუნძულები;დროშა
🇨🇱;დროშა: ჩილე;დროშა
🇨🇲;დროშა: კამერუნი;დროშა
🇨🇳;დროშა: ჩინეთი;დროშა
🇨🇴;დროშა: კოლუმბია;დროშა
🇨🇵;დროშა: კლიპერტონის კუნძული;დროშა
🇨🇶;დროშა: სარკი;დროშა
🇨🇷;დროშა: კოსტა-რიკა;დროშა
🇨🇺;დროშა: კუბა;დროშა
🇨🇻;დროშა: კაბო-ვერდე;დროშა
🇨🇼;დროშა: კიურასაო;დროშა
🇨🇽;დროშა: შობის კუნძული;დროშა
🇨🇾;დროშა: კვიპროსი;დროშა
🇨🇿;დროშა: ჩეხეთი;დროშა
🇩🇪;დროშა: გერმანია;დროშა
🇩🇬;დროშა: დიეგო-გარსია;დროშა
🇩🇯;დროშა: ჯიბუტი;დროშა
🇩🇰;დროშა: დანია;დროშა
🇩🇲;დროშა: დომინიკა;დროშა
🇩🇴;დროშა: დომინიკელთა რესპუბლიკა;დროშა
🇩🇿;დროშა: ალჟირი;დროშა
🇪🇦;დროშა: სეუტა და მელილა;დროშა
🇪🇨;დროშა: ეკვადორი;დროშა
🇪🇪;დროშა: ესტონეთი;დროშა
🇪🇬;დროშა: ეგვიპტე;დროშა
🇪🇭;დროშა: დასავლეთ საჰარა;დროშა
🇪🇷;დროშა: ერიტრეა;დროშა
🇪🇸;დროშა: ესპანეთი;დროშა
🇪🇹;დროშა: ეთიოპია;დროშა
🇪🇺;დროშა: ევროკავშირი;დროშა
🇫🇮;დროშა: ფინეთი;დროშა
🇫🇯;დროშა: ფიჯი;დროშა
🇫🇰;დროშა: ფოლკლენდის კუნძულები;დროშა
🇫🇲;დროშა: მიკრონეზია;დროშა
🇫🇴;დროშა: ფარერის კუნძულები;დროშა
🇫🇷;დროშა: საფრანგეთი;დროშა
🇬🇦;დროშა: გაბონი;დროშა
🇬🇧;დროშა: გაერთიანებული სამეფო;დროშა
🇬🇩;დროშა: გრენადა;დროშა
🇬🇪;დროშა: საქართველო;დროშა
🇬🇫;დროშა: საფრანგეთის გვიანა;დროშა
🇬🇬;დროშა: გერნსი;დროშა
🇬🇭;დროშა: განა;დროშა
🇬🇮;დროშა: გიბრალტარი;დროშა
🇬🇱;დროშა: გრენლანდია;დროშა
🇬🇲;დროშა: გამბია;დროშა
🇬🇳;დროშა: გვინეა;დროშა
🇬🇵;დროშა: გვადელუპა;დროშა
🇬🇶;დროშა: ეკვატორული გვინეა;დროშა
🇬🇷;დროშა: საბერძნეთი;დროშა
🇬🇸;დროშა: სამხრეთ ჯორჯია და სამხრეთ სენდვიჩის კუნძულები;დროშა
🇬🇹;დროშა: გვატემალა;დროშა
🇬🇺;დროშა: გუამი;დროშა
🇬🇼;დროშა: გვინეა-ბისაუ;დროშა
🇬🇾;დროშა: გაიანა;დროშა
🇭🇰;დროშა: ჰონკონგის სპეციალური ადმინისტრაციული რეგიონი, ჩინეთი;დროშა
🇭🇲;დროშა: ჰერდი და მაკდონალდის კუნძულები;დროშა
🇭🇳;დროშა: ჰონდურასი;დროშა
🇭🇷;დროშა: ხორვატია;დროშა
🇭🇹;დროშა: ჰაიტი;დროშა
🇭🇺;დროშა: უნგრეთი;დროშა
🇮🇨;დროშა: კანარის კუნძულები;დროშა
🇮🇩;დროშა: ინდონეზია;დროშა
🇮🇪;დროშა: ირლანდია;დროშა
🇮🇱;დროშა: ისრაელი;დროშა
🇮🇲;დროშა: მენის კუნძული;დროშა
🇮🇳;დროშა: ინდოეთი;დროშა
🇮🇴;დროშა: ბრიტანეთის ტერიტორია ინდოეთის ოკეანეში;დროშა
🇮🇶;დროშა: ერაყი;დროშა
🇮🇷;დროშა: ირანი;დროშა
🇮🇸;დროშა: ისლანდია;დროშა
🇮🇹;დროშა: იტალია;დროშა
🇯🇪;დროშა: ჯერსი;დროშა
🇯🇲;დროშა: იამაიკა;დროშა
🇯🇴;დროშა: იორდანია;დროშა
🇯🇵;დროშა: იაპონია;დროშა
🇰🇪;დროშა: კენია;დროშა
🇰🇬;დროშა: ყირგიზეთი;დროშა
🇰🇭;დროშა: კამბოჯა;დროშა
🇰🇮;დროშა: კირიბატი;დროშა
🇰🇲;დროშა: კომორის კუნძულები;დროშა
🇰🇳;დროშა: სენტ-კიტსი და ნევისი;დროშა
🇰🇵;დროშა: ჩრდილოეთ კორეა;დროშა
